證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收收入／遞延收入,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收收入／遞延收入,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 短期借款,　　　　 短期借款合計,　　　 長期借款,　　　　 長期借款合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 特別盈餘公積
1507,2015年09月30日,,,,              3554440,,                611675,,                  3961,                 14715,,                576831,,              5645684,,                  5717,,              9872700,,                508711,,                 97600,,                706525,                              0,                706525,             21598559,,,                290560,,                391904,,              5854244,,                865875,,                375759,              1346634,,                202281,                 63787,                216762,,                 52177,                535007,              9659983,             31258542,,,,                              0,,                217823,,              3094405,,              1506326,                262884,,                    966,,,             11743813,                365084,                    748,             12109645,                 19897,             12129542,             17211946,,,                  9409,,                173935,              1432393,                307249,                  1380,              1914957,              1924366,             19136312,,,,              4108200,              4108200,,                250581,,              2556338,,              3797227,              6353565,,              1307765,                 69411,             11950700,                171530,             12122230,             31258542,              0,              0,      2129800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2015年06月30日,,,,              4746042,,                505265,,                  6035,                              0,,                460240,,              4863120,,                 28376,,              9847890,,                472651,,                112782,,                683343,                 11113,                694456,             21736857,,,                290560,,                358534,,              5757439,,                865922,,                356617,              1282521,,                104627,                 60900,                213084,,                 48650,                427261,              9338854,             31075711,,,,                 10819,,                267499,,              3208130,,              2519874,                241942,,                    966,,,             11336289,                352671,                  1155,             11690115,                  4593,             11694708,             17943938,,,                  9779,,                157151,              1426666,                206845,                  1454,              1792116,              1801895,             19745833,,,,              4108200,              4108200,,                244192,,              2556338,,              3260892,              5817230,,              1070755,                 69411,             11170966,                158912,             11329878,             31075711,              0,              0,      2129800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2015年03月31日,,,,              3449481,,                468300,,                  7004,                              0,,                416494,,              4593422,,                  5487,,              9515230,,                560199,,                105119,,                725980,                 21977,                747957,             19868693,,,                290560,,                356822,,              5718888,,                838433,,                354630,              1217293,,                 95418,                 56855,                216485,,                 27096,                395854,              9172480,             29041173,,,,                  8162,,                302389,,              2041337,,              1010548,                278351,,                  1491,,,             11033841,                344200,                  2367,             11380408,                  5062,             11385470,             15027748,,,                 10335,,                155765,              1425113,                194900,                  1631,              1777409,              1787744,             16815492,,,,              4108200,              4108200,,                244192,,              2354168,,              4245702,              6599870,,              1159691,                 69411,             12042542,                183139,             12225681,             29041173,,              0,      2129800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2014年12月31日,,,,              5061153,,                223508,,                  6613,                              0,,                295920,,              4166117,,                  8956,,             10810542,,                719374,,                119108,,                716334,                     16,                716350,             22127641,,,                290560,,                369370,,              5602806,,                833002,,                360279,              1350173,,                 82356,                 56059,                221126,,                 66273,                425814,              9232004,             31359645,,,,                 12805,,                646537,,              3122661,,              1408441,                263221,,                    548,,,             11874566,                349066,                  1657,             12225289,                  1842,             12227131,             17681344,,,                 11467,,                146926,              1441178,                224765,                  1822,              1814691,              1826158,             19507502,,,,              4108200,              4108200,,                244192,,              2354168,,              3753113,              6107281,,              1288118,                 69411,             11678380,                173763,             11852143,             31359645,              0,              0,      2129800,              5061153,             31359645,,,                 12805,,                646537,,              3122661,,              1408441,                263221,,                    548,,,             11874566,                349066,                  1657,             12225289,                  1842,             12227131,             17681344,,,                 11467,,                146926,              1441178,                224765,                  1822,              1814691,              1826158,             19507502,,,,              4108200,              4108200,,                244192,,              2354168,,              3753113,              6107281,,              1288118,                 69411,             11678380,                173763,             11852143,,,,,,,,,,,
1507,2014年09月30日,,,,              3633999,,              1248663,,                  7837,                 10062,,                482532,,              4236009,,                  9946,,             10855417,,                548903,,                131689,,                647972,                     89,                648061,             21813118,,,                290560,,                350875,,              5329937,,                832148,,                340783,              1344097,,                 40986,                 54972,                212731,,                 47087,                355776,              8844176,             30657294,,,,                              0,,                228689,,              2877782,,              1457231,                155949,,                    716,,,             12722636,                332253,                    670,             13055559,                 15247,             13070806,             17791173,,,                  8602,,                137970,              1377690,                236145,                  1899,              1753704,              1762306,             19553479,,,,              4108200,              4108200,,                244192,,              2354168,,              3366026,              5720194,,                931046,                 69411,             10934221,                169594,             11103815,             30657294,              0,              0,      2129800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2014年06月30日,,,,              4198885,,                599616,,                 43239,                  3847,,                517439,,              3822841,,                  7213,,             10932534,,                486592,,                 56972,,                606361,                    999,                607360,             21276538,,,                290560,,                346200,,              5319696,,                834052,,                335521,              1327430,,                 74208,                121198,                210120,,                 52962,                458488,              8911947,             30188485,,,,                              0,,                175724,,              2907588,,              2152186,                225051,,                    354,,,             12364375,                318210,                100201,             12782786,                  8671,             12791457,             18252360,,,                  9696,,                125123,              1368639,                195058,                  2072,              1690892,              1700588,             19952948,,,,              4108200,              4108200,,                238867,,              2354168,,              2663741,              5017909,,                780350,                 69411,             10075915,                159622,             10235537,             30188485,              0,              0,      2129800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2014年03月31日,,,,              3484781,,                573750,,                 32453,                  4749,,                530832,,              3673785,,                  8081,,             10677560,,                529484,,                 49226,,                593420,                 53236,                646656,             20211357,,,                290560,,                354635,,              5348882,,                835916,,                329487,              1297944,,                 72787,                123858,                215720,,                 18001,                430366,              8887790,             29099147,,,,                              0,,                280112,,              2259492,,              1023170,                269694,,                    630,,,             12240057,                316875,                  1663,             12558595,                 10068,             12568663,             16401761,,,                  8092,,                128904,              1359591,                241608,                  2221,              1732324,              1740416,             18142177,,,,              4108200,              4108200,,                238867,,              2182818,,              3413540,              5596358,,                920570,                 69411,             10794584,                162386,             10956970,             29099147,,              0,      2129800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,2013年12月31日,,,,,,                247322,,                 26789,,,                452849,,              3557937,,                  2061,,             11250803,,                544533,,                 53178,,                698218,                     43,                698261,             21071211,,,                290560,,                350131,,              5225427,,                836974,,                312569,              1341739,,                 63321,                122471,                214210,,                 55278,                455280,              8812680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2129800,              4237478,             29883891,,,                 13067,,                655348,,              3015569,,              1174702,                355901,,                    172,,,             12152214,                315029,                  1110,             12468353,                  1804,             12470157,             17684916,,,                  7781,,                127703,              1372458,                279683,                  2347,              1782191,              1789972,             19474888,,,,              4108200,              4108200,,                238867,,              2182818,,              2975608,              5158426,,                818212,                 69411,             10254294,                154709,             10409003,,,,,,,,,,,
1507,2013年09月30日,,,,,,                491275,,                 29267,                    140,,                538837,,              3723247,,                  5004,,             11283642,,                437410,,                 49488,,                676829,                    498,                677327,             20557719,,,                290560,,                342629,,              5157905,,                846909,,                303285,              1304978,,                 60473,                109027,                212141,,                 53713,                435354,              8681620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2129800,              3322082,             29239339,,,                    660,,                384384,,              3100636,,              1150003,                270225,,                  2091,,,             12566837,                300665,                  3837,             12871339,                  5387,             12901726,             17809725,,,                  7384,,                116344,              1389095,                179116,                  2514,              1687069,              1694453,             19504178,,,,              4108200,              4108200,,                238866,,              2182818,,              2366582,              4549400,,                758188,                 69411,              9585243,                149918,              9735161,,                 25000,,,,,,,,,
1507,2013年06月30日,,,,,,                265846,,                 28323,                  2075,,                471854,,              3026399,,                  2161,,             10505054,,                377463,,                 44349,,                635351,                    876,                636227,             19604415,,,                290560,,                338793,,              5195850,,                849487,,                309446,              1177095,,                 85645,                110863,                215448,,                 54511,                466467,              8627698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2129800,              4243014,             28232113,,,                  4565,,                489064,,              2914172,,              1958841,                254188,,                  2106,,,             11216990,                284979,                 90346,             11592315,                  6640,             11628955,             17257263,,,                 48507,,                107219,              1380846,                143841,                  2746,              1634652,              1685659,             18942922,,,,              4108200,              4108200,,                233969,,              2182818,,              1879969,              4062787,,                810885,                 69411,              9146430,                142761,              9289191,,                 30000,,                  1650,,                  5372,,                  2500,,,
