證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付費用,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 當期所得稅資產合計
2450,2015年09月30日,,,,              2648286,,                  6526,,                208511,,                558680,,                883580,,                 93908,,                382620,,                     57,,              2296187,,                 56531,                143106,                199637,,                 62183,              7340175,,,                 36000,,                844051,,              1093298,,                145008,,                 75476,                220484,                356361,,                113001,,                 17537,                130538,              2680732,             10020907,,,,,                 52856,,                              0,,                 19006,,                     18,,              2653921,,                 31197,,              1082777,                339508,                  3990,,                 39059,,,                166032,,                 54858,                 29289,                250179,              4472511,,,                 37205,,                  1109,,                 61845,                 28940,                 90785,                129099,              4601610,,,,              2582527,                              0,              2582527,,                686901,,              1151693,                              0,,              1410417,              2562110,,                 84563,                492770,              5423331,                 -4034,              5419297,             10020907,              0,     10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2015年06月30日,,,,              2858710,,                  1216,,                188355,,                494165,,              1381939,,                220173,,                479616,,,,              2701469,,                 60847,                133862,                194709,,                 31070,              8551422,,,                 36000,,                750568,,              1090269,,,,,                 35467,                358627,,                 98355,,                  4796,                103151,              2374082,             10925504,,,,,                800000,,                    329,,                 10374,,                     18,,              2202520,,                 35633,,              1364289,                309571,                 90125,,                 46924,,,                248698,,,                 24571,                273269,              5133052,,,,,                    207,,                 62657,                 28067,                 90724,                 90931,              5223983,,,,              2582527,                              0,              2582527,,                672341,,              1151693,                              0,,              1303005,              2454698,,                 50034,                 58079,              5701521,,              5701521,             10925504,              0,      1236000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2015年03月31日,,,,              2149911,,                    193,,                212707,,                524419,,              1146064,,                 66419,,                391111,,,,              3093482,,                 63244,                131276,                194520,,                 31401,              7810227,,,                 36000,,                842697,,              1142766,,,,,                 40504,                340087,,                106305,,                  4732,                111037,              2513091,             10323318,,,,,                500000,,                    481,,                    113,,                     41,,              2315073,,                 36551,,                901340,                222739,                 53011,,                 53578,,,                216903,,,                 25911,                242814,              4325741,,,,,                     85,,                 63454,                 28345,                 91799,                 91884,              4417625,,,,              2582527,                              0,              2582527,,                658262,,              1096697,                              0,,              1508877,              2605574,,                 59330,,              5905693,,              5905693,             10323318,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2014年12月31日,,,,              1944359,,                  1163,,                186610,,                571555,,              1410946,,                 37265,,                439384,,                              0,,              3002371,,                 83117,                214591,                297708,,                 52176,              7943537,,,                 36000,,                782129,,              1215244,,                              0,,                 18482,                 18482,                330568,,                114062,,                  3000,                117062,              2499485,             10443022,,,,,                500000,,                     21,,                    971,,                     18,,              2309196,,                 95470,,              1013026,                357585,                 21805,,                 56586,,,                198764,,                              0,                 23993,                222757,              4577435,,,                              0,,                    198,,                 64283,                 29116,                 93399,                 93597,              4671032,,,,              2582527,                              0,              2582527,,                646258,,              1096697,                              0,,              1378374,              2475071,,                 68134,                              0,              5771990,                              0,              5771990,             10443022,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2014年09月30日,,,,              1919541,,                  4010,,                183220,,                452698,,              1573205,,                184480,,                401017,,                 35670,,              3778200,,                107719,                385371,                493090,,                 30436,              9055567,,,                 36000,,                719204,,              1257096,,                              0,,                 19096,                 19096,                313260,,                123190,,                  6070,                129260,              2473916,             11529483,,,,,                800000,,                    180,,                  2167,,                     18,,              3198271,,                134788,,              1302674,                287078,                              0,,                 58069,,,                158505,,                              0,                 26843,                185348,              5968593,,,                              0,,                    682,,                 59630,                 28514,                 88144,                 88826,              6057419,,,,              2582527,                              0,              2582527,,                633167,,              1096697,                              0,,              1123763,              2220460,,                 35910,                              0,              5472064,                              0,              5472064,             11529483,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2014年06月30日,,,,              1659485,,                              0,,                216199,,                718680,,              1386015,,                249221,,                574194,,,,              3915112,,                112525,                371461,                483986,,                              0,              9202892,,,                 36000,,                663797,,              1296231,,,,,                  7280,                292467,,                124340,,                  6154,                130494,              2426269,             11629161,,,,,                800000,,                    456,,                  3555,,                     18,,              2363781,,                 26729,,              2319576,                225726,                133104,,                 55382,,,                160043,,,                 32965,                193008,              6121335,,,,,                    829,,                 60411,                 29039,                 89450,                 90279,              6211614,,,,              2582527,                              0,              2582527,,                607974,,              1096697,                              0,,              1119606,              2216303,,                 10743,                              0,              5417547,,              5417547,             11629161,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2014年03月31日,,,,              1549410,,                     58,,                174376,,                373463,,              1214325,,                 83842,,                494997,,,,              4482689,,                 97869,                372240,                470109,,                              0,              8843269,,,                 12000,,                711283,,              1331122,,,,,                 11100,                253639,,                123633,,                  9592,                133225,              2452369,             11295638,,,,,                              0,,                    771,,                  4682,,                     18,,              2808454,,                 50471,,              1244317,                200794,                265140,,                 69732,,,                188138,,,                 33820,                221958,              4866337,,,,,                    615,,                 61201,                 29414,                 90615,                 91230,              4957567,,,,              2582527,                              0,              2582527,,                582606,,                953700,                 40124,,              2151201,              3145025,,                 27913,,              6338071,,              6338071,             11295638,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2014年01月01日,,,,              1350050,,                    337,,                188116,,                490001,,              1446855,,                 92517,,                612539,,                              0,,              3376938,,                115191,                461380,                576571,,                              0,              8133924,,,                 12000,,                668235,,              1353519,,                              0,,                 11511,                 11511,                225092,,                121284,,                  9945,                131229,              2401586,             10535510,,,,,                              0,,                    246,,                  5097,,                    333,,              1901578,,                 60263,,              1385313,                467422,                215317,,                 59834,,,                185092,,                              0,                 25697,                210789,              4306192,,,                              0,,                     57,,                 62054,                 29182,                 91236,                 91293,              4397485,,,,              2579001,                  3526,              2582527,,                558286,,                953700,                 40124,,              1968337,              2962161,,                 35051,                              0,              6138025,                              0,              6138025,             10535510,        352550,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2013年12月31日,,,,,,                    337,,                188116,,                490001,,              1446855,,                 92517,,                612539,,,,              3376938,,                115191,                461380,                576571,,                              0,              8133924,,,                 12000,,                668235,,              1353519,,,,,                 11511,                226157,,                121284,,                  9945,                131229,              2402651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        352550,              0,              0,              1350050,             10536575,,,,                              0,,                    246,,                  5097,,                    333,,              1901578,,                 60263,,              1385313,                467422,                215317,,                 59834,,,                185092,                 25697,                210789,              4306192,,,                     57,,                 68320,                 29182,                 97502,                 97559,              4403751,,,,              2579001,                  3526,              2582527,,                558286,,                953700,                 40124,,              1963136,              2956960,,                 35051,              6132824,              6132824,                              0
2450,2013年09月30日,,,,,,                    363,,                148618,,                456687,,              1370146,,                101045,,                568000,,,,              4282543,,                102078,                156938,                259016,,                              0,              9012059,,,                 12000,,                493048,,              1272247,,,,,                 16642,                196338,,                113410,,                 19745,                133155,              2123430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        153700,              0,              0,              1825641,             11135489,,,,                800000,,                    671,,                  5856,,                     18,,              2773644,,                 42354,,              1187804,                173489,                135125,,                 51368,,,                151166,                 37436,                188602,              5358931,,,                    587,,                 72021,                 29599,                101620,                102207,              5461138,,,,              2577844,                  1537,              2579381,,                388006,,                953700,                 40124,,              1695539,              2689363,,                 17601,              5674351,              5674351,                              0
