證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 長期應收票據及款項,　　　　　 長期應收票據及款項淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債,　　　 庫藏股票,　　 非控制權益
3011,2015年09月30日,,,,                432604,,                     38,,                 23466,,                    824,,                536768,,                 32116,,                    100,,                329510,,                  1011,                 24753,                 25764,              1381190,,,                 14000,,                118309,,                482006,,                110901,                 36795,,                 37476,,                    451,                 37927,                799938,              2181128,,,,,                246525,,                  2288,,                413328,,                 50639,                 50639,                              0,,                  2333,                715113,,,                 36525,,                 19392,                  6520,                  2769,                 28681,                 65206,                780319,,,,              1127192,              1127192,,                226697,,                 23586,                220793,,               -247030,                 -2651,,                 49571,              1400809,              1400809,              2181128,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,2015年06月30日,,,,                445224,,                     51,,                 22247,,                    261,,                498915,,                 31169,,                     58,,                338255,,                  1006,                 29049,                 30055,              1366235,,,                 14000,,                116424,,                487389,,                110662,                 34497,,                 36868,,                  1271,                 38139,                801111,              2167346,,,,,                231499,,                  1430,,                384105,,                 53332,                 53332,                              0,,                  5362,                675728,,,                 40007,,                 19375,                  6284,                  4754,                 30413,                 70420,                746148,,,,              1127192,              1127192,,                226697,,                 23586,                220793,,               -209310,                 35069,,                 32240,              1421198,              1421198,              2167346,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,2015年03月31日,,,,                476996,,                     63,,                 58417,,                  1385,,                459207,,                 31259,,                     49,,                321265,,                    509,                 25947,                 26456,              1375097,,,                 14000,,                117710,,                502554,,                107054,                 34112,,                 37393,,                  1757,                 39150,                814580,              2189677,,,,,                234796,,                  1446,,                336132,,                 49993,                 49993,                              0,,                  5066,                627433,,,                 45237,,                 19357,                  6933,                  6423,                 32713,                 77950,                705383,,,,              1127192,              1127192,,                226697,,                 23586,                220793,,               -168537,                 75842,,                 54563,              1484294,              1484294,              2189677,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,2014年12月31日,,,,                444225,,                     59,,                 80305,,                  3781,,                520291,,                 31308,,                     58,,                306260,,                    513,                 38327,                 38840,              1425127,,,                 14000,,                119908,,                522744,,                108701,                 41898,,                 38216,,                  2285,                 40501,                847752,              2272879,,,,,                237375,,                  1635,,                369210,,                 57246,                 57246,                    888,,                  7792,                674146,,,                 51049,,                 19344,                  5979,                  6327,                 31650,                 82699,                756845,,,,              1127192,              1127192,,                226697,,                 23586,                220793,,               -151184,                 93195,,                 68950,              1516034,              1516034,              2272879,              0,              0,              0,                444225,                 80305,,                              0,                     58,              2272879,,,,                237375,,                  1635,,                369210,,                 57246,                 57246,                    888,,                  7792,                674146,,,                 51049,,                 19344,                  5979,                  6327,                 31650,                 82699,                756845,,,,              1127192,              1127192,,                226697,,                 23586,                220793,,               -151184,                 93195,,                 68950,              1516034,              1516034,,,,,,,,,
3011,2014年09月30日,,,,                329595,,                     72,,                193417,,                  5288,,                580033,,                 28015,,                    394,,                285642,,                    301,                 35844,                 36145,              1458601,,,                  8000,,                115016,,                550241,,                 83898,                 36463,,                 42013,,                  1243,                 43256,                836874,              2295475,,,,,                243360,,                  1800,,                401212,,                 57535,                 57535,                              0,,                  8869,                712776,,,                 55330,,                 19576,                  3206,                  6227,                 29009,                 84339,                797115,,,,              1127192,              1127192,,                226697,,                 23586,                220964,,               -120257,                124293,,                 20178,              1498360,              1498360,              2295475,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,2014年06月30日,,,,                392745,,                     79,,                119722,,                  7268,,                572141,,                 27306,,                     31,,                275910,,                    729,                 34377,                 35106,              1430308,,,                  3000,,                114816,,                557026,,                 84280,                 35356,,                 41530,,                  1502,                 43032,                837510,              2267818,,,,,                238901,,                  1562,,                381201,,                 64218,                 64218,                              0,,                  8789,                694671,,,                 55014,,                 19509,                  3637,                  4855,                 28001,                 83015,                777686,,,,              1127192,              1127192,,                226697,,                 23586,                220964,,               -105684,                138866,,                 -2623,              1490132,              1490132,              2267818,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,2014年03月31日,,,,                329773,,                     80,,                117365,,                  1127,,                586808,,                 29002,,                     33,,                301880,,                    624,                 45292,                 45916,              1411984,,,                  3000,,                117281,,                581425,,                 84926,                 32887,,                 42667,,                     42,                 42709,                862228,              2274212,,,,,                243690,,                  4085,,                341445,,                 65508,                 65508,                              0,,                 10806,                665534,,,                 54943,,                 19447,                  3040,                  3131,                 25618,                 80561,                746095,,,,              1127192,              1127192,,                226697,,                 23586,                220964,,                -91973,                152577,,                 21651,              1528117,              1528117,              2274212,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,2013年12月31日,,,,,,                     85,,,,                    752,,                666589,,                 52943,,,,                329328,,                    606,                 44674,                 45280,              1459259,,,                  3000,,                115267,,                585831,,                 85341,                 34905,,                 42401,,                              0,                 42401,                866745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                330194,                 34056,,                              0,                     32,              2326004,,,,                198739,,                  3345,,                437007,,                 78323,                 78323,                    301,,                  6951,                724666,,,                 57859,,                 19387,                  2780,                  3158,                 25325,                 83184,                807850,,,,              1127192,              1127192,,                226697,,                 23586,                220964,,                -81207,                163343,,                    922,              1518154,              1518154,,                              0,,                              0,,,,,
3011,2013年09月30日,,,,,,                     72,,,,                    502,,                679014,,                 51268,,,,                324141,,                    299,                 55899,                 56198,              1525478,,,                              0,,                 96078,,                584800,,                 85729,                 44696,,                 42000,,                              0,                 42000,                853303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                382843,                 31413,,,                     27,              2378781,,,,                256119,,                  4184,,                391226,,                 98651,                 98651,                              0,,                 10066,                760246,,,                 58895,,                 20976,                  2448,                  2414,                 25838,                 84733,                844979,,,,              1127192,              1127192,,                226697,,                 23586,                220964,,                -59038,                185512,,                 -5599,              1533802,              1533802,,,,,,,,,
3011,2013年06月30日,,,,,,                     75,,,,                      2,,                687518,,                 51338,,,,                359717,,                    303,                 66498,                 66801,              1602802,,,                              0,,                 97288,,                602976,,                 86302,                 50789,,                 42684,,                              0,                 43320,                880675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                346400,                 90925,,,                     26,              2483477,,,,                261070,,                  4882,,                423919,,                115216,                115216,                              0,,                 10045,                815132,,,                 64158,,                 20927,                  2404,                  2219,                 25550,                 89708,                904840,,,,              1127192,              1127192,,                226697,,                 23586,                220964,,                -30275,                214275,,                 10473,              1578637,              1578637,,                              0,,                    636,,,,,
