證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 預付設備款,　　　 應付票據,　　　　 應付票據合計,　　　 長期借款,　　　　 長期借款合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 待分配股票股利,　　　　　 一年或一營業週期內到期長期借款,　　　　 銀行長期借款,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－員工認股權,　　　　 資本公積－其他
6166,2015年09月30日,,,,              1530924,,                 52153,,                 33256,,                 72903,,              1605905,,                  2349,,                 19253,,              1912688,,                156108,,                 19430,              5404969,,,                              0,,              1127973,,                534870,                 70723,,                 33180,                 69460,,                 55712,                158352,              1891918,              7296887,,,,,              1093291,,                              0,,              1329337,,                  4658,,                763962,                 84613,,                 49409,,,                              0,                 54047,                 54047,              3379317,,,                 27092,,                 31394,,                 43937,                 43937,                102423,              3481740,,,,              2004829,              2004829,,                629398,,                418719,,                613047,              1031766,,,                137644,,                  2423,                140067,              3806060,                  9087,              3815147,              7296887,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,2015年06月30日,,,,              1630416,,,,                146515,,                 62900,,              1529707,,                  1798,,                 27352,,              1978701,,                178719,,                 17729,              5573837,,,                              0,,              1123668,,                516532,                 66059,,                 29032,                 68306,,                 54333,                151671,              1857930,              7431767,,,,,                885812,,                              0,,              1533619,,                  7685,,              1133575,                115983,,                 47035,,,                              0,                 57061,                 57061,              3780770,,,                 25882,,                 11795,,                 43967,                 43967,                 81644,              3862414,,,,              1838025,              2003669,,                627191,,                418719,,                456426,                875145,,,                 55587,,,                 55587,              3561592,                  7761,              3569353,              7431767,              0,              0,                165644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,2015年03月31日,,,,              1637787,,,,                117183,,                102344,,              1381009,,                  1858,,                 19081,,              1848672,,                156423,,                  3415,              5267772,,,                              0,,              1091983,,                516965,                 67589,,                 33056,                 69413,,                  9317,                111786,              1788323,              7056095,,,,,                676761,,                100000,,              1484106,,                  4710,,                705471,                139683,,                 45264,,,                              0,                 55450,                 55450,              3211445,,,                 25781,,                 15456,,                 44068,                 44068,                 85305,              3296750,,,,              1835425,              1835425,,                622018,,                359875,,                866239,              1226114,,,                 68232,,,                 68232,              3751789,                  7556,              3759345,              7056095,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,2014年12月31日,,,,              1183185,,                              0,,                    402,,                120699,,              1485828,,                  2174,,                 54971,,              1573109,,                111305,,                  7442,              4539115,,,                 15120,,              1106619,,                554077,                 80159,,                 29094,                 70918,,                 14022,                114034,              1870009,              6409124,,,,,                649968,,                 99842,,              1036555,,                  3890,,                693376,                112516,,                 45535,,,                              0,                 52435,                 52435,              2694117,,,                 23737,,                 28897,,                 44302,                 44302,                 96936,              2791053,,,,              1834335,              1834335,,                620038,,                359875,,                676863,              1036738,,,                120163,,                              0,                120163,              3611274,                  6797,              3618071,              6409124,              0,              0,                              0,                              0,              1183185,                    402,              6409124,,,,                649968,,                 99842,,              1036555,,                  3890,,                693376,                112516,,                 45535,,,                              0,                 52435,                 52435,              2694117,,,                 23737,,                 28897,,                 44302,                 44302,                 96936,              2791053,,,,              1834335,              1834335,,                620038,,                359875,                              0,,                676863,              1036738,,,                120163,                120163,              3611274,                  6797,              3618071,              0,,,,,,,,,,,,,,,,,,,
6166,2014年09月30日,,,,              1078749,,                              0,,                 15234,,                107431,,              1447008,,                  3269,,                 62736,,              1727722,,                149445,,                    108,              4591702,,,                 15680,,              1076460,,                558032,                 49861,,                 28821,                 68233,,                 12494,                109548,              1809581,              6401283,,,,,                684738,,                 99842,,              1298736,,                  3496,,                618225,                 90584,,                 47948,,,                 10000,                 33069,                 43069,              2886638,,,                 22934,,                 18107,,                 52464,                 52464,                 93505,              2980143,,,,              1832905,              1832905,,                616950,,                359875,,                541988,                901863,,,                 62616,,                              0,                 62616,              3414334,                  6806,              3421140,              6401283,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,2014年06月30日,,,,                997338,,,,                 14986,,                 99042,,              1608731,,                  4184,,                 34917,,              1574368,,                191849,,                  1124,              4526539,,,                 16195,,              1028326,,                580665,                 53193,,                 27680,                 67419,,                 42907,                138006,              1816385,              6342924,,,,,                431380,,                              0,,              1482325,,                  2937,,                838698,                 86158,,                 49248,,,                 72500,                 37006,                109506,              3000252,,,                 20831,,                 14633,,                 52414,                 52414,                 87878,              3088130,,,,              1710664,              1830560,,                611339,,                359875,,                389950,                749825,,,                 55779,,,                 55779,              3247503,                  7291,              3254794,              6342924,              0,              0,                119896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,2014年03月31日,,,,              1213474,,,,                              0,,                 98897,,              1161673,,                  3028,,                 33566,,              1350457,,                127208,,                  1723,              3990026,,,                  1680,,              1040450,,                605897,                 52685,,                 27603,                 69235,,                  3145,                 99983,              1800695,              5790721,,,,,                490266,,                              0,,              1003366,,                  6269,,                573646,                 82175,,                 48086,,,                110000,                 39873,                149873,              2353681,,,                 21503,,                 19744,,                 52419,                 52419,                 93666,              2447347,,,,              1709874,              1709874,,                608992,,                318395,,                606563,                926566,,,                 91141,,,                 91141,              3336573,                  6801,              3343374,              5790721,              0,              0,,                  1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6166,2013年12月31日,,,,,,,,,,                103967,,              1147948,,                  2785,,                 52895,,              1147924,,                 84035,,                  2690,              3719926,,,                  2240,,              1043878,,                430494,                 50554,,                 25559,                 68775,,                  2386,                 96720,              1623886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1177682,                              0,              5343812,,,,                357224,,                              0,,                830393,,                  1779,,                531737,                 57108,,                 40844,,,                207500,                 24542,                232042,              2051127,,,                 22884,,                 15572,,                 52528,                 52528,                 90984,              2142111,,,,              1709224,              1709224,,                606942,,                318395,                  1608,,                498797,                818800,,,                 61091,                 61091,              3196057,                  5644,              3201701,              0,,,,,,,,,,,,,,,,,,,
6166,2013年09月30日,,,,,,,,,,                 74987,,              1322922,,                  6651,,                 51380,,              1305860,,                121206,,                  1120,              4000811,,,                  3534,,              1050296,,                436573,                 44437,,                 26062,                 68095,,,                 96503,              1631343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              1116685,                              0,              5632154,,,,                477023,,                              0,,              1046873,,                  2653,,                525813,                 40335,,                 39990,,,                230000,                 52406,                282406,              2417053,,,                 22722,,                 10660,,,                 33221,                101603,              2518656,,,,              1707809,              1707809,,                602721,,                318395,                  1608,,                435491,                755494,,,,                 41528,              3107552,                  5946,              3113498,              0,                  2346,,                  1960,,                 35000,,,,,,,,,,,,,,
6166,2013年06月30日,,,,,,,,,,                 68138,,              1449167,,                  7029,,                 70970,,              1204667,,                111681,,                    707,              3947446,,,                  4828,,              1078077,,                451967,                 48119,,                 26636,                 69283,,,                 97323,              1680314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                902763,                 71775,              5627760,,,,                441338,,,,              1027471,,                  1526,,                667689,                 28081,,                 31809,,,                197500,                 38072,                235572,              2437406,,,                 27593,,                 13391,,                 33525,                 33525,                187009,              2624415,,,,              1707094,              1707094,,                599546,,                318395,                  1608,,                316964,                636967,,,                 54499,                 54499,              2998106,                  5239,              3003345,              0,                  1404,,                  3920,,                112500,,                 60459,,                     90,                              0,,,,,,,,,
