證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 短期借款,　　　　　 短期借款合計,　　　　　 特別盈餘公積,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3006,2015年09月30日,,,,              1294385,,                187115,,                 28355,,                608878,,                  1135,,                950350,,                 80929,,              3975553,,                 55630,,                 52388,              7234718,,,                366893,,                287271,,                741658,,                 65679,,                 37403,                  2316,,                  8167,              1509387,              8744105,,,,,                              0,,              1709726,,                538585,                              0,,                  5080,              2253391,,,                 10318,,                  4417,,                 24564,                 39299,              2292690,,,,              2725144,              2725144,,,                 46968,                 12562,                 30292,                              0,                 51673,                              0,                    243,                141738,,              1093233,,              2518771,              3612004,,,                  1325,,                214336,,                              0,                215661,                136787,              6557760,               -106345,              6451415,              8744105,              0,     13389000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,2015年06月30日,,,,              1502025,,                199398,,                 37864,,                642093,,                    803,,              1049373,,                 81365,,              4059680,,                 92873,,                 42817,              7708291,,,                492292,,                282485,,                707112,,                 66563,,                 55974,                  2593,,                  8412,              1615431,              9323722,,,,,                              0,,              1587499,,              1161535,                 85920,,                  5502,              2840456,,,                 10092,,                    952,,                 69181,                 80225,              2920681,,,,              2724241,              2724241,,,                 12900,                 12562,                 15067,,                 49843,,                 32224,                122596,,              1093233,,              2361985,              3455218,,,                    465,,                349244,,                 -4415,                345294,                131711,              6515638,               -112597,              6403041,              9323722,              0,     12895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,2015年03月31日,,,,              2050867,,                202720,,                 50938,,              1579771,,                    471,,              1047935,,                  4062,,              3961114,,                147831,,                115607,              9161316,,,                227303,,                290149,,                647618,,                 67447,,                 75405,                  2245,,                 29764,              1339931,             10501247,,,,,                  1710,,              2855860,,                511415,                197720,,                  9660,              3576365,,,                  9867,,                  1648,,                 68966,                 80481,              3656846,,,,              2724241,              2724241,,,                191225,                 12562,                 12766,                              0,                 47638,                              0,                 32224,                296415,,                980850,,              2979197,              3960047,,,                    494,,                 95687,,                 -8983,                 87198,                131711,              6936190,                -91789,              6844401,             10501247,              0,     12895000,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,2014年12月31日,,,,              2603490,,                202938,,                 54758,,              1593335,,                    646,,              1142661,,                 72344,,              3273524,,                177982,,                 39952,              9161630,,,                146446,,                284329,,                634728,,                 68332,,                104460,                  2577,,                 32412,              1273284,             10434914,,,,,                  1710,,              3139701,,                499945,                174122,,                 10682,              3826160,,,                  9641,,                  6683,,                 68534,                 84858,              3911018,,,,              2719144,              2719144,,,                178325,                 12562,                 12104,                              0,                 50996,                              0,                 32437,                286424,,                980850,,              2749495,              3730345,,,                    564,,                 18650,,                -13586,                  5628,                131711,              6609830,                -85934,              6523896,             10434914,              0,     12895000,,                              0,                              0,              0,              2603490,              1593335,             10434914,,,,                              0,,                  1710,,              3139701,,                499945,                174122,,                 10682,              3826160,,,                  9641,,                  6683,,                 68534,                 84858,              3911018,,,,              2719144,              2719144,,,                178325,                 12562,                 12104,                              0,                 50996,                              0,                 32437,                286424,,                980850,                              0,,              2749495,              3730345,,,                    564,,                 18650,,                -13586,                  5628,                131711,              6609830,                -85934,              6523896
3006,2014年09月30日,,,,              1812467,,                198440,,                 60277,,              1531124,,                    440,,              1203883,,                 76281,,              2735635,,                142974,,                 38467,              7799988,,,                153743,,                284429,,                652764,,                 68921,,                 97386,                  2612,,                 24375,              1284230,              9084218,,,,,                              0,,              2196124,,                569167,                118860,,                 10494,              2894645,,,                  8679,,                  2998,,                 68307,                 79984,              2974629,,,,              2684354,              2684354,,,                 92569,                 11925,                 11148,                              0,                 73197,                              0,                 32505,                221344,,                980850,,              2434144,              3414994,,,                    396,,                 24169,,                -18166,                  6399,                132324,              6194767,                -85178,              6109589,              9084218,              0,     12955000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,2014年06月30日,,,,              2031223,,                159980,,                119939,,              1495730,,                    501,,              1053948,,                 75035,,              2529435,,                 61852,,                  6844,              7534487,,,                146997,,                286579,,                603621,,                 46962,,                128513,                  2554,,                 33066,              1248292,              8782779,,,,,                              0,,              1854946,,                985087,                 97374,,                 15651,              2953058,,,                  8518,,                  2057,,                 67062,                 77637,              3030695,,,,              2667399,              2667399,,,                 25901,                              0,                  9268,,                 79448,,                 57243,                171860,,                980850,,              2118152,              3099002,,,                    257,,                 75511,,                -27818,                 47950,                133294,              5852917,               -100833,              5752084,              8782779,              0,     13050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,2014年03月31日,,,,              1893181,,                125468,,                210175,,              1412193,,                    877,,                849008,,                  3863,,              2351276,,                 42282,,                 72360,              6960683,,,                148868,,                320719,,                627306,,                 47646,,                124074,                  7412,,                  5750,              1281775,              8242458,,,,,                  1395,,              1594523,,                403009,                 83959,,                  3440,              2086326,,,                  8356,,                              0,,                 66249,                 74605,              2160931,,,,              2668379,              2668379,,,                 76521,                              0,                  8807,                 81417,                 68152,                              0,                 58733,                293630,,                913835,,              2209844,              3262707,,,                    403,,                122032,,                -38255,                 84180,                133294,              6175602,                -94075,              6081527,              8242458,              0,     13050000,,                              0,                139028,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3006,2013年12月31日,,,,,,                107346,,                243293,,,,                    801,,                774867,,                 49288,,              2091112,,                 54385,,                  5596,              6593061,,,                149215,,                320578,,                651034,,                 48330,,                140238,                  6442,,                  5264,              1321101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     13050000,,,,              0,              1835937,              1430436,              7914162,,,,                  3500,,                  1395,,              1599700,,                401676,                 47186,,                  5491,              2058948,,,                  8194,,                    645,,                 66626,                 75465,              2134413,,,,              2668519,              2668519,,,                 50620,                              0,                  7279,                 81417,                 56856,                              0,                 84846,                281018,,                913835,                139028,,              1953408,              3006271,,,                    276,,                135552,,                -48315,                 87513,                133294,              5910027,               -130278,              5779749
3006,2013年09月30日,,,,,,                108588,,                275810,,,,                  1034,,                722254,,                 37732,,              1831765,,                 63608,,                 18414,              5889163,,,                147530,,                344212,,                665547,,                 49014,,                 78218,                  2262,,                 11683,              1298466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     13050000,,,,              0,              1332361,              1497597,              7187629,,,,                              0,,                              0,,              1102130,,                311136,                 23090,,                  9792,              1446148,,,                  8033,,                  1618,,                 66431,                 76082,              1522230,,,,              2668939,              2668939,,,                 50620,                              0,                  7004,                 81417,                 45559,                 85485,,                270085,,                913835,                139028,,              1843619,              2896482,,,                     -2,,                150383,,                -57864,                 92517,                133294,              5794729,               -129330,              5665399
3006,2013年06月30日,,,,,,                112710,,                385680,,,,                  1157,,                666508,,                 51703,,              1854508,,                 36443,,                  1402,              6016912,,,                150990,,                369625,,                689548,,                 49698,,                 75155,                  6171,,                  4412,              1345599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,     13050000,,,,              0,              1397025,              1509776,              7362511,,,,                              0,,                              0,,              1303756,,                398995,                 10744,,                  2367,              1715862,,,                  7871,,                  1593,,                 65967,                 75431,              1791293,,,,              2669799,              2669799,,,                 50620,,                  6977,                 81417,                 34264,,                 86792,                260070,,                913835,                139028,,              1702773,              2755636,,,                     55,,                233143,,                -80240,                152958,                133294,              5705169,               -133951,              5571218
