證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 待分配股票股利,　　　 庫藏股票,　　 非控制權益
1309,2015年09月30日,,,,                590474,,                777052,,                247949,,                904819,,              1783856,,                  2852,,                147737,,                  4595,,              1389127,,                116414,,                  1977,              5966852,,,                199286,,                  8985,,                478958,,              2531564,,                108178,,                 24475,                172316,,                 45241,,                  4334,                 49575,              3573337,              9540189,,,,,              2794845,,                199829,,                              0,,                              0,,                747581,,                     13,,                235710,                 27423,                    957,,                  1383,,                 20261,                 20261,              4028002,,,              1240000,,                199777,,                598562,                  9239,                607801,              2047578,              6075580,,,,              3276518,              3276518,,                    473,,                              0,                308061,,               -332418,                -24357,,                211975,              3464609,              3464609,              9540189,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,2015年06月30日,,,,              1103989,,                742651,,                579647,,                959646,,              2117467,,                 19997,,                101530,,                 11742,,              1663438,,                105813,,                  1732,              7407652,,,                185816,,                  8603,,                482603,,              2536374,,                108178,,                 25640,                165939,,                 44540,,                  4104,                 48644,              3561797,             10969449,,,,,              3253651,,                599827,,                              0,,                 13023,,              1133419,,                     14,,                219995,                 26898,                 23896,,                  1601,,                 28219,                 28219,              5300543,,,              1240000,,                195171,,                598816,                  8681,                607497,              2042668,              7343211,,,,              3276518,              3276518,,                    473,,                              0,                308061,,               -151093,                156968,,                192279,              3626238,              3626238,             10969449,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,2015年03月31日,,,,                908370,,,,                584170,,              1276565,,              1545979,,                 14874,,                 63724,,                  4128,,              1513322,,                131126,,                  1260,              6608662,,,                238621,,                  8687,,                489866,,              2573521,,                108178,,                 21156,                182211,,                 45311,,                  4140,                 49451,              3671691,             10280353,,,,,              2565592,,                599849,,                     11,,                 28387,,              1116486,,                    466,,                261939,                 25425,                    957,,                  1664,,                 70396,                 70396,              4671172,,,              1300000,,                195774,,                599100,                  8747,                607847,              2103621,              6774793,,,,              3276518,              3276518,,                    473,,                 97174,                308061,,               -438461,                -33226,,                261795,              3505560,              3505560,             10280353,              0,              0,              0,,                565144,,              1513322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,2014年12月31日,,,,                910720,,                395552,,                508811,,              1513826,,              1977140,,                 36489,,                101260,,                  3748,,              1725667,,                 93891,,                    241,              7267345,,,                257901,,                  8753,,                499837,,              2595052,,                108178,,                 22367,                181859,,                 46344,,                  5141,                 51485,              3725432,             10992777,,,,,              3560145,,                599844,,                    359,,                 47322,,                892572,,                    788,,                238415,                 24732,                    957,,                  2024,,                 39353,                 39353,              5406511,,,              1300000,,                207777,,                599348,                  8567,                607915,              2115692,              7522203,,,,              3276518,              3276518,,                    483,,                 97174,                308061,,               -520659,               -115424,,                308997,              3470574,              3470574,             10992777,              0,              0,              0,,                395552,,              1725667,                910720,                508811,             10992777,,,,              3560145,,                599844,,                    359,,                 47322,,                892572,,                    788,,                238415,                 24732,                    957,,                  2024,,                 39353,                 39353,              5406511,,,              1300000,,                207777,,                599348,                  8567,                607915,              2115692,              7522203,,,,              3276518,              3276518,,                    483,,                 97174,                308061,,               -520659,               -115424,,                308997,              3470574,              3470574,,,,,
1309,2014年09月30日,,,,              1051631,,                677836,,                520743,,              1669178,,              1936540,,                 68737,,                110010,,                  3318,,              2582979,,                282087,,                  2601,              8905660,,,                221135,,                  8520,,                491791,,              2579447,,                108178,,                 23577,                180813,,                 44638,,                  4979,                 49617,              3663078,             12568738,,,,,              4697891,,                599774,,                    178,,                 46279,,                921280,,                    958,,                253217,                 21914,                    957,,                  1667,,                 38920,                 38920,              6583035,,,              1594000,,                190377,,                591565,                  7220,                598785,              2383162,              8966197,,,,              3276518,              3276518,,                    483,,                 97174,                308061,,               -287157,                118078,,                207462,              3602541,              3602541,             12568738,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,2014年06月30日,,,,                486559,,                723697,,                682973,,              1697747,,              2084492,,                              0,,                112466,,                 19249,,              3057384,,                283956,,                    975,              9149498,,,                280996,,                 10665,,                498205,,              2602187,,                108178,,                 24788,                169764,,                 44152,,                 13088,                 57240,              3752023,             12901521,,,,,              5207412,,                599757,,                              0,,                 67372,,                889279,,                    324,,                228173,                 23112,                    957,,                  2387,,                 37901,                 37901,              7056674,,,              1300000,,                183660,,                591968,                  8255,                600223,              2083883,              9140557,,,,              3276518,              3276518,,                    483,,                 97174,                308061,,               -175259,                229976,,                253987,              3760964,              3760964,             12901521,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,2014年03月31日,,,,              1218662,,,,                185463,,              1954549,,              1838543,,                              0,,                 69410,,                  3157,,              3623732,,                332316,,                  1864,              9556558,,,                290147,,                 10780,,                502284,,              2651181,,                108178,,                 25728,                172453,,                 45390,,                  2354,                 47744,              3808495,             13365053,,,,,              5207034,,                499828,,                              0,,                 76115,,              1298127,,                    370,,                248861,                 22363,                    957,,                  1945,,                 43304,                 43304,              7398904,,,              1300000,,                190086,,                592318,                  8906,                601224,              2091310,              9490214,,,,              3276518,              3276518,,                    485,,                 95436,                308061,,                -93683,                309814,,                288022,              3874839,              3874839,             13365053,              0,              0,              0,,                328862,,              3623732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309,2013年12月31日,,,,,,                287133,,,,              2018228,,              1796479,,                              0,,                 85217,,                  3937,,              2779319,,                157848,,                    920,              8636080,,,                304670,,                 10653,,                504896,,              2614121,,                108178,,                  9725,                164406,,                 45134,,                  2588,                 47722,              3764371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1236102,                270897,             12400451,,,,              3682248,,                399831,,                    186,,                 61693,,              2088978,,                  1508,,                232613,                 23797,                    957,,                  2164,,                 25783,                 25783,              6519758,,,              1000000,,                186906,,                593544,                  8050,                601594,              1788500,              8308258,,,,              3276518,              3276518,,                    493,,                 95436,                308061,,                119177,                522674,,                292508,              4092193,              4092193,,,,,
1309,2013年09月30日,,,,,,                523143,,,,              1847718,,              1926839,,                              0,,                 99461,,                  3302,,              2013003,,                329535,,                  1016,              7860622,,,                308795,,                 10609,,                498136,,              2554951,,                108178,,                  9725,                165312,,                 44734,,                  2223,                 46957,              3702663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                828490,                288115,             11563285,,,,              3101994,,                399820,,                    243,,                 98647,,              1365393,,                     53,,                217557,                 21810,                  2873,,                  1805,,                 29074,                 29074,              5239269,,,              1400000,,                180310,,                571728,                  8112,                579840,              2160150,              7399419,,,,              3276518,              3276518,,                    501,,                 95436,                308061,,                216938,                620435,,                266412,              4163866,              4163866,,,,,
1309,2013年06月30日,,,,,,                617853,,,,              1507850,,              1344430,,,,                161603,,                 21623,,              2248536,,                174272,,                  3348,              7064562,,,                298241,,                 16023,,                487311,,              2495214,,                108178,,                  9725,                163005,,                 45490,,                  2572,                 48062,              3625759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                702329,                282718,             10690321,,,,              2747951,,                 99960,,                              0,,                 88854,,              1133566,,                    408,,                237892,                 23903,                  2884,,                  2155,,                 23276,                 23276,              4360849,,,              1400000,,                183571,,                571537,                  6485,                578022,              2161593,              6522442,,,,              3276518,              3276518,,                    542,,                 95436,                308061,,                225053,                628550,,                262269,              4167879,              4167879,,,,,
