證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 一年或一營業週期內到期長期借款,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 無活絡市場之債券投資－流動淨額
9928,2015年09月30日,,,,                210238,,                  5132,,                              0,,                 12809,,                104745,,                 11102,,                  8850,,                 20765,,                187089,,                 49488,                 10652,                 60140,                620870,,,                 23753,,                 35034,,              3526754,,                233554,,                 19255,,                  2085,,                              0,                 21340,              3840435,              4461305,,,,,              1910000,              1910000,,                     52,,                 76161,,                 24192,,                148551,,,                              0,                 56386,                 56386,              2215342,,,                750000,                750000,,                516211,,                 18254,                224422,                 13782,                256458,              1522669,              3738011,,,,              1327246,              1327246,,                  2280,                  2280,,                147522,,               -765115,               -765115,               -617593,,,                 12146,                 12146,                    908,                723171,                    123,                723294,              4461305,              0,              0,         36299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,2015年06月30日,,,,                178231,,                  5430,,,,                  1506,,                106830,,                 17339,,                 29420,,                 20803,,                168153,,                 46376,                 36907,                 83283,                610995,,,                 40441,,                 35034,,              3569507,,                234237,,                 12487,,                  2086,,                              0,                 14573,              3893792,              4504787,,,,,              1850000,              1850000,,                    102,,                 66886,,                 12930,,                159467,,,                              0,                105237,                105237,              2194622,,,                750000,                750000,,                516211,,                 22058,                226084,                 12322,                260464,              1526675,              3721297,,,,              1327246,              1327246,,                  2412,                  2412,,                147522,,               -711621,               -711621,               -564099,,,                 19238,                 19238,                  1433,                783364,                    126,                783490,              4504787,              0,              0,         57299,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,2015年03月31日,,,,                203492,,                  5598,,,,                  6071,,                 67312,,                 10177,,                  4626,,                 17476,,                189494,,                 46526,                 21007,                 67533,                571779,,,                 47976,,                 35034,,              3609568,,                234920,,                 16096,,                  2086,,                  2095,                 20277,              3947775,              4519554,,,,,              1800000,              1800000,,                     77,,                 81738,,                 43729,,                124017,,,                              0,                 66011,                 66011,              2115572,,,                750000,                750000,,                516211,,                 25862,                228260,                 11892,                266014,              1532225,              3647797,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -625881,               -625881,               -478359,,,                 21813,                 21813,                  1482,                871638,                    119,                871757,              4519554,              0,              0,         59299,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,2014年12月31日,,,,                228195,,                  5653,,                              0,,                  4977,,                106061,,                 17548,,                  6576,,                 17258,,                169746,,                 47629,                 12204,                 59833,                615847,,,                 50440,,                 36462,,              3654891,,                235603,,                 13411,,                  2265,,                  2514,                 18190,              3995586,              4611433,,,,,              1700000,              1700000,,                  8215,,                136220,,                 15675,,                165039,,,                750000,                 41079,                791079,              2816228,,,                              0,                              0,,                516211,,                 29667,                230797,                  6938,                267402,                783613,              3599841,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -488306,               -488306,               -340784,,,                 24070,                 24070,                  1482,              1011470,                    122,              1011592,              4611433,              0,              0,         59299,                750000,                228195,              4611433,,,,              1700000,              1700000,,                  8215,,                136220,,                 15675,,                165039,,,                750000,                750000,                 41079,                791079,              2816228,,,                              0,                              0,,                516211,,                 29667,                230797,                  6938,                267402,                783613,              3599841,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -488306,               -488306,               -340784,,,                 24070,                 24070,                  1482,              1011470,                    122,              1011592,
9928,2014年09月30日,,,,                211909,,                  5714,,                              0,,                  7287,,                 88670,,                 15261,,                  7660,,                 34663,,                187182,,                 57227,                 12931,                 70158,                628504,,,                 48665,,                 37311,,              3624314,,                236286,,                  4951,,                  2767,,                  6419,                 14137,              3960713,              4589217,,,,,              1640000,              1640000,,                    128,,                 89199,,                  9862,,                162144,,,                750000,                 77410,                827410,              2728743,,,                              0,                              0,,                516211,,                 33472,                235556,                  7450,                276478,                792689,              3521432,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -430135,               -430135,               -282613,,,                 22088,                 22088,                  1482,              1067659,                    126,              1067785,              4589217,              0,              0,         59299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,2014年06月30日,,,,                228295,,                  5831,,,,                  7189,,                 95279,,                 20879,,                  6154,,                 23259,,                208119,,                 47301,                 11078,                 58379,                653384,,,                 53837,,                 67107,,              3511220,,                236968,,                126109,,                  2783,,                  3536,                132428,              4001560,              4654944,,,,,              1560000,              1560000,,                     60,,                142512,,                 12339,,                182120,,,                750000,                 71635,                821635,              2718666,,,                              0,                              0,,                516211,,                 37277,                238605,                  6848,                282730,                798941,              3517607,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -365864,               -365864,               -218342,,,                 27235,                 27235,                  1482,              1137077,                    260,              1137337,              4654944,              0,              0,         59299,                750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,2014年03月31日,,,,                225025,,                  5901,,,,                  4394,,                135509,,                 13744,,                  6559,,                 27219,,                129706,,                 51219,                  9995,                 61214,                609271,,,                 52282,,                 67159,,              3477707,,                237651,,                153973,,                  3265,,                  3955,                161193,              3995992,              4605263,,,,,              1510000,              1510000,,                    301,,                 94805,,                 24880,,                159000,,,                750000,                 86164,                836164,              2625150,,,                              0,                              0,,                516211,,                 41082,                243813,                  5449,                290344,                806555,              3431705,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -328066,               -328066,               -180544,,,                 25658,                 25658,                  1482,              1173298,                    260,              1173558,              4605263,              0,              0,         59299,                750000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9928,2013年12月31日,,,,,,                 53272,,,,                  1465,,                194492,,                 17392,,                  3223,,                 25189,,                146004,,                 54705,                  8833,                 63538,                742703,,,                 50593,,                 67201,,              3494329,,                238334,,                 71237,,                  3315,,                  4390,                 78942,              3929399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         59299,,                238128,              4672102,,,,              1430000,              1430000,,                  6081,,                166214,,                 31949,,                157767,,,                              0,                              0,                 69874,                 69874,              1861885,,,                750000,                750000,,                516211,,                 44888,                246615,                  6545,                298048,              1564259,              3426144,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -253977,               -253977,               -106455,,,                 23969,                 23969,                  1482,              1245698,                    260,              1245958,                              0
9928,2013年09月30日,,,,,,                 54870,,,,                 10524,,                145402,,                 14832,,                  2431,,                 31426,,                180549,,                 55115,                 10005,                 65120,                750130,,,                 47553,,                 68160,,              3525790,,                239017,,                  9541,,                  3515,,                  4793,                 17849,              3898369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         59299,,                244976,              4648499,,,,              1400000,              1400000,,                  2993,,                119111,,                 26045,,                173198,,,,                              0,                101208,                101208,              1822555,,,                750000,                750000,,                516278,,                 50878,                258484,                  5908,                315270,              1581548,              3404103,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -252503,               -252503,               -104981,,,                 20930,                 20930,                  1482,              1244133,                    263,              1244396,                              0
9928,2013年06月30日,,,,,,                 54760,,,,                 18418,,                145202,,                 15409,,                  3814,,                 27470,,                138754,,                 54006,                  8251,                 62257,                661550,,,                 48814,,                 82312,,              3548481,,                239700,,                 18111,,                  4835,,                  5212,                 28158,              3947465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         59299,,                195466,              4609015,,,,              1400000,              1400000,,                    700,,                 97228,,                  4287,,                154288,,,,                              0,                 83198,                 83198,              1739701,,,                750000,                750000,,                516278,,                261331,                 56870,                  5941,                324142,              1590420,              3330121,,,,              1327246,              1327246,,                  2420,                  2420,,                147522,,               -219268,               -219268,                -71746,,,                 22191,                 22191,                  1482,              1278629,                    265,              1278894,                              0
