證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 預付投資款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 銷貨退回及折讓之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 代收款,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　　 其他無形資產,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 銷貨退回及折讓之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 代收款,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　　 預收款項,　　　　　 預收款項合計,　　　　 預付設備款
1464,2015年09月30日,,,,                383207,,                  2024,,                 25418,,                 75047,,                313778,,                              0,,                969853,,                              0,,                367794,,              2189952,,                 54935,,                100423,              4482431,,,                 50755,,                              0,,              2742815,,                112828,,                 12444,,                 20969,                 33413,                 28313,,                 25646,                539034,                105242,,                264917,                264917,                934839,              3902963,              8385394,,,,,              1996915,,                184885,,                    517,,                103068,,                541509,,                              0,,                517044,                517044,                 47992,                156419,,                  9139,                  9139,,,                              0,,                 52000,                 52000,                 15017,                 52431,                119448,              3676936,,,                291472,,                 78517,                 78517,,                 89627,,                 14251,                153715,                  1747,                169713,                629329,              4306265,,,,              2337762,              2337762,,                272926,,                100586,                 74640,,                639918,                815144,,                 87554,                 13601,              3499785,                579344,              4079129,              8385394,              0,      1114868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2015年06月30日,,,,                432737,,                    689,,                 33308,,                 37357,,                287453,,                              0,,                764918,,                              0,,                350630,,              2029799,,                 45169,,                133183,              4115243,,,                 49450,,                              0,,              2508760,,                112872,,                 12444,,                 20078,                 32522,                 28899,,                 15235,                509034,                104428,,,                335925,                964622,              3697125,              7812368,,,,,              1617940,,                 74925,,                    173,,                114729,,                441720,,                              0,,                437721,                656305,                 84120,                153056,,                  7246,                  7246,,,                              0,,                 52000,                 52000,                 14874,                 49244,                116118,              3266332,,,                307193,,                 91517,                 91517,,                 77624,,                 14206,                154404,                  1927,                170537,                646871,              3913203,,,,              2221585,              2330033,,                262474,,                100586,                 74640,,                549435,                724661,,                 56851,                 13601,              3360418,                538747,              3899165,              7812368,              0,      1114868,                 40382,                 92801,                 20078,                218584,                108448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2015年03月31日,,,,                530157,,                              0,,                 22754,,                 47555,,                218535,,                              0,,                820078,,                              0,,                379880,,              1992260,,                 38319,,                 71272,              4120810,,,                 26766,,                              0,,              2418306,,                115110,,                 12444,,                 20646,                 33090,                 13023,,                 13416,                509034,                105742,,,                227564,                855756,              3462051,              7582861,,,,,              1913722,,                164900,,                    528,,                110193,,                484456,,                              0,,,                491572,                 22630,                104161,,                  6219,                  6219,,,,,                 52000,                 52000,                 19880,                 41767,                113647,              3412028,,,,,                104517,                104517,,                 78283,,                 14625,                156113,                  1655,                172393,                355193,              3767221,,,,              2168960,              2168960,,                150923,,                 17736,                 74640,,                888127,                980503,,                 44628,                 34003,              3311011,                504629,              3815640,              7582861,              0,      2787170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2014年12月31日,,,,                902261,,                    154,,                 22598,,                 45778,,                203729,,                              0,,                906759,,                              0,,                525037,,              1927855,,                 37116,,                 70811,              4642098,,,                 25392,,                              0,,              2471297,,                117741,,                 12444,,                  1350,                 13794,                 17058,,                 13453,                509034,                107431,,                107949,                107949,                737867,              3383149,              8025247,,,,,              2145888,,                164943,,                    889,,                 90867,,                502477,,                              0,,                611259,                611259,                 54568,                 87924,,                  9474,                  9474,,,                              0,,                 44200,                 44200,                178015,                 30260,                252475,              3920764,,,                              0,,                 84367,                 84367,,                 82257,,                 15131,                156781,                  1958,                173870,                340494,              4261258,,,,              2168960,              2168960,,                150923,,                 17736,                 74640,,                828500,                920876,,                 68330,                 34003,              3275086,                488903,              3763989,              8025247,              0,      2787170,                              0,                 70811,                  1350,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2014年09月30日,,,,                538162,,                              0,,                 21988,,                 40135,,                213981,,                  7084,,                610696,,                133311,,                 18637,,              1702637,,                 48953,,                 62116,              3397700,,,                 31412,,                231378,,              2038387,,                116264,,                              0,,                    628,                    628,                  7582,,                 12068,                129369,                206387,,                 81109,                 81109,                428933,              2854584,              6252284,,,,,              1891468,,                149908,,                              0,,                 74770,,                239652,,                 31184,,                308846,                308846,                 16515,                  2190,,                  2681,                  2681,,,                286801,,                 40200,                 40200,                176161,                 35845,                539007,              3256221,,,                              0,,                 78750,                 78750,,                 69198,,                 10758,                131618,                  1789,                144165,                292113,              3548334,,,,              2168960,              2168960,,                144940,,                 17736,                 74640,,                -15649,                 76727,,                 32864,                              0,              2423491,                280459,              2703950,              6252284,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2014年06月30日,,,,                548173,,                              0,,                 23240,,                 39467,,                 72399,,                  2399,,                575731,,                 95730,,                 33682,,              1668731,,                 49738,,                 55803,              3165093,,,                 31710,,                222128,,              1978168,,                116612,,                              0,,                    814,                    814,                  6567,,                 13839,                 49597,                204462,,,                 31283,                299181,              2655180,              5820273,,,,,              1759294,,                119970,,                              0,,                 77566,,                235140,,                 18160,,                287453,                287453,                 12503,                  4434,,                  4557,                  4557,,,                283020,,                 40200,                 40200,                              0,                 30373,                353593,              2872670,,,                              0,,                 88800,                 88800,,                 64044,,                 10832,                132003,                  1773,                144608,                297452,              3170122,,,,              2168960,              2168960,,                144940,,                 17736,                 74640,,                -22814,                 69562,,                  9138,                              0,              2392600,                257551,              2650151,              5820273,              0,              0,                              0,                 55803,                    814,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2014年03月31日,,,,                219654,,                              0,,                 24002,,                 37764,,                 55726,,                  2692,,                574861,,                123708,,                 14530,,              1580245,,                 30128,,                 54571,              2717881,,,                 15595,,                230699,,              1947875,,                119551,,                              0,,                  1032,                  1032,                  6752,,                 11732,                              0,                209662,,,                 39841,                261235,              2582739,              5300620,,,,,              1592879,,                119930,,                              0,,                 71485,,                229474,,                 41778,,,                276269,                 35664,                 12295,,                  4943,                  4943,,,,,                 32000,                 32000,                    464,                 24138,                 56602,              2441319,,,,,                 64000,                 64000,,                 71245,,                 11052,                132771,                  1480,                145303,                280548,              2721867,,,,              2168960,              2168960,,                144940,,                 17736,                 74640,,                -49069,                 43307,,                 46624,                              0,              2403831,                174922,              2578753,              5300620,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1464,2013年12月31日,,,,,,                              0,,                 24952,,,,                 84011,,                  4759,,                637712,,                127245,,                  3830,,              1485816,,                 26712,,                 47742,              2986164,,,                 16435,,                226737,,              1828533,,                120240,,                              0,,,                  1217,                  5596,,                 11705,                              0,                208557,,,                122159,                342421,              2541179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                500341,                 43044,,                  1217,              5527343,,,,              1815538,,                119968,,                              0,,                 73755,,                253885,,                 32391,,                314195,                 19395,                  9650,,                  5071,                  5071,,,                 32000,                 32000,                  3805,                 15520,                 51325,              2695173,,,                 72000,                 72000,,                 66209,,                              0,                133592,                  1499,                135091,                273300,              2968473,,,,              2168960,              2168960,,                144681,,                 17736,                 74640,,                -55637,                 36739,,                 25246,                              0,              2375626,                183244,              2558870,              0,,                              0,,                              0,
1464,2013年09月30日,,,,,,,,                 24945,,,,                 60270,,                 16754,,                557851,,                114839,,                  7075,,              1539912,,                 67851,,                 55558,              2673175,,,                 17413,,                211806,,              1823833,,                120707,,,,,                  1393,                  4448,,                 12142,                              0,                207233,,,                 32162,                251537,              2431137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                185153,                 42967,,                  1393,              5104312,,,,              1501406,,                119923,,,,                 69196,,                227282,,                 30644,,                272307,                  3271,                  6943,,                  3360,                  3360,,,                 32000,                 32000,                  3825,                 16290,                 52115,              2286620,,,                 80000,                 80000,,                 61526,,                              0,                127169,                  1456,                128625,                270151,              2556771,,,,              2168960,              2168960,,                144681,,                 17736,                 74640,,                -28991,                 63385,,                 -4958,,              2372068,                175473,              2547541,              0,,                    173,,                              0,
1464,2013年06月30日,,,,,,,,                 22233,,,,                 67782,,                 15982,,                480640,,                113537,,                 11119,,              1387070,,                 21048,,                 46445,              2388275,,,                  1476,,                210760,,              1838401,,                124107,,,,,                  1604,                  2198,,                 12204,                              0,                210299,,,                 26185,                248688,              2427234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,                179310,                 43109,,                  1604,              4815509,,,,              1189664,,                109952,,,,                106790,,                153133,,                  9932,,                296984,                  3970,                  1906,,                  2386,                  2386,,,                 32000,                 32000,,                 28597,                 60597,              1942186,,,                 88000,                 88000,,                 68602,,                              0,                127786,                  1593,                129379,                285981,              2228167,,,,              2168960,              2168960,,                144681,,                 17736,                 74640,,                 -5307,                 87069,,                  8783,,              2409493,                177849,              2587342,              0,,                  6872,,                              0,
