證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 短期借款,　　　　 短期借款合計
1213,2015年09月30日,,,,                204762,,                    335,,                258867,,                    138,,                 24555,,                  4893,                493550,,,                308112,                  2673,,                 94511,                405296,                898846,,,,,                              0,,                 35243,,                 92594,,                  8067,,                 27290,                  5559,,                    608,                169361,,,                 31368,,                  6283,                 37651,                207012,,,,                514751,                514751,,,                 21938,                 21938,,                 15725,                 36358,,                103368,                155451,,,                   -306,                   -306,                691834,                691834,                898846,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,2015年06月30日,,,,                239638,,,,                157440,,                    173,,                 28791,,                  3965,                430007,,,                308623,                  2910,,                 94737,                406270,                836277,,,,,,,                 25462,,                 61014,,                  6704,,                 27907,                  3405,,                    336,                124828,,,                 31078,,                  6792,                 37870,                162698,,,,                514751,                514751,,,                 21938,                 21938,,                 15725,                 36358,,                 85109,                137192,,,                   -302,                   -302,                673579,                673579,                836277,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,2015年03月31日,,,,                203439,,,,                181274,,                    172,,                 34387,,                  2566,                421838,,,                310254,                  3070,,                108753,                422077,                843915,,,,,                              0,,                 39421,,                 57011,,                  6187,,                 24320,                  4057,,                  1683,                132679,,,                 31177,,                  6724,                 37901,                170580,,,,                514751,                514751,,,                 21938,                 21938,,                 14574,                 36369,,                 86002,                136945,,,                   -299,                   -299,                673335,                673335,                843915,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,2014年12月31日,,,,                212693,,                              0,,                128319,,                  1326,,                 33522,,                  3283,                379143,,,                309353,                  3148,,                113825,                426326,                805469,,,,,                              0,,                 28669,,                 40812,,                  5306,,                 27799,                  1789,,                    981,                105356,,,                 31253,,                  6591,                 37844,                143200,,,,                514751,                514751,,,                 21938,                 21938,,                 14574,                 36369,,                 74933,                125876,,,                   -296,                   -296,                662269,                662269,                805469,              0,              0,              0,                212693,                805469,,,,                 28669,,                 40812,,                  5306,,                 27799,                  1789,,                    981,                105356,,,                 31253,,                  6591,                 37844,                143200,,,,                514751,                514751,,,                 21938,                 21938,,                 14574,                 36369,,                 74933,                125876,,,                   -296,                   -296,                662269,                662269,,
1213,2014年09月30日,,,,                173203,,                              0,,                241928,,                    989,,                 30802,,                  5182,                452104,,,                307461,                  2783,,                117598,                427842,                879946,,,,,                 10000,,                 44632,,                 83534,,                  9493,,                 20578,                  3108,,                    757,                172102,,,                 31047,,                  6715,                 37762,                209864,,,,                514751,                514751,,,                 21938,                 21938,,                 14574,                 36369,,                 81741,                132684,,,                    709,                    709,                670082,                670082,                879946,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,2014年06月30日,,,,                190197,,,,                150739,,                  2775,,                 27608,,                  5072,                376391,,,                309596,                  3152,,                115695,                428443,                804834,,,,,,,                 19633,,                 64238,,                  7772,,                 18718,                  2050,,                    649,                113060,,,                 30872,,                  6639,                 37511,                150571,,,,                514751,                514751,,,                 21938,                 21938,,                 14574,                 36369,,                 66941,                117884,,,                   -310,                   -310,                654263,                654263,                804834,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,2014年03月31日,,,,                173718,,,,                161580,,                  5078,,                 29749,,                  4307,                374432,,,                311925,                  3627,,                117676,                433228,                807660,,,,,                 10000,,                 32613,,                 44951,,                  6533,,                 15440,                  5605,,                    481,                115623,,,                 31000,,                  6505,                 37505,                153128,,,,                514751,                514751,,,                 21938,                 21938,,                 12931,                 38015,,                 67201,                118147,,,                   -304,                   -304,                654532,                654532,                807660,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,2013年12月31日,,,,,,                  1080,,                120354,,                  1786,,                 41143,,                  5937,                353774,,,                312988,                  4055,,                136026,                453069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                183474,                806843,,,,                 25620,,                 52649,,                  6308,,                 29580,                  3213,,                  1090,                118460,,,                 31032,,                  6602,                 37634,                156094,,,,                514751,                514751,,,                 21938,                 21938,,                 12931,                 38015,,                 63421,                114367,,,                   -307,                   -307,                650749,                650749,,                              0
1213,2013年09月30日,,,,,,                              0,,                251992,,                  1262,,                 25336,,                  3611,                442542,,,                311238,                  3974,,                120643,                435855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                160341,                878397,,,,                 43739,,                 89686,,                  9365,,                 24789,                  4386,,                    327,                182292,,,                 30839,,                  6268,                 37107,                219399,,,,                514751,                514751,,,                 21938,                 21938,,                 12931,                 38015,,                 71694,                122640,,,                   -331,                   -331,                658998,                658998,,                 10000
1213,2013年06月30日,,,,,,                              0,,                152780,,                  7293,,                 25293,,                  3312,                381029,,,                312896,                  4096,,                119119,                436111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                192351,                817140,,,,                 28833,,                 66023,,                  7445,,                 36561,                    830,,                  2394,                142086,,,                 30839,,                  6218,                 37057,                179143,,,,                514751,                514751,,,                 21938,                 21938,,                 12931,                 38015,,                 50675,                101621,,,                   -313,                   -313,                637997,                637997,,
