證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　　 待分配股票股利,　　　 負債準備-非流動,　　　　 負債準備－非流動合計
2462,2015年09月30日,,,,                656907,,                 28048,,                  2392,,                 90730,,              1683453,,                 17158,,                489202,,                 32559,,                  1662,              3002111,,,                 89284,,                229789,,                364589,,                116266,,                  3545,                 10083,,                351646,              1165202,              4167313,,,,,                590197,,                  1727,,                  1525,,                729453,,                277619,                 17711,,                 80249,              1698481,,,                              0,,                 28000,,                161314,,                131417,                320731,              2019212,,,,              1053374,                              0,              1053374,,,                152549,                  1619,                154168,,                264397,                 48914,,                532881,                846192,,,                 97220,,                 -2853,                 94367,              2148101,              2148101,              4167313,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,2015年06月30日,,,,                730313,,                 27803,,                  2787,,                 72738,,              1537858,,                 16326,,                446191,,                 56297,,                  1639,              2891952,,,                 89284,,                213439,,                323569,,                116682,,                  3621,                 11669,,                228148,                986412,              3878364,,,,,                432957,,                  1790,,                  2270,,                625109,,                392761,                 26297,,                101484,              1582668,,,,,                 18000,,                141951,,                123358,                283309,              1865977,,,,              1053374,,              1053374,,,                151675,                  2493,                154168,,                264397,                 48914,,                446627,                759938,,,                 47364,,                 -2457,                 44907,              2012387,              2012387,              3878364,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,2015年03月31日,,,,                767606,,                 34972,,                  3454,,                  9857,,              1686061,,                 12593,,                497737,,                 39241,,                    284,              3051805,,,                 89947,,                215601,,                331766,,                117099,,                  3912,                 11146,,                215557,                985028,              4036833,,,,,                437704,,                  1017,,                  3402,,                764167,,                274054,                 27789,,                130619,              1638752,,,                              0,,,,                146953,,                109172,                256125,              1894877,,,,              1053374,,              1053374,,,                214524,                  2847,                217371,,                249294,                 49726,,                511041,                810061,,,                 62940,,                 -1790,                 61150,              2141956,              2141956,              4036833,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,2014年12月31日,,,,                671192,,                 32603,,                  4083,,                  8900,,              1886236,,                 10491,,                477999,,                 46459,,                    602,              3138565,,,                 89947,,                218330,,                340066,,                117204,,                  2918,                 10143,,                214438,                993046,              4131611,,,,,                444524,,                    876,,                  4560,,                860777,,                285917,                 21842,,                125047,              1743543,,,                              0,,                              0,,                153063,,                110732,                263795,              2007338,,,,              1053374,                              0,              1053374,,,                214524,                  2847,                217371,,                249294,                 49726,,                476548,                775568,,,                 79121,,                 -1161,                 77960,              2124273,              2124273,              4131611,              0,              0,              0,                671192,              4131611,,,,                444524,,                    876,,                  4560,,                860777,,                285917,                 21842,,                125047,              1743543,,,                              0,,                153063,,                110732,                263795,              2007338,,,,              1053374,              1053374,,,                214524,                  2847,                217371,,                249294,                 49726,,                476548,                775568,,,                 79121,,                 -1161,                 77960,              2124273,              2124273,,,,,,,
2462,2014年09月30日,,,,                663548,,                 31732,,                  2075,,                  6838,,              1787123,,                 10185,,                489559,,                 65918,,                    217,              3057195,,,                 95897,,                211106,,                330722,,                117607,,                  4230,                  9385,,                219185,                988132,              4045327,,,,,                337124,,                    685,,                  2384,,                852092,,                435013,                 12152,,                102750,              1742200,,,                              0,,                              0,,                146923,,                107132,                254055,              1996255,,,,              1003333,                 50041,              1053374,,,                214524,                  2847,                217371,,                249294,                 49726,,                456036,                755056,,,                 26439,,                 -3168,                 23271,              2049072,              2049072,              4045327,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,2014年06月30日,,,,                831788,,                 37753,,                  2408,,                  5946,,              1583255,,                 13432,,                436169,,                 82017,,                    284,              2993052,,,                 95897,,                207200,,                331596,,                117825,,                  4038,                 11947,,                106641,                875144,              3868196,,,,,                370171,,                    421,,                  2956,,                735321,,                418698,                 20077,,                110340,              1657984,,,,,                              0,,                137611,,                105010,                242621,              1900605,,,,              1001517,,              1001517,,,                211607,                  3072,                214679,,                249294,                 49726,,                454095,                753115,,,                  1115,,                 -2835,                 -1720,              1967591,              1967591,              3868196,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,2014年03月31日,,,,                980274,,                 54074,,                  2567,,                  2163,,              1584311,,                  4819,,                446767,,                 81685,,                    623,              3157283,,,                 96173,,                213430,,                342875,,                118221,,                  3272,                 10477,,                 32346,                816794,              3974077,,,,,                416874,,                  1412,,                    964,,                763384,,                275897,                 27876,,                 53670,              1540077,,,                135816,,,,                147858,,                106292,                389966,              1930043,,,,                970376,,                970376,,,                161804,                  7346,                169150,,                230041,                 72381,,                578693,                881115,,,                 26070,,                 -2677,                 23393,              2044034,              2044034,              3974077,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,2013年12月31日,,,,,,                 43425,,                  3271,,                  4814,,              1754786,,                  5145,,                436589,,                 21413,,                  1336,              3093848,,,                 96420,,                213562,,                350762,,                118617,,                  2008,                  9603,,                 31868,                822840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                823069,              3916688,,,,                430615,,                  7025,,                  1888,,                841050,,                311527,                 26693,,                 53286,              1672084,,,                371321,,                141436,,                  8034,                520791,              2192875,,,,                872809,                872809,,,                  7095,                 20324,                 27419,,                230041,                 72381,,                511596,                814018,,,                 11540,,                 -1973,                  9567,              1723813,              1723813,,                              0,,                              0,                              0,,
2462,2013年09月30日,,,,,,                 45545,,                  3321,,                  3820,,              1637734,,                 17895,,                430382,,                 18780,,                  2570,              2848365,,,                 97133,,                208648,,                349497,,                119170,,                  3013,                 11066,,                 30619,                819146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                688318,              3667511,,,,                356500,,                 10309,,                  2593,,                786889,,                304912,                  7915,,                 28667,              1508068,,,                369575,,                133071,,                 12447,                515093,              2023161,,,,                872809,                872809,,,                  7095,                 20324,                 27419,,                230041,                 72381,,                449500,                751922,,,                 -5877,,                 -1923,                 -7800,              1644350,              1644350,,                    283,,                 10000,                              0,,
2462,2013年06月30日,,,,,,                 39755,,                  2108,,                  8709,,              1587824,,                 13017,,                410331,,                 75068,,                  2396,              2689352,,,                 97230,,                209463,,                362281,,                119513,,                  3022,                  9914,,                 30932,                832355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                550144,              3521707,,,,                 90000,,                  9064,,                  3375,,                749108,,                503642,                 27662,,                 21204,              1417872,,,                367841,,                132773,,                 12428,                513042,              1930914,,,,                872809,                872809,,,                  7095,                 20324,                 27419,,                230041,                 72381,,                385009,                687431,,,                  6269,,                 -3135,                  3134,              1590793,              1590793,,                  3817,,                 10000,,,
