證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額
6141,2015年09月30日,,,,                161264,,                    139,,                 16776,,                954461,,                  2591,,                 66085,,                231859,,                 14147,,                520543,              1967865,,,                 10356,,              2556584,,                  1229,                 18668,,                 71139,              2657976,              4625841,,,,,              1127197,,                              0,,                  6129,,                461374,,                374680,                  8570,,                254769,              2232719,,,                219555,,                  1321,,                 44492,                265368,              2498087,,,,              1330645,              1330645,,,                265278,                  2560,                  2367,                 21533,                291738,,                324914,                157505,,                -95992,                386427,,,                144012,                144012,                 26152,              2126670,                  1084,              2127754,              4625841,              0,              0,      2779000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141,2015年03月31日,,,,                280629,,                    186,,                 16598,,                979535,,,,                 72378,,                262404,,                 10188,,                653026,              2274944,,,,,              2617314,,                  1147,                 18592,,                 61209,              2698262,              4973206,,,,,              1088080,,                149944,,                116260,,                417954,,                410040,                 29889,,                142001,              2354168,,,                265674,,                 25644,,                 12708,                304026,              2658194,,,,              1330645,              1330645,,,                278494,                  2560,                  2367,                 21533,                304954,,                323554,                157505,,                115419,                596478,,,                 92126,                 92126,                 10511,              2313692,                  1320,              2315012,              4973206,              0,              0,        900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141,2014年12月31日,,,,                199885,,                    165,,                 32602,,              1185481,,                              0,,                 53238,,                280253,,                  9502,,                725307,              2486433,,,                              0,,              2700225,,                  1323,                 13015,,                 53193,              2767756,              5254189,,,,,              1026232,,                149955,,                146482,,                516264,,                421751,                 25627,,                158681,              2444992,,,                331078,,                 46605,,                 12579,                390262,              2835254,,,,              1330645,              1330645,,,                278494,                  2560,                  2367,                 21533,                304954,,                323554,                157505,,                196478,                677537,,,                114850,                114850,                 10511,              2417475,                  1460,              2418935,              5254189,              0,              0,        900000,                199885,              5254189,,,,              1026232,,                149955,,                146482,,                516264,,                421751,                 25627,,                158681,              2444992,,,                331078,,                 46605,,                 12579,                390262,              2835254,,,,              1330645,              1330645,,,                278494,                  2560,                  2367,                 21533,                304954,,                323554,                157505,,                196478,                677537,,,                114850,                114850,                 10511,              2417475,                  1460,              2418935,
6141,2014年09月30日,,,,                196021,,                    169,,                 30625,,              1172408,,                              0,,                 39622,,                292699,,                 13036,,                822253,              2566833,,,                              0,,              2680483,,                  1535,                 12632,,                 51326,              2745976,              5312809,,,,,              1194856,,                 99983,,                149462,,                489989,,                424635,                 12619,,                194070,              2565614,,,                319174,,                 54562,,                 12304,                386040,              2951654,,,,              1330645,              1330645,,,                278494,                  2560,                  2367,                 21533,                304954,,                323554,                157505,,                195263,                676322,,,                 47762,                 47762,                              0,              2359683,                  1472,              2361155,              5312809,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141,2014年06月30日,,,,,,                    306,,                 30257,,              1005657,,,,                 39530,,                256411,,                 13016,,                728673,              2405622,,,,,              2689457,,                  1645,                 12552,,                 49171,              2752825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                331772,              5158447,,,,              1213888,,                 99976,,                 94126,,                443942,,                508844,                 14948,,                196463,              2572187,,,                235112,,                 55107,,                 13840,                304059,              2876246,,,,              1330645,              1330645,,,                278494,                  2560,                  2367,                 21533,                304954,,                323554,                157505,,                173612,                654671,,,                 -9512,                 -9512,                              0,              2280758,                  1443,              2282201,
6141,2014年03月31日,,,,                330396,,                    166,,                 30765,,                990975,,,,                 47971,,                284357,,                 12144,,                704518,              2401292,,,,,              2813168,,                  1852,                 12733,,                 51065,              2878818,              5280110,,,,,              1165561,,                 79976,,                 13761,,                481160,,                413096,                 29299,,                301719,              2484572,,,                295710,,                 61534,,                 14122,                371366,              2855938,,,,              1342905,              1342905,,,                281061,                    801,                  2367,                 21731,                305960,,                323554,                248836,,                184882,                757272,,,                 29799,                 29799,                 13266,              2422670,                  1502,              2424172,              5280110,              0,              0,      1226000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6141,2013年12月31日,,,,,,                    144,,                 18510,,              1084206,,,,                 47296,,                272266,,                 10104,,                579432,              2432008,,,,,              2849272,,                  1263,                 11387,,                 52003,              2913925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        802000,                420050,              5345933,,,,              1169497,,                149978,,                 29675,,                536143,,                375093,                 32162,,                293161,              2585709,,,                231499,,                 70340,,                 15799,                317638,              2903347,,,,              1342905,              1342905,,,                281061,                    801,                  2367,                 21731,                305960,,                323554,                248836,,                198606,                770996,,,                 29424,                 29424,                  8253,              2441032,                  1554,              2442586,
6141,2013年09月30日,,,,,,                    156,,                 17397,,                969480,,,,                 62766,,                328561,,                 29384,,                419053,              2266147,,,,,              2878412,,                  1432,                 11553,,                 51747,              2943144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                439350,              5209291,,,,              1077306,,                 89975,,                 53853,,                480181,,                454482,                 14154,,                418219,              2588170,,,                138312,,                 71248,,                 16853,                226413,              2814583,,,,              1342905,              1342905,,,                281061,                    801,                  2367,                 21731,                305960,,                323554,                248836,,                180864,                753254,,,                 -8963,                 -8963,                              0,              2393156,                  1552,              2394708,
6141,2013年06月30日,,,,,,                    156,,                 19565,,                959005,,,,                 66134,,                333885,,                 24768,,                461981,              2375976,,,,,              2970029,,                  1609,                 11392,,                 51735,              3034765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                510482,              5410741,,,,                900375,,                 89962,,                 32687,,                501208,,                489746,                 10117,,                485220,              2509315,,,                245666,,                 81234,,                 17078,                343978,              2853293,,,,              1342905,              1342905,,,                281061,                    801,                  4730,                 21731,                308323,,                323554,                248836,,                212527,                784917,,,                 18564,                 18564,                              0,              2454709,                102739,              2557448,
6141,2013年03月31日,,,,,,                    162,,                  8518,,                790976,,,,                 80249,,                362729,,                 25337,,                507035,              2300930,,,,,              2985440,,                  1800,                 11162,,                 51130,              3049532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1159000,                525924,              5350462,,,,                876631,,                129925,,                 21508,,                441258,,                415561,                  7837,,                285170,              2177890,,,                447860,,                 89915,,                 16678,                554453,              2732343,,,,              1354495,              1354495,,,                283486,                              0,                              0,                 21919,                305405,,                320810,                248836,,                298887,                868533,,,                -17999,                -17999,                 13402,              2497032,                121087,              2618119,
