證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－其他,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款合計,　　　　 遞延所得稅負債－其他,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他
3679,2015年09月30日,,,,              2363706,,              1132305,              1132305,,              1575239,,                  6258,,,                490909,                490909,,                 56346,              5624763,,,              1667061,                 21187,,                 89540,,                 47574,                137114,              1825362,              7450125,,,,,                364155,                364155,,                640678,                640678,,                              0,                              0,,,                512395,                353614,                866009,              1870842,,,                150000,                150000,,                635165,                635165,                785165,              2656007,,,,                802653,                802653,,              1396350,,                342453,                              0,,              1905960,              2248413,,,                403336,                403336,                403336,                 56634,              4794118,                              0,              4794118,              7450125,              0,              0,        962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,2015年06月30日,,,,              3048298,,                700655,                700655,,              1215589,,                  4755,,,                480958,                480958,,                 66883,              5517138,,,              1581473,                 26049,,                 85395,,                 45431,                130826,              1738348,              7255486,,,,,                393170,                393170,,                612217,                612217,,                277562,                277562,,,                174789,                307719,                482508,              1765457,,,                500000,                500000,,                529584,                529584,              1029584,              2795041,,,,                802653,                802653,,              1396350,,                342453,                              0,,              1767368,              2109821,,,                208255,                208255,                208255,                 56634,              4460445,                              0,              4460445,              7255486,              0,              0,        962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,2015年03月31日,,,,              3043680,,,                899621,,                925012,,                  9085,,,                426041,                426041,,                 56720,              5360159,,,              1543819,                 14229,,                 87162,,                 59903,                147065,              1705113,              7065272,,,,,                303450,                303450,,                529924,                529924,,,,,,                 37184,                249996,                287180,              1120554,,,                650000,                650000,,                540351,                540351,              1190351,              2310905,,,,                802653,                802653,,              1436002,,                313331,                              0,,              1985975,              2299306,,,                273040,                273040,                273040,                 56634,              4754367,                              0,              4754367,              7065272,              0,              0,        962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,2014年12月31日,,,,              3146671,,                702763,                702763,,              1250208,,                  9148,,,                377037,                377037,,                 47923,              5533750,,,              1559478,                  9885,,                 88647,,                 29879,                118526,              1687889,              7221639,,,,,                305725,                305725,,                551554,                551554,,                              0,                              0,,,                 49578,                316432,                366010,              1223289,,,                650000,                650000,,                554221,                554221,              1204221,              2427510,,,,                802653,                802653,,              1436002,,                313331,                              0,,              1979641,              2292972,,,                319136,                319136,                319136,                 56634,              4794129,                              0,              4794129,              7221639,              0,              0,        962000,              3146671,              7221639,,,,                305725,                305725,,                551554,,,                 49578,                 49578,                316432,                366010,              1223289,,,                650000,                650000,,                554221,              1204221,              2427510,,,,                802653,                802653,,              1436002,,                313331,                              0,,              1979641,              1979641,              2292972,,,                319136,                319136,                319136,                 56634,              4794129,                              0,              4794129,,,,,,,,,
3679,2014年09月30日,,,,              3637253,,                              0,                              0,,              1204256,,                  7851,,,                398917,                398917,,                 44806,              5293083,,,              1540674,                 10481,,                 86023,,                 32632,                118655,              1669810,              6962893,,,,,                297730,                297730,,                598932,                598932,,                              0,                              0,,,                 49578,                312678,                362256,              1258918,,,                662395,                662395,,                486337,                486337,              1148732,              2407650,,,,                802653,                802653,,              1436002,,                313331,                              0,,              1889257,              2202588,,,                170634,                170634,                170634,                 56634,              4555243,                              0,              4555243,              6962893,              0,              0,        962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,2014年06月30日,,,,              3572725,,                              0,                              0,,              1022849,,                  8420,,,                341894,                341894,,                 51959,              4997847,,,              1561879,                 14997,,                 84739,,                 32681,                117420,              1694296,              6692143,,,,,                244123,                244123,,                421825,                421825,,                237910,                237910,,,                249578,                303189,                552767,              1456625,,,                424789,                424789,,                441976,                441976,                866765,              2323390,,,,                802653,                802653,,              1436002,,                313331,                              0,,              1803753,              2117084,,,                 69648,                 69648,                 69648,                 56634,              4368753,                              0,              4368753,              6692143,              0,              0,        962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,2014年03月31日,,,,              3752749,,,                              0,,                869229,,                  9184,,,                353517,                353517,,                 37388,              5022067,,,              1609559,                 11681,,                 86923,,                 35524,                122447,              1743687,              6765754,,,,,                308995,                308995,,                412138,                412138,,,,,,                 49578,                279742,                329320,              1050453,,,                637184,                637184,,                452396,                452396,              1089580,              2140033,,,,                802653,                802653,,              1436002,,                285186,                 49515,,              1962390,              2297091,,,                146609,                146609,                146609,                 56634,              4625721,                              0,              4625721,              6765754,              0,              0,        962000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,2013年12月31日,,,,,,,                              0,,              1340211,,                  5188,,,                360524,                360524,,                 34911,              5246231,,,              1619780,                  9588,,                 86478,,                 40432,                126910,              1756278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1861000,              3505397,              7002509,,,,                228830,                228830,,                612510,,,                124091,                124091,                340186,                464277,              1305617,,,                699578,                699578,,                434218,              1133796,              2439413,,,,                811643,                811643,,              1452085,,                285186,                 49515,,              1918420,              1918420,              2253121,,,                141413,                141413,                141413,                 95166,              4563096,                              0,              4563096,,,,,,,,,
3679,2013年09月30日,,,,,,,,,              1415364,,                  4331,,,                422684,                422684,,                 41937,              5164015,,,              1625869,                  8592,,                 85967,,                 40456,                126423,              1760884,,,,,,,,                619383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        962000,              3279699,              6924899,,,,                256990,                256990,,                619383,,,,                 49578,                327738,                377316,              1253689,,,                815468,                815468,,                408024,              1223492,              2477181,,,,                811643,                811643,,              1452085,,                285186,                 49515,,,              1828874,              2163575,,,                 77048,                 77048,                 77048,                 56633,              4447718,                              0,              4447718,,                              0,                              0,                408024,,                              0,                              0,,
3679,2013年06月30日,,,,,,,,,              1350453,,                  6055,,,                428522,                428522,,                 40130,              5090356,,,              1681115,                  7426,,                 87635,,                 44738,                132373,              1820914,,,,,,,,                483393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        962000,              3265196,              6911270,,,,                320000,                320000,,                483393,,,,                 59578,                326879,                386457,              1433342,,,                689367,                689367,,                409510,              1098877,              2532219,,,,                811643,                811643,,              1452085,,                285186,                 49515,,,              1713016,              2047717,,,                124239,                124239,                124239,                 56633,              4379051,                              0,              4379051,,                243492,                243492,                409510,,,,,
