證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1762,2015年09月30日,,,,                159931,,                    874,,                123025,,                  2384,,                 21690,,                458374,,                  3470,,                              0,                769748,,,                 85981,,                 33476,,              1807751,,                 10700,,                  1130,                 21106,,                  4319,              1964463,              2734211,,,,,                215000,,                189737,,                  1035,,                 64122,,                 91850,                  8141,,,                              0,                  1469,                  1469,                571354,,,                130000,,                242048,,                    266,                372314,                943668,,,,                775600,                775600,,,                333746,                    577,                334323,,                 90478,                183296,,                394945,                668719,,,                  1115,,                -17444,                -16329,              1762313,                 28230,              1790543,              2734211,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,2015年06月30日,,,,                171450,,                    614,,                144715,,                    776,,                 17126,,                418437,,                  5587,,                              0,                758705,,,                 97043,,                 18476,,              1810801,,                 10700,,                  1045,                 20271,,                  2294,              1960630,              2719335,,,,,                205000,,                189810,,                  1710,,                 69342,,                125366,                  3551,,,                              0,                  3199,                  3199,                597978,,,                110000,,                240952,,                  1912,                352864,                950842,,,,                775600,                775600,,,                333746,                    577,                334323,,                 90478,                183296,,                362927,                636701,,,                     91,,                 -6382,                 -6291,              1740333,                 28160,              1768493,              2719335,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,2015年03月31日,,,,                156020,,                  1275,,                184418,,                  1645,,                 20278,,                445287,,                  4484,,                              0,                813407,,,                102574,,                 18476,,              1807688,,                 10700,,                  1118,                 20430,,                  1296,              1962282,              2775689,,,,,                315000,,                219696,,                              0,,                114459,,                 80003,                  1425,,,                              0,                  4026,                  4026,                734609,,,                              0,,                240266,,                  1014,                241280,                975889,,,,                775600,                775600,,,                333746,                    577,                334323,,                 89019,                183296,,                389987,                662302,,,                    286,,                   -851,                   -565,              1771660,                 28140,              1799800,              2775689,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,2014年12月31日,,,,                221456,,                  1445,,                101438,,                 12395,,                 15105,,                438321,,                    673,,                446162,              1236995,,,                102574,,                 24838,,              1815786,,                 10700,,                  1452,                 13822,,                  1296,              1970468,              3207463,,,,,                220000,,                189795,,                    893,,                 88410,,                 86784,                 17194,,,                 90000,                  3018,                 93018,                696094,,,                650000,,                242229,,                  3214,                895443,              1591537,,,,                775600,                775600,,,                333746,                    577,                334323,,                 89019,                183296,,                189322,                461637,,,                    426,,                   -851,                   -425,              1571135,                 44791,              1615926,              3207463,              0,              0,              0,                221456,              3207463,,,,                220000,,                189795,,                    893,,                 88410,,                 86784,                 17194,,,                 90000,                  3018,                 93018,                696094,,,                650000,,                242229,,                  3214,                895443,              1591537,,,,                775600,                775600,,,                333746,                    577,                334323,,                 89019,                183296,,                189322,                461637,,,                    426,,                   -851,                   -425,              1571135,                 44791,              1615926
1762,2014年09月30日,,,,                153516,,                  3690,,                 89135,,                  6126,,                 23580,,                470277,,                  3840,,                              0,                750164,,,                106597,,                 24838,,              2249643,,                 10700,,                  1787,                 17056,,                  1293,              2411914,              3162078,,,,,                820000,,                159738,,                  2339,,                 78502,,                 87544,                              0,,,                100000,                  7093,                107093,              1255216,,,                 40000,,                241168,,                  4494,                285662,              1540878,,,,                775600,                775600,,,                333746,                    577,                334323,,                 89019,                183296,,                191314,                463629,,,                    -76,,                  3172,                  3096,              1576648,                 44552,              1621200,              3162078,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,2014年06月30日,,,,                212000,,                  3871,,                 44184,,                  5759,,                  9569,,                414717,,                  9347,,                              0,                699447,,,                117407,,                  9838,,              2237989,,                 10700,,                  1775,                 16365,,                  1291,              2395365,              3094812,,,,,                145000,,                 89898,,                  1710,,                 70139,,                162110,                  5839,,,                100000,                  6799,                106799,                581495,,,                610000,,                241243,,                  8490,                859733,              1441228,,,,                775600,                775600,,,                333746,                    577,                334323,,                 89019,                183296,,                213010,                485325,,,                   -236,,                 13982,                 13746,              1608994,                 44590,              1653584,              3094812,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,2014年03月31日,,,,                197625,,                  3035,,                 94592,,                  5018,,                 10709,,                391967,,                  6104,,                              0,                709050,,,                118664,,                  9838,,              2229846,,                 10700,,                              0,                 21545,,                  1293,              2391886,              3100936,,,,,                655000,,                 89978,,                              0,,                 84881,,                 84390,                  5427,,,                112500,                      4,                112504,              1032180,,,                 90000,,                241992,,                 12364,                344356,              1376536,,,,                775600,                775600,,,                333746,                    577,                334323,,                 79337,                183296,,                276168,                538801,,,                    513,,                 15239,                 15752,              1664476,                 59924,              1724400,              3100936,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,2013年12月31日,,,,,,                  1374,,                103048,,                  2057,,                  6559,,                340243,,                  2605,,                              0,                667371,,,                117909,,                  9838,,              2210931,,                 10700,,                              0,                 21221,,                  2185,              2372784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                211485,              3040155,,,,                175000,,                 69916,,                    315,,                 58784,,                 87910,                  3360,,,                125000,                 10860,                135860,                531145,,,                540000,,                241736,,                 16256,                797992,              1329137,,,,                775600,                775600,,,                333746,                    577,                334323,,                 79337,                183296,,                264356,                526989,,,                   -277,,                 14484,                 14207,              1651119,                 59899,              1711018
1762,2013年09月30日,,,,,,                  3921,,                 74079,,                  3143,,                  7685,,                389412,,                  7639,,,                683353,,,                120172,,                              0,,              2204758,,                 10700,,                              0,                 17375,,                  3604,              2356609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                197474,              3039962,,,,                355000,,                 69964,,                  1668,,                 60677,,                 93069,                    720,,,                 87500,                  9261,                 96761,                677859,,,                390000,,                241250,,                 20836,                652086,              1329945,,,,                775600,                775600,,,                333746,                    577,                334323,,                 79337,                183296,,                261202,                523835,,,                   -370,,                 16747,                 16377,              1650135,                 59882,              1710017
1762,2013年06月30日,,,,,,                  3706,,                119734,,                  3536,,                 11326,,                378996,,                  2756,,,                709943,,,                100060,,                              0,,              2188025,,                 10700,,                              0,                 18569,,                  3639,              2320993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                189889,              3030936,,,,                225000,,                 69907,,                              0,,                 56569,,                212384,                 14673,,,                100000,                  6049,                106049,                684582,,,                390000,,                241547,,                 24331,                655878,              1340460,,,,                775600,                775600,,,                333746,                    577,                334323,,                 79337,                183296,,                254369,                517002,,,                   -214,,                 -3365,                 -3579,              1623346,                 67130,              1690476
