證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫存現金,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 資本公積－普通股股票溢價,　　　　 資本公積－認股權,　　　　 資本公積－庫藏股票交易,　　　　 法定盈餘公積,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　 共同控制下前手權益,　　 非控制權益,　　　 庫藏股票
3308,2015年09月30日,,,,              1257805,,                 38354,,                 75847,,                397467,,                  4518,,                  1233,,,                179022,,                216937,                395959,,                    749,                    749,,                 15366,,                 24856,              2212154,,,                589302,,                    229,                  2464,,                    913,                  4246,                 26396,,                  2641,                 34196,                626191,              2838345,,,,,                442720,,                 69963,,                      2,,                536182,,                149092,                149092,                    220,,,                 37067,                 37067,                 20774,                 57841,              1256020,,,                388300,,                 13562,,                    334,                    334,                402196,              1658216,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -127040,               -104680,,,                 35578,                 35578,                  3627,              1180129,              1180129,              2838345,              0,          3627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2015年03月31日,,,,              1019294,,,,                258824,,                336803,,                  7938,,                  1537,,,                201533,,                216693,                418226,,                  1143,                  1143,,,,                 26276,              2070041,,,                605666,,                    167,                  4422,,                    890,                  4160,                 40856,,                    657,                 46563,                656818,              2726859,,,,,                439580,,                 69985,,                      2,,                467675,,                150547,                150547,                    410,,,                 44210,                 44210,                 16695,                 60905,              1189104,,,                406833,,                  7612,,                    285,                    285,                414730,              1603834,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -164564,               -142204,,,                 12371,                 12371,,              1123025,              1123025,              2726859,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2014年12月31日,,,,                966355,,                              0,,                291643,,                442181,,                  6416,,                  1394,,,                295203,,                216693,                511896,,                  1154,                  1154,,                              0,,                 29153,              2250192,,,                616887,,                    181,                  2938,,                    899,                  4118,                 41533,,                  1659,                 48209,                668215,              2918407,,,,,                408630,,                 69975,,                     30,,                645091,,                155624,                155624,                    195,,,                 57198,                 57198,                 16733,                 73931,              1353476,,,                409100,,                 12353,,                    287,                    287,                421740,              1775216,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -148772,               -126412,,,                 16745,                 16745,                              0,              1143191,              1143191,              2918407,              0,              0,                966355,                966355,                291643,                  1394,                  4118,              2918407,,,,                408630,,                 69975,,                     30,,                645091,,                155624,                155624,                    195,,,                 57198,                 57198,                 16733,                 73931,              1353476,,,                409100,,                 12353,,                    287,                    287,                421740,              1775216,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -148772,               -126412,,,                 16745,                 16745,              1143191,              1143191,              0,,,,,,,,,,,,,,,,
3308,2014年09月30日,,,,              1194406,,                              0,,                              0,,                478226,,                  8571,,                  1323,,,                335248,,                215360,                550608,,                  1118,                  1118,,                              0,,                 26156,              2260408,,,                617752,,                    195,                  2790,,                    873,                  4555,                 40524,,                  2338,                 48290,                669027,              2929435,,,,,                290535,,                 69965,,                      2,,                748885,,                151399,                151399,                    210,,,                145131,                145131,                 18155,                163286,              1424282,,,                418367,,                  6349,,                    282,                    282,                424998,              1849280,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -195246,               -172886,,,                    183,                    183,                              0,              1080155,              1080155,              2929435,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2014年06月30日,,,,,,,,,,                503497,,                  5931,,,,,                309033,,                215360,                524393,,                  1090,                  1090,,,,                 27704,              2142205,,,                616650,,                    209,                  3307,,                  4857,,                 39786,,                  3158,                 52306,                672472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1078169,,                  1421,                  4505,              2814677,,,,                320575,,                 70000,,                  4002,,                602339,,,                157818,                    204,,,                 76136,                 76136,                 21052,                 97188,              1252126,,,                514680,,                  3697,,                    278,                    278,                518655,              1770781,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -226603,               -204243,,,                 -4719,                 -4719,              1043896,              1043896,              0,,                              0,,                    209,                              0,                253362,                              0,,,,,,,,,
3308,2014年03月31日,,,,              1214423,,,,                              0,,                280012,,                  7487,,                  1184,,,                338520,,                215362,                553882,,                  1110,                  1110,,,,                 30473,              2088571,,,                629730,,                    254,                  3510,,                  4870,                  4455,                 40799,,                  8047,                 58171,                691665,              2780236,,,,,                290535,,                              0,,                  4002,,                555207,,                180915,                180915,                    234,,,                168245,                168245,                 18733,                186978,              1217871,,,                451243,,                  5652,,                    281,                    281,                457176,              1675047,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -172283,               -149923,,,                  2254,                  2254,,              1105189,              1105189,              2780236,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308,2013年12月31日,,,,,,,,,,                488437,,                  6277,,,,,                351494,,                215222,                566716,,                  1114,                  1114,,,,                 32074,              2406397,,,                633559,,                    299,                  2889,,                    866,,                 41236,,                  7391,                 53897,                690644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              1310644,              1310644,                              0,                  1135,                  4404,              3097041,,,,                274910,,                              0,,                      2,,                806010,,                198477,                198477,                     26,,,                181474,                181474,                 16464,                197938,              1477363,,,                466610,,                  1203,,                    282,                    282,                468095,              1945458,,,,                999496,                999496,,,                253362,                253362,,                 22360,,               -114900,                -92540,,,                 -8735,                 -8735,              1151583,              1151583,              0,,                              0,,                    299,                              0,                253362,                              0,                              0,                              0,,,,,,,
3308,2013年09月30日,,,,,,,,,,                622177,,                  2980,,,,,                322493,,                215222,                537715,,                  1095,                  1095,,,,                 32957,              2214962,,,                631268,,                    348,                  3268,,                  2038,,                 40789,,                  5845,                 52744,                687628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1015590,,                  1105,                  4072,              2902590,,,,                304835,,                              0,,                     13,,                583400,,                170726,                170726,                    151,,,                117358,                117358,                 25785,                143143,              1202268,,,                510076,,                              0,,                    279,                    279,                510355,              1712623,,,,                999496,                999496,,,                253362,                253362,,                 22360,,                -74417,                -52057,,,                -10834,                -10834,              1189967,              1189967,              0,,                  1343,,,,,,,,,,,,,,
3308,2013年06月30日,,,,,,,,,,                408668,,                  2737,,,,,                319443,,                213472,                532915,,                  1107,                  1107,,,,                 37736,              2003494,,,                649967,,                    396,                  2008,,                  2046,,                 41530,,                     68,                 47666,                700037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1015877,,                  1041,                  4022,              2703531,,,,                269910,,                              0,,                    193,,                362178,,,                154034,                  2695,,,                102210,                137144,                 14489,                151633,                940643,,,                518683,,                              0,,                    281,                    281,                518964,              1459607,,,,                999496,                999496,,,                252504,                253362,,                 22360,,                -26545,                 -4185,,,                 -4749,                 -4749,              1243924,              1243924,              0,,                  3413,,                    396,                 34934,                252504,                    858,,,,,,,,,
3308,2013年03月31日,,,,,,,,,,                474493,,                  2969,,,,,                488023,,                209876,                697899,,                  1088,                  1088,,,,                 36536,              2343597,,,                663138,,                    404,                  1714,,                  1940,,                 41080,,                    298,                 47289,                712545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1128484,,                    968,                  3971,              3056142,,,,                260000,,,,                              0,,                648331,,,                169072,                 19751,,,                 96650,                131485,                 11722,                143207,              1240361,,,                546786,,                              0,,                    278,                    278,                547064,              1787425,,,,                999496,                999496,,,                256751,                261476,,                 22360,,                -33768,                 14435,,,                 -6690,                 -6690,              1268717,              1268717,              0,,                  1160,,                    404,                 34835,,                    858,                  3867,                 25843,,,,,,,
