證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 在建房地,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 其他長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款項－關係人,　　　　　 其他非流動負債－其他,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1416,2015年09月30日,,,,                145432,,                230635,,                 11771,,                 30037,,                              0,,                 10729,,                  1055,,                    284,,,                 89152,,                407374,              3054300,              3461674,              3550826,,                646844,,                163330,                      1,                163331,              4790944,,,                131378,,              1968913,,              3082009,,                  1111,                  3678,,                              0,                 28086,,                  1427,,              1137043,,                 10218,                 10218,              1176774,              6363863,             11154807,,,,,                348676,,              1863751,,                115031,,                160196,,                333701,                              0,,                  1728,,,              1276489,,                              0,                  2858,              1279347,              4102430,,,              1290000,                254706,              1544706,,                314501,,                 34346,                 12536,                 46882,              1906089,              6008519,,,,              2640202,              2640202,,                866184,,                212222,                 84161,,                831109,              1127492,,                510730,                 16096,              5128512,                 17776,              5146288,             11154807,              0,              0,      3219120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2015年06月30日,,,,                131126,,                287925,,                 11388,,                 27746,,                              0,,                 11086,,                              0,,                    261,,,                 82447,,                403056,              2895440,              3298496,              3380943,,                622842,,                154538,                      1,                154539,              4627856,,,                127357,,              1844849,,              2821402,,                  1111,                  4139,,                              0,                 28087,,,,              1147384,,,                 10746,              1186217,              5985075,             10612931,,,,,                156142,,              1791013,,                 96667,,                169782,,                131253,                              0,,                  1785,,,              1275665,,                              0,                    847,              1276512,              3623154,,,                920000,                334496,              1254496,,                320784,,                 34192,                 12376,                 46568,              1621848,              5245002,,,,              2933557,              2933557,,                866184,,                212222,                 84161,,                901648,              1198031,,                372520,                 19221,              5351071,                 16858,              5367929,             10612931,              0,              0,      3844120,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2015年03月31日,,,,                280443,,                299867,,                 15529,,                 36775,,                              0,,                  6230,,                              0,,                  2137,,,                 82422,,                567064,              2658993,              3226057,              3308479,,                602444,,                  5615,                      1,                  5616,              4557520,,,                128237,,              2082344,,              2590408,,                  1111,                  4091,,                              0,                 28088,,,,              1190051,,                 10568,                 10568,              1228707,              6034898,             10592418,,,,,                170747,,              1568570,,                110763,,                129674,,                 45317,                  3523,,                  1789,,,              1414502,,                              0,                  5222,              1419724,              3450107,,,                865000,                349589,              1214589,,                329998,,                 34038,                 16481,                 50519,              1595106,              5045213,,,,              2933557,              2933557,,                866124,,                163682,                 84161,,              1094173,              1342016,,                407804,                 19221,              5530280,                 16925,              5547205,             10592418,              0,              0,      3844120,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2014年12月31日,,,,                427569,,                311220,,                 30971,,                 33462,,                     25,,                  5945,,                    451,,                  1974,,,                 78022,,              1134583,              2530761,              3665344,              3743366,,                653701,,                 25396,                    894,                 26290,              5234974,,,                128937,,              1886877,,              2356912,,                  1151,                  4240,,                              0,                 30860,,                              0,,              1247325,,                 18701,                 18701,              1296886,              5675003,             10909977,,,,,                243660,,              1559108,,                 82597,,                307531,,                 24158,                  3523,,                  1761,,,              1666025,,                148344,                  9602,              1823971,              4046309,,,                770000,                319676,              1089676,,                325396,,                 33885,                 11983,                 45868,              1460940,              5507249,,,,              2933557,              2933557,,                866124,,                163682,                 84161,,                938426,              1186269,,                418519,                 19221,              5385248,                 17480,              5402728,             10909977,              0,              0,      3844120,,                              0,                              0,                              0,                427569,                  1974,             10909977,,,,                243660,,              1559108,,                 82597,,                307531,,                              0,,                 24158,                              0,                  3523,,                  1761,,,              1666025,,                148344,                  9602,              1823971,              4046309,,,                770000,                319676,              1089676,,                325396,,                 33885,                 11983,                              0,                 45868,              1460940,              5507249,,,,              2933557,              2933557,,                866124,,                163682,                 84161,,                938426,              1186269,,                418519,                 19221,              5385248,                 17480,              5402728
1416,2014年09月30日,,,,                 55562,,                445473,,                 15501,,                 33645,,                              0,,                  5907,,                     54,,                  1786,,,                 90422,,                442570,              3418034,              3860604,              3951026,,                738280,,                  3281,                              0,                  3281,              5250515,,,                126477,,              1812674,,              2198284,,                  1341,                    464,,                 13785,                 30912,,                              0,,              1222995,,                  1594,                  1594,              1269286,              5408526,             10659041,,,,,                204101,,              1595352,,                 89740,,                 73921,,                 51497,                              0,,                  1719,,,              1812150,,                              0,                    456,              1812606,              3828936,,,              1070800,                319511,              1390311,,                357390,,                 34183,                 13368,                 47551,              1795252,              5624188,,,,              2933557,              2933557,,                875814,,                163682,                 84161,,                704631,                952474,,                379882,                126338,              5015389,                 19464,              5034853,             10659041,              0,              0,      8041830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2014年06月30日,,,,                 43644,,                348859,,                 11215,,                 24778,,                              0,,                  4961,,                     53,,                  1432,,,                 88278,,                442503,              3228961,              3671464,              3759742,,                723186,,                  3086,                              0,                  3086,              4920956,,,                125367,,              1733638,,              2518686,,                  1572,                  2706,,                 13786,                 31021,,,,                865031,,,                  1594,                911432,              5293401,             10214357,,,,,                142358,,              1453002,,                170085,,                 77021,,                732666,                              0,,                  1804,,,              1414025,,                              0,                    796,              1414821,              3991757,,,                723000,                309970,              1032970,,                340088,,                 34018,                  9805,                 43823,              1416881,              5408638,,,,              3078787,              3078787,,              1111396,,                163682,                 84161,,                532083,                779926,,                340308,                524898,              4785519,                 20200,              4805719,             10214357,              0,              0,      8041830,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2014年03月31日,,,,                 44631,,                354055,,                  8698,,                 23857,,                              0,,                  4944,,                     96,,                  1393,,,                 83756,,                442448,              2996047,              3438495,              3522251,,                708260,,                  3201,                    127,                  3328,              4671513,,,                126577,,              1693328,,              2471606,,                  1408,                 20294,,                 13786,                 30310,,,,                707166,,                  1594,                  1594,                752856,              5066069,              9737582,,,,,                139732,,              1233568,,                 88330,,                 21315,,                 28235,                 61790,,                  1854,,,              1232382,,                              0,                    638,              1233020,              2807844,,,                705000,                409807,              1114807,,                339731,,                 33854,                  7325,                 41179,              1495717,              4303561,,,,              3078787,              3078787,,              1111339,,                157424,                              0,,              1214470,              1371894,,                375905,                524898,              5413027,                 20994,              5434021,              9737582,              0,              0,     22564791,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2013年12月31日,,,,,,                321388,,                  7992,,                 24859,,                              0,,                  5060,,                     94,,,,,                 88302,,                442406,              2830579,              3272985,              3361287,,                686647,,                  2137,                              0,                  2137,              4501894,,,                125248,,              1668205,,              2357123,,                  1216,                 16690,,                  6200,                 30238,,,,                705201,,                  1594,                  1594,                743233,              4911715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     22564791,,,,,                 91138,                  1292,              9413609,,,,                132127,,                922591,,                108287,,                 16762,,                              0,,                 81043,                              0,                 61790,,                  1859,,,              1211188,,                              0,                  3903,              1215091,              2539550,,,                662000,                379751,              1041751,,                340196,,                 33690,                  6661,                              0,                 40351,              1422298,              3961848,,,,              3078787,              3078787,,              1111339,,                157424,                              0,,              1255129,              1412553,,                352899,                524898,              5430680,                 21081,              5451761
1416,2013年09月30日,,,,,,                301628,,                 10793,,                 25677,,                              0,,                  4841,,                    216,,,,,                102287,,                442366,              2571570,              3013936,              3116223,,                674610,,                  2000,                    299,                  2299,              4266231,,,                124777,,              1648912,,              2374131,,                  1165,                  7671,,                  1107,                 49175,,,,                729799,,                  1594,                  1594,                781675,              4938331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     22564791,,,,,                128900,                  1044,              9204562,,,,                142938,,                169919,,                142623,,                 17139,,                              0,,                912362,                              0,                 61526,,                  1689,,,              1273675,,,                  1676,              1275351,              2723547,,,                470000,                369865,                839865,,                339731,,                 35846,                  8543,                              0,                 44389,              1223985,              3947532,,,,              3078787,              3078787,,              1111404,,                157424,                              0,,              1068077,              1225501,,                338491,                525035,              5229148,                 27882,              5257030
1416,2013年06月30日,,,,,,                285233,,                  8749,,                 25325,,                              0,,                  3984,,                    217,,,,,                102165,,                528334,              2359967,              2888301,              2990466,,                504000,,                  5000,                    289,                  5289,              4586778,,,                125637,,              1670334,,              2366059,,                  1211,                  7669,,                              0,                 36583,,,,                728748,,,                  1594,                766925,              4937835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     28205990,,,,,                762523,                    992,              9524613,,,,                167599,,                329478,,                 47314,,                 12273,,                              0,,                514919,                              0,                    137,,                  1782,,,              1185432,,,                    588,              1186020,              2259522,,,                470000,                404807,                874807,,                340666,,                 35683,                 17207,                              0,                 52890,              1268363,              3527885,,,,              3848484,              3848484,,              1087803,,                157424,                              0,,              1098464,              1255888,,                358392,                581310,              5969257,                 27471,              5996728
