證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 員工福利負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付投資款,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　　　 待分配股票股利
2365,2015年09月30日,,,,              1742836,,                  6775,,                172471,,                890681,,                              0,,                 21167,,                965128,,                 44794,,                              0,,                 79891,              3923743,,,                 11940,,                342340,,                195971,,              1109359,,                582397,                134025,,,                357210,                357210,              2733242,              6656985,,,,,                220000,,                              0,,                              0,,                     65,,                666042,,                 25666,,                566778,                 95054,                              0,,,                 26316,                393733,                420049,              1993654,,,                279131,,                  3201,                  3201,,                  7856,,                 71532,                  3327,                 74859,                365047,              2358701,,,,              3032503,                116032,              3148535,,                570898,,                723060,                 48429,,                 70486,                841975,,                -82303,                272590,              4206515,                 91769,              4298284,              6656985,              0,     23554000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,2015年06月30日,,,,              1951812,,                 14761,,                222755,,                884724,,                              0,,                 50315,,              1104346,,                 46878,,                              0,,                 66447,              4342038,,,                 12870,,                342340,,                186198,,              1123567,,                583629,                141660,,,                149056,                149056,              2539320,              6881358,,,,,                300350,,                              0,,                    148,,                    169,,                677563,,                 24302,,                431374,                 91149,                              0,,,                 26133,                359776,                385909,              1910964,,,                535801,,                  3201,                  3201,,                  6023,,                 72272,                  3427,                 75699,                620724,              2531688,,,,              3032503,                116032,              3148535,,                570898,,                723060,                 48429,,                 39252,                810741,,                -93548,                179392,              4257234,                 92436,              4349670,              6881358,              0,     14057000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,2015年03月31日,,,,              1776396,,                 19324,,                278841,,                867907,,                              0,,                 44974,,              1328419,,                 58941,,                    216,,                 71504,              4446522,,,                 14280,,                342340,,                188407,,              1137625,,                584861,                151423,,,                154800,                154800,              2573736,              7020258,,,,,                242005,,                              0,,                              0,,                     85,,                816303,,                 18094,,                286706,                145131,                  3061,,,                 26022,                352848,                378870,              1890255,,,                542369,,                  3201,                  3201,,                  6417,,                 73321,                  2892,                 76213,                628200,              2518455,,,,              3032503,,              3032503,,                570898,,                710525,                159502,,                131250,              1001277,,                -26507,                170082,              4408089,                 93714,              4501803,              7020258,              0,     13170000,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,2014年12月31日,,,,              1816488,,                 20936,,                255316,,              1152296,,                  2112,,                 71676,,              1358321,,                 80621,,                    230,,                 77591,              4835587,,,                 15660,,                342340,,                195790,,              1166449,,                522685,                144708,,,                169415,                169415,              2557047,              7392634,,,,,                163590,,                179936,,                  2104,,                     85,,              1089131,,                 42570,,                375758,                136921,                  3262,,,                 25936,                278742,                304678,              2298035,,,                548954,,                  3201,                  3201,,                  6305,,                 73335,                  4086,                 77421,                635881,              2933916,,,,              3032503,                              0,              3032503,,                570898,,                710525,                159502,,                109662,                979689,,                -48430,                170082,              4364578,                 94140,              4458718,              7392634,              0,     13170000,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,2014年09月30日,,,,              2145335,,                 14846,,                243114,,              1276226,,                              0,,                103994,,              1247044,,                 61631,,                 14244,,                108364,              5214798,,,                 12810,,                372108,,                191548,,              1199387,,                504628,                152600,,,                113372,                113372,              2546453,              7761251,,,,,                352180,,                279932,,                    527,,                  1175,,              1203904,,                 36112,,                424363,                136245,                  7191,,,                 26017,                208219,                234236,              2675865,,,                555296,,                  3201,                  3201,,                 18595,,                 63465,                    513,                 63978,                641070,              3316935,,,,              3032503,                              0,              3032503,,                570839,,                710525,                159502,,                 80059,                950086,,                -91332,                114150,              4347946,                 96370,              4444316,              7761251,              0,      8170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,2014年06月30日,,,,              1913472,,                 13292,,                282745,,              1137622,,                              0,,                 53027,,              1271255,,                 37347,,                    728,,                105919,              4815407,,,                 21840,,                381067,,                175525,,              1365903,,                505485,                144422,,,                120838,                120838,              2715080,              7530487,,,,,                499575,,                 99972,,                  1165,,                  2581,,              1093386,,                 30273,,                372572,                127039,                  7836,,,                 33660,                154880,                188540,              2422939,,,                640709,,                  3201,                  3201,,                 17718,,                 63594,                    793,                 64387,                726015,              3148954,,,,              2908001,                124502,              3032503,,                560449,,                710525,                159502,,                 11176,                881203,,               -109238,                 75995,              4288922,                 92611,              4381533,              7530487,              0,      5483000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,2014年03月31日,,,,              1686888,,                 15602,,                260867,,              1292896,,                      6,,                 40416,,              1181989,,                 51706,,                    834,,                 80697,              4611901,,,                 34200,,                404363,,                176120,,                914304,,                              0,                134604,,,                122526,                127095,              1790686,              6402587,,,,,                152550,,                              0,,                    488,,                  5069,,                887331,,                 25933,,                295156,                148262,                 10644,,,                 15865,                147466,                163331,              1688764,,,                112412,,                  3201,                  3201,,                  4563,,                 63569,                    280,                 63849,                184025,              1872789,,,,              2908001,,              2908001,,                562623,,                710525,                380304,,                -15312,              1075517,,                -90335,                 22488,              4433318,                 96480,              4529798,              6402587,              0,      1260000,                  4569,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2365,2013年12月31日,,,,,,                 12502,,                271368,,              1440215,,                  3215,,                 50896,,              1304850,,                 54558,,                 10581,,                 70807,              5387373,,,                 13830,,                404363,,                179047,,                924853,,                              0,                 93810,,,                129131,                129131,              1745034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1200000,,              0,              2168381,              7132407,,,,                539750,,                100000,,                  2274,,                  9347,,              1190041,,                 37589,,                419095,                101746,                 14154,,,                  7714,                127188,                134902,              2548898,,,                 82809,,                  3201,                  3201,,                  4483,,                 54040,                              0,                 54040,                144533,              2693431,,,,              2908001,              2908001,,                562623,,                710525,                380304,,                -37763,              1053066,,               -159502,                 21605,              4342583,                 96393,              4438976,,                              0,                              0
2365,2013年09月30日,,,,,,                 10993,,                233126,,              1559880,,                  6069,,                 38961,,              1419877,,                 60952,,                              0,,                 71756,              5388064,,,                 15450,,                416113,,                174205,,                852401,,                              0,                148821,,,                140727,                140727,              1747717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      6800000,,              0,              1986450,              7135781,,,,                518350,,                199906,,                  2131,,                 13194,,              1140416,,                 34322,,                360632,                 92574,                              0,,,                  7693,                151537,                159230,              2520755,,,                 84746,,                  3617,                  3617,,                 58325,,                 45015,                      8,                 45023,                191711,              2712466,,,,              2946001,              2946001,,                603003,,                710525,                380304,,                 38849,              1129678,,               -221350,                122424,              4334908,                 88407,              4423315,,,
2365,2013年06月30日,,,,,,                 12378,,                244570,,              1741471,,                 11708,,                 46745,,              1526034,,                 58751,,                              0,,                 73863,              5233184,,,                 14250,,                425041,,                171942,,                820939,,                              0,                133268,,,                160064,                160064,              1766577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      6800000,,              0,              1517664,              6999761,,,,                300360,,                249926,,                  1553,,                 16383,,              1158607,,                 28529,,                429122,                 86141,                              0,,,                  7671,                116404,                124075,              2394696,,,                 86675,,                              0,                              0,,                 57886,,                 48603,                      7,                 48610,                193171,              2587867,,,,              2946001,              2946001,,                602847,,                710525,                380304,,                 28218,              1119047,,               -218221,                122424,              4327250,                 84644,              4411894,,                 41073,                              0
