證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 應付設備款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　　 一年或一營業週期內到期長期借款,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付薪資,　　　　 應付設備款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 應付票據,　　　　 應付票據合計,　　　　 應付股利,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
6449,2015年09月30日,,,,                525860,,                  2280,,                     43,,                401893,,                121186,,                256479,,                 32899,                 46477,                 79376,              1387117,,,                    545,,                947729,                  7420,,,                  3493,,                 24044,                 27537,                983231,              2370348,,,,,                598745,,                177449,,                 74579,                 95479,                170058,                    236,,,                 41278,                 79660,                120938,              1067426,,,                  4167,,                 17080,                 21247,              1088673,,,,                731901,                731901,,                156231,,                382946,,                 58697,                 48100,              1281675,              1281675,              2370348,              0,              0,      1748000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,2015年06月30日,,,,                526358,,,,                     12,,                299616,,                125710,,                287755,,                 40465,                 45740,                 86205,              1325656,,,                    545,,                891417,                  7420,,,                  3493,,                 41401,                 44894,                944276,              2269932,,,,,                439890,,                190881,,                 55348,                 83242,                255694,                    269,,,                 59741,                 58933,                118674,              1005408,,,                  8333,,                 13201,                 21534,              1026942,,,,                731901,                731901,,                156231,,                315014,,                 39844,,              1242990,              1242990,              2269932,              0,              0,              0,                117104,                 59741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,2015年03月31日,,,,                539328,,,,                    274,,                332825,,                109537,,                254234,,                 47716,                 37713,                 85429,              1321627,,,                    545,,                929757,                  7420,,,                  3461,,                 23926,                 27387,                965109,              2286736,,,,,                399950,,                193130,,                 62073,                121844,                183917,                    388,,,                 78204,                 76483,                154687,                932072,,,                 12500,,                 14559,                 27059,                959131,,,,                731901,                731901,,                156231,,                393001,,                 46472,,              1327605,              1327605,              2286736,              0,              0,              0,,                 78204,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,2014年12月31日,,,,                518268,,                              0,,                    113,,                353068,,                164082,,                262913,,                 39354,                 46741,                 86095,              1384539,,,                              0,,                885823,                  7420,,,                  3461,,                 19755,                 23216,                916459,              2300998,,,,,                433975,,                223159,,                 59060,                 83348,                142408,                    624,,,                 96667,                 80679,                177346,                977512,,,                 16666,,                 16333,                 32999,              1010511,,,,                731901,                731901,,                156231,,                347219,,                 55136,                              0,              1290487,              1290487,              2300998,              0,              0,              0,                              0,                 96667,,                              0,                518268,              2300998,,,,                433975,,                223159,,                 59060,                 83348,                142408,                    624,,,                 96667,                 96667,                 80679,                177346,                977512,,,                 16666,,                 16333,                 32999,              1010511,,,,                731901,                              0,                731901,,                156231,,                347219,,                 55136,              1290487,              1290487,,,,,,,,,
6449,2014年09月30日,,,,                458192,,                              0,,                    188,,                371382,,                132095,,                250081,,                 32452,                 31733,                 64185,              1276123,,,                              0,,                862618,                 13353,,,                  4230,,                 20487,                 24717,                900688,              2176811,,,,,                634209,,                230889,,                 57992,                 85796,                143788,                  1199,,,                 76667,                 55590,                132257,              1142342,,,                 40833,,                  7537,                 48370,              1190712,,,,                662901,                662901,,                  4203,,                289150,,                 29845,                              0,                986099,                986099,              2176811,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,2014年06月30日,,,,                455537,,,,                    126,,                353892,,                132373,,                243201,,                 28321,                 48445,                 76766,              1261895,,,                              0,,                826455,                 13353,,,                  4155,,                 23692,                 27847,                867655,              2129550,,,,,                615538,,                223077,,                 45094,                 71272,                169398,                  5719,,,                 56667,                 62912,                119579,              1133311,,,                 65000,,                  5331,                 70331,              1203642,,,,                662901,                662901,,                  4203,,                239731,,                 19073,,                925908,                925908,              2129550,              0,              0,              0,                 53032,                 56667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,2014年03月31日,,,,                492088,,,,                     20,,                379938,,                 92287,,                202194,,                 46468,                 32946,                 79414,              1246327,,,                              0,,                787266,                 13353,,,                  3870,,                 19772,                 23642,                824261,              2070588,,,,,                620752,,                218285,,                 44464,                 35654,                 80118,                  7704,,,                 36667,                 65894,                102561,              1029420,,,                 89166,,                  7204,                 96370,              1125790,,,,                662901,                662901,,                  4203,,                249477,,                 28217,,                944798,                944798,              2070588,              0,              0,              0,,                 36667,,                    386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,2013年12月31日,,,,,,,,                    169,,                331305,,                164665,,                210335,,                 28658,                 19099,                 47757,                999927,,,,,                774489,                 13353,,,                    870,,                 17937,                 18807,                806649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1780000,              0,,,,                    258,                245438,              1806576,,,,                505109,,                213704,,                 50038,                 23396,                 73434,                  9593,,,                 18332,                 18332,                 72306,                 90638,                892478,,,                 33333,,                  6052,                 39385,                931863,,,,                632901,                 17800,                650701,,                  4203,,                197217,,                 22592,                874713,                874713,,,,,,,,,
6449,2013年09月30日,,,,,,,,                    192,,                305345,,                166939,,                248824,,                 22788,                 27475,                 50263,                872952,,,,,                762140,                 18259,,,                    870,,                 18636,                 19506,                799905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                    281,                101108,              1672857,,,,                512399,,                184021,,                 50308,                 43996,                 94304,                  2910,,,                  3332,                  3332,                 46747,                 50079,                858759,,,                              0,,                  4635,                  4635,                863394,,,,                632901,                              0,                632901,,                  4203,,                156685,,                 15674,                809463,                809463,,                 15046,,,,,,,
6449,2013年06月30日,,,,,,,,                              0,,                258843,,                132163,,                254582,,                 22101,                 22047,                 44148,                822903,,,,,                763931,                 20763,,,                  6269,,                 20512,                 26781,                811475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                    491,                132676,              1634378,,,,                481000,,                147038,,                 41814,                 43548,                117007,                  2459,,,                  4999,                  4999,                 81479,                 86478,                855600,,,                              0,,                  5411,                  5411,                861011,,,,                632901,                              0,                632901,,                  4203,,                116795,,                 19468,                773367,                773367,,                 21618,                 31645,                 15270,                              0,,                101525,,                 19468
