證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 預付退休金－非流動,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計
3021,2015年09月30日,,,,                318517,,                551153,,                388963,,                110186,              1368819,,,                 50638,,                331319,,                 36144,                 49768,,                     76,                  1604,,                  2077,,                 29941,                 33698,                501567,              1870386,,,,,                246506,,                258692,,                 70757,                 70757,,,                 12000,                 39253,                 51253,                627208,,,                 43900,,                    592,                 44492,                671700,,,,              1079594,              1079594,,                  6250,,                104578,,                 54257,                 46103,              1198576,                    110,              1198686,              1870386,              0,              0,      3500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,2015年06月30日,,,,                241466,,                542635,,                386823,,                 93388,              1264312,,,                 56876,,                326628,,                 36282,                 49768,,,,,,,,                 32801,                502355,              1766667,,,,,                150125,,                251163,,,                140230,,,,,                 37636,                579154,,,                 46900,,                    588,                 47488,                626642,,,,              1082594,              1082594,,                  6250,,                 74629,,                 22546,                 46103,              1139916,                    109,              1140025,              1766667,              0,              0,      3500000,,                 74629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,2015年03月31日,,,,                258968,,                506900,,                396744,,                 85712,              1248324,,,                 54540,,                329567,,                 36555,                 49768,,,,,,,,                 35198,                505628,              1753952,,,,,                121822,,                244066,,,                 80387,,,,,                 56189,                502464,,,                 49900,,                    476,                 50376,                552840,,,,              1082594,              1082594,,                  6250,,                125137,,                 33125,                 46103,              1201003,                    109,              1201112,              1753952,              0,              0,      3500000,,                125137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,2014年12月31日,,,,                307499,,                501779,,                363604,,                 77431,              1250313,,,                 51838,,                333880,,                 36657,                 49768,,                              0,                    815,,                 17833,,                 37704,                 56352,                528495,              1778808,,,,,                153479,,                236716,,                 91952,                 91952,,,                 12000,                 29305,                 41305,                523452,,,                 52900,,                    683,                 53583,                577035,,,,              1082594,              1082594,,                  6250,,                120195,,                 38729,                 46103,              1201665,                    108,              1201773,              1778808,              0,              0,      3500000,,                120195,                307499,              1778808,,,,                153479,,                236716,,                133257,                523452,,,                 52900,,                    683,                 53583,                577035,,,,              1082594,              1082594,,                  6250,,                120195,,                 38729,                 46103,              1201665,                    108,              1201773,,,,,,,,,,,,,,,,,
3021,2014年09月30日,,,,                275780,,                463484,,                319453,,                 81163,              1139880,,,                 54574,,                336654,,                 36486,                 51429,,                              0,                    789,,                 17587,,                 31971,                 50347,                529490,              1669370,,,,,                118813,,                193201,,                 75379,                 75379,,,                 12000,                 26824,                 38824,                426217,,,                 55900,,                    522,                 56422,                482639,,,,              1082594,              1082594,,                  6250,,                103036,,                 14867,                 20120,              1186627,                    104,              1186731,              1669370,              0,              0,      1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,2014年06月30日,,,,                248398,,                529555,,                292635,,                 77828,              1148416,,,                 48064,,                336145,,                 36703,                 51429,,,,,,,,                 49435,                521776,              1670192,,,,,                 94313,,                247703,,,                 90662,,,,,                 35883,                468561,,,                 58900,,                    421,                 59321,                527882,,,,              1082594,              1082594,,                  6250,,                 85125,,                -11640,                 20120,              1142209,                    101,              1142310,              1670192,              0,              0,      1500000,,                 85125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,2014年03月31日,,,,                286294,,                431170,,                280742,,                 77057,              1075263,,,                 44724,,                339007,,                 36959,                 51429,,,,,,,,                 52472,                524591,              1599854,,,,,                 89550,,                195022,,,                 52839,,,,,                 49210,                386621,,,                 61900,,                    324,                 62224,                448845,,,,              1082594,              1082594,,                  6250,,                 83133,,                   -949,                 20120,              1150908,                    101,              1151009,              1599854,              0,              0,      1500000,,                 83133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,2013年12月31日,,,,,,                448032,,                258186,,                 80343,              1063774,,,                 43128,,                339930,,                 37194,                 51429,,,,,,,,                 57088,                528769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         60000,,,                277213,              1592543,,,,                 98716,,                188321,,                 91534,                378571,,,                 64900,,                    355,                 65255,                443826,,,,              1082594,              1082594,,                  6250,,                 61266,,                   -785,                    710,              1148615,                    102,              1148717,,,,,,,,,,,,,,,,,
3021,2013年09月30日,,,,,,                424321,,                235605,,                 57481,                970113,,,                 43339,,                332096,,                 37410,                 51709,,,,,                 50294,,                 39014,                103908,                568462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                252706,              1538575,,,,                 94094,,                154641,,                 23544,                335012,,,                 67900,,                    155,                 68055,                403067,,,,              1082594,              1082594,,                  6250,,                 58986,,                -12424,                              0,              1135406,                    102,              1135508,                 20420,                 37061,                 14600,,                 62733,                 62733,,                 12000,                 11544,,,,,,,,
3021,2013年06月30日,,,,,,                480271,,                236357,,                 63212,                999401,,,                 48245,,                332101,,                 37726,                 51348,,,,,                 50895,,                 40163,                103298,                572718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                219561,              1572119,,,,                 65776,,                199799,,                 46307,                367136,,,                 70900,,                    155,                 71055,                438191,,,,              1082594,              1082594,,                  6250,,                 44133,,                    850,                              0,              1133827,                    101,              1133928,,,                 12240,,                 55254,                 55254,,                 12000,                 34307,,,,,,,,
