證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 長期應收票據及款項淨額,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他流動資產－其他
1303,2015年09月30日,,,,             60500025,,                              0,,             34514645,,              7852075,,             35051729,,              7411026,,              3253264,,             20899965,,             40883513,,              4667235,            215033477,,,             10025333,,              2994935,,            136657120,,            139265543,,                119129,              5374663,,              2492286,,                              0,                              0,                  1072,,             10407438,             12900796,            307337519,            522370996,,,,,             13575999,,                              0,,              8074014,,              7233417,,             16523237,                              0,,,             28724514,              6640452,             35364966,              1511068,             36876034,             82282701,,,                              0,,             53387723,,             23423370,,              8869864,,             25790139,                607596,                144522,             26542257,            112223214,            194505915,,,,             79308216,                              0,             79308216,,                              0,                              0,                              0,             23389013,             23389013,,            166030586,,             45564234,                              0,            314292049,             13573032,            327865081,            522370996,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2015年06月30日,,,,             55474660,,,,             37678231,,              8436027,,             36328481,,             12210794,,              6246527,,             17276472,,             46473536,,              5254977,            225379705,,,             11652427,,              3021991,,            132222934,,            138203798,,                125928,              6314061,,              2195807,,                              0,                              0,                  1072,,              9787651,             11984530,            303525669,            528905374,,,,,              5496223,,,,              8196639,,             10431594,,             35973131,                              0,,,             22417345,              9429033,             31846378,              1524633,             33371011,             93468598,,,,,             60488475,,             21665637,,              8462241,,             25835451,                662406,                268990,             26766847,            117383200,            210851798,,,,             79308216,,             79308216,,,,,,             23170042,,            155995501,,             46128841,                              0,            304602600,             13450976,            318053576,            528905374,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2015年03月31日,,,,             48670254,,,,             39848045,,              7909400,,             34855635,,             14619172,,              1552274,,             19756206,,             44138091,,              5923204,            217272281,,,             18909806,,              3022858,,            132382979,,            140625889,,                132730,              8224938,,              2634566,,                              0,                              0,                  1072,,              9979690,             12615328,            315914528,            533186809,,,,,              7245462,,,,              7977809,,              9900301,,             13339529,                 11200,,,             25545129,              6054836,             31599965,              1200524,             32800489,             71274790,,,,,             63538598,,             26426048,,              7971181,,             25912323,                642292,                200240,             26754855,            124690682,            195965472,,,,             79308216,                              0,             79308216,,,,,,             23158501,,            161677979,,             58530973,                              0,            322675669,             14545668,            337221337,            533186809,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2014年12月31日,,,,             36632716,,                              0,,             40842667,,              8032090,,             34845415,,             11521600,,              2575117,,             24010378,,             47379663,,              5851585,            211691231,,,             22491849,,              2998687,,            129204407,,            145079151,,                139535,              8510710,,              2305980,,                              0,                              0,                  1072,,             10457816,             12764868,            321189207,            532880438,,,,,              9201472,,                              0,,              7973470,,              8810017,,             13977003,                 32600,,,             25660654,              4919981,             30580635,              1092900,             31673535,             71668097,,,                              0,,             63592267,,             29991393,,              7817412,,             25970872,                617021,                191998,             26779891,            128180963,            199849060,,,,             79308216,                              0,             79308216,,                              0,                              0,                              0,             22926996,             22926996,,            153727811,,             62417658,                              0,            318380681,             14650697,            333031378,            532880438,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2014年09月30日,,,,             31706517,,                              0,,             38663640,,              7886819,,             38413265,,              6093449,,              2316528,,             43966721,,             49359376,,              7203785,            225610100,,,             20327855,,              2995334,,            124717912,,            143472348,,                188854,              8881234,,              2228823,,                              0,                              0,                  1148,,              9435500,             11665471,            312249008,            537859108,,,,,             16369640,,                              0,,              7666334,,             10281898,,             13726049,                 27100,,,             13391083,              6288693,             19679776,              1551837,             21231613,             69302634,,,                              0,,             75513178,,             38815934,,              7677904,,             25386233,                633424,                179769,             26199426,            148206442,            217509076,,,,             79308216,                              0,             79308216,,                              0,                              0,                              0,             22732749,             22732749,,            151155327,,             52881001,                              0,            306077293,             14272739,            320350032,            537859108,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2014年06月30日,,,,             30791455,,,,             43568247,,              6900577,,             38345894,,              4379400,,              7792863,,             60033551,,             46720621,,              7156193,            245688801,,,             24152101,,              3009789,,            120950611,,            143519547,,                203561,              9233857,,              2352815,,                              0,                              0,                  1142,,              9610913,             11964870,            313034336,            558723137,,,,,             12823572,,,,              7704663,,             12079436,,             29675639,                 14700,,,             18488972,             12184581,             30673553,              1172026,             31845579,             94143589,,,,,             77223666,,             34822695,,              7372148,,             25417656,                674791,                181197,             26273644,            145692153,            239835742,,,,             79308216,,             79308216,,,,,,             22750394,,            141802648,,             60461517,                  3800,            304318975,             14568420,            318887395,            558723137,,              0,        185067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2014年03月31日,,,,             26635902,,,,             39012585,,              6382634,,             35788359,,              3387022,,              1861740,,             59288293,,             46022810,,              6987141,            225366486,,,             11311413,,              3011344,,            118328918,,            147151910,,                221924,              6469100,,              2795015,,                              0,                              0,                  1137,,              9825389,             12621541,            299116150,            524482636,,,,,             13908105,,,,              7632539,,             10572633,,             14176912,                 10300,,,             15490618,             20668291,             36158909,              1178580,             37337489,             83637978,,,,,             73550727,,             30791672,,              6856561,,             25433106,                608997,                206910,             26249013,            137447973,            221085951,,,,             79308216,                              0,             79308216,,,,,,             21911332,,            146854521,,             42470279,                  3742,            290540606,             12856079,            303396685,            524482636,,              0,        185067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,2013年12月31日,,,,,,                              0,,             43162997,,              6917412,,             35330345,,              2532219,,              1700011,,             63778842,,             45220280,,              6410802,            229600281,,,             10515714,,              3009879,,            114532675,,            147810707,,                247060,              6430974,,              2418547,,                              0,                              0,,,              9943279,             12362840,            294909849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        185067,             24547373,                  1014,            524510130,,,,             14337560,,              4499306,,                              0,,              7104310,,             11456920,,             15025997,                 15900,,,             17987255,             22718829,             40706084,                915947,             41622031,             94062024,,,                              0,,             73214727,,             29604621,,              6612663,,             24818051,                645271,                205222,             25668544,            135100555,            229162579,,,,             79308216,                              0,             79308216,,                              0,                              0,                              0,             21917718,             21917718,,            138092702,,             43134677,                  1945,            282451368,             12896183,            295347551,                              0,             43712004,             64653931,,             29726767,,              1523374,,                              0,,             41626470,,                  1716,,                              0,                -16883,                -16883,
1303,2013年09月30日,,,,,,,,             40987407,,              6382588,,             35220748,,              1898219,,              2127660,,             62294034,,             46342785,,              7298399,            227666072,,,              8165186,,              3009146,,            109501820,,            147419896,,                275385,              7056093,,              2396836,,,,,,              9314344,             12164740,            287592266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        185067,             25114232,                453560,            515258338,,,,             15588882,,              7497640,,,,              6957074,,             10992659,,             16435276,              2022400,,,             19987670,             21430474,             41418144,                991439,             42409583,            101903514,,,,,             68062597,,             31470199,,              6560623,,             25353316,                594810,                288538,             26236664,            132330083,            234233597,,,,             79308216,                              0,             79308216,,                              0,                              0,                              0,             21979892,             21979892,,            131689973,,             35698071,                  1945,            268674207,             12350534,            281024741,,,,,,,,,,,,,,,,,,
1303,2013年06月30日,,,,,,                              0,,             38330489,,              6714779,,             34151107,,              3050235,,              2800166,,             63265096,,             46557020,,              6410067,            222226359,,,              7824293,,              3010323,,            105846061,,            148980041,,                336367,              7255902,,              2426417,,                              0,                              0,,,              9710656,             12590633,            285843620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        183235,             20947400,                453560,            508069979,,,,             21234581,,              5098848,,                  9919,,              7710250,,              9982879,,             17713445,              4015600,,,             17988637,             15171550,             33160187,              1020938,             34181125,             99946647,,,                              0,,             60440365,,             42728128,,              6341766,,             25401039,                600150,                223927,             26225116,            135735375,            235682022,,,,             78522986,,             79308216,,,,                              0,             21927637,             21927637,,            123628690,,             35212550,                  1945,            260075148,             12312809,            272387957,                785230,             43712004,             64655098,,             15261588,,              1063134,,                              0,,             34172616,,                  5878,,                              0,                -29078,                -29078,
