證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 待分配股票股利,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計
6405,2015年09月30日,,,,                525947,,                              0,,                463741,,                  1746,,                 13072,,                 18690,,                 76215,              1099411,,,              2054973,                 22419,,                  1861,              2079253,              3178664,,,,,                 50000,,                 82048,,                220150,                 45823,,,                 26735,                  1021,                 27756,                425777,,,                750485,,                 38591,,                     60,                789136,              1214913,,,,                658000,                658000,,,                585449,                585449,,                140396,                  3825,,                547507,                691728,,,                 28574,                 28574,              1963751,              1963751,              3178664,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,2015年06月30日,,,,                598808,,                              0,,                415804,,                    462,,                 14165,,                 17276,,                 59447,              1105962,,,              2047840,                 26524,,                 32972,              2107336,              3213298,,,,,,,                 71671,,                334643,                 35761,,,                 26628,                  1184,                 27812,                469887,,,                757209,,                 68348,,,                825557,              1295444,,,,                658000,                658000,,,                585449,                585449,,                140396,                  3825,,                515069,                659290,,,                 15115,                 15115,              1917854,              1917854,              3213298,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,2015年03月31日,,,,                709516,,                              0,,                388647,,                  1156,,                 14403,,                 16450,,                  9488,              1139660,,,              2064570,                 23914,,                 20693,              2109177,              3248837,,,,,,,                 68214,,                192654,                 85599,,,                 26522,                  1103,                 27625,                374092,,,                763907,,                 64708,,,                828615,              1202707,,,,                658000,                658000,,,                585449,                585449,,                103931,                  3825,,                675209,                782965,,,                 19716,                 19716,              2046130,              2046130,              3248837,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,2014年12月31日,,,,                562291,,                              0,,                591507,,                  1332,,                 20988,,                 15030,,                 51247,              1242395,,,              1420399,                 22206,,                156545,              1599150,              2841545,,,,,                              0,,                 89388,,                246377,                 87286,,,                 26416,                  1113,                 27529,                450580,,,                296577,,                 58686,,                              0,                355263,                805843,,,,                658000,                658000,,,                585449,                585449,,                103931,                  3825,,                660944,                768700,,,                 23553,                 23553,              2035702,              2035702,              2841545,              0,              0,              0,                562291,              2841545,,,,                 89388,,                246377,                 87286,,,                 26416,                  1113,                 27529,                450580,,,                296577,,                 58686,                355263,                805843,,,,                658000,                658000,,,                585449,                585449,,                103931,                  3825,,                660944,                768700,,,                 23553,                 23553,              2035702,              2035702,,,,,
6405,2014年09月30日,,,,                576081,,                              0,,                653433,,                  1236,,                 18324,,                 16272,,                  9838,              1275184,,,              1442683,                 19797,,                 12679,              1475159,              2750343,,,,,                              0,,                 93826,,                249021,                 67139,,,                 27908,                  1147,                 29055,                439041,,,                306623,,                 49808,,                              0,                356431,                795472,,,,                658000,                658000,,,                585449,                585449,,                103931,                  3825,,                592132,                699888,,,                 11534,                 11534,              1954871,              1954871,              2750343,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,2014年06月30日,,,,                578629,,                     64,,                704308,,                  1061,,                 18360,,                 14024,,                 86456,              1402902,,,              1439806,                 15794,,                  1091,              1456691,              2859593,,,,,,,                 81211,,                475625,                 63921,,,                 26205,                  1629,                 27834,                648591,,,                309839,,                 66134,,,                375973,              1024564,,,,                658000,                658000,,,                585449,                585449,,                103931,                  3825,,                482600,                590356,,,                  1224,                  1224,              1835029,              1835029,              2859593,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,2014年03月31日,,,,                562331,,                              0,,                578628,,                  6169,,                 29904,,                 11247,,                142338,              1330617,,,              1454029,                 14143,,                  6104,              1474276,              2804893,,,,,,,                 84976,,                298289,                 86426,,,                 26101,                  1130,                 27231,                496922,,,                316429,,                 61502,,,                377931,                874853,,,,                658000,                658000,,,                585449,                585449,,                 66099,                  3825,,                608085,                678009,,,                  8582,                  8582,              1930040,              1930040,              2804893,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,2013年12月31日,,,,,,                      3,,                671622,,                  4997,,                 23643,,                  9271,,                 89127,              1264587,,,              1361402,                 16946,,                 63244,              1441592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                465924,              2706179,,,,                 87747,,                280145,                 74766,,,                 25997,                  1144,                 27141,                469799,,,                322993,,                 56220,                379213,                849012,,,,                658000,                658000,,,                585449,                585449,,                 66099,                  3825,,                531532,                601456,,,                 12262,                 12262,              1857167,              1857167,                              0,,,,
6405,2013年09月30日,,,,,,                     45,,                650409,,                  2118,,                 28226,,                  9131,,                 71680,                898848,,,              1340032,                 10595,,                  5957,              1356584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                137239,              2255432,,,,                 93637,,                249746,                 51661,,,                 25894,                              0,                 25894,                420938,,,                329531,,                 49262,                378793,                799731,,,,                601750,                601750,,,                334597,                334597,,                 66099,                  3825,,                444964,                514888,,,                  4466,                  4466,              1455701,              1455701,,,,,
6405,2013年06月30日,,,,,,                    642,,                563079,,                    430,,                 32129,,                  7691,,                 93783,                941929,,,              1322884,                 11272,,                  5612,              1339768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                244175,              2281697,,,,                 99593,,                386367,                 58493,,,                 25789,                              0,                 25789,                570242,,,                338138,,                 39130,                377268,                947510,,,,                415000,                601750,,,                334597,                334597,,                 66099,                  3825,,                319638,                389562,,,                  8278,                  8278,              1334187,              1334187,                186750,,,,
