證券代號,年季,　 資產,　　 現金及約當現金,　　　 現金及約當現金合計,　　 存放央行及拆借銀行同業,　　　 存放央行及拆借銀行同業合計,　　 透過損益按公允價值衡量之金融資產,　　　 透過損益按公允價值衡量之金融資產合計,　　 避險之衍生金融資產－淨額,　　　 避險之衍生金融資產淨額,　　 附賣回票券及債券投資,　　　 附賣回票券及債券投資淨額,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 貼現及放款－淨額,　　　 貼現及放款－淨額,　　 備供出售金融資產－淨額,　　　 備供出售金融資產－淨額,　　 持有至到期日金融資產－淨額,　　　 持有至到期日金融資產－淨額,　　 採用權益法之投資－淨額,　　　 採用權益法之投資－淨額,　　 其他金融資產－淨額,　　　 無活絡市場之債務工具投資,　　　 其他什項金融資產,　　　 其他金融資產－淨額,　　 不動產及設備－淨額,　　　 不動產及設備－淨額,　　 無形資產－淨額,　　　 無形資產－淨額,　　 遞延所得稅資產,　　　 遞延所得稅資產合計,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益,　　 負債,　　　 央行及銀行同業存款,　　　　 央行及銀行同業存款合計,　　　 透過損益按公允價值衡量之金融負債,　　　　 透過損益按公允價值衡量之金融負債合計,　　　 避險之衍生金融負債－淨額,　　　　 避險之衍生金融負債－淨額,　　　 附買回票券及債券負債,　　　　 附買回票券及債券負債合計,　　　 應付款項,　　　　 應付款項合計,　　　 當期所得稅負債,　　　　 本期所得稅負債合計,　　　 存款及匯款,　　　　 存款及匯款合計,　　　 應付金融債券,　　　　 應付金融債券合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 負債準備,　　　　 負債準備合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 股本溢價,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈餘,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總計,　　 負債及權益總計,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 預收股款（權益項下）之約當發行股數（單位：股） ,　　　 現金及約當現金總額,　　　 當期所得稅資產合計,　　　 無活絡市場之債務商品投資,　　 資產總額,　 負債,　　 央行及銀行同業存款,　　　 央行及銀行同業存款合計,　　 透過損益按公允價值衡量之金融負債,　　　 透過損益按公允價值衡量之金融負債合計,　　 避險之衍生金融負債－淨額,　　 附買回票券及債券負債,　　　 附買回票券及債券負債合計,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　　 當期所得稅負債合計,　　 存款及匯款,　　　 存款及匯款合計,　　 應付金融債券,　　　 應付金融債券合計,　　 其他金融負債,　　　 其他金融負債合計,　　 負債準備,　　　 負債準備合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 股本溢價,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈餘,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現損益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 增資準備,　　　 其他什項金融負債
2845,2015年09月30日,,,              7113571,,             73599508,,             30032491,,                              0,,              5456936,,             20843165,,                    334,,            342738811,,             39549500,,              3125381,,              1620691,,              7448278,              6700715,             14148993,,              2948950,,              1782422,,                620231,,                165752,            543746736,,,,             18478418,,             10647144,,                              0,,              4565997,,              8243339,,                266931,,            438089128,,             20306123,,              3194604,,                969811,,                764411,            505525906,,,,             30332430,             30332430,,                459918,                459918,,              4491173,                208219,,              2925011,              2925011,              7624403,,                151874,               -347795,               -195921,             38220830,             38220830,            543746736,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,2015年03月31日,,,              6536460,,             72846259,,             23788603,,                 26064,,             15907850,,             18896122,,                 27156,,            333835271,,             38967398,,              3303232,,              1618152,,              7350420,              7690076,             15040496,,              2804603,,              1795163,,                800440,,                206541,            536399810,,,,             14328786,,             11402974,,                  5003,,              8502194,,              5839576,,                325510,,            429298138,,             25445647,,              2576629,,                991498,,                498704,            499214659,,,,             28618263,             28618263,,                462400,                462400,,              3382816,                304122,,              4589974,              4589974,              8276912,,                 64928,               -237352,               -172424,             37185151,             37185151,            536399810,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,2014年12月31日,,,              8084621,,             78125478,,             25944211,,                 40439,,             14385710,,             19664258,,                 35024,,            319176466,,             30518170,,              3991084,,              1592014,,              6971873,              7839735,             14811608,,              2785884,,              1801534,,                864280,,                157136,            521977917,,,,             11496870,,             11055294,,                  5204,,              4391451,,              5596002,,                243366,,            423242417,,             25479749,,              2874070,,                985437,,                530549,            485900409,,,,             28618263,             28618263,,                462400,                462400,,              3382816,                304122,,              3512202,              3512202,              7199140,,                 67264,               -269559,               -202295,             36077508,             36077508,            521977917,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,2014年09月30日,,,              7243272,,             74796005,,             21881152,,                 56318,,             11510854,,             20546118,,                134841,,            333506115,,             19914633,,              4056935,,              1548604,,              4413220,              6734287,             11147507,,              2774832,,              1807905,,                628805,,                184517,            511738413,,,,             17260122,,             10213716,,                  5205,,              4545476,,             10743394,,                 30283,,            406232704,,             24192844,,              1775502,,                896615,,                551682,            476447543,,,,             28618263,             28618263,,                462400,                462400,,              3382816,                304122,,              2881202,              2881202,              6568140,,                 24080,               -382013,               -357933,             35290870,             35290870,            511738413,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,2014年06月30日,,,,,             76242162,,             19396624,,                 73318,,             11886034,,             21289391,,,,            326549020,,             24874389,,              4023179,,              1549262,,,              4944544,              9252304,,              2785291,,              1814275,,                696113,,                184965,,,,,,,,                  5205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              5574545,,              4307760,            506190872,,,             23803386,,              8314422,,,              3193884,,              8684353,,                 38112,,            400390200,,             24114395,,              1783373,,                782446,,                564080,            471673856,,,,             27271182,             28618263,,                462400,                462400,,              3382816,                304122,,              1975799,              1975799,              5662737,,                 10948,               -237332,               -226384,             34517016,             34517016,              0,              1347081,
2845,2014年03月31日,,,              5120930,,             78755499,,             20388010,,                 86733,,             14124645,,             19186482,,                    927,,            309768694,,             23408918,,              3099309,,              1595320,,              7898657,              3880345,             11779002,,              2795890,,              1821618,,                482061,,                204212,            492618250,,,,             29133988,,              8135197,,                  5033,,              2153745,,              7595347,,                 19098,,            384426049,,             24186999,,              1593845,,                888728,,                466469,            458604498,,,,             27271182,             27271182,,                460684,                460684,,              2511684,                179722,,              3816899,              3816899,              6508305,,                 17291,               -243710,               -226419,             34013752,             34013752,            492618250,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,2013年12月31日,,,,,             88876281,,             18795444,,                111034,,             23006325,,             20671269,,,,            292517032,,             21735693,,              3105972,,              2365826,,,              2748522,             11226390,,              2814164,,              1830904,,                579514,,                206250,,,,,,,,                 12631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              4348619,                  1003,              8477868,            492191720,,,             13782129,,              7288065,,,              1299471,,             13502992,,                 10870,,            398305940,,             27103885,,                761020,,                754125,,                417508,            463238636,,,,             23621182,             23621182,,                 34923,                 34923,,              2511684,                179722,,              2903770,              2903770,              5595176,,                 16264,               -314461,               -298197,             28953084,             28953084,              0,,
2845,2013年09月30日,,,,,             79409030,,             18635068,,                120853,,             11003406,,             21604053,,,,            316949779,,             16639829,,              2647545,,              2331771,,,              3196354,             11833978,,              2817135,,              1840190,,                670258,,                202237,,,,,,,,                 10320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              4454165,                  8278,              8637624,            491167575,,,             25027428,,              5708838,,,                582621,,             11477111,,                 60296,,            392644362,,             25055638,,                903444,,                714972,,                490535,            462675565,,,,             23621182,             23621182,,                 34923,                 34923,,              2511684,                179722,,              2569566,              2569566,              5260972,,                 11201,               -436268,               -425067,             28492010,             28492010,              0,,
2845,2013年06月30日,,,,,             75171615,,             16400551,,                138009,,              8636162,,             21608747,,,,            314135911,,             18201156,,              2699776,,              2343178,,,              3054941,             13237628,,              2844442,,              1849476,,                735463,,                207910,,,,,,,,                  8081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              6481556,,             10182687,            484691580,,,             24038777,,              4728043,,,                100000,,              8033182,,                 53817,,            392562649,,             25114152,,              1061403,,                719276,,                439632,            456859012,,,,             22422596,             23621182,,                 34923,                 34923,,              2511684,                179722,,              1696400,              1696400,              4387806,,                 13419,               -224762,               -211343,             27832568,             27832568,              0,              1198586,
2845,2013年03月31日,,,,,             74179834,,             16572736,,                155165,,             21401374,,             18992254,,,,            294344680,,             11083079,,              2122081,,              2386971,,,              2784179,             12861386,,              2850477,,              1858762,,                826388,,                243166,,,,,,,,                  5870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              6327673,,             10077207,            466206026,,,             24883359,,              4629395,,,,,              7067855,,                115634,,            374474563,,             25078247,,              1486268,,                710733,,                412639,            438864563,,,,             22422596,             22422596,,                 22348,                 22348,,              1742672,                  5922,,              3316163,              3316163,              5064757,,                 10756,               -178994,               -168238,             27341463,             27341463,              0,,
