證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 現金及約當現金合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額
3557,2015年09月30日,,,,                151126,,                    192,,                221319,,                 17049,,                101184,,                 19259,                  8720,                 27979,                518849,,,                              0,,                495591,,                  9550,                 25107,,                  1398,,                 86624,,                  2638,                 90660,                620908,              1139757,,,,,                 30519,,                 25524,,                 88183,,                 57908,                              0,,                              0,,,                  9859,                  9859,                  1699,                 11558,                213692,,,                149688,,                 32864,,                  3034,                    486,                  3520,                186072,                399764,,,,              1094342,              1094342,,                 91991,,               -449076,,,                  2541,                  2541,                739798,                    195,                739993,              1139757,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,2015年06月30日,,,,                162786,,                    406,,                231266,,                 18698,,                142101,,                 19023,                  7134,                 26157,                581414,,,                              0,,                507295,,                  9944,                 25107,,                  1397,,                 80699,,                  2793,                 84889,                627235,              1208649,,,,,                 45950,,                 31843,,                119542,,                 57257,                              0,,                              0,,,                  9859,                  9859,                  5425,                 15284,                269876,,,                148834,,                 35328,,                  3359,                    478,                  3837,                187999,                457875,,,,              1094342,              1094342,,                 91991,,               -437654,,,                  1886,                  1886,                750565,                    209,                750774,              1208649,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,2015年03月31日,,,,                109493,,                    164,,                326000,,                 19206,,                122587,,                 17368,                 14716,                 32084,                609534,,,                     60,,                516541,,                 10340,                 25107,,                  1397,,                 81645,,                  2520,                 85562,                637610,              1247144,,,,,                 54775,,                 32967,,                116727,,                 65967,                              0,,                    141,,,                  9859,                  9859,                  4815,                 14674,                285251,,,                147982,,                 37793,,                  3684,                    247,                  3931,                189706,                474957,,,,              1094342,              1094342,,                 91991,,               -416647,,,                  2265,                  2265,                771951,                    236,                772187,              1247144,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,2014年12月31日,,,,                156005,,                     42,,                335979,,                 19561,,                143491,,                 26106,                  8842,                 34948,                690026,,,                     45,,                530146,,                 10739,                 25107,,                  4058,,                 56052,,                  1283,                 61393,                627430,              1317456,,,,,                 55194,,                 35847,,                156321,,                 77849,                              0,,                    292,,,                  9859,                  9859,                  4906,                 14765,                340268,,,                147133,,                 40258,,                  4009,                    251,                  4260,                191651,                531919,,,,              1094342,              1094342,,                 91991,,               -403999,,,                  2918,                  2918,                785252,                    285,                785537,              1317456,              0,              0,              0,,                              0,,                              0,                156005,,                              0,              1317456,,,,                 55194,,                 35847,,                156321,,                 77849,                              0,,                    292,,,                  9859,                  9859,                  4906,                 14765,                340268,,,                147133,,                 40258,,                              0,,                  4009,                    251,                  4260,                191651,                531919,,,,              1094342,              1094342,,                 91991,,               -403999,,,                  2918,                  2918,                785252,                    285,                785537,,,,,,,,,
3557,2014年09月30日,,,,                194519,,                  1434,,                344494,,                 21457,,                169425,,                 32481,                 12630,                 45111,                776440,,,                     60,,                737336,,                 11721,                 93793,,                  5608,,                 46394,,                  7913,                 59915,                902825,              1679265,,,,,                 86382,,                 44912,,                188179,,                 74182,                 13500,,                  3291,,,                  9859,                  9859,                  4818,                 14677,                425123,,,                146286,,                 42723,,                  4334,                              0,                  4334,                193343,                618466,,,,              1094342,              1094342,,                 91991,,               -128610,,,                    923,                    923,              1058646,                  2153,              1060799,              1679265,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,2014年06月30日,,,,                225359,,                  5208,,                235124,,                 21986,,                109689,,                 26940,                  9409,                 36349,                634724,,,                     75,,                768200,,                 12258,                 94205,,                  5845,,                 45906,,                  4318,                 56069,                930807,              1565531,,,,,                 71755,,                 26317,,                101691,,                 61218,                 17000,,                  8933,,,                  9859,                  9859,                  6242,                 16101,                303015,,,                145441,,                 45188,,                  4659,                              0,                  4659,                195700,                498715,,,,              1094342,              1094342,,                 91991,,               -121711,,,                    142,                    142,              1064764,                  2052,              1066816,              1565531,              0,              0,              0,,                  1009,,                    412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,2014年03月31日,,,,                268419,,                    297,,                228073,,                 21286,,                127447,,                 31996,                 10459,                 42455,                688986,,,                    195,,                800829,,                 13264,                103810,,                  5649,,                 46440,,                  6499,                 58588,                976686,              1665672,,,,,                 93039,,                 21342,,                 93017,,                 66211,                 23700,,                 19011,,,                  9859,                  9859,                  3910,                 13769,                330089,,,                144599,,                 47653,,                  4983,                              0,                  4983,                197252,                527341,,,,              1094342,              1094342,,                375967,,               -341350,,,                  1027,                  1027,              1129986,                  8345,              1138331,              1665672,              0,              0,              0,,                  1009,,                     17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,2013年12月31日,,,,,,                              0,,                202743,,                 27707,,                139386,,                 32218,                  7279,                 39497,                773288,,,                              0,,                834912,,                 14336,                104533,,                  5618,,                 28024,,                  5537,                 39179,              1013571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  1009,,,                362946,,                 20611,              1786859,,,,                241549,,                 21791,,                130863,,                 83989,                 14100,,                 13493,,,                 18185,                 18185,                  4707,                 22892,                528677,,,                              0,,                 59857,,                    740,,                  5309,                              0,                  5309,                 65906,                594583,,,,              1094342,              1094342,,                371059,,               -283976,,,                    395,                    395,              1181820,                 10456,              1192276,                              0,,                              0,,                              0,,                              0,,
3557,2013年09月30日,,,,,,                    244,,                348628,,                 20404,,                234301,,                 40820,                 10304,                 51124,              1015554,,,                              0,,                894993,,                 14601,                115145,,                  3881,,                 27615,,                  9930,                 41426,              1088809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  7500,,,                353353,,                 22644,              2104363,,,,                256124,,                 33004,,                206954,,                 96761,                 14100,,                 35417,,,                 36291,                 36291,                  5402,                 41693,                684053,,,                              0,,                 64420,,                    527,,                  5633,,                  5633,                 70580,                754633,,,,              1094342,              1094342,,                371059,,               -132178,,,                   -343,                   -343,              1332880,                 16850,              1349730,,,,,,,,,
3557,2013年06月30日,,,,,,                    688,,                396207,,                 20424,,                206576,,                 34737,                 13211,                 47948,                942477,,,                              0,,                933038,,                 14874,                132372,,                  5384,,                 27869,,                  4076,                 37329,              1140257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  7500,,,                263134,,                 22644,              2082734,,,,                125895,,                 22377,,                182626,,                 96305,                 18300,,                 14659,,,                 54432,                 83392,                  4208,                 87600,                547762,,,                              0,,                 68972,,                    417,,                  5958,,                  5958,                 75347,                623109,,,,              1094342,              1094342,,                373836,,                -29370,,,                    314,                    314,              1439122,                 20503,              1459625,                 28960,,,,,,,,
