證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 預付款項,　　　　 預付款項合計,　　　　 其他流動資產－其他,　　　　 應付票據,　　　　　 應付票據合計,　　　 非控制權益,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 無形資產,　　　　 無形資產合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 其他金融資產－流動,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 應付票據,　　　　 應付票據合計,　　 非控制權益,　　　　 當期所得稅資產合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
6120,2015年12月31日,,,,              6442517,,                              0,,                144766,,              2497846,,              5978543,,                463045,,              1004212,,              2380731,,                348323,             19259983,,,                714114,,              8814805,                157386,,,                 10676,                401407,,                 67981,                 67981,                480064,             10166369,             29426352,,,,,                              0,,                 31178,,              5721360,,              1689993,,              2569423,              1142733,                384394,,                 38230,,,                 76350,                617838,                694188,             12271499,,,              1280000,,                 83965,,              1800529,,                175763,              3340257,             15611756,,,,              7358061,              7358061,,              4492352,,              1179590,,                784593,                              0,             13814596,             13814596,             29426352,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2015年09月30日,,,,              7422988,,                              0,,                180825,,              2479841,,              6961441,,                720284,,              1287655,,              4235885,,                415986,             23704905,,,                785263,,              9454281,                155951,,,                 12831,                407801,,                 69919,                 69919,                490551,             10886046,             34590951,,,,,              1318494,,                 20509,,              7566580,,              2565099,,              2396544,              1251612,                366318,,                 50269,,,                190888,                683515,                874403,             16409828,,,              1667364,,                 83775,,              1912324,,                138510,              3801973,             20211801,,,,              7499671,              7499671,,              4509307,,              1436963,,              1082686,                149477,             14379150,             14379150,             34590951,              0,              0,     13403000,,                              0,                415986,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2015年06月30日,,,,              6884809,,                 31800,,                176837,,              1595064,,              6469093,,                663720,,              1453891,,              2623255,,                323759,             20222228,,,                798221,,              9270348,                116951,,,                 12830,                403958,,,                 69238,                486026,             10671546,             30893774,,,,,                              0,,                              0,,              5835643,,              2123698,,              2748635,              1623508,                260450,,                  5095,,,                233523,                755189,                988712,             13585741,,,              1027431,,                 93688,,              1843813,,                140660,              3105592,             16691333,,,,              7499671,              7499671,,              4509307,,              1610199,,                583264,                              0,             14202441,             14202441,             30893774,,              0,              0,,                              0,                323759,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2015年03月31日,,,,              7462076,,                 13802,,                140738,,              1968145,,              8227091,,                495392,,              1659383,,              2785609,,                344007,             23096243,,,                848717,,              9626912,                118100,,,                 12618,                408273,,,                 67582,                488473,             11082202,             34178445,,,,,                              0,,                              0,,              7230694,,              3302339,,              2544216,              1639573,                259909,,                     55,,,                235508,                870855,              1106363,             16083149,,,                819483,,                110265,,              1940774,,                142596,              3013118,             19096267,,,,              7499671,              7499671,,              4509307,,              2354996,,                718204,                              0,             15082178,             15082178,             34178445,              0,              0,              0,,                              0,                344007,,,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2014年12月31日,,,,              7014431,,                 18607,,                136413,,              2562064,,             10881597,,                646666,,              2165025,,              2508079,,                391545,             26324427,,,                884760,,             10043165,                161761,,,                 12116,                412693,,                 69813,                 69813,                494622,             11584308,             37908735,,,,,                              0,,                              0,,              7963434,,              2899249,,              3420779,              4252080,                245841,,                 39627,,,                237037,                459106,                696143,             19517153,,,                829860,,                267382,,              2003441,,                144668,              3245351,             22762504,,,,              7812451,              7812451,,              4618880,,              2205194,,                862948,                353242,             15146231,             15146231,             37908735,              0,              0,     26517000,,                              0,                391545,,                              0,                              0,,                              0,,                              0,              7014431,             37908735,,,,                              0,,              7963434,,              2899249,,              3420779,              4252080,                245841,,                 39627,,,                237037,                459106,                696143,             19517153,,,                829860,,                267382,,              2003441,,                144668,              3245351,             22762504,,,,              7812451,              7812451,,              4618880,,              2205194,,                862948,                353242,             15146231,             15146231,,,,,,,,,
6120,2014年09月30日,,,,              5510870,,                  9100,,                              0,,              1000299,,              7504227,,              1024180,,              2443084,,              1638377,,                119169,             19249306,,,              2392369,,              4250340,                 51880,,,                  2108,                114565,,                 15609,                 15609,                132282,              6826871,             26076177,,,,,                304360,,                              0,,              5598863,,              3811004,,              1121947,              2631226,                204191,,                 17839,,,                576155,                687265,              1263420,             14952850,,,                550096,,                137265,,                396129,,                 34629,              1118119,             16070969,,,,              5460663,              5460663,,              3082459,,                920443,,                541643,                              0,             10005208,             10005208,             26076177,              0,              0,              0,,                              0,                119169,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2014年06月30日,,,,              5166378,,                  1697,,                              0,,              1062013,,              7536324,,                643328,,              2365941,,              1248554,,                107836,             18132071,,,              2428753,,              4432226,                 52295,,,                  5047,                112063,,,                 14951,                132061,              7045335,             25177406,,,,,                807705,,                  7083,,              5079327,,              3054582,,              2099777,              2302698,                124306,,                 12414,,,                555485,                330686,                886171,             14374063,,,                532553,,                110458,,                328966,,                 35846,              1007823,             15381886,,,,              5460663,              5460663,,              3082240,,                936102,,                316515,                              0,              9795520,              9795520,             25177406,,              0,              0,,                              0,                107836,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2014年03月31日,,,,              5708272,,                              0,,                              0,,              1202450,,              6002131,,                587411,,              1146657,,              1312527,,                113350,             16072798,,,              2516231,,              4874587,                 52294,,,                  5077,                114738,,,                 14333,                134148,              7577260,             23650058,,,,,                610200,,                 38547,,              4873623,,              2530125,,              1351062,              1178171,                324345,,                  3911,,,                745989,                249457,                995446,             11905430,,,                880169,,                110724,,                352663,,                 37672,              1381228,             13286658,,,,              5460663,              5460663,,              3079792,,              1352611,,                470334,                              0,             10363400,             10363400,             23650058,              0,              0,              0,,                              0,                113350,,,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6120,2013年12月31日,,,,,,                 12309,,                              0,,              1480538,,              6327343,,                996249,,              1744368,,              1564828,,                120098,             16944530,,,              2541922,,              5115956,                 52294,,,                  5107,                116499,,                 14365,                 14365,                135971,              7846143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,              4698797,             24790673,,,,                840840,,              5403514,,              2810306,,              1351050,              1071082,                363680,,                 19601,,,                827308,                241240,              1068548,             12928621,,,                862180,,                 82194,,                367757,,                 45492,              1357623,             14286244,,,,              5460663,              5460663,,              3079531,,              1458673,,                505562,                              0,             10504429,             10504429,,,,,,,,,
6120,2013年09月30日,,,,,,                 10087,,                 25571,,                675725,,              3959101,,                 18885,,                  1048,,              1167344,,                319542,              8698732,,,                431741,,              6774429,                 66011,,,,,,,,                169904,              8605143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 63587,                319256,,,,,,,                683058,              2457842,             17303875,,,,                              0,,              4259041,,                123233,,              1145962,                 17815,                              0,,,,,                              0,                239362,                239362,              5872428,,,                600000,,,,                124581,,                  2152,                726733,              6599161,,,,              4563539,              4563539,,              5499027,,                 25274,,                543197,                              0,             10631037,             10704714,                    286,,                480000,,                 87015,                 73677,,,
