證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
1471,2015年09月30日,,,,                532725,,                437225,,                 13908,,                155786,,                 39376,,                162182,              1341202,,,                130390,,                     54,,              1058144,,                214535,                 17345,,                111062,              1531530,              2872732,,,,,                              0,,                    436,,                341346,,                 80962,                    141,,                 45190,                468075,,,                  3287,,                  3721,                  7008,                475083,,,,              2014677,              2014677,,,                393054,                  3709,                396763,,                  5236,,               -235292,               -230056,,,                229211,,                -12946,                216265,              2397649,              2397649,              2872732,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2015年06月30日,,,,                633169,,                401923,,                  7139,,                176102,,                 28438,,                104783,              1351554,,,                171442,,                     54,,              1057311,,                211859,                 14896,,                110544,              1566106,              2917660,,,,,                 90000,,                    738,,                288933,,                 70984,                    313,,                 33648,                484616,,,                  1155,,                  3587,                  4742,                489358,,,,              2014677,              2014677,,,                393054,                  3709,                396763,,                  5236,,               -190966,               -185730,,,                174486,,                 28106,                202592,              2428302,              2428302,              2917660,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2015年03月31日,,,,                809386,,                465906,,                  3566,,                239219,,                 33395,,                106403,              1657875,,,                185598,,                     54,,              1103759,,                214478,                 15096,,                115176,              1634161,              3292036,,,,,                235000,,                    313,,                378735,,                 75905,                    464,,                 27807,                718224,,,                  1377,,                  1580,                  2957,                721181,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,               -137827,               -132591,,,                196268,,                 42262,                238530,              2570855,              2570855,              3292036,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2014年12月31日,,,,                755436,,                676639,,                 22143,,                257766,,                 28374,,                 65310,              1805668,,,                173486,,                     54,,              1151381,,                216571,                 15516,,                119973,              1676981,              3482649,,,,,                150000,,                    875,,                544287,,                 94290,                  2597,,                 28807,                820856,,,                  2918,,                  1592,                  4510,                825366,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                -53476,                -48240,,,                210457,,                 30150,                240607,              2657283,              2657283,              3482649,              0,              0,              0,                755436,              3482649,,,,                150000,,                    875,,                544287,,                 94290,                  2597,,                 28807,                820856,,,                  2918,,                  1592,                  4510,                825366,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                -53476,                -48240,,,                210457,,                 30150,                240607,              2657283,              2657283,,
1471,2014年09月30日,,,,                763052,,                959563,,                 11290,,                323200,,                 33098,,                 65071,              2155274,,,                177576,,                     54,,              1162903,,                188335,                 16958,,                122287,              1668113,              3823387,,,,,                270000,,                    706,,                798722,,                 90548,                 23825,,                  3674,              1187475,,,                  3377,,                  1550,                  4927,              1192402,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                -36607,                -31371,,,                163200,,                 34240,                197440,              2630985,              2630985,              3823387,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2014年06月30日,,,,                527798,,                933988,,                 11986,,                352586,,                 55573,,                  1403,              1883334,,,                              0,,                125604,,              1239872,,                112437,                 18958,,                122051,              1618922,              3502256,,,,,                 60000,,                    752,,                773748,,                 88809,                 23175,,                  3115,                949599,,,                  3450,,                  1511,                  4961,                954560,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                -41193,                -35957,,,                118737,,                              0,                118737,              2547696,              2547696,              3502256,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2014年03月31日,,,,                879522,,                779396,,                 14146,,                383257,,                 44669,,                  1613,              2102603,,,                              0,,                125604,,              1282814,,                112622,                 18329,,                126970,              1666339,              3768942,,,,,                340000,,                  4608,,                701597,,                 95028,                 23473,,                  3564,              1168270,,,                  3312,,                  1537,                  4849,              1173119,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                -21963,                -16727,,,                147634,,                              0,                147634,              2595823,              2595823,              3768942,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1471,2013年12月31日,,,,,,                792606,,                 16127,,                358923,,                 25339,,                 61119,              1988860,,,                              0,,                125604,,              1326711,,                112807,                 18714,,                123911,              1707747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                734746,              3696607,,,,                210000,,                    748,,                686057,,                116739,                 22251,,                  3842,              1039637,,,                  4219,,                  1544,                  5763,              1045400,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                 24769,                 30005,,,                156286,,                              0,                156286,              2651207,              2651207,,                              0
1471,2013年09月30日,,,,,,              1117344,,                 29251,,                403556,,                 39938,,                 61289,              2107815,,,                              0,,                125604,,              1318605,,                112992,                 21390,,                126175,              1704766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                456437,              3812581,,,,                275000,,                  1041,,                805072,,                104460,                 30610,,                  2813,              1219573,,,                  3923,,                  1516,                  5439,              1225012,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                 -9230,                 -3994,,,                126647,,                              0,                126647,              2587569,              2587569,,                    577
1471,2013年06月30日,,,,,,              1533459,,                 39180,,                491674,,                 45390,,                 62278,              2486009,,,,,                125604,,              1372713,,                113177,                 18943,,                133053,              1763490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                314028,              4249499,,,,                275000,,                    736,,              1176445,,                129735,                 31100,,                  5522,              1620465,,,                  4538,,                  1531,                  6069,              1626534,,,,              2014677,              2014677,,,                446530,                  3709,                450239,,                  5236,,                 11549,                 16785,,,                141264,,,                141264,              2622965,              2622965,,                  1927
