證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　　 存入保證金,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 應付股利,　　　　 待分配股票股利
2049,2015年09月30日,,,,              1719773,,                              0,,                425829,,                  1476,,              5699168,,                 28455,,              5438848,,                831976,             14145525,,,                     16,,                  3146,,                337746,,                121878,,             15740110,,                170228,                170228,                193898,,              1682842,                 57179,                 98207,,                271026,              2109254,             18676276,             32821801,,,,,              5320051,,                 25185,,                  7401,,              2691146,,                118378,,              1348000,              1348000,                181215,,,              1239270,                195212,              1434482,             11125858,,,              6551829,,                220695,,,                144503,                144503,                219690,                  3153,                367346,              7139870,             18265728,,,,              2692785,              2692785,,                311495,,              1596118,                 14561,,              9033227,             10643906,,                -30931,             13617255,                938818,             14556073,             32821801,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2015年06月30日,,,,              2196733,,                              0,,                297138,,                  1257,,              5796591,,                 23961,,              4968668,,                810794,             14095142,,,                     17,,                  3146,,                342246,,                108665,,             15553178,,                170228,                170228,                194978,,              1402266,                 41857,                 94848,,                263411,              1802382,             18174840,             32269982,,,,,              4886510,,                  3412,,                  7099,,              2619953,,                117151,,              1212817,              2049410,                312435,,,              1234883,                166798,              1401681,             11397651,,,              6188044,,                172478,,,                382230,                382230,                219785,                  2962,                604977,              6965499,             18363150,,,,              2614354,              2692785,,                311495,,              1596118,                 14561,,              8437184,             10047863,,               -151693,             12900450,              1006382,             13906832,             32269982,              0,              0,                836593,                 78431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2015年03月31日,,,,              2042348,,                  6710,,                181730,,                    234,,              5544983,,                 26259,,              4412024,,                862508,             13076796,,,                     17,,                  3146,,                351754,,                359511,,             15323465,,,,                184009,,              1139345,                 38768,                 96702,,                220592,              1495407,             17717309,             30794105,,,,,              4967382,,                    388,,                 18082,,              2315895,,                105410,,              1087129,              1087129,                458344,,,              1259135,                122420,              1381555,             10334185,,,              5719344,,                144349,,,                387884,                387884,                219789,,                607973,              6471666,             16805851,,,,              2614354,              2614354,,                308630,,              1355627,                              0,,              9179581,             10535208,,               -157934,             13300258,                687996,             13988254,             30794105,              0,              0,,,                    300,,                308630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2014年12月31日,,,,              2460006,,                    104,,                203939,,                  7177,,              5450013,,                 12802,,              4066870,,                763844,             12964755,,,                     16,,                  3258,,                351754,,                104990,,             15258375,,                 14473,                 14473,                153991,,              1144092,                 35994,                 98207,,                197858,              1476151,             17363008,             30327763,,,,,              4360411,,                 13667,,                 10060,,              2146987,,                110862,,              1355434,              1355434,                480707,,,              1360209,                136050,              1496259,              9974387,,,              5887161,,                180389,,,                393494,                393494,                219747,                    300,                613541,              6681091,             16655478,,,,              2614354,              2614354,,                308630,,              1355627,                              0,,              8664091,             10019718,,                -14561,             12928141,                744144,             13672285,             30327763,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2014年09月30日,,,,              2169402,,                  1068,,                219643,,                 14272,,              5025540,,                 28426,,              4089831,,                723567,             12271749,,,                     16,,                  3258,,                360954,,                103858,,             13753892,,                 14809,                 14809,                138086,,              2569017,                 36223,                 92856,,                154743,              2852839,             17227712,             29499461,,,,,              4870673,,                  8024,,                 10632,,              1843798,,                120207,,              1241980,              1241980,                317119,,,              1135836,                139789,              1275625,              9688058,,,              6283854,,                163384,,,                403787,                403787,                213904,                    300,                617991,              7065229,             16753287,,,,              2614354,              2614354,,                308630,,              1355627,                              0,,              7888717,              9244344,,                -41789,             12125539,                620635,             12746174,             29499461,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2014年06月30日,,,,              2246912,,                     77,,                157163,,                  5644,,              4825493,,                 26991,,              4454622,,                601426,             12318328,,,                     17,,                  3258,,                360954,,                103527,,             13825449,,                 14809,                 14809,                125121,,              2486295,                226148,                              0,,                132415,              2844858,             17277993,             29596321,,,,,              5533269,,                     26,,                  7509,,              1901422,,                127825,,              1153114,              1838430,                347540,,,              1132847,                159524,              1292371,             11048392,,,              5708903,,                151486,,,                409294,                409294,                213863,                    300,                623457,              6483846,             17532238,,,,              2538208,              2614354,,                308630,,              1355627,                              0,,              7128300,              8483927,,                  2830,             11409741,                654342,             12064083,             29596321,              0,              0,                685316,                 76146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2014年03月31日,,,,              1782238,,                     82,,                128876,,                 56325,,              5019953,,                 24753,,              4315331,,                337320,             11664878,,,                     17,,                  3258,,                360954,,                103732,,             13848946,,,,                117281,,              2342906,                299058,                              0,,                188173,              2830137,             17264325,             28929203,,,,,              5755422,,                  1010,,                  6483,,              1915555,,                 88761,,                975117,                975117,                384484,,,              1481043,                118022,              1599065,             10725897,,,              4922140,,                163118,,,                414751,                414751,                213871,,                628922,              5714180,             16440077,,,,              2538208,              2538208,,                308630,,              1153469,                163449,,              7600084,              8917002,,                 32748,             11796588,                692538,             12489126,             28929203,              0,              0,,,                    300,,                308630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2049,2013年12月31日,,,,,,                              0,,                141709,,                 69275,,              4656896,,                              0,,              3960986,,                370849,             10385388,,,                     16,,                  3369,,                360954,,                 99181,,             13902937,,,,                136389,,              2337571,                222087,                              0,,                163096,              2722754,             17225600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              1185673,             27610988,,,,              5120653,,                  2792,,                 20518,,              1868197,,                 90075,,              1029653,              1029653,                315136,,,              1252797,                118764,              1371561,              9818585,,,              5210736,,                151754,,,                420165,                420165,                213850,                    300,                634315,              5996805,             15815390,,,,              2538208,              2538208,,,                308630,                308630,,              1153469,                163449,,              7065846,              8382764,,                  2154,             11231756,                563842,             11795598,              0,                              0,                              0
2049,2013年09月30日,,,,,,                    298,,                152331,,                 12347,,              4086457,,                 25480,,              4010494,,                239553,              9700392,,,                     15,,                  3369,,                345054,,                 94247,,             13273548,,,,                164789,,              2302767,                 26071,                              0,,                254282,              2583120,             16464142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              1173432,             26164534,,,,              5440010,,                  1157,,                 11505,,              1396449,,                 74361,,                844078,                844078,                214015,,,                951109,                109909,              1061018,              9042593,,,              5278661,,                150514,,,                425540,                425540,                214215,                    300,                640055,              6069230,             15111823,,,,              2538208,              2538208,,,                308630,                308630,,              1153469,                163449,,              6316729,              7633647,,                -24362,             10456123,                596588,             11052711,              0,,
2049,2013年06月30日,,,,,,                    756,,                155389,,                 17795,,              3805394,,                 20336,,              4221881,,                176381,              9633207,,,                 15060,,                  3369,,                339954,,                 88018,,             12653412,,,,                174171,,              2231733,                 18760,,,                 98039,              2348532,             15622516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              1235275,             25255723,,,,              4519794,,                    717,,                 12449,,              1595435,,                107433,,                869957,              1535312,                200178,,,              1029697,                107313,              1137010,              9108328,,,              5110926,,                153456,,,                430887,                430887,                214216,                    300,                645403,              5909785,             15018113,,,,              2464280,              2538208,,,                308630,                308630,,              1153469,                163449,,              5678209,              6995127,,                -33950,              9808015,                429595,             10237610,              0,                665355,                 73928
