證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 其他應付款－其他,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額
2313,2015年09月30日,,,,              8365930,,                 32793,,                353947,,             11580767,,                446080,,                     18,,,              7175583,              7175583,,              1270365,,                 50941,             29276424,,,                 29700,,             22916747,,                108650,                665879,,                181449,                 22513,                287639,,                 15773,                507374,             24228350,             53504774,,,,,              1347670,,                 32870,,                274099,,              9022339,,              5281162,                177120,,                170867,,,                150996,,              1964858,                125557,              2241411,             18547538,,,             12282059,,              1356853,,              1183315,              1183315,             14822227,             33369765,,,,             11918206,             11918206,,              1016898,,                850736,,              4449252,              5299988,,              1899917,             20135009,                              0,             20135009,             53504774,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,2015年06月30日,,,,              8393605,,                 32637,,                444551,,              9002692,,                366687,,                    914,,,              5801389,              5801389,,                949140,,                 49024,             25040639,,,                 31300,,             22047140,,                106060,                729507,,                154561,                 18826,                278637,,                 16794,                468818,             23382825,             48423464,,,,,              1882460,,                  3414,,                216274,,              5783218,,              5074894,                141998,,                124825,,,                131956,,              2204987,                 87128,              2424071,             15651154,,,             11584072,,              1200207,,              1201605,              1201605,             13985884,             29637038,,,,             11918206,             11918206,,              1016898,,                850736,,              3494902,              4345638,,              1505684,             18786426,                              0,             18786426,             48423464,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,2015年03月31日,,,,              9872101,,                 32637,,                435782,,              8655577,,                290418,,                  1712,,,              5042021,              5042021,,                746398,,                 53552,             25137002,,,                 50000,,             20711200,,                101730,                625650,,                216901,                 17796,                284002,,                 18977,                537676,             22026256,             47163258,,,,,              1439800,,                              0,,                 95494,,              5436310,,              3484311,                 89751,,                122481,,,                133351,,              2031836,                183103,              2348290,             13016437,,,             12713267,,              1014574,,              1219946,              1219946,             14947787,             27964224,,,,             11918206,             11918206,,              1016898,,                652071,,              3930740,              4582811,,              1681119,             19199034,                              0,             19199034,             47163258,              0,              0,              0,,                  6804,              3484311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,2014年12月31日,,,,              8044726,,                 32637,,                417867,,             10020022,,                272485,,                    914,,,              4865290,              4865290,,                805010,,                 76434,             24535385,,,                 62400,,             20542326,,                104877,                660971,,                107229,                 18496,                288581,,                 22030,                436336,             21806910,             46342295,,,,,              1455900,,                 46429,,                 62180,,              5038685,,              4309340,                 90970,,                110256,,,                131139,,              1850053,                141706,              2122898,             13236658,,,             11951927,,              1042098,,              1237955,              1237955,             14231980,             27468638,,,,             11918206,             11918206,,              1016898,,                652071,,              3477407,              4129478,,              1809075,             18873657,                              0,             18873657,             46342295,              0,              0,              0,,                              0,              4309340,              8044726,                 32637,                    914,             46342295,,,,              1455900,,                 46429,,                 62180,,              5038685,,              4309340,                 90970,,                110256,,,                131139,,              1850053,                141706,              2122898,             13236658,,,             11951927,,              1042098,,              1237955,              1237955,             14231980,             27468638,,,,             11918206,             11918206,,              1016898,,                652071,,              3477407,              4129478,,              1809075,             18873657,                              0,             18873657,,,
2313,2014年09月30日,,,,              7742192,,                 33721,,                440170,,              9052365,,                211490,,                  1716,,,              4990819,              4990819,,                765542,,                 66721,             23304736,,,                 54800,,             20118031,,                106376,                768419,,                 57518,                 18054,                281312,,                 22290,                379174,             21426800,             44731536,,,,,              1003860,,                 24498,,                              0,,              5539292,,              4420707,                 94867,,                136735,,,                118662,,              2602550,                 76499,              2797711,             14017670,,,             10852487,,                898306,,              1249235,              1249235,             13000028,             27017698,,,,             11918206,             11918206,,              1016898,,                652071,,              2710820,              3362891,,              1415843,             17713838,                              0,             17713838,             44731536,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,2014年06月30日,,,,              6923563,,                  1083,,                416799,,              7982565,,                267856,,                  2503,,,              4661757,              4661757,,                674724,,                 46139,             20984746,,,                 44900,,             19339666,,                103745,                731022,,                 24976,                 23367,                275969,,                 19875,                344187,             20563520,             41548266,,,,,              1224465,,                              0,,                 48218,,              5394054,,              3690210,                 54576,,                126225,,,                111695,,              1965146,                176852,              2253693,             12791441,,,              9879313,,                758164,,              1266076,              1266076,             11903553,             24694994,,,,             11918206,             11918206,,              1016898,,                652071,,              2129668,              2781739,,              1136429,             16853272,                              0,             16853272,             41548266,              0,              0,              0,,                  7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,2014年03月31日,,,,              8559604,,                  1083,,                574310,,              8004934,,                266190,,                  2078,,,              4124534,              4124534,,                377949,,                 46923,             21957605,,,                 24100,,             18680314,,                 77264,                815584,,                 30993,                 21685,                268894,,                 16470,                338042,             19935304,             41892909,,,,,              1249270,,                  9558,,                 28008,,              4242073,,              4029379,                 78921,,                138322,,,                111546,,              2237035,                341929,              2690510,             12466041,,,             10007319,,                788347,,              1282185,              1282185,             12077851,             24543892,,,,             11918206,             11918206,,              1016898,,                466654,,              2627624,              3094278,,              1319635,             17349017,                              0,             17349017,             41892909,              0,              0,              0,,                              0,              4029379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,2013年12月31日,,,,,,,,                717168,,              8680931,,                202110,,,,,              4105826,              4105826,,                361634,,                 63126,             20782242,,,                 22300,,             17402623,,                 80486,                844105,,                  2040,                 13348,                271565,,                 18725,                305678,             18655192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              6648648,                  1083,                  1716,             39437434,,,,              1222005,,                 12717,,                 97043,,              4061854,,              3568797,                110510,,                159041,,,                114338,,              1332706,                 91186,              1538230,             10770197,,,              9572544,,                778196,,              1297154,              1297154,             11647894,             22418091,,,,             11918206,             11918206,,              1016898,,                466654,,              2293285,              2759939,,              1324300,             17019343,                              0,             17019343,              3568797,,
2313,2013年09月30日,,,,,,,,                543286,,              8419956,,                351008,,,,,              4240610,              4240610,,                370943,,                 48462,             21650953,,,                 25500,,             16812250,,                 77761,                909989,,                 57898,                 33020,                267126,,                 15808,                373852,             18199352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  9722,,              7664417,                  1075,                  1474,             39850305,,,,              1123660,,                              0,,                 22119,,              5504023,,              3400174,                121756,,                171553,,,                115158,,              1339032,                 91308,              1545498,             11888783,,,              9857905,,                671653,,              1297593,              1297593,             11827151,             23715934,,,,             11918206,             11918206,,              1016898,,                466654,,              1627269,              2093923,,              1105344,             16134371,                              0,             16134371,,,
2313,2013年06月30日,,,,,,,,                885208,,              6981854,,                224827,,,,,              3717039,              3717039,,                335008,,                 31287,             18907338,,,                 24100,,             16542438,,                 71239,                963112,,                  8513,                 32947,                271274,,                 16540,                329274,             17930163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  1680,,              6727013,                  1075,                  2347,             36837501,,,,              1410000,,                 10781,,                              0,,              3778114,,              3320773,                 95354,,                170572,,,                117280,,              2318676,                 73432,              2509388,             11294982,,,              7922691,,                630811,,              1312221,              1312221,              9865723,             21160705,,,,             11918206,             11918206,,              1016898,,                466654,,              1065300,              1531954,,              1209738,             15676796,                              0,             15676796,,,
