證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－處分資產增益,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　　 特別盈餘公積
5522,2015年09月30日,,,,                523327,,                541078,,                292122,,                128541,,              1337245,                 19861,,                  4307,,             72952677,,              3136279,,              6335586,                 79332,              6414918,             85350355,,,              1007072,,                              0,,              8969647,,                 36008,,              2086734,,                              0,                 54964,,                145996,             12300421,             97650776,,,,,             28288445,,              4542264,,                     27,,                147013,,              6770191,,                594701,                775945,,              1045238,                263251,                656478,,,              9848297,                326941,             10175238,             53258791,,,                              0,,              1867520,,                207755,,                211745,,                165294,              2452314,             55711105,,,,              8354332,              8354332,,,              8542878,                 24100,                 86776,                279251,                    154,                              0,              8933159,,              5755501,,             17690022,             23445523,,,                508647,,                689549,              1198196,             41931210,                  8461,             41939671,             97650776,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,2015年06月30日,,,,              1521723,,              1680291,,                183982,,                 66082,,              1151384,                 26408,,                  4813,,             71968786,,              3186753,,              6584205,                 80271,              6664476,             86550896,,,,,                317494,,              8807170,,                 36871,,              2095110,,                              0,                 54931,,                190056,             11501632,             98052528,,,,,             26488635,,              5190401,,                     27,,                129597,,              6886079,,                421489,                696991,,              4308596,                311009,                784992,,,             10272789,                247777,             10520566,             55738382,,,                              0,,              1939525,,                207755,,                167857,,                171070,              2486207,             58224589,,,,              8354332,              8354332,,,              8542878,                 24100,                 86776,                279251,                    154,                              0,              8933159,,              5755501,,             16516485,             22271986,,,                260740,,,                260740,             39820217,                  7722,             39827939,             98052528,              0,              0,              0,,                 96198,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,2015年03月31日,,,,              1419518,,                      9,,                260675,,                 92990,,              1517389,                 20807,,                 11307,,             71875129,,              3296060,,              6063004,                 31368,              6094372,             84588256,,,,,                317494,,              8258596,,                 38974,,              2103824,,                              0,                 54942,,                192401,             10966231,             95554487,,,,,             26192263,,              1501945,,                     27,,              1483477,,              7451200,,                803734,                407440,,                906070,                650109,                797162,,,             11601486,                273779,             11875265,             52068692,,,                              0,,              1952029,,                207755,,                122845,,                178993,              2461622,             54530314,,,,              8354332,              8354332,,,              8542878,                 24100,                 74357,                279080,                    325,                              0,              8920740,,              5254837,,             18140443,             23395280,,,                345020,,,                345020,             41015372,                  8801,             41024173,             95554487,              0,              0,              0,,                              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,2014年12月31日,,,,              2368089,,                     10,,                 89221,,                597439,,                710376,                163538,,                              0,,             71656156,,              3466415,,              5798624,                103013,              5901637,             84952881,,,                              0,,                317494,,              8185265,,                 40553,,              2112538,,                              0,                 54861,,                203721,             10914432,             95867313,,,,,             27205984,,              1584375,,                138949,,                227385,,              8583839,,                667075,                 13304,,                980443,                701970,                482507,,,             11057061,              2141760,             13198821,             53784652,,,                              0,,              1964534,,                207755,,                111642,,                174988,              2458919,             56243571,,,,              8354332,              8354332,,,              8542878,                 24100,                 74357,                 30209,                249196,                              0,              8920740,,              5254837,,             16685118,             21939955,,,                400235,,                              0,                400235,             39615262,                  8480,             39623742,             95867313,              0,              0,              0,,                              0,,                              0,,                              0,              2368089,                              0,             95867313,,,,             27205984,,              1584375,,                138949,,                227385,,              8583839,,                667075,                 13304,,                980443,                701970,                482507,,,             11057061,              2141760,             13198821,             53784652,,,                              0,,              1964534,,                207755,,                111642,,                174988,              2458919,             56243571,,,,              8354332,              8354332,,,              8542878,                 24100,                 74357,                 30209,                249196,                              0,              8920740,,              5254837,,             16685118,             21939955,,,                400235,,                              0,                400235,             39615262,                  8480,             39623742,,,
5522,2014年09月30日,,,,                365381,,                     10,,                 79542,,                207371,,                119468,                140495,,                  6593,,             67113627,,              3813551,,              8099527,                117908,              8217435,             80063473,,,                              0,,                317661,,              3779008,,              4133735,,              9055340,,                 18172,                 41054,,                218603,             17563573,             97627046,,,,,             26289451,,              1720750,,                141608,,                171682,,              6729688,,                486749,                148758,,                836193,              1272090,                588187,,,             10041457,              1140864,             11182321,             49567477,,,              1025679,,              6954422,,                207760,,                 44487,,                189922,              8422270,             57989747,,,,              8354332,              8354332,,,              8542878,                 24100,                 48957,                 30209,                249196,                              0,              8895340,,              5254837,,             13828411,             19083248,,,                216303,,                              0,                216303,             36549223,              3088076,             39637299,             97627046,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,2014年06月30日,,,,                640071,,                     10,,                147784,,                 78604,,                471404,                122959,,                 34966,,             63641804,,              3548643,,              7728399,                119272,              7847671,             76533916,,,,,                317661,,              3693286,,              3642531,,              8655099,,                 18172,                 41114,,                210152,             16578015,             93111931,,,,,             25843547,,              1122622,,                137361,,                 92230,,              6639625,,                320865,                              0,,              2061274,              1082369,                695011,,,              9119745,              1016923,             10136668,             48131572,,,              1013725,,              6246072,,                208111,,                 18161,,                358431,              7844500,             55976072,,,,              8354332,              8354332,,,              8542878,                 24100,                  6350,                 30209,                249196,                              0,              8852733,,              5254837,,             13019916,             18274753,,,                 87770,,,                 87770,             35569588,              1566271,             37135859,             93111931,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,2014年03月31日,,,,                396206,,                     13,,                113221,,                 75249,,                403600,                 70559,,                 29802,,             60890031,,              3478220,,              8003027,                107651,              8110678,             73691777,,,,,                317744,,              3781221,,              1828739,,              8509785,,                 18172,                 41109,,                231870,             14728640,             88420417,,,,,             23781571,,              1185805,,                 56698,,                209051,,              5362084,,                355918,                  8230,,              1011485,              1280976,                590146,,,              8821366,                165817,              8987183,             42877447,,,              1786301,,              5555235,,                208086,,                 37566,,                187210,              7774398,             50651845,,,,              8354332,              8354332,,,              8542878,                 24100,                  2086,                 30209,                249196,                              0,              8848469,,              4585393,,             14782787,             19368180,,,                182515,,,                182515,             36753496,              1015076,             37768572,             88420417,              0,              0,              0,,                124198,,                              0,,                 48300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5522,2013年12月31日,,,,,,                     13,,                143165,,                107615,,                486131,                163371,,,,             57860834,,              3417455,,              8157671,                117409,              8275080,             70935264,,,,,                317744,,              3907504,,              1658384,,              7914757,,                 18172,                 45043,,                232211,             14093815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 21610,,,,,                409160,                 50830,             85029079,,,,             19253242,,              1193380,,                 87328,,              1714377,,              6370384,,                372960,                  5467,,              1019151,              1558747,                454402,,,              8974232,                203727,              9177959,             41207397,,,              1812585,,              4969398,,                208266,,                 45828,,                165538,              7201615,             48409012,,,,              8354332,              8354332,,,              8542878,                 24100,                  2086,                 21840,                257565,                              0,              8848469,,              4585393,,             13596873,             18182266,,,                215549,,                              0,                215549,             35600616,              1019451,             36620067,,                              0,
5522,2013年09月30日,,,,,,                372990,,                155425,,                190393,,                280018,                 46368,,,,             51300491,,              3025996,,              7744413,                451821,              8196234,             63914815,,,,,                317744,,              3586922,,              1457224,,              6988901,,                 18172,                 45050,,                237310,             12651323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,,,,                342901,                  3999,             76566138,,,,             20958169,,                548138,,                 37200,,                229020,,              4772677,,                281600,                 26629,,                292803,              1246867,                226125,,,              9018872,                504964,              9523836,             38143064,,,              1796381,,              4996532,,                208307,,                 32488,,                165554,              7199262,             45342326,,,,              7714332,              7714332,,,              5982878,                 24100,                  7326,                 21840,                257565,                              0,              6293709,,              4585393,,             11684230,             16269623,,,                143339,,                              0,                143339,             30421003,                802809,             31223812,,,
5522,2013年06月30日,,,,,,              1828010,,                238755,,                 26494,,                 93636,                 86688,,,,             48116686,,              2382676,,              7256014,                352240,              7608254,             60958881,,,,,                317744,,              3666805,,              1269219,,              6370379,,                 18172,                 45047,,                244950,             11932316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 48464,,,,,                523091,                  6127,             72891197,,,,             19279969,,                374179,,                 47652,,                 77149,,              4723739,,                145803,                  6422,,              3217543,                163358,                428759,,,              7389635,                 75732,              7465367,             35929940,,,              1780340,,              4633135,,                208293,,                 42946,,                168174,              6832888,             42762828,,,,              7714332,              7714332,,,              5982878,                 24100,                  2086,                 21840,                257565,                              0,              6288469,,              4585393,,             10682958,             15268351,,,                179029,,                              0,                179029,             29450181,                678188,             30128369,,,
