證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 債券換股權利證書,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 債券換股權利證書,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　 庫藏股票
3019,2015年09月30日,,,,              7236888,,                              0,,                              0,,                  1163,,              4478998,,                 13712,,              3655368,,                 94484,                342174,                436658,             15822787,,,                160631,,                431805,,              6078785,,                  5191,,                 35446,                 28108,,                 87256,                  9645,                 60463,                145774,                303138,              7043104,             22865891,,,,,              1281930,,                  5425,,              2771276,,                 36510,,              1529800,                120433,,                226996,                226996,              5972370,,,                435391,,                 36435,,                 89960,                 21646,                111606,                583432,              6555802,,,,              2810839,                              0,              2810839,,              5764809,,              1542661,                  5797,,                783032,              2331490,,                712437,             11619575,              4690514,             16310089,             22865891,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,2015年06月30日,,,,              6795431,,                    172,,                 27945,,                    807,,              4183698,,                 15135,,              3516010,,                 87277,                298757,                386034,             14925232,,,                150808,,                420345,,              6155699,,                  5753,,                 33323,                 26968,,                 86977,                 12133,                 56766,                141411,                297287,              7090183,             22015415,,,,,              1505968,,                  6855,,              2540851,,                 33080,,              1616589,                 88553,,                237367,                237367,              6029263,,,                433115,,                 37141,,                 92525,                  1128,                 93653,                563909,              6593172,,,,              2810839,,              2810839,,              5762791,,              1542661,                  5797,,                602429,              2150887,,                202432,             10926949,              4495294,             15422243,             22015415,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,2015年03月31日,,,,              6763205,,                  5522,,                 29801,,                  1858,,              4017474,,                 13711,,              3549331,,                 84642,                299141,                383783,             14764685,,,                152958,,                459389,,              6388134,,                  6626,,                 31060,                 26720,,                 99053,                 12289,                 57575,                144104,                313021,              7377908,             22142593,,,,,              1860785,,                 17509,,              2117118,,                 30709,,              1341666,                 95454,,                203823,                203823,              5667064,,,                430854,,                 36796,,                 95036,                  1117,                 96153,                563803,              6230867,,,,              2810839,,              2810839,,              5723989,,              1542661,                  5797,,                543818,              2092276,,                322152,             10949256,              4962470,             15911726,             22142593,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,2014年12月31日,,,,              6846598,,                     45,,                 30216,,                  1329,,              4346945,,                 25224,,              3671765,,                 72549,                359444,                431993,             15354115,,,                154669,,                469151,,              6577956,,                  7551,,                 33033,                 26259,,                198792,                 14995,                 31956,                147106,                392849,              7661468,             23015583,,,,,              2166443,,                 25880,,              2646115,,                 29200,,              1207183,                 89325,,                168258,                168258,              6332404,,,                428625,,                 37647,,                 97404,                  1107,                 98511,                564783,              6897187,,,,              2810839,                              0,              2810839,,              5723989,,              1542661,                  5797,,                594476,              2142934,,                437858,             11115620,              5002776,             16118396,             23015583,              0,              0,              0,,                              0,              6846598,             23015583,,,,              2166443,,                 25880,,              2646115,,                 29200,,              1207183,              1207183,                 89325,,,                              0,                168258,                168258,              6332404,,,                428625,,                 37647,,                 97404,                  1107,                 98511,                564783,              6897187,,,,              2810839,              2810839,,              5723989,,              1542661,                  5797,,                594476,              2142934,,                437858,             11115620,              5002776,             16118396,,,,,,
3019,2014年09月30日,,,,              6458421,,                     45,,                 30057,,                 17348,,              4352325,,                              0,,              3383943,,                 85866,                332773,                418639,             14660778,,,                801800,,                218598,,              6684584,,                  8228,,                 34798,                 22868,,                158836,                  9448,                 30664,                141883,                340831,              8111707,             22772485,,,,,              2169937,,                 23227,,              2366167,,                 30739,,              1435379,                 79773,,                113062,                113062,              6218284,,,                426395,,                 36829,,                 82123,                  1342,                 83465,                546689,              6764973,,,,              2810385,                    455,              2810840,,              5984940,,              1542661,                  5797,,                785639,              2334097,,                 55997,             11185874,              4821638,             16007512,             22772485,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,2014年06月30日,,,,              6761780,,                 60194,,                 45228,,                  1041,,              3985948,,                              0,,              3431600,,                 83971,                319302,                403273,             14689064,,,                788468,,                255580,,              6920927,,                  8468,,                 34971,                 23916,,                 75672,                  9259,                 30154,                140551,                255636,              8287966,             22977030,,,,,              2278854,,                 24894,,              2394113,,                 48806,,              1689893,                 73381,,                102707,                108471,              6618412,,,                424166,,                 36829,,                 90026,                  1293,                 91319,                552314,              7170726,,,,              2810385,,              2810385,,              5983395,,              1542661,                  5797,,                784998,              2333456,,               -119029,             11008207,              4798097,             15806304,             22977030,              0,              0,              0,,                  5764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,2014年03月31日,,,,              7421255,,                    249,,                 30470,,                  2108,,              4229798,,                              0,,              3577344,,              1084078,                341948,              1426026,             16687250,,,                804441,,                249454,,              7335294,,                  8420,,                 30305,                 22114,,                 58858,                  9269,                 30765,                144586,                243478,              8693506,             25380756,,,,,              2177082,,                 17732,,              2294833,,                 49364,,              2227884,                 67739,,                132009,              2132121,              8966755,,,                              0,,                 42135,,                 96383,                  1244,                 97627,                139762,              9106517,,,,              2810385,,              2810385,,              5722593,,              1542661,                  5797,,                774821,              2323279,,                 90824,             10947081,              5327158,             16274239,             25380756,              0,              0,              0,,              2000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,2013年12月31日,,,,,,                    990,,                 29805,,                    252,,              4703082,,                              0,,              3712575,,              1080997,                357530,              1438527,             17216141,,,                786884,,                226753,,              7558575,,                 10570,,                 31763,                 21559,,                 59084,                 11848,                 30094,                143364,                244390,              8880494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              7330910,             26096635,,,,              2120626,,                 32108,,              3033721,,                 66620,,              2416422,              2416422,                 65560,,,              1991690,                108236,              2099926,              9834983,,,                              0,,                 36830,,                103350,                  1196,                104546,                141376,              9976359,,,,              2810385,              2810385,,              5722593,,              1542661,                  5797,,                941659,              2490117,,                -99441,             10923654,              5196622,             16120276,                              0,,                              0,,                              0,
3019,2013年09月30日,,,,,,                  1855,,                              0,,                    451,,              4560522,,,,              3546635,,              1161116,                312210,              1473326,             13235701,,,                780680,,              1250698,,              7158045,,                              0,,                 34173,                 22338,,                 53198,                  8924,                 29856,                135266,                227244,              9473178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              3652912,             22708879,,,,              2109820,,                450745,,              2703712,,                116619,,,              1226888,                 22574,,,              1983282,                111670,              2094952,              8725310,,,                  9329,,                 36370,,                 96536,                  1503,                 98039,                143738,              8869048,,,,              2810385,              2810385,,              5721784,,              1542661,                  5797,,              2134404,              3682862,,               -176336,             12038695,              1801136,             13839831,                              0,,,,,
3019,2013年06月30日,,,,,,                  1243,,                              0,,                    340,,              4766365,,,,              3126094,,              1293786,                349340,              1643126,             13504498,,,                790712,,              1237514,,              7379125,,                              0,,                 36247,                 27765,,                 64261,                  9884,                 15265,                138452,                227862,              9699225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              3967330,             23203723,,,,              2460393,,                  7397,,              2847040,,                 91980,,,              1281263,                 32053,,,              2158542,                309771,              2468313,              9191084,,,                136226,,                 36370,,                 99656,                  1506,                101162,                273758,              9464842,,,,              2810385,              2810385,,              5705932,,              1542661,                  5797,,              2074371,              3622829,,                -60804,             12078342,              1660539,             13738881,,,                  2645,,,
3019,2013年03月31日,,,,,,                  1346,,                 20000,,                    817,,              4307466,,,,              3148770,,                277718,                505132,                782850,             11945017,,,                787412,,              1253257,,              6907206,,                              0,,                 37187,                 36018,,                782527,                  9789,                              0,                136963,              1529279,             10550359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              3683768,             22495376,,,,              2219974,,                 11270,,              2106366,,                 67231,,              1250383,              1250383,                 27495,,,                186838,                374030,                560868,              6255076,,,              2153054,,                 35558,,                104473,                  1509,                105982,              2294594,              8549670,,,,              2810385,              2810385,,              5698742,,              1542661,                  5797,,              2063934,              3612392,,               -173998,             11947521,              1998185,             13945706,,,                 11489,,                600000,
