證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
8249,2015年09月30日,,,,              2005265,,                 99216,,                813771,,                  6549,,                248257,,                 65766,              3238824,,,                386901,,                307241,,                961832,,                  8687,                 27854,,                 72084,              1764599,              5003423,,,,,                              0,,                    839,,                823125,,                103158,,                281747,                114392,,                 17652,              1340913,,,                 61221,                 61221,              1402134,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                363300,                 39847,,                707437,              1110584,,,                424870,,                117818,                542688,              3601289,              3601289,              5003423,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,2015年06月30日,,,,              1813655,,                298031,,                776379,,                  5274,,                277676,,                 43251,              3214266,,,                386573,,                311675,,                981101,,                  8504,                 31089,,                 73729,              1792671,              5006937,,,,,                              0,,,,                789435,,                104553,,                546672,                 41589,,                 17965,              1500214,,,                 95436,                 95436,              1595650,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                363300,                 39847,,                566828,                969975,,,                369586,,                123709,                493295,              3411287,              3411287,              5006937,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,2015年03月31日,,,,              1790029,,                235975,,                610247,,                  8328,,                303044,,                 30041,              2977664,,,                474334,,                322318,,                980498,,                  8938,                 32074,,                 90663,              1908825,              4886489,,,,,                              0,,,,                681694,,                 87559,,                260050,                 58244,,                 18935,              1106482,,,                 86103,                 86103,              1192585,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                332450,                 39847,,                754892,              1127189,,,                393301,,                225397,                618698,              3693904,              3693904,              4886489,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,2014年12月31日,,,,              1713827,,                216735,,                688345,,                  1822,,                432249,,                 49770,              3102748,,,                483749,,                316955,,                987475,,                  9844,                 30282,,                 83074,              1911379,              5014127,,,,,                 62315,,                              0,,                802554,,                 94028,,                279199,                 40288,,                 21729,              1300113,,,                 81913,                 81913,              1382026,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                332450,                 39847,,                689294,              1061591,,,                391315,,                231178,                622493,              3632101,              3632101,              5014127,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,2014年09月30日,,,,              1714445,,                144874,,                952627,,                  9682,,                309942,,                 55617,              3187187,,,                499452,,                319421,,              1018641,,                  8773,                 25262,,                 84680,              1956229,              5143416,,,,,                212619,,                              0,,                875528,,                114317,,                255344,                 46240,,                 21853,              1525901,,,                 83545,                 83545,              1609446,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                332450,                 39847,,                649990,              1022287,,,                313385,,                250281,                563666,              3533970,              3533970,              5143416,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,2014年06月30日,,,,              1590813,,                235175,,                840808,,                  7992,,                365435,,                 41879,              3082102,,,                527239,,                325668,,              1047549,,                  9259,                 13787,,                 85351,              2008853,              5090955,,,,,                218031,,,,                879846,,                 74668,,                397860,                 36498,,                 21646,              1628549,,,                 75982,                 75982,              1704531,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                332450,                 39847,,                529173,                901470,,,                253930,,                283007,                536937,              3386424,              3386424,              5090955,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,2014年03月31日,,,,              1402018,,                306151,,                754415,,                  5235,,                392050,,                 49421,              2909290,,,                561115,,                325489,,              1088780,,                  7282,                 14864,,                 69275,              2066805,              4976095,,,,,                150735,,,,                918781,,                              0,,                205966,                 68054,,                 21624,              1372160,,,                 65045,                 65045,              1437205,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                313520,                 39847,,                621079,                974446,,,                296129,,                320298,                616427,              3538890,              3538890,              4976095,              0,              0,              0,,,,                  7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8249,2013年12月31日,,,,,,                284893,,                746860,,,,                435480,,                 41468,              2938413,,,                572683,,                314345,,              1121326,,                  7333,                 15858,,                 69436,              2100981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1429712,              5039394,,,,                120059,,              1052941,,                              0,,                240785,                 53651,,                 29097,              1496533,,,                 58652,                 58652,              1555185,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                313520,                 39847,,                550358,                903725,,,                306053,,                326414,                632467,              3484209,              3484209,,                              0,,                              0,,                              0,,                              0
8249,2013年09月30日,,,,,,                157195,,                928372,,,,                275750,,                 41678,              2793077,,,                498587,,                290861,,              1143097,,                  7061,                 21138,,                 71238,              2031982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1390082,              4825059,,,,                237439,,                986157,,                              0,,                209132,                 57967,,                 20421,              1511116,,,                 39311,                 40277,              1551393,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                313520,                 39847,,                479947,                833314,,,                262154,,                230181,                492335,              3273666,              3273666,,                    966,,,,,,
8249,2013年06月30日,,,,,,                220148,,                863665,,,,                253092,,                 35679,              2643639,,,                450645,,                279649,,              1170097,,                  6374,                 21196,,                 71994,              1999955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,              1271055,              4643594,,,,                211406,,                867430,,                              0,,                314702,                 22150,,                 26635,              1442428,,,                 39311,                 40447,              1482875,,,,              1270550,              1270550,,,                673471,                  3996,                677467,,                313520,                 39847,,                397306,                750673,,,                289551,,                172478,                462029,              3160719,              3160719,,                  1136,,                    105,,                              0,,                              0
