證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 其他流動資產－其他,　　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　　 庫藏股票,　　　 非控制權益,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 非控制權益,　　　　 其他流動負債－其他,　　　　　 國外營運機構財務報表換算之兌換差額 －母公司,　　　 庫藏股票,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額
1541,2015年09月30日,,,,                 33270,,              1235990,,                 22272,,                416214,,                 21179,,                  4504,              1733429,,,                499518,,                 94318,                 17182,,                 11272,                  2650,,                 29047,                 42969,                653987,              2387416,,,,,                462700,,                309086,,                235710,,                 94774,                 37747,,                    851,,,                  5555,                 16717,                 22272,              1163140,,,                 44445,,                 31674,,                 14141,,                     18,                     18,                 90278,              1253418,,,,                788000,                788000,,,                  1364,                  1364,,                111609,,                223964,                335573,,,                  9061,                  9061,              1133998,              1133998,              2387416,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,2015年06月30日,,,,                 58370,,                837543,,                 17378,,                431790,,                 27184,,                  1174,              1374160,,,                507094,,                 97641,                 14836,,                  3411,                  3930,,                 30033,                 37374,                656945,              2031105,,,,,                358800,,                221628,,                204209,,                214987,                 16734,,                  1526,,,,,                 11247,              1029131,,,,,                 24464,,                    477,,                     18,                     18,                 24959,              1054090,,,,                788000,                788000,,,                  1364,                  1364,,                111609,,                 73799,                185408,,,                  2243,                  2243,                977015,                977015,              2031105,              0,              0,              0,,                    721,                  1174,                  2243,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,2015年03月31日,,,,                 18685,,                882663,,                 18495,,                415732,,                 19830,,                  2829,              1358234,,,                514043,,                101195,                 20113,,                  3172,                  3930,,                 31027,                 38129,                673480,              2031714,,,,,                440040,,                206128,,                190482,,                 73872,                 12574,,                  1509,,,,,                  9918,                934523,,,,,                 23101,,                    777,,                     18,                     18,                 23896,                958419,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                183694,                280311,,,                  3620,                  3620,              1073295,              1073295,              2031714,,              0,              0,,                              0,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,2014年12月31日,,,,                 23946,,                941909,,                 23588,,                403170,,                 19429,,                    729,              1412771,,,                521274,,                104758,                 21411,,                  1404,                  3930,,                 32061,                 37395,                684838,              2097609,,,,,                528170,,                232275,,                178527,,                 79430,                              0,,                  1447,,,                              0,                  6135,                  6135,              1025984,,,                              0,,                 23817,,                  7356,,                     18,                     18,                 31191,              1057175,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                149920,                246537,,,                  4533,                  4533,              1040434,              1040434,              2097609,              0,              0,              0,,                              0,                    729,                  4533,                              0,                              0,                 23946,              2097609,,,,                528170,,                232275,,                178527,,                 79430,                              0,,                  1447,,                  6135,              1025984,,,                 23817,,                  7356,,                     18,                              0,                     18,                 31191,              1057175,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                149920,                246537,,,                  4533,                  4533,              1040434,              1040434,,,,,,
1541,2014年09月30日,,,,                 11845,,                901351,,                 21106,,                419601,,                 19311,,                  3509,              1376723,,,                526394,,                107800,                 31565,,                  2279,                  3930,,                 33911,                 40120,                705879,              2082602,,,,,                538400,,                275557,,                193709,,                 69411,                    601,,                              0,,,                              0,                  2137,                  2137,              1079815,,,                              0,,                 25041,,                  3242,,                     18,                     18,                 28301,              1108116,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                 87589,                184206,,,                    916,                    916,                974486,                974486,              2082602,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,2014年06月30日,,,,                 17477,,                821704,,                 18558,,                421912,,                 30963,,                  4434,              1315073,,,                537433,,                111022,                 38918,,                  4655,                  3647,,                 32517,                 40819,                728192,              2043265,,,,,                533700,,                258330,,                215468,,                 66393,                     58,,                    946,,,,,                 20656,              1095551,,,,,                 22863,,                    608,,                     18,                     18,                 23489,              1119040,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                 38976,                135593,,,                   -732,                   -732,                924225,                924225,              2043265,              0,              0,              0,,                     25,                  4434,                   -732,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,2014年03月31日,,,,                 15080,,                774040,,                 17677,,                352129,,                 28406,,                  2860,              1190208,,,                547534,,                114580,                 41081,,                  4157,                  2622,,                 33034,                 39813,                743008,              1933216,,,,,                535800,,                171985,,                212576,,                 58397,                     58,,                    878,,,,,                 11619,                991313,,,,,                 22440,,                  2712,,                     18,                     18,                 25170,              1016483,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                 29442,                126059,,,                  1310,                  1310,                916733,                916733,              1933216,,              0,              0,,                     16,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1541,2013年12月31日,,,,,,                587179,,                 17557,,                387134,,                 22552,,                  3712,              1041487,,,                536023,,                117965,                 48045,,                 10236,                  1738,,                 33869,                 45843,                747876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                     76,,,,,                 23277,              1789363,,,,                453400,,                148585,,                221349,,                 57957,                     58,,                    767,,                  8366,                890482,,,                 20764,,                  1730,,                     18,                              0,                     18,                 22512,                912994,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                 -9890,                 86727,,,                    278,                    278,                876369,                876369,                              0,,,,,
1541,2013年09月30日,,,,,,                610124,,                 18770,,                338731,,                 21143,,                  1687,              1003714,,,                562669,,                121400,                 32536,,                  6410,                  1854,,                 34398,                 42662,                759267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    349,,,,,                 12910,              1762981,,,,                425800,,                141142,,                208544,,                 61604,                              0,,                    751,,                  4545,                842386,,,                 20813,,                    702,,                     18,,                     18,                 21533,                863919,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                 12633,                109250,,,                    448,                    448,                899062,                899062,                              0,,,,,
1541,2013年06月30日,,,,,,                597974,,                 17261,,                301542,,                 23771,,                  1745,                956972,,,                547395,,                124993,                 31870,,                 24351,                  2420,,                 34956,                 61727,                765985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                    230,                  1745,,,,                 14449,              1722957,,,,                468750,,                135901,,                128979,,                 47506,                  4302,,                    721,,                    812,                786971,,,                 19952,,                  1612,,                     18,,                     18,                 21582,                808553,,,,                788000,                788000,,,                  1364,                  1364,,                 96617,,                 27735,                124352,,,                    688,                    688,                914404,                914404,                              0,                    812,                    688,                              0,,
