證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－土地增值稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 長期應收票據及款項－關係人,　　　　　 長期應收票據及款項－關係人淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額
1514,2015年09月30日,,,,                411464,,                  1025,,                  4668,,                 25596,,              1826224,,                 24281,                175772,,                 51382,,                 29678,,                  1468,,,                834304,                834304,,                 77100,,                    888,                    888,              3463850,,,                     40,,                 86883,,                247315,,              1000500,,                361959,,                 14555,                 10905,,                    622,                 23966,                  2347,,                  9748,                 36683,              1758840,              5222690,,,,,                665967,,                 72017,,                970418,,                 89304,                 30544,,                121672,                 13861,,                 26975,,,                153788,,                              0,                  1454,                155242,              2146000,,,                174220,                174220,,                140667,                  3094,                  5869,                149630,                323850,              2469850,,,,              2010670,              2010670,,                 60165,,                 47620,                456407,,                154480,                658507,,                  4963,                 41616,              2692689,                 60151,              2752840,              5222690,              0,              0,      2362712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2015年06月30日,,,,                405454,,                              0,,                  5344,,                 67934,,              1713290,,                 32752,                112960,,                 61004,,                 39834,,                  1448,,,                640434,                640434,,                 48486,,                    697,                    697,              3129637,,,                     46,,                 84743,,                234234,,                999024,,                362448,,                 10613,                 14166,,                    942,                 25730,                  2335,,                  9748,                 38755,              1744029,              4873666,,,,,                588414,,                 23321,,                746758,,                166458,                 39317,,                190416,                  7332,,                 27062,,,                 75008,,                    600,                  1292,                 76900,              1866148,,,                174220,                174220,,                143958,                  3091,                  5869,                152918,                327138,              2193286,,,,              2010670,              2010670,,                 59102,,                 47620,                456608,,                 88821,                593049,,                  2899,                 41616,              2624104,                 56276,              2680380,              4873666,              0,              0,      2362712,,                    170,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2015年03月31日,,,,                394443,,                    573,,                  6138,,                 70236,,              1668501,,                 69608,                 24561,,                 61826,,                 28372,,                  2234,,,                659083,                659083,,                 45520,,,                    408,              3031503,,,                     47,,                 85343,,                237482,,                999715,,                362938,,                  9916,                 14093,,                              0,                 26483,                  2324,,                  9748,                 38555,              1748089,              4779592,,,,,                690485,,                 28214,,                720814,,                 64644,                  9382,,                 93145,                    990,,                 26401,,,                 61346,,                  2450,                  1379,                 65175,              1699250,,,                174220,                174220,,                147250,                  3018,                  5869,                156137,                330357,              2029607,,,,              2010670,              2010670,,                 59102,,                 36757,                463942,,                159956,                660655,,                  3808,                 41616,              2692619,                 57366,              2749985,              4779592,              0,              0,      2362712,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2014年12月31日,,,,                369359,,                  1538,,                  5630,,                 51146,,              1549047,,                 69388,                112690,,                 88982,,                 28724,,                  2137,,,                657599,                657599,,                 45782,,                    281,                    281,              2982303,,,                     39,,                 85933,,                223622,,              1002060,,                363428,,                  9403,                 15269,,                              0,                 27388,                  2312,,                  9748,                 39448,              1739202,              4721505,,,,,                510944,,                 33440,,                839668,,                 22732,                 18534,,                129010,                              0,,                 24992,,,                 71840,,                  4300,                    913,                 77053,              1656373,,,                174220,                174220,,                150480,                  2937,                  5869,                159286,                333506,              1989879,,,,              2010670,              2010670,,                 59102,,                 36757,                464143,,                138565,                639465,,                  5045,                 41616,              2672666,                 58960,              2731626,              4721505,              0,              0,      2362712,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2014年09月30日,,,,                341877,,                    865,,                  3884,,                 45254,,              1397213,,                 33484,                 79293,,                 63563,,                 26772,,                  2100,,,                841286,                841286,,                 34053,,                    481,                    481,              2870125,,,                     43,,                 84293,,                248094,,              1000678,,                363918,,                  7689,                 22350,,                    757,                 25598,                  1757,,                  9748,                 37860,              1764925,              4635050,,,,,                608036,,                 56740,,                710610,,                 45966,                  7554,,                102525,                              0,,                 27961,,,                 63133,,                  6150,                  1815,                 71098,              1630490,,,                174220,                174220,,                149111,                  2780,                  5870,                157761,                331981,              1962471,,,,              2010670,              2010670,,                 59102,,                 36757,                464344,,                 84625,                585726,,                  2104,                 41616,              2615986,                 56593,              2672579,              4635050,              0,              0,      2362712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2014年06月30日,,,,                507907,,                              0,,                  2728,,                 87705,,              1211973,,                 20972,                103550,,                 57547,,                 34705,,                              0,,,                717038,                717038,,                 27962,,                    453,                    453,              2772540,,,                     44,,                 82983,,                246074,,              1000137,,                364408,,                  7928,                 23459,,                    758,                 26604,                  1748,,                  9748,                 38858,              1763891,              4536431,,,,,                511225,,                 28434,,                625312,,                 95397,                 33610,,                160346,                    121,,                 27167,,,                 69119,,                  7400,                  1593,                 78112,              1559823,,,                174220,                174220,,                160852,                  2493,                  5870,                169215,                344035,              1903858,,,,              2010670,              2010670,,                 58393,,                 36757,                464544,,                 49288,                550589,,                    259,                 41616,              2578295,                 54278,              2632573,              4536431,              0,              0,      2362712,,                     99,,                    600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2014年03月31日,,,,                434861,,                  2644,,                  2609,,                 80209,,              1179610,,                  6743,                102919,,                 59875,,                 26501,,                              0,,,                865683,                865683,,                 31363,,,                    323,              2793340,,,                     47,,                 84023,,                264030,,                990639,,                374881,,                  8543,                 23211,,                    384,                 31408,                  1740,,                  9748,                 43280,              1788654,              4581994,,,,,                558929,,                 19560,,                661060,,                 67958,                  6318,,                 93507,                  3962,,                 27286,,,                 82746,,                  7400,                  1473,                 91619,              1530199,,,                174220,                174220,,                163980,                  2493,                  5869,                172342,                349012,              1879211,,,,              2010670,              2010670,,                 58393,,                 29792,                464745,,                123381,                617918,,                  2076,                 41616,              2647441,                 55342,              2702783,              4581994,              0,              0,      2362712,,,,                  2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,2013年12月31日,,,,,,                    417,,                    766,,                126510,,              1327305,,                  7654,                 67729,,                 80961,,                 26631,,,,,                666375,                666375,,                 31215,,                    465,                    465,              2742380,,,                     54,,                 84073,,                254607,,                992631,,                375394,,                  9124,                 18779,,,                 31012,,,                  9748,                 42491,              1777153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8359112,,,,,                406274,                     78,                  1731,              4519533,,,,                645321,,                 23676,,                536937,,                 65545,                 39563,,                113879,                  2536,,                 27603,,,                 75883,,                  7400,                    967,                 84250,              1539310,,,                  4300,,                174220,                174220,,                167120,                  2620,                  5869,                175609,                354129,              1893439,,,,              2010670,              2010670,,                105240,,                 29792,                489946,,                 80071,                599809,,                  1967,                147152,              2570534,                 55560,              2626094,,,,,,,,
1514,2013年09月30日,,,,,,                              0,,                    721,,                111858,,              1587048,,                 16283,                 55755,,                108861,,                     38,,,,,                730063,                730063,,                 10307,,                    272,                    272,              2943995,,,                     55,,                 83263,,                262908,,                995401,,                375908,,                  9137,                  6392,,                    900,                 42328,,,                  9786,                 54370,              1787434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8359112,,,,,                322789,                              0,                  1356,              4731429,,,,                690137,,                 31967,,                578546,,                 83381,                 81443,,                127014,                  1589,,                 28260,,,                127900,,                  7400,                  1824,                137124,              1760265,,,                  6150,,                174220,                174220,,                195858,                  2620,                  5869,                204347,                384717,              2144982,,,,              2010670,              2010670,,                105240,,                 29792,                489770,,                 42459,                562021,,                    492,                147152,              2531271,                 55176,              2586447,,                    804,,,,,,
1514,2013年06月30日,,,,,,                              0,,                    672,,                 86824,,              1758996,,                 15150,                 89949,,                114289,,                  4020,,,,,                838808,                838808,,                  9865,,                    424,                    424,              3118736,,,                     51,,                 83733,,                256487,,              1001648,,                376421,,                  9397,                  9792,,                              0,                 29156,,,                  9786,                 40292,              1777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8359112,,,,,                199739,,                  1350,              4896557,,,,                676257,,                 39996,,                795263,,                 83356,                  7180,,                225762,                    788,,                 27761,,,                 51781,,                  7400,                  1752,                 60933,              1917376,,,                  8000,,                174220,                174220,,                199012,                  2620,                  5870,                207502,                389722,              2307098,,,,              2010670,              2010670,,                101060,,                 29791,                490027,,                 40970,                560788,,                  1400,                147152,              2526766,                 62693,              2589459,,                     80,,,,,,
