證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　　 資本公積－認股權,　　　　 現金及約當現金合計,　　　　 應收所得稅退稅款,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　 按攤銷後成本衡量之金融資產－非流動,　　　　 按攤銷後成本衡量之金融資產－非流動淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　　　 一年或一營業週期內到期長期借款,　　　　 其他非流動負債－其他,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
3305,2015年09月30日,,,,              2325288,,                              0,,                 21338,,              1670239,,,                923645,                923645,,                 56015,                 90871,                146886,              5087396,,,                 20038,,                 11876,                 11876,,                224365,,              1095654,,                  1930,                  6541,,,                 14612,,                 81886,                 96498,              1456902,              6544298,,,,,              1615334,,                    126,,                109129,                  9442,,                168120,,                              0,                              0,                 10709,                178829,              1912860,,,                              0,,                278000,,                338179,,                  7482,                  7482,                623661,              2536521,,,,              1214893,              1214893,,,              1297767,              1297767,                              0,                  6556,              1304323,,                378308,                 32739,,                946274,              1357321,,,                219181,,                -15962,                203219,                 71979,              4007777,              4007777,              6544298,              0,              0,      2945000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,2015年06月30日,,,,              2389455,,                              0,,                 26286,,              1619588,,,,              1069371,,                 57330,                134057,                191387,              5296087,,,                 20038,,                 13025,                 13025,,                224500,,              1041409,,                  2278,                  6717,,,                 14524,,                 77479,                 92003,              1399970,              6696057,,,,,              1571085,,,,                108583,                 16470,,                406612,,,                              0,                 10866,                417478,              2113616,,,,,                278000,,                320228,,                  7489,                  7489,                605717,              2719333,,,,              1214893,              1214893,,,              1297767,              1297767,                              0,                  5109,              1302876,,                378308,                 32739,,                910377,              1321424,,,                153493,,                -15962,                137531,                              0,              3976724,              3976724,              6696057,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,2015年03月31日,,,,              1967734,,                              0,,                 24463,,              1725071,,,,              1178826,,                 63219,                225147,                288366,              5192241,,,                 20038,,                 13460,                 13460,,                224629,,              1048130,,                  2574,                  8493,,,                 16139,,                 80145,                 96284,              1413608,              6605849,,,,,              1421761,,                  9728,,                125171,                 22662,,                161013,,                              0,                              0,                 16919,                177932,              1757254,,,                              0,,                278000,,                327674,,                  7488,                  7488,                613162,              2370416,,,,              1214893,              1214893,,,              1297767,              1297767,                              0,                  5109,              1302876,,                347721,                 32739,,              1165675,              1546135,,,                187491,,                -15962,                171529,                              0,              4235433,              4235433,              6605849,,              0,              0,,                  7781,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,2014年12月31日,,,,              1888071,,                    682,,                 27789,,              1908358,,,              1188292,              1188292,,                 52629,                150354,                202983,              5216175,,,                 20038,,                 14416,                 14416,,                224852,,              1057908,,                  2876,                  6832,,,                 15629,,                 78743,                 94372,              1421294,              6637469,,,,,              1507640,,                              0,,                 42099,                 25058,,                181872,,                              0,                              0,                 17475,                199347,              1774144,,,                              0,,                278000,,                331065,,                  7489,                  7489,                616554,              2390698,,,,              1214893,              1214893,,,              1297767,              1297767,                              0,                  5109,              1302876,,                347721,                 32739,,              1134393,              1514853,,,                230111,,                -15962,                214149,                              0,              4246771,              4246771,              6637469,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,2014年09月30日,,,,              1859579,,                              0,,                 34731,,              1962539,,,              1135670,              1135670,,                 60514,                206898,                267412,              5259931,,,                 18761,,                 14813,                 14813,,                226348,,                687641,,                  3219,                  6353,,,                 14706,,                 85097,                 99803,              1056938,              6316869,,,,,              1585208,,                  1328,,                 98322,                 28487,,                193280,,                              0,                              0,                 13051,                206331,              1919676,,,                              0,,                              0,,                289261,,                  7543,                  7543,                296804,              2216480,,,,              1230773,              1230773,,,              1297767,              1297767,                 31031,                  5109,              1333907,,                347721,                 32739,,              1091480,              1471940,,,                143653,,                -17239,                126414,                 62645,              4100389,              4100389,              6316869,              0,              0,      1588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,2014年06月30日,,,,              1654651,,                    678,,                 32750,,              1927364,,,,              1123594,,                 71782,                115107,                186889,              4925926,,,                 29201,,                 14816,                 14816,,                226526,,                666509,,                  3592,                  6203,,,                 17035,,                 82956,                 99991,              1046838,              5972764,,,,,              1015528,,,,                198441,                 47064,,                435085,,,                              0,                 10576,                445661,              1706694,,,,,                              0,,                284667,,                  7599,                  7599,                292266,              1998960,,,,              1230773,              1230773,,,              1297767,              1297767,                 31031,                  5109,              1333907,,                347721,                 32739,,              1010951,              1391411,,,                 87157,,                 -6799,                 80358,                 62645,              3973804,              3973804,              5972764,              0,              0,      1588000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,2014年03月31日,,,,              1881414,,                              0,,                 31637,,              1852231,,,,              1004787,,                 61167,                 91081,                152248,              4922317,,,                 29201,,                 14852,                 14852,,                227051,,                631128,,                  3975,                  6158,,,                 10873,,                 97103,                107976,              1020341,              5942658,,,,,                898370,,                    134,,                124591,                 37642,,                171712,,                364566,                364566,                 10579,                546857,              1607594,,,                              0,,                              0,,                284035,,                  7655,                  7655,                291690,              1899284,,,,              1195522,              1195522,,,              1187223,              1187223,                 31031,                              0,              1226595,,                312329,                 32739,,              1212605,              1557673,,,                133028,,                 -6799,                126229,                 62645,              4043374,              4043374,              5942658,,              0,      1588000,,                              0,                  8341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,2013年12月31日,,,,,,                              0,,                 33675,,              1833345,,,,              1153373,,                 56990,                 90548,                147538,              5123231,,,                 36000,,                              0,                              0,,                228798,,                641268,,                  4350,                  5983,,,                 13318,,                 84544,                 97862,              1014261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1588000,,,,              1955300,                              0,                              0,              6137492,,,,              1240278,,                100137,                 35894,,                193733,,                390124,                390124,                 13699,                597556,              1973865,,,                              0,,                266235,,                  7714,                  7714,                273949,              2247814,,,,              1188762,              1188762,,,              1165981,              1165981,                 31031,                  9017,                              0,              1206029,,                312329,                 32739,,              1117408,              1462476,,,                 95056,,                              0,                 95056,                 62645,              3889678,              3889678,,                              0,,                              0,,                              0,,                              0,,,,
3305,2013年09月30日,,,,              1933707,,,,                 25025,,              1844467,,,,                968922,,                 77542,                 53787,                131329,              4903450,,,                 36000,,,,,                229331,,                650013,,                  4761,                  6653,,,                 10464,,                 88162,                 98626,              1025384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1588000,,,,,,,              5928834,,,,              1236669,,                 43354,                 13870,,                184553,,,                              0,                 13145,                197698,              1491602,,,,,                255582,,                  7786,                  7786,                651732,              2143334,,,,              1188762,              1188762,,,              1165981,              1165981,                 31031,                  9017,,              1206029,,                312329,                 32739,,              1034573,              1379641,,,                 73713,,,                 73713,                 62645,              3785500,              3785500,,,,,,                     11,,                388364,                              0,                              0,,
3305,2013年06月30日,,,,,,,,                 21690,,              2145913,,,,              1179662,,                 55803,                 65382,                121185,              5209108,,,                 36000,,,,,                229645,,                647435,,                  5137,                  8136,,,                  8475,,                 63974,                 72449,                998802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1588000,,,,              1740658,,,              6207910,,,,              1329723,,                 22513,                 55442,,                380417,,                              0,                              0,                 12982,                393399,              1801638,,,,,                255792,,                  7858,                  7858,                650262,              2451900,,,,              1188762,              1188762,,,              1165981,              1165981,                 31031,                  9017,                              0,              1206029,,                312329,                 32739,,                976768,              1321836,,,                102028,,                              0,                102028,                 62645,              3756010,              3756010,,                              0,,                              0,,                    561,,                386612,,,,
3305,2013年03月31日,,,,,,,,                 29526,,              2200290,,,,              1307012,,                 49951,                101605,                151556,              5170245,,,                 36000,,                              0,                              0,,                              0,,                647288,,                  5528,                  9801,,,                 10599,,                 38304,                 48903,                747520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1588000,,,,              1481861,,,              5917765,,,,              1120907,,                 71228,                 75380,,                134890,,                              0,                              0,                  9405,                144295,              1411991,,,,,                254342,,                  7935,                  7935,                647145,              2059136,,,,              1188762,              1188762,,,              1165981,              1165981,                 31031,                  9017,,              1206029,,                277103,                 32739,,              1138978,              1448820,,,                 77663,,                              0,                 77663,                 62645,              3858629,              3858629,,,,,,                    181,,                384868,,,,
3305,2012年12月31日,,,,              1423761,,,,                 26482,,              2097541,,,,              1109585,,                 60339,                106486,                166825,              4824194,,,                 36000,,,,,                              0,,                642885,,                  5568,                 13052,,,                 12194,,                 37727,                 49921,                747426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1588000,,,,,,,              5571620,,,,              1018252,,                 57383,                 65856,,                136068,,                              0,                              0,                  7697,                143765,              1285256,,,,,                227834,,                  8012,                  8012,                618977,              1904233,,,,              1188762,              1188762,,,              1165981,              1165981,                 31031,                  9017,,              1206029,,                277103,                 32739,,              1012690,              1322532,,,                 12709,,,                 12709,                 62645,              3667387,              3667387,,,,,,                              0,,                383131,                              0,                              0,,
3305,2012年09月30日,,,,              1208851,,,,                 29979,,              2058122,,,,              1377791,,                 95079,                 38339,                133418,              4808161,,,                 51000,,,,,                              0,,                648188,,                  6257,                 12636,,,                 13797,,                 41658,                 55455,                773536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1588000,,,,,,,              5581697,,,,              1111568,,                 90223,                 45610,,                124701,,,                              0,                  4065,                128766,              1376324,,,,,                221702,,                  8087,                 10812,                613917,              1990241,,,,              1188762,              1188762,,,              1165981,              1165981,                 31031,                  9017,,              1206029,,                277103,                 32739,,                934534,              1244376,,,                 14934,,,                 14934,                 62645,              3591456,              3591456,,,,,,                    157,,                381403,                              0,                  2725,,
3305,2012年06月30日,,,,              1044000,,,,                 31240,,              2355972,,,,              1651127,,                 38082,                 72388,                110470,              5192809,,,                 51000,,,,,                              0,,                590681,,                  7144,                 12038,,,                 15661,,                104682,                120343,                781206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1588000,,,,,,,              5974015,,,,              1160856,,                 47916,                 85135,,                504575,,,                              0,                 20275,                524850,              1822137,,,,,                223445,,                  8177,                  8177,                611305,              2433442,,,,              1188762,              1188762,,,              1165981,              1165981,                 31031,                  9017,,              1206029,,                277103,                 32739,,                847841,              1157683,,,                 50744,,,                 50744,                 62645,              3540573,              3540573,,,,,,                  3380,,                379683,                              0,,,
