證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 未實現售後租回利益,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 避險之衍生金融資產－流動,　　　　 避險之衍生金融負債－非流動,　　　　　 特別盈餘公積,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 存貨－其他行業,　　　　　 存貨－其他行業淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 避險之衍生金融負債－流動,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 未實現售後租回利益,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　 庫藏股票
6702,2015年09月30日,,,,              3698294,,                 34181,,                              0,,                 91695,,                 33682,,                411429,,                  2733,,                  6084,,,                708024,                708024,,              1229520,,                417182,              6632824,,,                268909,,                385035,,             15560974,,                 14531,,                 67280,                276983,,              2326694,                472428,              2799122,             19372834,             26005658,,,,,                610000,,                230000,,                  1290,                 90536,,                  7743,,                  2262,,                247233,,                 35677,,              1277509,                              0,,                 29895,,,                850475,,                851322,                851322,                722807,              2424604,              4956749,,,                  2778,,              2531702,,              9875367,,                  6566,,                 10929,,                619655,                208587,                 34331,                862573,             13289915,             18246664,,,,              6273989,                              0,                 62608,              6336597,,                666193,,                213292,,                524328,                737620,,                 18584,              7758994,                              0,              7758994,             26005658,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,2015年06月30日,,,,              4174066,,                    103,,                 50044,,                 62882,,                 36675,,                356283,,                  1139,,,,,                695326,                695326,,                828840,,                282344,              6496187,,,                275501,,                368830,,             14547007,,                 14536,,                 51069,                253435,,              3453972,                370057,              3824029,             19334407,             25830594,,,,,                790000,,                229909,,                     76,                  9843,,                  8884,,                  4713,,                249992,,                 46185,,              1208045,                 26274,,                245287,,,                795809,,                762750,                762750,                724435,              2282994,              5102202,,,                  1497,,              2378905,,              9349904,,                  5181,,                  5127,,                637221,                251188,                 39176,                927585,             12668782,             17770984,,,,              6273989,                              0,                 62608,              6336597,,                666193,,                213292,,                728907,                942199,,                114621,              8059610,                              0,              8059610,             25830594,,              0,              0,                  8485,                    583,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,2015年03月31日,,,,              3542508,,,,                              0,,                 47790,,                 16771,,                383555,,                  2366,,,,,                693745,                693745,,                553509,,                548298,              6365937,,,                263668,,                400187,,             14701470,,                 14540,,                 29894,                302953,,              2908874,                319344,              3228218,             18940930,             25306867,,,,,                 40000,,                150000,,,                 29627,,                 15436,,                  2298,,                223082,,                 42198,,              1108271,                 80907,,                466563,,,                768216,,                742800,                742800,                609128,              2120144,              4278526,,,                    625,,              2416363,,              9299623,,                  5181,,                  5127,,                675117,                302151,                 36559,              1013827,             12749015,             17027541,,,,              6260775,                              0,,              6260775,,                665350,,                182801,,              1103478,              1286279,,                 66922,              8279326,                              0,              8279326,             25306867,              0,              0,              0,,                  8269,                              0,,                577395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,2014年12月31日,,,,              4370859,,                              0,,                  1973,,                 28975,,                 45513,,                422633,,                  2087,,                              0,,,                690172,                690172,,                456191,,                144621,              6163024,,,                263629,,                405688,,             15458829,,                 14545,,                 33823,                252062,,              2720498,                334469,              3054967,             19483543,             25646567,,,,,                 40000,,                149880,,                              0,                 31607,,                  8156,,                    624,,                232303,,                 26817,,              1235808,                  9763,,                213058,,,              1128701,,                742800,                742800,                565994,              2437495,              4385511,,,                 27570,,              2541114,,              9306588,,                  5181,,                 19851,,                732675,                357297,                 32439,              1122411,             13022715,             17408226,,,,              5852294,                303035,                              0,              6155329,,                662603,,                182801,,              1164624,              1347425,,                 72984,              8238341,                              0,              8238341,             25646567,              0,        303035,              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,2014年09月30日,,,,              3986207,,                              0,,                  1921,,                 36325,,                 19641,,                380281,,                  1815,,                              0,,,                689532,                689532,,                277532,,                264270,              5657524,,,                284354,,                398638,,             13217459,,                 14550,,                 30747,                241629,,              3527095,                260043,              3787138,             17974515,             23632039,,,,,                243000,,                150000,,                              0,                              0,,                 12188,,                  1229,,                275589,,                 28438,,              1234638,                  9805,,                280053,,,                852067,,                598267,                598267,                757200,              2207534,              4442474,,,                              0,,              2162537,,              8258598,,                  5067,,                 19814,,                671845,                412442,                 35376,              1119663,             11565679,             16008153,,,,              5542207,                              0,                              0,              5542207,,                563762,,                182801,,              1210155,              1392956,,                124961,              7623886,                              0,              7623886,             23632039,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,2014年06月30日,,,,              4529267,,                              0,,                  1980,,                 35825,,                 52651,,                484462,,                  1594,,,,,                684390,                684390,,                297446,,                150534,              6238149,,,                271329,,                380027,,             13446700,,                 14554,,                 34136,                313209,,              1759490,                242909,              2002399,             16462354,             22700503,,,,,                 50000,,                150000,,                              0,                    298,,                 17382,,                  1363,,                260871,,                 23362,,              1308545,                 35528,,                              0,,,              1070598,,                598267,                598267,                599276,              2268141,              4115490,,,                              0,,              2116271,,              7739564,,                  5067,,                 66739,,                679763,                472300,                 29045,              1181108,             11108749,             15224239,,,,              5542207,                              0,                              0,              5542207,,                563762,,                182801,,              1076126,              1258927,,                111368,              7476264,                              0,              7476264,             22700503,,              0,              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,2014年03月31日,,,,              3097313,,,,                  1983,,                 35823,,                 34433,,                425591,,                  1452,,,,,                696981,                696981,,                241635,,                155214,              6107819,,,                279045,,                404544,,             12559028,,                 14559,,                 38935,                366615,,              1927951,                117240,              2045191,             15707917,             21815736,,,,,                575000,,                349861,,,                              0,,                  8960,,                  2031,,                265099,,                 24030,,              1032598,                161781,,                              0,,,                883667,,                552367,                552367,                487429,              1923463,              4342823,,,                 38849,,              2152216,,              7085991,,                  5067,,                 48136,,                686151,                              0,                 25480,                711631,             10041890,             14384713,,,,              5542207,                              0,,              5542207,,                563762,,                169500,,                858623,              1205660,,                119394,              7431023,                              0,              7431023,             21815736,              0,              0,              0,,                              0,                177537,,              1417394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6702,2013年12月31日,,,,,,,,                  2066,,,,                 21212,,                350282,,                    950,,,,,,                689841,,                237724,,                326623,              6965688,,,                268471,,                350072,,             10316721,,                 14564,,                 40275,                332747,,              2411641,                 89586,              2501227,             13824077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                  1811,,,,              1625515,              3673841,                 35823,,                689841,             20789765,,,,                130000,,                219887,                              0,,                  8544,,                    626,,                262050,,                 18634,,              1062981,                105447,,                              0,,,                871997,,              1001155,              1001155,                477139,              2350291,              4158460,,,                114004,,              2098491,,              6270895,,                  5067,,                 51727,,                693304,                              0,                 24604,                717908,              9258092,             13416552,,,,              5542207,                              0,              5542207,,                563762,,                169500,                177537,,                809565,              1156602,,                110642,              7373213,                              0,              7373213,,                              0,,,
6702,2013年09月30日,,,,,,,,                  2032,,,,                 14853,,                386612,,                  1797,,,,,,                816261,,                182720,,                259367,              2934470,,,                260273,,                328414,,             12484350,,                 14569,,                 44549,                298341,,              2280338,                104396,              2384734,             15815230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                  2129,,,,                              0,              1232878,                 35821,,                816261,             18749700,,,,                 60277,,                 30000,,,                 21829,,                  1513,,                258276,,                 20598,,              1225132,                 18750,,                  4916,,,                750492,,                573088,                573088,                498420,              1822000,              3463342,,,                              0,,                              0,,              7342139,,                              0,,                 73258,,                681276,                              0,                 25117,                706393,              8121790,             11585132,,,,              5542207,,              5542207,,                563762,,                169500,                177537,,                611370,                958407,,                100192,              7164568,                              0,              7164568,,                     51,,,
6702,2013年06月30日,,,,,,,,                  2091,,,,                 36615,,                421072,,                  1152,,,,,                818679,                818679,,                181579,,                231793,              2839601,,,                265190,,                340864,,             12859731,,                 14573,,                 47424,                322094,,              1739889,                103836,              1843725,             15693601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,,,                              0,              1108449,                 38171,,,             18533202,,,,                 10000,,                 45000,                  3109,,                 13227,,                  1724,,                555457,,                 35485,,              1197164,                 11608,,                  4916,,,                758568,,                576550,                576550,                507188,              1842306,              3719996,,,                              0,,                              0,,              6948560,,                              0,,                 88257,,                687774,                              0,                 24831,                712605,              7749422,             11469418,,,,              5542207,,              5542207,,                563762,,                169500,                177537,,                507700,                854737,,                103078,              7063784,                              0,              7063784,,,,,
