證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 應付設備款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付建造合約款－關係人,　　　　　 應付股利,　　　　 現金及約當現金合計,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 應付設備款,　　　　 應付股利,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 庫藏股票
4927,2015年09月30日,,,,                172495,,                 39632,,                              0,,              3108989,,                300155,,              1281186,,                 51860,              4954317,,,                              0,,              6198579,,                 24902,                  6780,,                  2318,                  5752,                  8070,              6238331,             11192648,,,,,              1574946,,                  6983,,              1919954,,                              0,,                414724,                617274,              1031998,                 39741,,,                566737,                593464,              1160201,                 61728,                 14226,              1236155,              5809777,,,                              0,                              0,                    347,,                              0,,              1179644,,                 10957,,,                121664,                106145,                227809,                 25161,                252970,              1443918,              7253695,,,,              1225950,              1225950,,              1483703,,              1444732,,               -236975,              3917410,                 21543,              3938953,             11192648,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,2015年06月30日,,,,                282005,,                 11372,,                              0,,              2282751,,                263509,,              1384575,,                 62779,              4286991,,,                              0,,              6235198,,                 26399,                  6842,,                 14280,                  5723,                 20003,              6288442,             10575433,,,,,              1246073,,                  1558,,              1768861,,                              0,,                338722,                713310,              1358321,                 27178,,,,                721451,                721451,                 61480,                 11603,                794534,              5196525,,,                    493,                    493,                    156,,                563564,,                804194,,                 11057,,,                117421,                122991,                240412,                 23528,                263940,              1643404,              6839929,,,,              1225950,              1225950,,              1483703,,              1196604,,               -191321,              3714936,                 20568,              3735504,             10575433,              0,              0,                              0,                306289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,2015年03月31日,,,,                469934,,                              0,,                              0,,              1798687,,                239084,,              1374182,,                 48313,              3930200,,,                              0,,              6045613,,                 29541,                  7178,,                 44504,                  5984,                 50488,              6132820,             10063020,,,,,              1164801,,                  5513,,              1710670,,                              0,,                331850,                554822,                886672,                 36583,,,,                319752,                319752,                 63770,                 17446,                400968,              4205207,,,                    682,                    682,                    656,,                563499,,                841608,,                 11570,,,                 91966,                145401,                237367,                 22718,                260085,              1678100,              5883307,,,,              1225157,              1225157,,              1481385,,              1425280,,                 26743,              4158565,                 21148,              4179713,             10063020,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,2014年12月31日,,,,                754492,,                  1921,,                  9063,,              2010923,,                214125,,                967034,,                 38581,              3996139,,,                              0,,              5765439,,                 28745,                  7170,,                 19136,                  8010,                 27146,              5828500,              9824639,,,,,              1540907,,                              0,,              1461745,,                              0,,                281146,                448157,                729303,                 23749,,,                              0,                295460,                295460,                 63319,                 15324,                374103,              4129807,,,                  2604,                  2604,                  1007,,                560344,,                774011,,                 11814,,,                 50609,                161521,                212130,                 20752,                232882,              1582662,              5712469,,,,              1225157,              1225157,,              1481385,,              1360726,,                 24104,              4091372,                 20798,              4112170,              9824639,              0,              0,                              0,                              0,                754492,,                              0,,                              0,,                              0,              9824639,,,,              1540907,,                              0,,                              0,,              1461745,,                              0,,                281146,                448157,                              0,                729303,                              0,                 23749,,,                295460,                295460,                 63319,                 15324,                374103,              4129807,,,                  2604,                  2604,                  1007,,                560344,,                774011,,                 11814,,,                 50609,                161521,                212130,                 20752,                232882,              1582662,              5712469,,,,              1225157,              1225157,,              1481385,,              1360726,,                 24104,              4091372,                 20798,              4112170,              0,
4927,2014年09月30日,,,,                626760,,                              0,,                              0,,              2173198,,                210637,,              1011932,,                 48040,              4070567,,,                 49732,,              5641972,,                 30352,                  7778,,                 13840,                  5810,                 19650,              5749484,              9820051,,,,,              1572392,,                    902,,              1492862,,                    797,,                334146,                497670,                831816,                 11325,,,                              0,                264696,                264696,                 61362,                 15283,                341341,              4251435,,,                  2779,                  2779,                  1740,,                610610,,                784460,,                 22741,,,                 76475,                173157,                249632,                 15092,                264724,              1687054,              5938489,,,,              1209364,              1209364,,              1443563,,              1296606,,                -87947,              3861586,                 19976,              3881562,              9820051,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,2014年06月30日,,,,                278033,,                              0,,                              0,,              1782522,,                191355,,              1004402,,                 37978,              3294290,,,                 48775,,              5542323,,                 19566,                  7745,,                 14534,                  5794,                 20328,              5638737,              8933027,,,,,              1926548,,                  1593,,              1381504,,                  1905,,                284332,                595654,              1059531,                 20976,,,,                241174,                241174,                 59789,                 12546,                313509,              4705566,,,                  1389,                  1389,                  2120,,                383694,,                852655,,                 22188,,,                 68246,                184932,                253178,                 13607,                266785,              1528831,              6234397,,,,                979162,                979162,,                722501,,              1132926,,               -153691,              2680898,                 17732,              2698630,              8933027,              0,              0,                              0,                179545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,2014年03月31日,,,,                235136,,                              0,,                              0,,              1652784,,                177298,,                991385,,                 31999,              3088602,,,                 49737,,              5403767,,                 19773,                  7779,,                  5386,                  7219,                 12605,              5493661,              8582263,,,,,              1645866,,                  2354,,              1342143,,                  3925,,                270938,                489411,                760349,                 26120,,,,                245933,                245933,                 60433,                 21913,                328279,              4109036,,,                  1537,                  1537,                  2846,,                410470,,                917807,,                 22700,,,                 80705,                203924,                284629,                 12657,                297286,              1652646,              5761682,,,,                970918,                970918,,                701906,,              1220202,,                -90902,              2802124,                 18457,              2820581,              8582263,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4927,2013年12月31日,,,,,,                  4132,,                              0,,              1601111,,                153804,,                800613,,                 29563,              2757009,,,                 48283,,              5122041,,                  7267,                  7551,,                  2217,                  6939,                  9156,              5194298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                167746,,                     40,,                              0,,                              0,              7951307,,,,              1620226,,                              0,,                    964,,                850677,,                  6179,,                217263,                558286,                              0,                775549,                              0,                 15355,,,                214392,                214392,                 58277,                 18634,                291303,              3560253,,,                  4231,                  4231,                  3588,,                409907,,              1000669,,                 22036,,,                110250,                212923,                323173,                 11105,                334278,              1774709,              5334962,,,,                970514,                970514,,                700903,,              1114020,,               -186395,              2599042,                 17303,              2616345,              0,                              0
4927,2013年09月30日,,,,,,                  2543,,                  7324,,              1663737,,                147701,,              1054222,,                 32843,              3142936,,,                 50049,,              5163134,,                  8311,                  7829,,                 14418,                  7240,                 21658,              5250981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                234566,,                              0,,                              0,,                              0,              8393917,,,,              2004268,,                    675,,                  2222,,                864854,,                  7871,,                276290,                710687,                              0,                986977,                              0,                  7721,,,                196995,                196995,                 60242,                 16745,                273982,              4148570,,,                  9596,                  9596,                  5847,,                465055,,                736726,,                 17320,,,                149336,                236015,                385351,                 12615,                397966,              1632510,              5781080,,,,                953892,                953892,,                659401,,              1056681,,                -74750,              2595224,                 17613,              2612837,              0,
4927,2013年06月30日,,,,,,                              0,,                  7382,,              1671765,,                159605,,              1315598,,                 47852,              3480555,,,                 51392,,              4840515,,                  5187,                  7988,,                 51950,                  7717,                 59667,              4964749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                278350,,                      3,,                              0,,                              0,              8445304,,,,              1676402,,                  1686,,                    126,,              1186259,,,,                251909,                809709,                278848,              1340466,                              0,                 11532,,,                171756,                171756,                  3819,                 15504,                191079,              4407550,,,                  5275,                  5275,                  6138,,                462814,,                806458,,                 17844,,,                158596,                  1366,                159962,                 12027,                171989,              1470518,              5878068,,,,                953892,                953892,,                659401,,                927507,,                  9164,              2549964,                 17272,              2567236,              0,
