證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　　 其他非流動負債－其他,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 庫藏股票
1592,2015年09月30日,,,,                765922,,                 27481,,              1087559,,                  5874,,              1559191,,                  5711,                  5711,,                541060,                210317,                751377,              4203115,,,              2206378,,                  6177,                 50015,,                414539,,                  2752,                356720,,                  2182,                776193,              3038763,              7241878,,,,,              1976870,,                144659,,                712047,,                380402,                 28136,,                215153,,                  6004,,                388700,                  3737,                398441,              3855708,,,                 40000,,                240169,                    153,                240322,                280322,              4136030,,,,              1004333,              1004333,,                895781,,                 52802,,                753061,                805863,,                414763,                 14892,              3105848,              3105848,              7241878,              0,        516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,2015年06月30日,,,,                555647,,                 17783,,              1050741,,                 23982,,              1377928,,,                  5580,,                680735,                202008,                882743,              3914404,,,              2133425,,                  6776,                 38566,,                252512,,                  2390,                346132,,                  2491,                603525,              2782292,              6696696,,,,,              1726617,,                125133,,                644797,,                414418,                 25275,,                187130,,                  5866,,                316492,                  3278,                325636,              3449006,,,                 60000,,,                    144,                235538,                295538,              3744544,,,,              1004333,              1004333,,                895781,,                 52802,,                665596,                718398,,                333640,,              2952152,              2952152,              6696696,              0,              0,,                              0,                235394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,2015年03月31日,,,,                491360,,                 12548,,              1070015,,                  5899,,              1329586,,                  5633,                  5633,,                474486,                227618,                702104,              3618626,,,              2129985,,                  7627,                 27828,,                103721,,                  2415,                343452,,                 21364,                470952,              2636392,              6255018,,,,,              1467970,,                 83790,,                558123,,                326529,                 28785,,                180254,,                  5921,,                 20000,                  4866,                 30787,              2676238,,,                299260,,                238421,                    146,                238567,                537827,              3214065,,,,              1004333,              1004333,,                895781,,                 52802,,                724413,                777215,,                363624,,              3040953,              3040953,              6255018,              0,              0,,                  1111,,,                    370,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,2014年12月31日,,,,                541684,,                  4479,,                794858,,                 41105,,              1431202,,                  5717,                  5717,,                405268,                218207,                623475,              3442520,,,              2031265,,                  8622,                 47230,,                100793,,                  2449,                262999,,                 13373,                379614,              2466731,              5909251,,,,,              1349872,,                 82899,,                534638,,                235210,                 27251,,                169387,,                  6285,,                              0,                  2090,                  8375,              2407632,,,                221550,,                242796,                    147,                242943,                464493,              2872125,,,,              1004333,              1004333,,                895781,,                 52802,,                676499,                729301,,                407711,                              0,              3037126,              3037126,              5909251,              0,              0,,                              0,                242796,,                              0,              0,                541684,                              0,              5909251,,,,              1349872,,                 82899,,                534638,,                235210,                 27251,,                169387,,                  6285,,                              0,                              0,                  2090,                  8375,              2407632,,,                221550,,                242796,                    147,                242943,                464493,              2872125,,,,              1004333,              1004333,,                895781,,                 52802,,                676499,                729301,,                407711,              3037126,              3037126,
1592,2014年09月30日,,,,                343969,,                 13963,,                744526,,                 43923,,              1415808,,                  5465,                  5465,,                455335,                226891,                682226,              3249880,,,              1869358,,                  9087,                 56484,,                 98689,,                  3347,                252768,,                  6279,                361083,              2296012,              5545892,,,,,              1382587,,                146723,,                630701,,                219871,                 23742,,                195834,,                  5783,,                              0,                  6302,                 12085,              2611543,,,                263133,,                232849,                    142,                232991,                496124,              3107667,,,,                892333,                892333,,                589181,,                 52802,,                629554,                682356,,                274355,                              0,              2438225,              2438225,              5545892,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,2014年06月30日,,,,                372925,,                  8202,,                869981,,                 53484,,              1262811,,,                  5365,,                354766,                234579,                589345,              3175359,,,              1794046,,                  8027,                 49473,,                 85629,,                  3532,                249486,,                  3969,                342616,              2194162,              5369521,,,,,              1273741,,                 71489,,                691513,,                209946,                 33790,,                177485,,                  5640,,                              0,                  2414,                  8054,              2466018,,,                298650,,,                    139,                229474,                528124,              2994142,,,,                892333,                892333,,                589181,,                 52802,,                611242,                664044,,                229821,,              2375379,              2375379,              5369521,              0,              0,,                 13246,                229335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,2014年03月31日,,,,                345942,,                 12505,,                853657,,                224562,,              1324608,,                  3513,                  3513,,                315824,                241916,                557740,              3337184,,,              1737451,,                  8977,                 45998,,                 43367,,                  2402,                200874,,                  6181,                252824,              2045250,              5382434,,,,,              1333196,,                 46697,,                609896,,                186100,                 29829,,                164125,,                  5755,,                 39672,                  3372,                 48799,              2418642,,,                243760,,                177769,                    142,                177911,                421671,              2840313,,,,                892333,                892333,,                589181,,                 52802,,                730084,                782886,,                277721,,              2542121,              2542121,              5382434,              0,              0,,                 14657,,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592,2013年12月31日,,,,,,                  5543,,                716721,,                213404,,              1362506,,                  1133,                  1133,,                323921,                241748,                565669,              3435801,,,              1570545,,                  9687,                 70250,,                 46019,,                  2325,                 86613,,                  6974,                141931,              1792413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,                550200,                 20625,              5228214,,,,              1470728,,                  2861,,                596487,,                245027,                 82351,,                147832,,                  7213,,                 98655,                 98655,                  4232,                110100,              2655386,,,                              0,,                105540,                    149,                105689,                105689,              2761075,,,,                892333,                892333,,                589181,,                 52802,,                687036,                739838,,                245787,              2467139,              2467139,
1592,2013年09月30日,,,,,,                 12123,,                656805,,                 53324,,              1470926,,                  1110,                  1110,,                414149,                229276,                643425,              3541548,,,              1459027,,                  7707,                 42462,,,,                 12423,                 85488,,                 84693,                182604,              1691800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,                703835,                              0,              5233348,,,,              1628232,,                 57632,,                823052,,                204887,                 17610,,                136944,,                              0,,                208123,                208123,                  2744,                210867,              3079224,,,                              0,,                 18916,                    138,                 19054,                 19054,              3098278,,,,                892333,                892333,,                589181,,                 52802,,                394789,                447591,,                205965,              2135070,              2135070,
1592,2013年06月30日,,,,,,                 14112,,                682404,,                 39391,,              1355502,,                  1120,                  1120,,                817351,                245733,              1063084,              3544177,,,              1359475,,                  8462,                 17397,,,,                 12382,                 86580,,                 54689,                153651,              1538985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,                388564,                              0,              5083162,,,,              1279723,,                113333,,                759416,,                409453,                 25423,,                128695,,                              0,,                501987,                501987,                  1439,                503426,              3219469,,,                              0,,                 19214,                    140,                 19354,                 19354,              3238823,,,,                811213,                811213,,                410717,,                 52802,,                345355,                398157,,                224252,              1844339,              1844339,
