證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他非流動負債－其他,　　　　 其他應付款－其他,　　　 庫藏股票
3617,2015年09月30日,,,,              1570789,,                              0,,                              0,,                  2771,,              1280407,,                 90126,,                  1924,,,              1878456,              1878456,,                 43000,                146736,                189736,              5014209,,,                268774,,                 60232,,                 41438,                101670,                219388,,,                      7,,                 31538,                 31545,                621377,              5635586,,,,,                300000,,                              0,,                     12,,              1134525,,                320106,                148306,,                 38111,,                 12092,              1953152,,,                 27008,,                  9449,                  9449,                 36457,              1989609,,,,                807735,                    320,                808055,,,              1353106,                 41428,              1394534,,                365817,                              0,,              1065150,              1430967,,,                 25336,                 25336,              3658892,                -12915,              3645977,              5635586,              0,         32000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2015年06月30日,,,,              1970711,,                              0,,                              0,,                  6704,,              1206789,,                101995,,                  1644,,,              1675233,              1675233,,                 43000,                 99198,                142198,              5105274,,,                266650,,                 57388,,                 41718,                 99106,                196612,,,                      7,,                 27513,                 27520,                589888,              5695162,,,,,                700000,,                              0,,                      9,,                868878,,                642677,                131118,,                 36127,,                  8569,              2387378,,,                  7955,,                  9265,                  9265,                 17220,              2404598,,,,                805800,                  1935,                807735,,,              1351737,                 41965,              1393702,,                365817,                              0,,                769559,              1135376,,,                -29221,                -29221,              3307592,                -17028,              3290564,              5695162,              0,        193500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2015年03月31日,,,,              1844354,,                              0,,                 84949,,                  3218,,                849277,,                109496,,                  4812,,,              1737932,              1737932,,                 86000,                113277,                199277,              4833315,,,                269396,,                 57380,,                 41066,                 98446,                190139,,,                      7,,                 24710,                 24717,                582698,              5416013,,,,,                600000,,                              0,,                      2,,                849611,,                258017,                124084,,                 36710,,                 10537,              1878961,,,                 13569,,                  9224,                  9224,                 22793,              1901754,,,,                800755,                  5045,                805800,,,              1342971,                 45216,              1388187,,                320793,                 18660,,              1013233,              1352686,,,                -13448,                -13448,              3533225,                -18966,              3514259,              5416013,              0,        504500,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2014年12月31日,,,,              1831298,,                              0,,                 85757,,                  1343,,                997416,,                 89478,,                  3848,,,              1597061,              1597061,,                 43000,                105840,                148840,              4755041,,,                267461,,                 59928,,                 43337,                103265,                180974,,,                      8,,                 18730,                 18738,                570438,              5325479,,,,,                600000,,                  1625,,                    258,,                785253,,                279645,                 92650,,                 30327,,                 13921,              1803679,,,                 23811,,                  9554,                  9554,                 33365,              1837044,,,,                800650,                    105,                800755,,,              1320117,                 53457,              1373574,,                320793,                 18660,,                981486,              1320939,,,                 10475,                 10475,              3505743,                -17308,              3488435,              5325479,              0,         10500,              0,              1831298,                 85757,                  3848,              5325479,,,,                600000,,                  1625,,                    258,,                785253,,                279645,                 92650,,                 30327,,                 13921,              1803679,,,                 23811,,                  9554,                  9554,                 33365,              1837044,,,,                800650,                    105,                800755,,,              1320117,                 53457,              1373574,,                320793,                 18660,,                981486,              1320939,,,                 10475,                 10475,              3505743,                -17308,              3488435,,,,,,,
3617,2014年09月30日,,,,              1608228,,                     11,,                150237,,                  1857,,                981077,,                 97431,,                    358,,,              1706605,              1706605,,                 43000,                114656,                157656,              4703460,,,                280790,,                 58947,,                 31898,                 90845,                189266,,,                      8,,                 17696,                 17704,                578605,              5282065,,,,,                450000,,                  3494,,                     52,,              1077448,,                302480,                 77379,,                 29800,,                 14263,              1954916,,,                 10241,,                  9353,                  9353,                 19594,              1974510,,,,                800410,                    240,                800650,,,              1319642,                 53617,              1373259,,                320793,                 18660,,                822207,              1161660,,,                -14355,                -14355,              3321214,                -13659,              3307555,              5282065,              0,         24000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2014年06月30日,,,,              1652988,,                  1113,,                388846,,                  2223,,                911450,,                 88387,,                    345,,,              1407399,              1407399,,                 43000,                 85895,                128895,              4581646,,,                282840,,                 59503,,                 32388,                 91891,                154684,,,                      8,,                 11551,                 11559,                540974,              5122620,,,,,                511946,,                              0,,                     14,,                751938,,                582290,                 85313,,                 29338,,                 13552,              1974391,,,                  4839,,                  9536,                  9536,                 14375,              1988766,,,,                799500,                    910,                800410,,,              1318513,                 52771,              1371284,,                320793,                 18660,,                661040,              1000493,,,                -21273,                -21273,              3150914,                -17060,              3133854,              5122620,              0,         91000,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2014年03月31日,,,,              1736317,,                    223,,                346891,,                  2242,,                760417,,                104059,,                              0,,,              1498879,              1498879,,                 43000,                107462,                150462,              4599490,,,                276115,,                 60550,,                 32849,                 93399,                165080,,,                      8,,                 11014,                 11022,                545616,              5145106,,,,,                699303,,                    571,,                              0,,                629133,,                231998,                106703,,                 30331,,                 12729,              1710768,,,                 10957,,                  9636,                  9636,                 20593,              1731361,,,,                792530,                  7399,                799929,,,              1314172,                 53064,              1367236,,                278329,                              0,,                987205,              1265534,,,                 -1212,                 -1212,              3431487,                -17742,              3413745,              5145106,              0,        739900,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3617,2013年12月31日,,,,,,,,,,                  1040,,                900394,,                102945,,,,,              1560031,              1560031,,                 43000,                 77270,                120270,              4528797,,,                285708,,                 59597,,                 32193,                 91790,                164185,,,                      8,,                  8817,                  8825,                550508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,          3000,              0,              1643816,                200053,                    248,              5079305,,,,                650000,,                  1560,,                    188,,                726462,,                248097,                 99052,,                 28064,,                 10901,              1764324,,,                  8515,,                  9539,                  9539,                 18054,              1782378,,,,                792500,                     30,                792530,,,              1280925,                 63184,              1344109,,                278329,                              0,,                912841,              1191170,,,                -18660,                -18660,              3309149,                -12222,              3296927,,,,,,,
3617,2013年09月30日,,,,,,                  3067,,,,                  3724,,                818698,,                 95935,,,,,              1795039,              1795039,,                 45315,                 85257,                130572,              4031116,,,                287799,,                 58852,,                 31838,                 90690,                149985,,,                      8,,                  7594,                  7602,                536076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,          2000,              0,                934059,                250000,                     22,              4567192,,,,                              0,,                     17,,                    527,,              1034961,,                239781,                 75709,,                 27956,,                 11901,              1390852,,,                  9736,,                  5196,                  5196,                 14932,              1405784,,,,                792480,                     20,                792500,,,              1280925,                 60668,              1341593,,                278329,                              0,,                786527,              1064856,,,                -31728,                -31728,              3167221,                 -5813,              3161408,,,,,,,
3617,2013年06月30日,,,,,,                              0,,,,                  4947,,                783890,,                 77210,,,,,              1514334,              1514334,,                 45270,                 72908,                118178,              3968766,,,                301872,,                 58855,,                 32676,                 91531,                132779,,,                      8,,                  8937,                  8945,                535127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                889862,                550000,                              0,              4503893,,,,                              0,,                  6382,,                    478,,                767203,,                551276,                 86761,,                 22603,,                  6995,              1441698,,,                 13584,,                  5213,                  5213,                 18797,              1460495,,,,                792480,                              0,                792480,,,              1280925,                 57436,              1338361,,                278329,                              0,,                660709,                939038,,,                -20988,                -20643,              3049236,                 -5838,              3043398,,                 30345,,                    345,,,
