證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 專利權淨額,　　　　　 專利權淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　　 一年或一營業週期內到期長期借款,　　　　 待分配股票股利,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 其他應付款項－關係人,　　　 其他非流動負債,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付款－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 其他非流動負債合計
1262,2015年09月30日,,,,              1132604,,              1291795,,              1403858,,                 22011,,                              0,,                189323,,                244256,,                267335,                    521,                267856,              4551703,,,              6521089,,,                    594,                    594,                  6423,,                700313,                  1451,                262315,                964079,              7492185,             12043888,,,,,                213932,,              1055586,,                 16597,,                272327,                 78303,,,                490595,                490595,                  3417,                494012,              2130757,,,                              0,,                  2466,                  2466,              2133223,,,,              1485000,              1485000,,              4970783,,                258083,,              2631677,              2889760,,,                565122,                565122,              9910665,              9910665,             12043888,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,2015年06月30日,,,,              1180668,,              1261940,,              1388191,,                 13817,,                              0,,                209082,,                259624,,                261425,                    619,                262044,              4575366,,,              6086373,,,                    606,                    606,                  5667,,                716650,                  1436,                257689,                975775,              7068421,             11643787,,,,,                123878,,              1018326,,                  9020,,                661613,                 68073,,,                478977,                478977,                  2067,                481044,              2361954,,,                              0,,                    890,                    890,              2362844,,,,              1485000,              1485000,,              4970783,,                258083,,              2226537,              2484620,,,                340540,                340540,              9280943,              9280943,             11643787,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,2015年03月31日,,,,              1135806,,              1273972,,              1245605,,                 23595,,                  5675,,                205535,,                284434,,                237619,                    667,                238286,              4412908,,,              5950380,,,                    637,                    637,                  4936,,                753780,                  1447,                261597,              1016824,              6972777,             11385685,,,,,                172938,,                958744,,                  9378,,                181732,                              0,,,                711924,                711924,                  6165,                718089,              2040881,,,                              0,,                  3056,                  3056,              2043937,,,,              1485000,              1485000,,              4970783,,                104275,,              2353601,              2457876,,,                428089,                428089,              9341748,              9341748,             11385685,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,2014年12月31日,,,,              1471675,,              1293103,,              1458888,,                 13964,,                 66487,,                179942,,                283948,,                271823,                              0,                271823,              5039830,,,              5721101,,,                    672,                    672,                  5993,,                275978,                  1455,                266997,                544430,              6272196,             11312026,,,,,                170388,,              1065306,,                  9329,,                159335,                              0,,,                514101,                514101,                  3556,                517657,              1922015,,,                258620,,                  1366,                259986,              2182001,,,,              1485000,              1485000,,              4970783,,                104275,,              2004056,              2108331,,,                565911,                565911,              9130025,              9130025,             11312026,              0,              0,                              0,              1471675,              1293103,                 66487,             11312026,,,,                170388,,              1065306,,                  9329,,                159335,                              0,,,                514101,                  3556,                517657,              1922015,,,                258620,,                  1366,                259986,              2182001,,,,              1485000,              1485000,,              4970783,,                104275,,              2004056,              2108331,,,                565911,                565911,              9130025,              9130025,              0,,,,,,,,,,
1262,2014年09月30日,,,,              2447803,,                              0,,              1470287,,                  9396,,                              0,,                215590,,                265269,,                231472,                  5200,                236672,              4645017,,,              5267263,,,                    667,                    667,                 10187,,                347485,                  1397,                256631,                605513,              5883630,             10528647,,,,,                193634,,                905271,,                  8622,,                143014,                125947,,,                465164,                465164,                  1058,                466222,              1842710,,,                469711,,                  1611,                471322,              2314032,,,,              1485000,              1485000,,              4970783,,                104275,,              1485999,              1590274,,,                168558,                168558,              8214615,              8214615,             10528647,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,2014年06月30日,,,,              2568027,,                              0,,              1420196,,                  8279,,                              0,,                207759,,                331642,,                179852,                  1386,                181238,              4717141,,,              4784695,,,                    679,                    679,                  8618,,                354081,                  1381,                253319,                608781,              5402773,             10119914,,,,,                 97078,,                740428,,                  7842,,                507447,                118252,,,                455678,                455678,                  1045,                456723,              1927770,,,                460581,,                  1828,                462409,              2390179,,,,              1350000,              1485000,,              4970783,,                104275,,              1150015,              1254290,,,                 19662,                 19662,              7729735,              7729735,             10119914,              0,              0,                135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,2014年03月31日,,,,              3389686,,                              0,,              1440879,,                  9635,,                              0,,                215009,,                217578,,                233827,                    742,                234569,              5507356,,,              4277802,,,                    718,                    718,                  7796,,                194458,                  1831,                259889,                456178,              4742494,             10249850,,,,,                 79245,,                887373,,                  9963,,                174279,                116511,,,                390031,                390031,                  4893,                394924,              1662295,,,                691930,,                  2315,                694245,              2356540,,,,              1350000,              1350000,,              4970783,,                              0,,              1394095,              1394095,,,                178432,                178432,              7893310,              7893310,             10249850,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,2013年12月31日,,,,,,,,              1388072,,                 20726,,,,                159913,,                188353,,                237649,,                237649,              3676095,,,              3972463,,,                    733,                    733,                  5953,,                135404,                  1797,                257910,                395111,              4374260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1681382,                              0,                              0,              8050355,,,,                 85906,,                955044,,                  6825,,                212782,                 69470,,,                384973,                  3686,                388659,              1718686,,,                730315,,                  1648,                731963,              2450649,,,,              1200000,              1200000,,              3236783,,                              0,,              1042754,              1042754,,,                120169,                120169,              5599706,              5599706,              0,,,,,,,,,,
1262,2013年09月30日,,,,,,,,              1112282,,                 20159,,,,                148781,,                189873,,                241561,                  1326,                242887,              3639746,,,              3645307,,,                    746,                    746,                  5405,,                115762,                  2555,                255119,                373436,              4024894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1925764,,,              7664640,,,,                 76955,,                920135,,                  6524,,                185159,                 58447,,,                330666,                  5303,                335969,              1583189,,,                909419,,                  1155,                910574,              2493763,,,,              1200000,              1200000,,              3236783,,                              0,,                703925,                703925,,,                 30169,                 30169,              5170877,              5170877,              0,                330666,,,,,,,,,
1262,2013年06月30日,,,,,,,,              1264559,,                 11890,,,,                122456,,                231401,,                207034,                    983,                208017,              3794107,,,              3372803,,,                    777,                    777,                  6066,,                127574,                  1885,                258925,                388384,              3768030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1742190,                213594,,              7562137,,,,                291324,,                881665,,                  5874,,                156045,                 49123,,,                333808,                  5720,                339528,              1723559,,,                916542,,                     57,                916599,              2640158,,,,              1200000,              1200000,,              3236783,,                              0,,                407221,                407221,,,                 77975,                 77975,              4921979,              4921979,              0,                333808,                              0,,,,,,,,
