證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 待分配股票股利,　　　　 預收股本
8101,2015年09月30日,,,,              3281349,,              4828620,,                647014,,              2488800,,                637135,             11882918,,,                242421,,                 10865,,                 70244,,              1807176,,                479058,,                 24987,                130191,,                296237,              3061179,             14944097,,,,,              2913883,,              5851723,,                783044,,                102831,,                311463,              9962944,,,                698977,,                 82866,,                  7944,                789787,             10752731,,,,              4186276,              4186276,,                 47021,,                 40347,                250590,,               -283630,                  7307,,,                 72425,,                -85434,,                -38663,                -51672,              4188932,                  2434,              4191366,             14944097,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,2015年06月30日,,,,              2906398,,              3311642,,                480659,,              2041234,,                663051,              9402984,,,                196894,,                 10865,,                 70048,,              1828638,,                480974,,                 28268,                129959,,                185972,              2931618,             12334602,,,,,              2441918,,              3743751,,                662051,,                113800,,                341634,              7303154,,,                711864,,                 73752,,                  7318,                792934,              8096088,,,,              4186276,              4186276,,                 47021,,                 40347,                250590,,               -186879,                104058,,,                 27923,,               -112246,,                -38663,               -122986,              4214369,                 24145,              4238514,             12334602,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,2015年03月31日,,,,              3952786,,              3779192,,                447489,,              1867516,,                784446,             10831429,,,                131891,,                 10865,,,,              1854675,,                488004,,                 21674,                192199,,                151999,              2851307,             13682736,,,,,              4061006,,              3310961,,                502985,,                863488,,                186479,              8924919,,,                312999,,                 76299,,                  7453,                396751,              9321670,,,,              4186276,              4186276,,                 47021,,                 40347,                250590,,                -99743,                191194,,,                 40361,,               -118185,,                 -8501,                -86325,              4338166,                 22900,              4361066,             13682736,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,2014年12月31日,,,,              3889323,,              4870282,,                631543,,              2454758,,                900318,             12746224,,,                 23118,,                 10865,,                              0,,              1894804,,                495933,,                 24139,                193490,,                147902,              2790251,             15536475,,,,,              3367449,,              5649973,,                668092,,                895801,,                175419,             10756734,,,                248333,,                 81835,,                  7510,                337678,             11094412,,,,              4187636,              4187636,,                 46124,,                 40347,                250590,,                -32507,                258430,,,                 67388,,               -128783,,                -12564,                -73959,              4418231,                 23832,              4442063,             15536475,              0,              0,              0,,                              0,              3889323,             15536475,,,,              3367449,,              5649973,,                668092,,                895801,,                175419,             10756734,,,                248333,,                 81835,,                  7510,                337678,             11094412,,,,              4187636,              4187636,,                 46124,,                 40347,                250590,,                -32507,                258430,,,                 67388,,               -128783,,                -12564,                -73959,              4418231,                 23832,              4442063,,,,,,
8101,2014年09月30日,,,,              2816678,,              6517733,,                394503,,              3688428,,                747285,             14164627,,,                 28658,,                 10865,,                              0,,              1814613,,                494391,,                 27381,                109154,,                138457,              2623519,             16788146,,,,,              4052186,,              6688253,,                578538,,                832582,,                113833,             12265392,,,                252778,,                 56095,,                  7181,                316054,             12581446,,,,              4187636,              4187636,,                 46124,,                 40347,                250590,,               -202925,                 88012,,,                  2907,,               -123243,,                -19238,               -139574,              4182198,                 24502,              4206700,             16788146,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,2014年06月30日,,,,              3382693,,              3848892,,                403298,,              2232933,,              2844127,             12711943,,,                 32706,,                 10865,,                              0,,              1783607,,                497079,,                 28233,                110376,,                137916,              2600782,             15312725,,,,,              4752455,,              4664459,,                532365,,                822800,,                 89500,             10861579,,,                258194,,                 49977,,                  6952,                315123,             11176702,,,,              4196231,              4196231,,                 37529,,                 40347,                250590,,               -214287,                 76650,,,                -26964,,               -119196,,                -28227,               -174387,              4136023,                              0,              4136023,             15312725,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,2014年03月31日,,,,              2913721,,              6159574,,                359856,,              2185484,,              4202654,             15821289,,,                 51456,,                 10865,,,,              1803655,,                669256,,                 22057,                105055,,                150638,              2812982,             18634271,,,,,              6497521,,              6501575,,                379484,,                467220,,                199587,             14064436,,,                243333,,                 56923,,                  7341,                307597,             14372033,,,,              4196231,              4196231,,                 49444,,                 40347,                250590,,               -138669,                152268,,,                  6953,,               -100446,,                -42212,               -135705,              4262238,                              0,              4262238,             18634271,              0,              0,              0,,                 19049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8101,2013年12月31日,,,,,,              5398172,,                385238,,              2304476,,              1430430,             13075844,,,                 40802,,                 10865,,,,              1802688,,                679308,,                 26112,                119253,,                141216,              2820244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              3557528,             15896088,,,,              2779309,,              7662662,,                699832,,                 85779,,                223645,             11451227,,,                248333,,                 52224,,                  7194,                307751,             11758978,,,,              4202701,              4202701,,                 47432,,                 40347,                250590,,               -219825,                 71112,,,                -15991,,               -116099,,                -52045,               -184135,              4137110,                              0,              4137110,,,,,,
8101,2013年09月30日,,,,,,              8439952,,                360590,,              2566081,,              1554017,             16955682,,,                 37713,,                 10865,,,,              1991044,,                693837,,                 65048,                141928,,                153774,              3094209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              4035042,             20049891,,,,              4654153,,              9567955,,              1021400,,,,                227117,             15470625,,,                253333,,                 41606,,                182719,                477658,             15948283,,,,              4206831,              4206831,,                 52664,,                 40347,                264339,,               -248132,                 56554,,,                -39766,,               -138189,,                -71799,               -249754,              4066295,                 35313,              4101608,,,,,,
8101,2013年06月30日,,,,,,              7367115,,                308967,,              1779698,,              1369329,             13234666,,,                 45810,,                 10865,,,,              2087424,,                702583,,                 76106,                162524,,                156769,              3242081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              2409557,             16476747,,,,              3757558,,              7401883,,                731337,,,,                160989,             12051767,,,                258333,,                 45843,,                192090,                496266,             12548033,,,,              4206831,              4206831,,                 59252,,                 40347,                264339,,               -421314,               -116628,,,                -19082,,               -149092,,               -103796,               -271970,              3877485,                 51229,              3928714,,,,,,
