證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 應計退休金負債（應付退休金費用）,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　 商譽
2405,2015年12月31日,,,,              2150837,,                    573,,                161390,,                              0,,              1071876,,                    682,,                  5279,,                509328,,                 66934,,                 53175,              4020074,,,                 62353,,                507931,,,                  8469,                  8469,                166474,,,                 16542,                 16542,                761769,              4781843,,,,,                 19554,,                498057,,                213060,                213060,                              0,,                 73119,,,                 65720,                 11599,                 77319,                881109,,,                 67675,,                    918,                    918,                 68593,                949702,,,,              3483333,              3483333,,                235552,,                 79478,                              0,,                -69321,                 10157,,                212147,                 87196,              3853993,                -21852,              3832141,              4781843,              0,      8800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2015年09月30日,,,,              2271983,,                              0,,                134926,,                              0,,              1318667,,                  2161,,                  4618,,                628735,,                115875,,                 54337,              4531302,,,                 62353,,                516718,,,                 11081,                 11081,                163082,,,                 16614,                 16614,                769848,              5301150,,,,,                 35457,,                927974,,                245455,                245455,                              0,,                 77540,,,                101126,                 14824,                115950,              1409322,,,                 66366,,                    938,                    938,                 67304,              1476626,,,,              3483413,              3483413,,                236624,,                 79478,                              0,,                -54775,                 24703,,                188159,                 87196,              3845703,                -21179,              3824524,              5301150,              0,      8800000,,                              0,,                  6946,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2015年06月30日,,,,              2330109,,                              0,,                138927,,                              0,,              1230798,,                  3142,,                  4456,,                728721,,                 35577,,                 69997,              4541727,,,                 64109,,                521390,,,                 13829,                 13829,                160155,,,                 16360,                 16360,                775843,              5317570,,,,,                341723,,                872912,,                219337,                219337,                              0,,                 75905,,,                 45016,                 12735,                 57751,              1568356,,,                 65578,,                    917,                    917,                 66495,              1634851,,,,              3483613,              3483613,,                236520,,                 79478,                              0,,                -20976,                 58502,,                 12021,                 87196,              3703460,                -20741,              3682719,              5317570,              0,      8800000,,                              0,,                    510,,                    218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2015年03月31日,,,,              2351474,,                 12789,,                158846,,                              0,,              1208564,,                  4219,,                  5628,,                740015,,                 59025,,                 72743,              4613303,,,                 64109,,                530315,,,                 15087,                 15087,                155462,,,                 17487,                 17487,                782460,              5395763,,,,,                281666,,                858343,,                209336,                209336,                  1062,,                 76874,,,                 75139,                 12269,                 87408,              1514689,,,                 68908,,                    926,                    926,                 69834,              1584523,,,,              3484733,              3484733,,                235640,,                 79478,                127501,,                -69635,                137344,,                 61384,                 87196,              3831905,                -20665,              3811240,              5395763,              0,      8800000,,                              0,,                              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2014年12月31日,,,,              2425022,,                    339,,                179379,,                  1327,,              1619196,,                  4250,,                  9176,,                713846,,                 67533,,                 94397,              5114465,,,                 64109,,                541190,,,                 17472,                 17472,                148992,,,                 17603,                 17603,                789366,              5903831,,,,,                300193,,              1048724,,                328169,                328169,                  1062,,                 77370,,,                 95861,                 11370,                107231,              1862749,,,                 75504,,                  1844,                  1844,                 77348,              1940097,,,,              3484733,              3484733,,                235640,,                 79478,                127501,,                 16623,                223602,,                127312,                 87196,              3984091,                -20357,              3963734,              5903831,              0,      8800000,,                              0,,                              0,,                              0,              0,              2425022,                  9176,,                              0,              5903831,,,,                300193,,                              0,,              1048724,,                328169,                328169,                  1062,,                 77370,,,                 95861,                 11370,                107231,              1862749,,,                 75504,,                  1844,                  1844,                 77348,              1940097,,,,              3484733,              3484733,,                235640,,                 79478,                127501,,                 16623,                223602,,                127312,                 87196,              3984091,                -20357,              3963734,,,,,,
2405,2014年09月30日,,,,              2363116,,                  3063,,                159263,,                              0,,              1466576,,                 21066,,                  8459,,                747949,,                 63690,,                150000,              4983182,,,                 64109,,                549048,,,                 19643,                 19643,                146500,,,                 19327,                 19327,                879629,              5862811,,,,,                353537,,                992105,,                366863,                366863,                 26033,,                 87050,,,                 72878,                 16299,                 89177,              1915165,,,                 81785,,                  1576,                  1576,                 83361,              1998526,,,,              3489593,              3489593,,                233564,,                 79478,                127501,,                 28853,                235832,,                 -7292,                 68582,              3883115,                -18830,              3864285,              5862811,              0,      6658000,,                 81002,,                              0,,                    400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2014年06月30日,,,,              2245654,,                  4539,,                181956,,                    576,,              1940980,,                 22470,,                  6638,,                812920,,                 84595,,                283213,              5583541,,,                 65409,,                559527,,,                 21284,                 21284,                145275,,,                 19335,                 19335,                891919,              6475460,,,,,                464963,,              1133427,,                614760,                614760,                 26162,,                 81068,,,                 57886,                 15966,                 73852,              2394232,,,                 94647,,                  1539,                  1539,                 96186,              2490418,,,,              3489593,              3489593,,                235922,,                 79478,                127501,,                115510,                322489,,                -21331,                 31309,              3995364,                -10322,              3985042,              6475460,              0,      2800000,,                 81089,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2014年03月31日,,,,              1318819,,                              0,,                203409,,                  2099,,              3801261,,                 29250,,                 12611,,              1139620,,                135623,,                243464,              6886156,,,                 65409,,                572207,,,                 20254,                 20254,                135777,,,                 21040,                 21040,                895862,              7782018,,,,,                928309,,              1864384,,                427376,                427376,                    551,,                 60491,,,                 54221,                 24190,                 78411,              3364665,,,                 84333,,                  1222,                  1222,                 85555,              3450220,,,,              3491703,              3491703,,                234001,,                 32952,                215275,,                348173,                596400,,                 49728,                 31309,              4340523,                 -8725,              4331798,              7782018,              0,      2800000,,                 81175,,                  5143,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2013年12月31日,,,,,,                              0,,                209525,,                  5197,,              5026539,,                 35850,,,,                844644,,                137500,,                277640,              8023000,,,                 65409,,                583457,,,                 17258,                 17258,                123587,,,                 20661,                 20661,                897388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2626000,,                 81261,,,,,              0,              1474228,                 11877,,                  5755,              8920388,,,,                920527,,                  6646,,              2840031,,                599445,                599445,                    540,,                125312,,,                 78234,                 15745,                 93979,              4586480,,,                 75276,,                  1442,                  1442,                 76718,              4663198,,,,              3503603,              3503603,,                237724,,                 32952,                215275,,                465258,                713485,,               -154960,                 29141,              4270711,                -13521,              4257190,,,,,,
2405,2013年09月30日,,,,,,                              0,,                167784,,                  8397,,              4793384,,                 26879,,,,              1340722,,                149814,,                195281,              8564019,,,                 65409,,                581946,,,                 18777,                 18777,                128780,,,                 19895,                 19895,                903123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 81348,,,,,              0,              1867973,                 13785,,                  6968,              9467142,,,,              1158440,,                  2306,,              3500612,,                419853,                419853,                              0,,                122443,,,                 49539,                 21111,                 70650,              5274304,,,                 64445,,                  1442,                  2989,                 67434,              5341738,,,,              3521313,              3521313,,                239966,,                 32952,                215275,,                333900,                582127,,               -222710,                              0,              4120696,                  4708,              4125404,,                              0,                  1547,,,
