證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他應付款項－關係人,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應付款項－關係人,　　　　 預收股本,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　　 應付租賃款－流動,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計
1909,2015年09月30日,,,,              1304142,,                    765,,                    916,,              5072977,,                 17408,,              4653538,,                189275,,                885153,,                  1685,,                  5033,,              2246924,,                670239,,                 36299,                 24664,                 60963,             15109018,,,                714752,,              2727724,,             26068440,,                 14662,,                 70317,                120760,,              2673061,                 26179,                884595,,                315205,              3899040,             33615695,             48724713,,,,,              8013494,,                849758,,                 57927,,                233241,,              3031852,,                340379,,              2048760,                 50426,,                 18115,,,                 87184,,              5465651,                 37590,              5590425,             20234377,,,              1541938,,             10651820,,                309574,,                369263,                 10501,                 12768,                392532,             12895864,             33130241,,,,              8371133,              8371133,,              1214086,,                813928,                672924,,              2683775,              4170627,,,                751201,,                 26953,                778154,                 27254,             14506746,              1087726,             15594472,             48724713,              0,      2810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2015年06月30日,,,,              1017122,,                    944,,                  1159,,              4476850,,                 18974,,              4351931,,                162881,,                778106,,                  2468,,                    842,,              1831598,,                464682,,                 72400,                 30591,                102991,             13210548,,,                714752,,              3054268,,             24016743,,                 14713,,                 70428,                121798,,              1766832,                 25389,                854852,,                312988,              2960061,             30952763,             44163311,,,,,              6104971,,                799564,,,,                  1211,,              1690042,,                185100,,              2488189,                127517,,                 18186,,,                 74832,,              5020555,                 15545,              5110932,             16525712,,,              1534185,,             10297599,,                202251,,                372573,                  9216,                 40999,                422788,             12456823,             28982535,,,,              8371133,              8371133,,              1212071,,                813928,                672924,,              2423263,              3910115,,,                291190,,                374258,                665448,                 27254,             14131513,              1049263,             15180776,             44163311,              0,      2810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2015年03月31日,,,,              1818095,,                    893,,                  1556,,              4995006,,                 18231,,              4262524,,                171502,,                862001,,                  1545,,                              0,,              2358812,,                518052,,                 64572,                 29168,                 93740,             15101957,,,                714752,,              3032653,,             24015978,,                 24454,,                 75824,                124495,,              1214578,                 27716,                829239,,                453931,              2525464,             30513620,             45615577,,,,,              7426097,,                699762,,,,                 75961,,              2539334,,                321078,,              1689707,                170617,,                 19968,,,                 84399,,              4445053,                 15658,              4545110,             17487634,,,              1526472,,             10142882,,                218082,,                372961,                  9125,                 17921,                400007,             12287443,             29775077,,,,              8371133,              8371133,,              1210714,,                726565,                672924,,              2920977,              4320466,,,                436480,,                464985,                901465,                 27254,             14776524,              1063976,             15840500,             45615577,              0,      2810000,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2014年12月31日,,,,              2541070,,                    845,,                  1718,,              5940036,,                 14787,,              4653581,,                202548,,                572520,,                  1554,,                              0,,              2305711,,                531952,,                 27434,                 61349,                 88783,             16855105,,,                714752,,              3264663,,             24373617,,                 24535,,                 69478,                123299,,                806877,                 30881,                839218,,                311384,              1988360,             30558704,             47413809,,,,,              7093963,,                              0,,                              0,,                 76527,,              2721091,,                310362,,              1652614,                101641,,                 19648,,,                107927,,              4293850,                 10285,              4412062,             16387908,,,              1518797,,             12897135,,                227133,,                373724,                  7838,                 19178,                400740,             15043805,             31431713,,,,              8371133,              8371133,,              1210714,,                726565,                672924,,              2743983,              4143472,,,                533975,,                680699,              1214674,                 27254,             14912739,              1069357,             15982096,             47413809,              0,      2810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2014年09月30日,,,,              2205957,,                    803,,                  1476,,              6658017,,                 18418,,              4526981,,                213610,,                500383,,                  2619,,                    261,,              2193778,,                318113,,                169288,                 47246,                216534,             16856950,,,                714752,,              3481051,,             23002491,,                 24617,,                 67507,                115380,,              1241348,                 25235,                791256,,                311184,              2369023,             29774821,             46631771,,,,,              8546719,,                849805,,                              0,,                              0,,              2573117,,                242710,,              1656073,                179466,,                 19803,,,                 76302,,              3875033,                 10005,              3961340,             18029033,,,              1511161,,             10602843,,                202822,,                357651,                  7530,                 14807,                379988,             12696814,             30725847,,,,              8371133,              8371133,,              1211508,,                726565,                672924,,              2754393,              4153882,,,                228927,,                907118,              1136045,                 27254,             14845314,              1060610,             15905924,             46631771,              0,      2810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2014年06月30日,,,,              1303592,,                    840,,                  1563,,              5868468,,                 58062,,              4488607,,                162231,,                545277,,                  1772,,                    541,,              2140210,,                360234,,                127173,                 29540,                156713,             15088110,,,                688260,,              3405211,,             22677466,,                 31464,,                 67406,                122043,,                786886,                 24103,                794167,,                314562,              1919718,             28911568,             43999678,,,,,              7597015,,                709779,,,,                 50731,,              2036473,,                226993,,              2197800,                117126,,                 18717,,,                 73441,,              4119852,                 11984,              4205277,             17159911,,,                              0,,             11997006,,                 97990,,                357994,                  7124,                 48846,                413964,             12508960,             29668871,,,,              7871133,              7871133,,                970228,,                726565,                672924,,              2293948,              3693437,,,                 -9693,,                821147,                811454,                 27254,             13318998,              1011809,             14330807,             43999678,              0,      2810000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2014年03月31日,,,,              1512462,,                    745,,                  1644,,              5806691,,                110827,,              4441308,,                194032,,                479928,,                  1797,,                    259,,              2376838,,                415587,,                425779,                 35632,                461411,             15803529,,,                684121,,              3121122,,             23063738,,                 39475,,                 69833,                122599,,                280708,                 25425,                813572,,                462138,              1581843,             28682731,             44486260,,,,,              7238246,,                899610,,,,                242369,,              2506165,,                267394,,              1329220,                113588,,                 19124,,,                 62380,,              3516595,                  7831,              3586806,             16383838,,,                              0,,             13108864,,                 90659,,                358600,                  7367,                 19332,                385299,             13584822,             29968660,,,,              7871133,              7871133,,                962900,,                641778,              1010295,,              2243330,              3895403,,,                164568,,                641126,                805694,                 27254,             13507876,              1009724,             14517600,             44486260,              0,      2810000,                181316,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,2013年12月31日,,,,,,                    735,,                  1711,,              5107083,,                 89482,,              4634879,,                238942,,                269856,,                  1896,,,,              2108690,,                462043,,                376367,                 35542,                411909,             14631837,,,                619117,,              3186742,,             23208263,,                 47708,,                 71277,                121047,,                323528,                 23547,                638754,,                456973,              1442802,             28696956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2810000,,              0,              1304284,                    327,             43328793,,,,              6322822,,                424844,,                437503,,              1767493,,                209567,,              1486927,                140654,,                 17989,,,                 33208,,              3088482,                 19173,              3140863,             13948662,,,                              0,,             14202964,,                132952,,                356767,                  7561,                 16893,                381221,             14717137,             28665799,,,,              7871133,              7871133,,                958799,,                641778,              1010295,,              2259493,              3911566,,,                194959,,                727347,                922306,                 27254,             13636550,              1026444,             14662994,                              0,                              0,,                              0,,,,
1909,2013年09月30日,,,,,,                    671,,                  1692,,              4163220,,                136305,,              4396946,,                196500,,                465446,,                  8340,,,,              2339977,,                613736,,                683348,                 23722,                707070,             14477422,,,                616377,,              2542764,,             23038390,,                 24941,,                 71633,                 99619,,                277515,                 22813,                631258,,                417514,              1349100,             27742824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     12620638,      2810000,,              0,              1447264,                    255,             42220246,,,,              8120064,,                429715,,                628099,,              2672511,,                256654,,              1632518,                 95005,,                 17726,,,                 43871,,              2731367,                 25382,              2800620,             16654859,,,                              0,,             11350143,,                 60903,,                360551,                  7472,                 12716,                380739,             11791785,             28446644,,,,              6871133,              6997339,,                770636,,                641778,              1010295,,              2046475,              3698548,,,                 39909,,                 97939,                137848,                 27252,             11577119,              2196483,             13773602,                  1947,                126206,,,,,,
1909,2013年06月30日,,,,,,                    657,,                  1799,,              2803013,,                153609,,              4002559,,                175611,,                540571,,                  8232,,,,              2320212,,                675264,,                628979,                 18191,                647170,             12647332,,,                616377,,              2477562,,             23254905,,                 25022,,                 73763,                 90799,,                278126,                 22590,                642040,,                418469,              1361225,             27899653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3560000,,              0,              1318184,                    451,             40546985,,,,              5953761,,                749596,,                946874,,              1621936,,                271252,,              1939492,                110685,,                 17888,,,                 86022,,              2409727,                 17851,              2513600,             14126010,,,,,             12519399,,                 61431,,                357219,                  7191,                 41968,                406378,             12987208,             27113218,,,,              6871133,              6871133,,                758343,,                641778,              1010295,,              1847065,              3499138,,,                133389,,                  5344,                138733,                 33528,             11233819,              2199948,             13433767,                    926,,,,,,,
