證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 應付股利,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
2617,2015年09月30日,,,,                264042,,                 15003,,                100000,,                105577,,                 53191,,                123775,,                802294,                 13906,                816200,              1477788,,,                144621,,                              0,,                 45900,,                 83770,,              8479318,,              1101765,,              1495698,,                224487,              1720185,             11575559,             13053347,,,,,                140000,,                206168,,                 29799,,                130091,                130091,                 37744,,,                 24156,,                114953,                114953,                 23081,                162190,                705992,,,              1872488,              1872488,,                288125,,                107881,                 11580,                119461,              2280074,              2986066,,,,              4172945,              4172945,,,                334382,                334382,,              1608561,                              0,,              3413247,              5021808,,                538146,             10067281,             10067281,             13053347,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,2015年06月30日,,,,                478034,,                 40057,,                100000,,                120313,,                 70132,,                119430,,                723133,                 11945,                735078,              1663044,,,                166344,,                              0,,                 45900,,                106585,,              7267694,,              1102104,,              1581300,,                212222,              1793522,             10482149,             12145193,,,,,,,                211500,,                 16593,,                127960,                399201,                 41210,,,                 27120,,,                167689,                 21659,                216468,                884972,,,,              1309765,,                290386,,                110639,                  9921,                120560,              1720711,              2605683,,,,              4172945,              4172945,,,,                334382,,              1608561,                              0,,              3361708,              4970269,,                 61914,              9539510,              9539510,             12145193,              0,              0,                271241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,2015年03月31日,,,,                468446,,                 17021,,                100000,,                113080,,                 39217,,                122016,,                728693,                  9438,                738131,              1597911,,,                260442,,                              0,,                 45900,,                119769,,              7501464,,              1102442,,              1592863,,                210797,              1803660,             10833677,             12431588,,,,,,,                182981,,                 21458,,,                144176,                 63721,,,                 33769,,,                193986,                 48382,                276137,                688473,,,,              1363394,,                290414,,                114077,                  8790,                122867,              1776675,              2465148,,,,              4172945,              4172945,,,,                334382,,              1578010,                147092,,              3549059,              5274161,,                184952,              9966440,              9966440,             12431588,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,2014年12月31日,,,,                343153,,                 98111,,                              0,,                104215,,                 73668,,                142604,,              1293385,                  9986,              1303371,              2065122,,,                244892,,                100000,,                 45900,,                127809,,              7708444,,              1102780,,              1111143,,                211496,              1322639,             10652464,             12717586,,,,,                              0,,                199066,,                 19476,,                175639,                175639,                 49198,,,                 38351,,                195487,                195487,                 50233,                284071,                727450,,,              1565415,              1565415,,                311708,,                125930,                  8856,                134786,              2011909,              2739359,,,,              4172945,              4172945,,,                334382,                334382,,              1578010,                147092,,              3465621,              5190723,,                280177,              9978227,              9978227,             12717586,              0,              0,                              0,                343153,             12717586,,,,                199066,,                 19476,,                175639,                175639,                 49198,,,                 38351,,                195487,                195487,                 50233,                284071,                727450,,,              1565415,              1565415,,                311708,,                125930,                  8856,                134786,              2011909,              2739359,,,,              4172945,              4172945,,,                334382,                334382,,              1578010,                147092,,              3465621,              5190723,,                280177,              9978227,              9978227,              0,,,
2617,2014年09月30日,,,,                141082,,                 39039,,                              0,,                136790,,                 88160,,                151574,,              1568423,                  4801,              1573224,              2129869,,,                197147,,                100000,,                 45900,,                129901,,              7558265,,              1103118,,              1066827,,                  6859,              1073686,             10208017,             12337886,,,,,                              0,,                201898,,                 27202,,                159772,                159772,                 40486,,,                 45163,,                190212,                190212,                 72678,                308053,                737411,,,              1569183,              1569183,,                311177,,                131777,                  8865,                140642,              2021002,              2758413,,,,              4172945,              4172945,,,                334382,                334382,,              1578010,                147092,,              3372344,              5097446,,                -25300,              9579473,              9579473,             12337886,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,2014年06月30日,,,,              1270044,,                  5012,,                              0,,                116784,,                 94894,,                137634,,                942479,                 11411,                953890,              2578258,,,                180748,,                100000,,                 45900,,                129146,,              7559850,,              1103456,,                879742,,                  7768,                887510,             10006610,             12584868,,,,,,,                160906,,                 37565,,                155575,                489411,                 74311,,,                 17429,,,                187832,                 67693,                272954,              1035147,,,,              1697136,,                310715,,                139120,                  8548,                147668,              2155519,              3190666,,,,              4172945,              4172945,,,,                334382,,              1578010,                147092,,              3327398,              5052500,,               -165625,              9394202,              9394202,             12584868,              0,              0,                333836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,2014年03月31日,,,,                666200,,                 18039,,                              0,,                 95776,,                 84327,,                130920,,              1399877,                 13264,              1413141,              2408403,,,                196069,,                100000,,                 45900,,                137251,,              7842839,,              1103794,,                896677,,                  7466,                904143,             10329996,             12738399,,,,,,,                188100,,                 26181,,,                162756,                 45582,,,                 23032,,,                190427,                 51196,                264655,                687274,,,,              1788227,,                303392,,                140214,                  9112,                149326,              2240945,              2928219,,,,              4172945,              4172945,,,,                334382,,              1523781,                449984,,              3333146,              5306911,,                 -4058,              9810180,              9810180,             12738399,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,2013年12月31日,,,,,,                 10002,,,,                106798,,                105322,,                118039,,              1884429,                 11782,              1896211,              2879306,,,                210802,,                100000,,                 45900,,                158833,,              7821460,,              1104133,,                325903,,                  7865,                333768,              9774896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                642934,             12654202,,,,                218857,,                 24062,,                159302,                159302,                 33149,,,                 35072,,                187575,                187575,                 85243,                307890,                743260,,,              1881853,              1881853,,                298207,,                147140,                  9604,                156744,              2336804,              3080064,,,,              4172945,              4172945,,,                334382,                334382,,              1523781,                449984,,              3240138,              5213903,,               -147092,              9574138,              9574138,              0,                              0,,
2617,2013年09月30日,,,,,,                              0,,,,                109330,,                 89725,,                111694,,              1304352,                 13196,              1317548,              2697519,,,                205489,,                100000,,                 45900,,                158165,,              7898679,,              1104471,,                323113,,                  8673,                331786,              9844490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1069222,             12542009,,,,                170313,,                 31293,,                181170,                181170,                 27994,,,                 47351,,                142996,                142996,                 80653,                271000,                681770,,,              1970861,              1970861,,                295342,,                153360,                  9661,                163021,              2429224,              3110994,,,,              4172945,              4172945,,,                334382,                334382,,              1523781,                449984,,              3155950,              5129715,,               -206027,              9431015,              9431015,              0,,,
2617,2013年06月30日,,,,,,                 30000,,,,                123650,,                 68185,,                132544,,              1620248,                 16004,              1636252,              3080097,,,                191380,,                100000,,                 54000,,                124823,,              8134457,,              1104809,,                163906,,                 20867,                184773,              9894242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1089466,             12974339,,,,                176482,,                 22776,,                184494,                518330,                 82979,,,                 38533,,,                124088,                 81368,                243989,              1044556,,,,              2024380,,                293046,,                155699,                  9726,                165425,              2482851,              3527407,,,,              4172945,              4172945,,,,                334382,,              1523781,                449984,,              3098643,              5072408,,               -132803,              9446932,              9446932,              0,                333836,,
