證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付投資款,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付土地房屋款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨（建設業適用）,　　　　　 在建房地,　　　　　 存貨（建設業適用）淨額
2910,2015年09月30日,,,,                 76452,,                201591,,                 15998,,                  1220,,                 26913,                  3197,                 30110,,                 49563,,                  4807,,              1115983,,                 45864,              1541588,,,                405956,,                119807,,              1392372,,              2022124,                 14428,,                  1187,                  3412,,                 19941,                 19941,                 24540,              3979227,              5520815,,,,,                806000,,                364847,,                 43785,,                176350,,                 57217,                     65,                  8275,                 65557,                              0,,,                560000,                 39373,                599373,              2055912,,,                970000,,                218377,                218377,,                 45289,                 43218,                 88507,              1276884,              3332796,,,,              2087250,              2087250,,                466977,,                435958,                372185,,                111642,                919785,,                 -2452,              1283541,              2188019,                              0,              2188019,              5520815,              0,              0,     33322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,2015年06月30日,,,,                 87956,,                216525,,                 15030,,                  1531,,                  3436,                  3197,                  6633,,                 34517,,,,              1039938,,                 30230,              1432360,,,                461554,,                123780,,              1404093,,              2023593,                 14970,,                  1460,                  2592,,                 20741,                 20741,                 24793,              4052783,              5485143,,,,,                806000,,                344988,,                 60412,,                 86326,,                 47166,                    942,                130222,                178330,                 14287,,,                600000,                  6615,                606615,              2096958,,,                900000,,                218031,                218031,,                 45100,                 43218,                 88318,              1206349,              3303307,,,,              2087250,              2087250,,                466977,,                435958,                372185,,                 98527,                906670,,                  4480,              1283541,              2181836,                              0,              2181836,              5485143,              0,              0,     33322000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,2015年03月31日,,,,                105482,,                239188,,                 26765,,                  1394,,                  4451,                  3197,                  7648,,                 41080,,,,              1063329,,                 25094,              1509980,,,                461554,,                137085,,              1413042,,              1756464,                 14890,,                  1419,                  2592,,                 21540,                 21540,                 25551,              3808586,              5318566,,,,,                505500,,                344994,,                 57439,,                117094,,                 47143,                    910,                  7611,                 55664,                 22103,,,              1482851,                 28128,              1510979,              2613773,,,                100000,,                218167,                218167,,                 44915,                 43218,                 88133,                406300,              3020073,,,,              2087250,              2087250,,                442875,,                418907,                372185,,                240911,              1032003,,                 27649,              1291284,              2298493,                              0,              2298493,              5318566,              0,              0,     33523000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,2014年12月31日,,,,                 99767,,                291199,,                 21313,,                    426,,                  4597,                  3197,                  7794,,                 49757,,                              0,,              1038060,,                 23320,              1531636,,,                461857,,                132734,,              1424348,,              1757933,                 14781,,                              0,                  2611,,                 22339,                 22339,                 24950,              3816603,              5348239,,,,,                570500,,                344958,,                 46597,,                 99844,,                 52702,                  2113,                  8410,                 63225,                 15221,,,              1062851,                  4145,              1066996,              2207341,,,                560000,,                218302,                218302,,                 44734,                 43168,                 87902,                866204,              3073545,,,,              2087250,              2087250,,                442868,,                418907,                372185,,                221599,              1012691,,                 23285,              1291400,              2274694,                              0,              2274694,              5348239,              0,              0,     33526000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,2014年09月30日,,,,                 98765,,                318473,,                 21472,,                  1286,,                  3429,                  3197,                  6626,,                 58441,,                              0,,              1105004,,                 33754,              1643821,,,                470852,,                136342,,              1412708,,              1686860,                 14447,,                 18007,                  2542,,                 23138,                 23138,                 43687,              3764896,              5408717,,,,,                860500,,                344894,,                 51452,,                168538,,                 53327,                 20465,                  7807,                 81599,                  6388,,,                699851,                 81385,                781236,              2294607,,,                560000,,                218438,                218438,,                 41078,                 43118,                 84196,                862634,              3157241,,,,              2087250,              2087250,,                442858,,                418907,                372185,,                197344,                988436,,                 24447,              1291515,              2251476,                              0,              2251476,              5408717,              0,              0,     33529000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,2014年06月30日,,,,                 89449,,                270942,,                 25408,,                  1452,,                  4234,                  3197,                  7431,,                 58911,,,,              1026102,,                 23173,              1502868,,,                507096,,                135596,,              1417960,,              1688862,                 14532,,                    140,                  2562,,                 23938,                 23938,                 26640,              3790686,              5293554,,,,,                751500,,                344856,,                 51533,,                108481,,                 49987,                    752,                130770,                181509,                 14663,,,                749851,                  6273,                756124,              2208666,,,                562000,,                218574,                218574,,                 40794,                 42725,                 83519,                864093,              3072759,,,,              2087250,              2087250,,                442267,,                418907,                372185,,                173695,                964787,,                 26479,              1299988,              2220795,                              0,              2220795,              5293554,              0,              0,     33749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,2014年03月31日,,,,                105155,,                216466,,                 24313,,                    978,,                  9937,                  3197,                 13134,,                 67536,,,,              1192719,,                 27899,              1648200,,,                507096,,                125142,,              1419978,,              1265484,                 14501,,                              0,                  2628,,                 24737,                 24737,                148410,              3480611,              5128811,,,,,                681500,,                344973,,                 49190,,                138239,,                 48618,                  5415,                  8416,                 62449,                 20797,,,                469631,                 20548,                490179,              1787327,,,                769000,,                218710,                218710,,                 40581,                 42164,                 82745,              1070455,              2857782,,,,              2087250,              2087250,,                418642,,                408915,                372185,,                268104,              1049204,,                 15921,              1299988,              2271029,                              0,              2271029,              5128811,              0,              0,     33749000,                121045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2910,2013年12月31日,,,,,,                355275,,                 18285,,                    192,,                  3406,                  3197,                  6603,,                 56894,,,,              1222600,,                 28394,              1798954,,,                507096,,                129293,,              1428161,,              1267036,                 14517,,,                  2628,,                 25536,                 25536,                 28164,              3374267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     33749000,,                110711,              5173221,,,,                711500,,                344930,,                 57224,,                108520,,                 52164,                  7267,                  7858,                 67289,                 13165,,,                564311,                 20431,                584742,              1887370,,,                769000,,                218846,                218846,,                 40123,                 41298,                 81421,              1069267,              2956637,,,,              2087250,              2087250,,                418642,,                408915,                372185,,                210313,                991413,,                 19267,              1299988,              2216584,                              0,              2216584,,,,,,,,
2910,2013年09月30日,,,,,,                269683,,                 17602,,                  3768,,                 13532,                  3197,                 16729,,                 47290,,,,              1149247,,                 32475,              1644086,,,                542659,,                118826,,              1420707,,              1362730,                 14384,,                 30860,                  2618,,                 26336,                 26336,                 59814,              3519120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     33749000,,                107292,              5163206,,,,                711500,,                329914,,                101081,,                170671,,                 58148,                  2017,                  8752,                 68917,                  3070,,,                554753,                100252,                655005,              2040158,,,                637000,,                218982,                218982,,                 39346,                 41001,                 80347,                936329,              2976487,,,,              2087250,              2087250,,                418642,,                408915,                372185,,                191404,                972504,,                  8311,              1299988,              2186719,                              0,              2186719,,,,,,,,
2910,2013年06月30日,,,,,,                207527,,                 18266,,                  1591,,                  8331,                  3197,                 11528,,                 60980,,,,              1027828,,                 23117,              1453282,,,                546657,,                116701,,              1420501,,              1267419,                 14425,,                  7649,                  2598,,                 27135,                 27135,                 37382,              3403085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     33749000,,                102445,              4856367,,,,                471500,,                276862,,                 99722,,                103592,,                 58865,                  4757,                182963,                246585,                 13088,,,                533955,                  6402,                540357,              1751706,,,                637000,,                219118,                219118,,                 39134,                 41001,                 80135,                936253,              2687959,,,,              2087250,              2087250,,                418642,,                408915,                372185,,                171182,                952282,,                  7524,              1299988,              2165710,                  2698,              2168408,,,,,,,,
