證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　　　 其他無形資產,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預收股本,　　　　 預付設備款,　　　　 待分配股票股利
3090,2015年06月30日,,,,              1065794,,                    765,,                245027,,                110305,,              2314419,,                              0,,                720322,,                    191,,,              1452076,              1452076,,                 10232,,                  2446,              5921577,,,                 39571,,                661142,,                 43643,,                 51411,,                  3142,                 54553,                 47218,,                 15024,                  4338,,                  9896,                 29258,                875385,              6796962,,,,,              1834356,,                    438,,                  2735,,              1247891,,                              0,,                435941,                 49554,,,                 20289,                 16932,                 37221,              3608136,,,                429951,,                  5695,,                 26989,                  6891,                 33880,                469526,              4077662,,,,              1590184,                 79509,              1669693,,                412750,,                283449,                 24259,,                211937,                519645,,                 43629,              2645717,                 73583,              2719300,              6796962,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,2015年03月31日,,,,                973146,,                  1242,,                304910,,                 91081,,              2436609,,                              0,,                723861,,                    239,,,              1558003,              1558003,,                 21648,,                  2443,              6113182,,,                 39571,,                577010,,                 44270,,                 51411,,                  1783,                 53194,                 48326,,                 15651,                  4332,,                  9896,                 29879,                792250,              6905432,,,,,              2126542,,                              0,,                  1390,,              1288774,,                              0,,                224301,                 73333,,,                 11067,                 19758,                 30825,              3745165,,,                 74700,,                 11165,,                 26907,                  4925,                 31832,                117697,              3862862,,,,              1590184,,              1590184,,                422341,,                247349,                 24259,,                518615,                790223,,                110547,              2913295,                129275,              3042570,              6905432,              0,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,2014年12月31日,,,,                832335,,                              0,,                298561,,                125350,,              2658579,,                              0,,                754999,,                    209,,,              1490730,              1490730,,                 25995,,                  2336,              6189094,,,                 39571,,                560521,,                 44797,,                 51411,,                  2285,                 53696,                 51531,,                 16064,                  4303,,                  9896,                 30263,                780379,              6969473,,,,,              2126786,,                  1897,,                  1548,,              1480878,,                              0,,                222633,                 51252,,,                 11067,                 12447,                 23514,              3908508,,,                 77466,,                 16610,,                 27015,                  4927,                 31942,                126018,              4034526,,,,              1590184,                              0,              1590184,,                422341,,                247349,                 24259,,                415441,                687049,,                109921,              2809495,                125452,              2934947,              6969473,              0,              0,,                              0,              0,                832335,                    209,,                              0,                  2285,                  4303,              6969473,,,,              2126786,,                              0,,                  1897,,                  1548,,              1480878,,                              0,,                222633,                 51252,,,                 11067,                 12447,                 23514,              3908508,,,                 77466,,                 16610,,                 27015,                  4927,                 31942,                126018,              4034526,,,,              1590184,              1590184,,                422341,,                247349,                 24259,,                415441,                687049,,                109921,                              0,              2809495,                125452,              2934947,,,
3090,2014年09月30日,,,,,,,,                318126,,                166559,,              2606642,,                  1712,,                801131,,,,,              1338877,              1338877,,                 28903,,                  3480,              5963803,,,                 39571,,                561459,,                 44357,,                 51411,,                  2850,                 54261,                 35137,,                 15758,,,                  9897,                 29729,                764514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                698210,                    163,,                              0,,                  4074,              6728317,,,,              2047757,,                              0,,                     11,,                  1762,,              1520149,,                     12,,                196450,                 33268,,,                 11067,                 24868,                 35935,              3835344,,,                 80233,,                 10179,,                 29645,                  4207,                 33852,                124264,              3959608,,,,              1446518,              1446518,,                191120,,                247349,                 24259,,                255213,                526821,,                108643,                              0,              2273102,                495607,              2768709,                              0,,
3090,2014年06月30日,,,,                722553,,                     11,,                379916,,                200965,,              2206725,,                  4984,,                801652,,                    139,,,              1207239,              1207239,,                 37401,,                  3030,              5564615,,,                 41248,,                562797,,                 44066,,                 51411,,                  3019,                 54430,                 17088,,                 15671,                  4074,,                  3340,                 23085,                742714,              6307329,,,,,              1597782,,                              0,,                  1642,,              1427222,,                     22,,                323905,                 34356,,,                 11067,                 17585,                 28652,              3413581,,,                 83000,,                  8183,,                 30455,                  4261,                 34716,                125899,              3539480,,,,              1291534,                154984,              1446518,,                191120,,                247349,                 24259,,                199056,                470664,,                158844,              2267146,                500703,              2767849,              6307329,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,2014年03月31日,,,,                688924,,                              0,,                401555,,                163496,,              2098874,,                  4703,,                711033,,                     92,,,              1113464,              1113464,,                 47050,,                  3383,              5232574,,,                 44679,,                576461,,                 35000,,                 51411,,                  3075,                 54486,                 14909,,                 14917,                  4074,,                  3340,                 22331,                747866,              5980440,,,,,              1474656,,                              0,,                  1364,,              1279129,,                    120,,                147030,                 34648,,,                 11067,                 14970,                 26037,              2992980,,,                 85767,,                 11290,,                 30265,                  4266,                 34531,                131588,              3124568,,,,              1291534,,              1291534,,                191120,,                215306,                 24259,,                451289,                690854,,                189021,              2362529,                493343,              2855872,              5980440,              0,              0,,                 29996,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,2013年12月31日,,,,,,,,                389020,,                100148,,              2012706,,                  3427,,                744161,,,,,              1024877,              1024877,,                 29775,,                  2556,              5046126,,,                 44679,,                591511,,                 21074,,                 15974,,                  3074,                 19048,                  9342,,                 14744,,,                  3340,                 22158,                776980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                739456,                              0,,                 69168,                  3074,                  4074,              5823106,,,,              1550119,,                 74967,,                              0,,                  1810,,              1144667,,                 15462,,                169600,                 20076,,,                 11067,                  6606,                 17673,              2994374,,,                 88533,,                  9889,,                 28611,                  4022,                 32633,                131055,              3125429,,,,              1291534,              1291534,,                191120,,                215306,                 24259,,                371705,                611270,,                167148,                              0,              2261072,                436605,              2697677,                              0,,
3090,2013年09月30日,,,,,,,,                390388,,                 87726,,              1781312,,                  8041,,                857353,,,,,              1033386,              1033386,,                 56277,,                  3380,              4940168,,,                 44679,,                594350,,                 21084,,                 15974,,                  3572,                 19546,                 18959,,                 11895,,,                  3340,                 16655,                783865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        406000,              0,,,              0,                722305,                              0,,                 68592,,                  1420,              5724033,,,,              1721818,,                 74950,,                              0,,                  1359,,              1019350,,                  3469,,                139488,                 11769,,,                 11067,                  5529,                 16596,              2988799,,,                 91300,,                  8936,,                 25158,                  8715,                 33873,                134109,              3122908,,,,              1287474,              1291534,,                192459,,                215306,                 24259,,                323333,                562898,,                170958,                              0,              2217849,                383276,              2601125,                  4060,,
3090,2013年06月30日,,,,,,                              0,,                494531,,                157405,,              1614339,,                  5640,,                715335,,,,,                977273,                977273,,                 54316,,                  2387,              4772574,,,                 41248,,                576350,,                 21093,,                 15974,,                  3421,                 19395,                 17544,,                 11920,,,                  3340,                 16766,                746422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2300000,,,              0,                751348,                              0,,                 54026,,                  1420,              5518996,,,,              1688837,,                 94854,,,,                  1476,,                874666,,                  1894,,                179373,                 20140,,,                 11067,                  5098,                 16165,              2877405,,,                 94067,,                  9610,,                 25582,                 12126,                 37708,                141385,              3018790,,,,              1151995,              1287474,,                191693,,                215306,                 24259,,                198888,                438453,,                256755,                 59652,              2114723,                385483,              2500206,,                     86,                135479
3090,2013年03月31日,,,,,,,,                537419,,                 85901,,              1598691,,                 28190,,                832177,,,,,                928093,                928093,,                 17895,,                  4588,              4763077,,,                 69556,,                574160,,                 21103,,                  3977,,                  4883,                  8860,                 18063,,                 12008,,,                  3340,                 17228,                708970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,        598000,      2300000,,,              0,                728223,                  1900,,                              0,,                  1880,              5472047,,,,              1774372,,                 74881,,,,                  1345,,                832696,,                  3015,,                140273,                 24199,,,                  8300,                 18693,                 26993,              2877774,,,                 99600,,                  9488,,                 25886,                  9196,                 35082,                144170,              3021944,,,,              1146015,              1151995,,                192713,,                197113,                 24259,,                314933,                536305,,                246215,                 59652,              2067576,                382527,              2450103,                  5980,,
