證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 催收款項,　　　　　 長期應收票據及款項淨額,　　　　 預付投資款,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 共同控制下前手權益,　　　　 庫存現金,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　　 長期應收票據,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　 當期所得稅資產,　　　　 當期所得稅資產合計
1235,2015年09月30日,,,,                  9470,,                163222,,              1658698,,                 11434,,                 28302,,                  8430,,                 38726,,,                 63192,                 63192,,                  1694,,                  5226,              1988394,,,                  7577,,                261614,,                187053,,                 48769,                  6312,,                    440,                  2434,,                 47484,                 47484,                 59775,                110133,                621458,              2609852,,,,,                612947,,                567535,,                              0,,                 10633,,                  2143,,                 17048,                 21752,                     56,,,                  2596,,                  4286,                  4286,                     45,                  6927,              1239041,,,                    664,,                 54282,,,                    305,                    305,                  6881,                     60,                  7246,                 62192,              1301233,,,,                561688,                 44935,                606623,,                 41515,,                 83828,                 97417,,                 27819,                209064,,,                    -40,,                461262,                461222,                  9953,              1308471,                    148,              1308619,              2609852,              0,      1831610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2015年06月30日,,,,                 10479,,                178115,,              1577991,,                 13019,,                 26479,,                  3657,,                 25534,,,                 67200,                 67200,,                  1531,,                  5936,              1909941,,,                  7577,,                225576,,                187443,,                 48843,                  6355,,                    440,                  2267,,                 47177,                 47177,                 59775,                109659,                585453,              2495394,,,,,                646400,,                522674,,                    469,,                 12107,,                  2467,,                 15960,                 34188,                     56,,,                  3115,,                  5118,                  5118,                     57,                  8290,              1242611,,,                  1097,,                 54280,,,                    287,                    287,                  6874,                     60,                  7221,                 62598,              1305209,,,,                561688,                 44935,                606623,,                 41515,,                 83828,                 97417,,                -28112,                153133,,,                    -68,,                398796,                398728,                  9953,              1190046,                    139,              1190185,              2495394,              0,      1831610,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2015年03月31日,,,,                  8718,,                183470,,              1552557,,                 14201,,                 20819,,                  3722,,                              0,,,                 69236,                 69236,,                  1712,,                  6376,              1860811,,,                  7577,,                275789,,                187865,,                 48116,                  6346,,                    440,                  2913,,                 50897,                 50897,                 59775,                114025,                639718,              2500529,,,,,                581337,,                516675,,                     62,,                 10918,,                  1386,,                 16243,                 11140,                    299,,,                  3505,,                  5080,                  5080,                     37,                  8622,              1146682,,,                  2391,,                 54280,,,                    291,                    291,                  6881,,                  7172,                 63843,              1210525,,,,                561688,,                561688,,                 41515,,                 78594,                 97417,,                 54212,                230223,,,                    -62,,                466452,                466390,                  9953,              1289863,                    141,              1290004,              2500529,              0,      1831610,                              0,                  8718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2014年12月31日,,,,                  9455,,                160773,,              1517074,,                 23626,,                 22935,,                  4101,,                              0,,,                 70922,                 70922,,                  2503,,                  6249,              1817638,,,                  7577,,                271065,,                188356,,                 48170,                  6489,,                    440,                  4604,,                 40013,                 40013,                 59775,                104832,                626489,              2444127,,,,,                823847,,                247752,,                    563,,                  7877,,                  2329,,                 16814,                  3146,                    299,,,                  3743,,                  5055,                  5055,                     47,                  8845,              1111472,,,                  3249,,                 54280,,,                    294,                    294,                  6890,                              0,                  7184,                 64713,              1176185,,,,                561688,                              0,                561688,,                 41515,,                 78594,                 97417,,                 54404,                230415,,,                    -57,,                444192,                444135,                  9953,              1267800,                    142,              1267942,              2444127,              0,      1831610,                              0,                  9455,                  9455,              2444127,,,,                823847,,                247752,,                    563,,                  7877,,                  2329,,                 16814,                  3146,                    299,,,                  3743,,                  5055,                  5055,                     47,                  8845,              1111472,,,                  3249,,                 54280,,,                    294,                    294,                  6890,                  7184,                 64713,              1176185,,,,                561688,                561688,,                 41515,,                 78594,                 97417,,                 54404,                230415,,,                    -57,,                444192,                444135,                  9953,              1267800,                    142,              1267942,              0,,,,,,,,,,,
1235,2014年09月30日,,,,                 12359,,                172898,,              1584018,,                 27669,,                 46613,,                    376,,                  9421,,,                 62500,                 62500,,                  2352,,                  6249,              1924455,,,                  1577,,                346983,,                194077,,                 48243,                  5319,,                    440,                  2540,,                 50166,                 50166,                 37000,                 90146,                686345,              2610800,,,,,                612620,,                292156,,                    182,,                 13966,,                  2834,,                  4723,                  5579,                    954,,,                  7240,,                  5005,                  5005,                     33,                 12278,                945292,,,                  4950,,                 54280,,,                    283,                    283,                  2062,                              0,                  2345,                 61575,              1006867,,,,                561688,                              0,                561688,,                 41515,,                 78594,                 97417,,                143797,                319808,,,                   -103,,                690259,                690156,                  9953,              1603214,                    719,              1603933,              2610800,              0,      1831610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2014年06月30日,,,,                 11270,,                132364,,              1239993,,                 19258,,                 60891,,                 16458,,                  9421,,,                 65513,                 65513,,                  2400,,                  6400,              1563968,,,                  1577,,                237966,,                194887,,                 48317,                  5200,,                    440,                  1654,,                102518,                102518,                 27000,                131612,                619559,              2183527,,,,,                558666,,                306695,,                    644,,                 34101,,                  2505,,                  7369,                  4535,                              0,,,                  6854,,                  4967,                  4967,                     37,                 11858,                926373,,,                  6216,,                 54328,,,                    277,                    277,                  2182,                              0,                  2459,                 63003,                989376,,,,                561688,                              0,                561688,,                 27674,,                 78594,                 97417,,                 70692,                246703,,,                   -141,,                369007,                368866,                 11584,              1193347,                    804,              1194151,              2183527,              0,      2131610,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2014年03月31日,,,,                  9453,,                113392,,              1058243,,                 44799,,                 40718,,                    710,,                  9421,,,                 38913,                 38913,,                  2381,,                  6760,              1324790,,,                  1577,,                192085,,                195917,,                 48390,                  5255,,                    440,                    897,,                125258,                125258,                 52500,                179095,                622319,              1947109,,,,,                485098,,                357035,,                              0,,                 13681,,                  1038,,                  9506,                  3127,                              0,,,                  7416,,                              0,                              0,                     36,                  7452,                876937,,,                              0,,                 54280,,,                    283,                    283,                  2302,,                  2585,                 56865,                933802,,,,                561688,,                561688,,                 27674,,                 78594,                 97417,,                 34824,                210835,,,                    -94,,                223868,                223774,                 11584,              1012387,                    920,              1013307,              1947109,              0,      2131610,                              0,                  9453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2013年12月31日,,,,,,                 93491,,                929760,,                 49802,,                 37388,,                    430,,                  5109,,,                 34142,                 34142,,                  6862,,                  5211,              1172537,,,                  1577,,                147546,,                196710,,                 48464,                  5218,,                    440,                  1297,,                114287,                114287,                  3780,                119804,                519319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2131610,,,                 10342,              1691856,,,,                312567,,                424119,,                  2742,,                 11698,,                  2371,,                  3986,                  4212,                              0,,,                  6964,,                              0,                              0,                     31,                  6995,                768690,,,                              0,,                 54280,,,                    277,                    277,                  2422,                  2699,                 56979,                825669,,,,                561688,                561688,,                 27674,,                 78594,                 97417,,                  7012,                183023,,,                   -146,,                104533,                104387,                 11584,                865188,                    999,                866187,              0,,                              0,,                              0,,,,,,,
1235,2013年09月30日,,,,,,                102642,,                992130,,                 57482,,                 44572,,                  9594,,                  2634,,,                 35816,                 35816,,                 14827,,                  1073,              1279541,,,                  1577,,                165295,,                197650,,                 48268,                  5152,,                    440,                  1117,,                116624,                116624,                              0,                118181,                536123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2131610,,,                 18771,              1815664,,,,                391245,,                379951,,                    390,,                 14623,,                  3571,,                  6517,                  6879,                              0,,,                  6162,,                              0,                              0,                     34,                  6196,                809372,,,                              0,,                 54280,,,                    275,                    275,                  2573,                  2848,                 57128,                866500,,,,                561688,                561688,,                 27674,,                 78594,                 97417,,                 13857,                189868,,,                   -166,,                180596,                180430,                 11584,                948076,                  1088,                949164,              0,,,,,,,,,,,
1235,2013年06月30日,,,,,,                 98554,,                941023,,                 54091,,                 49676,,                  2038,,                  2634,,,                 51315,                 51315,,                  8376,,                    844,              1235896,,,                  1577,,                164340,,                198761,,                 48303,                  5237,,                    440,                  1235,,                110149,                110149,                              0,                111824,                530042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2131610,,,                 26526,              1765938,,,,                385916,,                364144,,                              0,,                 15112,,                  2939,,                  5652,                  7589,,,,                  6273,,                              0,                              0,                     65,                  6338,                787690,,,                              0,,                 54280,,,                    279,                    279,                  2700,                  2979,                 57259,                844949,,,,                561688,                561688,,                 27674,,                 78594,                 97417,,                  3302,                179313,,,                   -119,,                162815,                162696,                 11584,                919787,                  1202,                920989,              0,,                    819,,,,,,,,,
