證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 其他短期負債準備,　　　　 應付股利,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　 其他權益,　　　　 其他權益合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 與待出售非流動資產直接相關之負債
2038,2015年09月30日,,,,                355897,,                 40385,,                 44290,,                882157,,                  1690,,                     76,,              1310118,,                 42321,,                  2950,                  1046,                  3996,              2680930,,,                 95306,,              3792726,                150401,,                 65781,                    664,,                  7680,                 74125,              4112558,              6793488,,,,,              1712907,,                249700,,                 39247,,                219471,,                135657,                135657,                    908,,                              0,,,                 15349,,                255533,                255533,                  4197,                275079,              2632969,,,                702867,,                              0,,                279524,,                166904,                     10,                166914,              1149305,              3782274,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                233114,                627039,,,                              0,                              0,              2621660,                389554,              3011214,              6793488,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2015年06月30日,,,,                300402,,                    740,,                 34241,,                898816,,                 36615,,                     73,,              1490673,,                230719,,                  8153,                  2950,                 11103,              3003382,,,                 95760,,              3834428,                128167,,                 69045,                    664,,                  8160,                 77869,              4136224,              7139606,,,,,              1814329,,                249369,,                 81073,,                275747,,                135193,                135193,                  1930,,                 18361,,,                 13315,,                255471,                255471,                  3953,                272739,              2851939,,,                766760,,                              0,,                272404,,                165807,                     10,                165817,              1204981,              4056920,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                305780,                699705,,,                              0,                              0,              2694326,                388360,              3082686,              7139606,              0,              0,,                  3198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2015年03月31日,,,,                217195,,                    758,,                 31548,,              1160954,,                    672,,                     49,,              1587094,,                 53593,,                 13364,                  1343,                 14707,              3066570,,,                 95760,,              3855690,                126708,,                 69182,                    664,,                  8640,                 78486,              4156644,              7223214,,,,,              1809105,,                299614,,                 58412,,                320854,,                182108,                182108,                  3270,,                 31531,,,                 31294,,                218741,                218741,                  3947,                253982,              2960729,,,                748154,,                    364,,                275439,,                164715,                     10,                164725,              1188682,              4149411,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                295638,                689563,,,,                              0,              2684184,                389619,              3073803,              7223214,              0,              0,,                  1853,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2014年12月31日,,,,                211100,,                 11490,,                 26789,,                988556,,                  1147,,                     49,,              2381291,,                110816,,                 13462,                  1885,                 15347,              3746585,,,                 95760,,              3898890,                108403,,                 71929,                    664,,                  9120,                 81713,              4184766,              7931351,,,,,              2518861,,                 49976,,                140263,,                317832,,                217581,                217581,                  2811,,                 37824,,,                 26340,,                218679,                218679,                  3947,                248966,              3534114,,,                802881,,                  2955,,                275941,,                163612,                     10,                163622,              1245399,              4779513,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                374349,                768274,,,                              0,                              0,              2762895,                388943,              3151838,              7931351,              0,              0,,                              0,              0,                211100,                     49,              7931351,,,,              2518861,,                 49976,,                140263,,                317832,,                217581,                217581,                  2811,,                 37824,,,                 26340,,                218679,                218679,                  3947,                248966,              3534114,,,                802881,,                  2955,,                275941,,                163612,                     10,                163622,              1245399,              4779513,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                374349,                768274,                              0,              2762895,                388943,              3151838,,,,,,,,,,,,,,
2038,2014年09月30日,,,,                273213,,                 19329,,                 42616,,                948114,,                    993,,                     27,,              2240689,,                 83119,,                 13002,                  1663,                 14665,              3622765,,,                 95760,,              3620005,                 85759,,                276973,                    664,,                     16,                277653,              4079177,              7701942,,,,,              2143029,,                 49913,,                237576,,                258491,,                118307,                118307,                  1972,,                 49252,,,                 61779,,                218866,                218866,                  4246,                284891,              3143431,,,                857608,,                  2867,,                275944,,                160583,                    220,                160803,              1297222,              4440653,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                485669,                879594,,,                              0,                              0,              2874215,                387074,              3261289,              7701942,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2014年06月30日,,,,                235896,,                    731,,                 38060,,              1068484,,                    295,,                     25,,              1866359,,                 33359,,                 12165,                    956,                 13121,              3256330,,,                 95760,,              3658761,                 83985,,                206842,                  1174,,                    924,                208940,              4047446,              7303776,,,,,              1627241,,                 49905,,                260435,,                289101,,                123345,                123345,                  1481,,                 16183,,,                 86622,,                218804,                218804,                  4598,                310024,              2691393,,,                912335,,                 26009,,                270979,,                159513,                     10,                159523,              1368846,              4060239,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                471654,                865579,,,                              0,                              0,              2860200,                383337,              3243537,              7303776,              0,              0,,                 13678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2014年03月31日,,,,                285562,,                  1509,,                 52245,,              1030328,,                    362,,                  4693,,              1462684,,                 25234,,                 28179,                    358,                 28537,              2891154,,,                 95760,,              3698480,                 76723,,                104198,                  1174,,                    903,                106275,              3977238,              6868392,,,,,              1117909,,                 49903,,                221829,,                280974,,                157045,                157045,                  2719,,                 23617,,,                109254,,                218741,                218741,                  5034,                333029,              2187025,,,                967062,,                 27911,,                269524,,                158450,                     10,                158460,              1422957,              3609982,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                486663,                880588,,,,                              0,              2875209,                383201,              3258410,              6868392,              0,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2038,2013年12月31日,,,,,,                    753,,                 52193,,              1115199,,                    288,,,,              1988409,,                 40860,,                 12932,                  1090,                 14022,              3347976,,,                 95760,,              3634952,                 67644,,                193539,                  1504,,                  1727,                196770,              3995126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                131561,                  4691,              7343102,,,,              1452811,,                              0,,                216252,,                255398,,                177953,                177953,                  2719,,                 18935,,,                212131,,                218679,                218679,                  9065,                439875,              2563943,,,              1021789,,                 29304,,                268952,,                157986,                     10,                157996,              1478041,              4041984,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                528857,                922782,                              0,              2917403,                383715,              3301118,,                              0,,                              0,                 18935,                              0,                              0,,                              0,,,,,
2038,2013年09月30日,,,,,,                 38261,,                 40744,,                711408,,                    215,,,,              3449502,,                 88105,,                  2950,                  1789,                  4739,              4465614,,,                 95760,,              2583304,                 75934,,                158358,                  2134,,                  3197,                163689,              4009575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                127949,                  4691,              8475189,,,,              2598758,,                 99954,,                256796,,                240264,,                109822,                109822,                  4210,,                  6530,,,                108802,,                218866,                218866,                  9193,                336861,              3658302,,,              1076516,,                 44817,,                270691,,                163592,                     10,                163602,              1555626,              5213928,,,,              1726329,              1726329,,                268292,,                237456,                156469,,                489767,                883692,                              0,              2878313,                382948,              3261261,,              1090888,,                  5107,                  6530,,,,,,,,,
2038,2013年06月30日,,,,,,                 25133,,                 43309,,                687246,,                    126,,,,              3379587,,                 72094,,                              0,                  1454,                  1454,              4380920,,,                 95760,,              2590677,                 73389,,                126386,                  2134,,                  3515,                132035,              3983830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                167280,                  4691,              8364750,,,,              2340795,,                 99932,,                308204,,                193608,,                105205,                156974,                  6771,,                 39443,,,                143507,,                163804,                166176,                  9061,                318744,              3464471,,,              1131243,,                 42484,,                270243,,                162533,                     10,                162543,              1606513,              5070984,,,,              1726329,              1726329,,                268305,,                237456,                156469,,                523509,                917434,                              0,              2912068,                381698,              3293766,,              1091969,,                              0,,                 51769,                  2372,,                              0,,,,,
