證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 庫藏股票,　　 非控制權益
1737,2015年09月30日,,,,                784950,,                442550,,                 68239,,                 33105,,                312060,,                 15820,,                225272,,                 18922,,                345938,,                 12219,,                 20356,              2279431,,,                252953,,                 46864,,                 14397,,              2677086,,              1449314,,                 13315,                 29376,,                    209,                  4608,,                 48345,                 53162,              4536467,              6815898,,,,,                 65513,,                 62731,,                186284,                 26280,,                 58486,                 58486,                399294,,,                  6466,,                 39822,,                398308,                 54440,                 72912,                525660,                571948,                971242,,,,              2000000,              2000000,,              2488261,,              1094931,                 46356,,                236441,              1377728,,                -21333,              5844656,              5844656,              6815898,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,2015年06月30日,,,,                845869,,                485314,,                 82126,,                 30785,,                299880,,                 12840,,                221759,,                  8331,,                311913,,                 60907,,                 18072,              2377796,,,                244222,,                 42640,,                 14919,,              2693824,,              1452763,,                 14674,                 28951,,                    276,                  5709,,                 58767,                 64752,              4556745,              6934541,,,,,                 63356,,                 69994,,                376066,                 27386,,                 69074,                 69074,                605876,,,                  6466,,                 33868,,                400585,                 53805,                 97072,                551462,                591796,              1197672,,,,              2000000,              2000000,,              2488261,,              1094931,                 46356,,                116421,              1257708,,                 -9100,              5736869,              5736869,              6934541,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,2015年03月31日,,,,                886839,,                334554,,                 83648,,                 26550,,                304140,,                 12136,,                183840,,                  5253,,                338193,,                 56471,,                 23025,              2254649,,,                276291,,                 42640,,,,              2696715,,              1456203,,                 16583,                 27013,,                    150,                  5607,,                 45967,                 51724,              4567169,              6821818,,,,,                 72801,,                 69166,,                151225,                 32974,,                 45300,                 45300,                371466,,,                  6466,,                 33868,,                388841,                 53323,                 94676,                536840,                577174,                948640,,,,              2000000,              2000000,,              2504261,,              1074450,                 46356,,                253087,              1373893,,                 -4976,              5873178,              5873178,              6821818,              0,              0,              0,,                 -4976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,2014年12月31日,,,,                719848,,                233467,,                 77495,,                 28465,,                510700,,                 14738,,                194133,,                 14379,,                306687,,                  2835,,                 34744,              2137491,,,                283615,,                 42640,,                              0,,              2712906,,              1458147,,                 18563,                 28752,,                    150,                  8599,,                 47257,                 56006,              4600629,              6738120,,,,,                 73540,,                 45604,,                179185,                 21231,,                 34879,                 34879,                354439,,,                  6466,,                 36723,,                391727,                 52568,                 71229,                515524,                558713,                913152,,,,              2000000,              2000000,,              2504261,,              1074450,                 46356,,                204814,              1325620,,                 -4913,              5824968,              5824968,              6738120,              0,              0,              0,,                 -4913,                719848,                510700,                 42640,              6738120,,,,                 73540,,                 45604,,                179185,                 21231,,                 34879,                 34879,                354439,,,                  6466,,                 36723,,                391727,                 52568,                 71229,                515524,                558713,                913152,,,,              2000000,              2000000,,              2504261,,              1074450,                 46356,,                204814,              1325620,,                 -4913,              5824968,              5824968,,,,
1737,2014年09月30日,,,,                469375,,                402504,,                 67264,,                 57082,,                494900,,                 12725,,                205577,,                 11478,,                321441,,                  3998,,                 31103,              2077447,,,                272855,,                 42640,,                              0,,              2690143,,              1085448,,                 19460,                 23668,,                  1337,                  8506,,                 45650,                 55493,              4189707,              6267154,,,,,                 64845,,                 53963,,                169625,                 16351,,                 38807,                 38807,                343591,,,                  6225,,                 33868,,                              0,                 30504,                 64120,                 94624,                134717,                478308,,,,              2000000,              2000000,,              2504261,,              1074450,                 46356,,                170727,              1291533,,                 -6948,              5788846,              5788846,              6267154,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,2014年06月30日,,,,                501625,,                401696,,                 68822,,                119506,,                482600,,                 11325,,                194312,,                  8765,,                269148,,                 44647,,                 30145,              2132591,,,                242232,,                 42640,,                              0,,              2690684,,              1086017,,                 17800,                 24643,,                  3532,                  8366,,                 45802,                 57700,              4161716,              6294307,,,,,                 47547,,                 47370,,                261470,                 15720,,                 48289,                 48289,                420396,,,                  5985,,                 33868,,                              0,                 30179,                 63814,                 93993,                133846,                554242,,,,              2000000,              2000000,,              2504261,,              1074450,                 46356,,                116606,              1237412,,                 -1608,              5740065,              5740065,              6294307,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,2014年03月31日,,,,                505732,,                472185,,                 40442,,                 89257,,                393500,,                 10378,,                173130,,                 14341,,                318495,,                  2467,,                 26596,              2046523,,,                246470,,                 43040,,,,              2679639,,              1086143,,                 19848,                 21816,,                  8127,                  8634,,                 44845,                 61606,              4158562,              6205085,,,,,                 41398,,                 42495,,                122172,                 17666,,                 35748,                 35748,                259479,,,                  5745,,                 33868,,                              0,                 29850,                 62960,                 92810,                132423,                391902,,,,              2000000,              2000000,,              2504261,,              1062340,                 46356,,                198326,              1307022,,                  1900,              5813183,              5813183,              6205085,              0,              0,              0,,                  1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,2013年12月31日,,,,,,                604995,,                              0,,                139541,,,,                 12324,,                185545,,                 34190,,                302397,,                  1612,,                 12066,              1981242,,,                243544,,,,,,              2703097,,              1098145,,                 20975,                 26005,,                     43,                  8934,,                 44783,                 53760,              4190066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                688572,                              0,                 44540,              6171308,,,,                 53999,,                 27014,,                175667,                 11593,,                 32019,                 32019,                300292,,,                  5504,,                 34093,,                              0,                 29530,                 67243,                 96773,                136370,                436662,,,,              2000000,              2000000,,              2504261,,              1062340,                 46824,,                121109,              1230273,,                    112,              5734646,              5734646,,,,
1737,2013年09月30日,,,,,,                660779,,                 43825,,                113882,,,,                 11191,,                260750,,                 13121,,                277581,,                 30484,,                  9834,              2678271,,,                269742,,,,,,              2713719,,              1098734,,                 22296,                 26121,,                  1090,                  9158,,                 44804,                 55052,              4230204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1111824,                145000,                 44540,              6908475,,,,                 55578,,                 34021,,                158350,                  7556,,                 30355,                 30355,                285860,,,                  6182,,                 34093,,,                 31407,                 63341,                 94748,                135023,                420883,,,,              2780955,              2780955,,              2504261,,              1062340,                 46824,,                 71251,              1180415,,                 21961,              6487592,              6487592,,,,
1737,2013年06月30日,,,,,,                663441,,                 49951,,                 57164,,,,                 13399,,                195549,,                 14022,,                342757,,                  1206,,                 10052,              2653764,,,                332924,,,,,,              2721621,,              1096765,,                 24422,                 24995,,                  2551,                  9130,,                 49225,                 60906,              4306173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1111223,                195000,                 44540,              6959937,,,,                 41133,,                 34485,,                247104,                  8457,,                 35464,                 35464,                366643,,,                  5952,,                 34093,,,                 31013,                 59285,                 90298,                130343,                496986,,,,              2780955,              2780955,,              2504261,,              1062340,                 46824,,                 46037,              1155201,,                 22534,              6462951,              6462951,,,,
