證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
2454,2015年09月30日,,,,            159115861,,              1865355,,              6955025,,                330041,,                701422,,             16117231,,              3152314,,                349517,,             33980933,,              2425742,,              1402220,            226395661,,,              6352189,,              7734826,,              1573330,,              4590569,,                210402,,              2442724,,             30472999,,             64071614,              3187053,,                228353,                155217,                383570,            121019276,            347414937,,,,,             57032937,,                 13439,,             17887340,,                779597,,             27960999,              2049530,,,                 52176,              1642649,              1694825,            107418667,,,              1574134,,,                 14079,              1053938,                124198,                155267,              1347482,              2921616,            110340283,,,,             15715819,                     18,             15715837,,             88369498,,             32032476,                              0,,             91778287,            123810763,,              8323414,                 55970,            236163542,                911112,            237074654,            347414937,              0,          1806,      7794085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,2015年06月30日,,,,            195824210,,                668505,,              5522326,,                354724,,                754466,,             12250444,,              3183007,,                278640,,             33653896,,              2709002,,                941954,            256141174,,,              4285966,,              7908335,,              1304738,,              3695796,,                210379,,              2363381,,             28299971,,             63907154,              2891779,,                196473,                150350,                346823,            115214322,            371355496,,,,,             57490882,,                  5145,,             18102087,,                703913,,             63786495,              2573237,,,                 45052,                987133,              1032185,            143693944,,,                990838,,,                 26409,                950073,                118702,                137696,              1232880,              2223718,            145917662,,,,             15715763,                     55,             15715818,,             88191328,,             32032476,                              0,,             83823840,            115856316,,              4874709,                 55970,            224582201,                855633,            225437834,            371355496,              0,          5533,      7794085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,2015年03月31日,,,,            196143151,,              1654357,,              6378300,,                282609,,                493259,,             13346717,,              3069152,,                 23861,,             28084741,,              2384253,,                903049,            252763449,,,              4161243,,              6047368,,                879935,,              3715411,,                210401,,              2221197,,             27334036,,             63006716,              3155960,,                185306,                152577,                337883,            111070150,            363833599,,,,,             50933722,,                  5009,,             19117651,,                532322,,             29317638,              7699862,,,                 41606,                510449,                552055,            108158259,,,                805608,,,                 40036,                954626,                119698,                135347,              1249707,              2055315,            110213574,,,,             15714922,                    841,             15715763,,             88133136,,             27392687,                895749,,            115792354,            144080790,,              5268545,                 55970,            253142264,                477761,            253620025,            363833599,              0,         84103,      7794085,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,2014年12月31日,,,,            192797506,,              3547217,,              7575242,,                288378,,              1086146,,             12552399,,              5296078,,                 47323,,             22341336,,              2247248,,                776062,            248554935,,,              4040793,,              4894091,,                127787,,              3782384,,                    946,,              2154613,,             23294555,,             60757826,              3196429,,                194392,                119920,                314312,            102563736,            351118671,,,,,             46160593,,                 50393,,             13927964,,                677196,,             32766959,              7322589,,,                 38062,                676082,                714144,            101619838,,,                629651,,,                 53920,                940996,                121643,                146876,              1263435,              1893086,            103512924,,,,             15714455,                    467,             15714922,,             88047914,,             27392687,                895749,,            108566733,            136855169,,              6606113,                 55970,            247168148,                437599,            247605747,            351118671,              0,         46700,      7794085,,                              0,            192797506,              1086146,                 47323,                    946,            351118671,,,,             46160593,,                 50393,,             13927964,,                677196,,             32766959,              7322589,,,                 38062,                676082,                714144,            101619838,,,                629651,,,                 53920,                940996,                121643,                146876,              1263435,              1893086,            103512924,,,,             15714455,                    467,             15714922,,             88047914,,             27392687,                895749,,            108566733,            136855169,,              6606113,                 55970,            247168148,                437599,            247605747
2454,2014年09月30日,,,,            185070345,,              2416799,,              6474655,,                433281,,                326149,,             15418455,,              5359364,,                 44528,,             24463919,,              2203998,,              1314836,            243526329,,,              2168555,,              4560665,,                123136,,              3422408,,                    924,,              1903406,,             16736187,,             59259332,              2946263,,                318909,                116898,                435807,             91556683,            335083012,,,,,             43453914,,                 63600,,             20604954,,                701908,,             29798732,              6249519,,,                 35002,              1475474,              1510476,            102383103,,,                775177,,,                 60872,                630302,                117331,                136937,                945442,              1720619,            104103722,,,,             15710215,                  4240,             15714455,,             87900019,,             27392687,                895749,,             98446128,            126734564,,                557333,                 55970,            230850401,                128889,            230979290,            335083012,              0,        424023,      7794085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,2014年06月30日,,,,            190138131,,              2013764,,              3447913,,                520771,,                310616,,             12983016,,              4437674,,                 42211,,             19325997,,              2360294,,                811499,            236391886,,,                897128,,              4205509,,                387993,,              2715868,,                    937,,              1710883,,             15179733,,             59487766,              2618286,,                146638,                114283,                260921,             87465024,            323856910,,,,,             34045588,,                 71138,,             16703540,,              1735059,,             48495820,              5364568,,,                 32906,              1301881,              1334787,            107750500,,,                846573,,,                 68805,                627202,                114761,                132115,                942883,              1789456,            109539956,,,,             15709889,                    326,             15710215,,             88089501,,             27392687,                895749,,             85146888,            113435324,,             -2898726,                 55970,            214280344,                 36610,            214316954,            323856910,              0,         32639,      7794085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,2014年03月31日,,,,            166999036,,              2473160,,              3650008,,                783567,,                 11709,,             13572139,,              4318985,,                 46909,,             16649438,,              1678226,,                700721,            210883898,,,                937883,,              4255419,,                397393,,              2884943,,                    382,,              1645672,,             14770255,,             60583941,              1916537,,                150006,                116923,                266929,             87659354,            298543252,,,,,             22100970,,                 22349,,             15584856,,              1836555,,             20936214,              6749315,,,                 32036,              1267924,              1299960,             68530219,,,                732076,,,                 79326,                609305,                 64653,                129334,                882618,              1614694,             70144913,,,,             15708379,                  1510,             15709889,,             88050023,,             24641182,              5072425,,             94728634,            124442241,,                192154,                 55970,            228338337,                 60002,            228398339,            298543252,              0,        151011,      7794085,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,2013年12月31日,,,,,,              2132090,,              3426121,,                549573,,,,              7627591,,              3652885,,,,              9346792,,              1404263,,                459984,            161740929,,,              1478707,,              4487354,,                341937,,              2061563,,,,             59669761,,             11312107,,             15509193,              1778859,,                137593,                118495,                256088,             96895933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,        247293,      7794085,,                              0,            132997726,                113678,                 30226,                    364,            258636862,,,,             29051500,,                 26017,,              8862146,,              2082028,,             16835299,              3151805,,,                 29950,              1345847,              1375797,             61384592,,,              1050108,,,                 86855,                606033,                 47754,                108121,                848763,              1898871,             63283463,,,,             13494667,                  2473,             13497140,,             68474910,,             24641182,              5072425,,             84581268,            114294875,,               -895749,                 55970,            195315206,                 38193,            195353399
2454,2013年09月30日,,,,,,              1916133,,              3153172,,                391931,,,,             11059054,,              4473886,,,,             12938160,,                953692,,                609465,            143292712,,,              1141050,,              4202699,,                491490,,              1797297,,,,             58907116,,             11187612,,             15332039,              1571712,,                154038,                116730,                270768,             94902138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         57945,      7794085,,                              0,            107616875,                113636,                 66708,                    355,            238194850,,,,             19760220,,                  2853,,             10552376,,              1967926,,             15263714,              2143614,,,                 37087,              1242342,              1279429,             50970132,,,              1318384,,,                 93460,                561923,                 47317,                104161,                806861,              2125245,             53095377,,,,             13494088,                    579,             13494667,,             68376380,,             24641182,              5072425,,             76000428,            105714035,,             -2472422,                 55970,            185056690,                 42783,            185099473
2454,2013年06月30日,,,,,,              2011326,,              3147296,,                251492,,,,             10389279,,              5586088,,,,             10955686,,                810433,,                550261,            141101773,,,              1606201,,              4285725,,                613494,,              1825479,,,,             59137366,,             11252592,,             15480905,              1758540,,                172145,                118775,                290920,             96251601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         14859,      7794085,,                              0,            107225081,                113661,                 61170,                    379,            237353374,,,,             16114200,,                  8621,,              9410502,,              1462576,,             27279278,              1721390,,,                 30120,                831159,                861279,             56857846,,,              1352238,,,                102408,                560018,                 48016,                 79880,                790322,              2142560,             59000406,,,,             13493939,                    149,             13494088,,             68251635,,             24641182,              5072425,,             67572127,             97285734,,               -660499,                 55970,            178314988,                 37980,            178352968
