證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 避險之衍生金融負債－非流動,　　　　 按攤銷後成本衡量之金融負債－非流動,　　　　 以成本衡量之金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 債券換股權利證書,　　　　　 預收股本,　　　　　 待分配股票股利,　　　　　 特別股轉換普通股權利證書,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－特別股股票溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受領股東贈與,　　　　　　 資本公積－其他受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－採用權益法認列關聯企業及合資取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 在建房地,　　　　　 存貨（建設業適用）淨額
1903,2015年09月30日,,,,                 23994,,                              0,,                656909,,                    566,,                  3143,,                    890,,,                165692,                165692,,                  4237,,                123018,,                  5597,                984046,,,                  4126,,              1102091,,              4687948,,                  1996,,                              0,,                  2692,                  2692,              5798853,              6782899,,,,,              1169000,,                426779,,                  1268,,                  3726,,                106288,,                  1117,,                133142,              1841320,,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0,,              1596040,,                 16832,                  6767,                 23599,              1619639,              3460959,,,,              2600391,                              0,                              0,                              0,                              0,                              0,                              0,              2600391,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,              1536437,,               -904698,                631739,,                 89810,              3321940,                              0,              3321940,              6782899,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,2015年06月30日,,,,                 22593,,                              0,,                775223,,                  1195,,                 10980,,                    778,,,                199706,                199706,,                  4620,,                123018,,                  5521,              1143634,,,                  4126,,              1106517,,              4686586,,                  2156,,                              0,,                  2670,                  2670,              5802055,              6945689,,,,,              1139000,,                511865,,                    574,,                  5569,,                 88357,,                  1516,,                135850,              1882731,,,,,,,,,,,,,,              1596040,,                 18260,                  6412,                 24672,              1620712,              3503443,,,,              2600391,,,,,,,              2600391,,,,,,,,,,,,,,,,,,,,,,                              0,,              1536437,,               -901103,                635334,,                206521,              3442246,                              0,              3442246,              6945689,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,2015年03月31日,,,,                 26900,,                              0,,              1195972,,                              0,,                 16442,,                    359,,,                243270,                243270,,                  5717,,                123770,,                  5670,              1618100,,,                  4126,,              1111517,,              4686408,,                  2316,,                              0,,                  2666,                  2666,              5807033,              7425133,,,,,              1139000,,                601724,,                    428,,                  6596,,                 58533,,                  1937,,                 64454,              1872672,,,,,,,,,,,,,,              1596040,,                 19812,                  6419,                 26231,              1622271,              3494943,,,,              2600391,,,,,,,              2600391,,,,,,,,,,,,,,,,,,,,,,                              0,,              1536437,,               -834556,                701881,,                627918,              3930190,                              0,              3930190,              7425133,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,2014年12月31日,,,,                 20879,,                              0,,                867047,,                              0,,                 21405,,                  1496,,,                262927,                262927,,                 20142,,                119048,,                  7800,              1320744,,,                  4126,,              1114833,,              4686762,,                  2476,,                      6,,                  2604,                  2610,              5810807,              7131551,,,,,              1139000,,                628740,,                  2103,,                 19663,,                 46681,,                  2576,,                 17281,              1856044,,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0,,              1596040,,                 21499,                  6351,                 27850,              1623890,              3479934,,,,              2600391,                              0,                              0,                              0,                              0,                              0,                              0,              2600391,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,              1536437,,               -787682,                748755,,                302471,              3651617,                              0,              3651617,              7131551,              0,              0,              0,                 20879,              7131551,,,,              1139000,,                628740,,                  2103,,                 19663,,                 46681,,                  2576,,                 17281,              1856044,,,              1596040,,                 21499,                  6351,                 27850,              1623890,              3479934,,,,              2600391,              2600391,,                              0,,              1536437,,               -787682,                748755,,                302471,              3651617,                              0,              3651617,,,,,
1903,2014年09月30日,,,,                 71791,,                              0,,                689505,,                              0,,                 47739,,                  7158,,,                388013,                388013,,                 24811,,                              0,,                  8356,              1237373,,,                  4126,,              1417789,,              4687414,,                  2617,,                    979,,                 10616,                 11595,              6123541,              7360914,,,,,              1109500,,                504783,,                 14943,,                100882,,                191247,,                  7125,,                 72919,              2001399,,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                              0,,              1596040,,                 50875,                  6373,                 57248,              1653288,              3654687,,,,              2600391,                              0,                              0,                              0,                              0,                              0,                              0,              2600391,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,              1536437,,               -555266,                981171,,                124665,              3706227,                              0,              3706227,              7360914,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,2014年06月30日,,,,                 58505,,                              0,,                501702,,                  9943,,                 47784,,                  6219,,,                379584,                379584,,                 44713,,                              0,,                  8012,              1056462,,,                  4126,,              1379040,,              4687586,,                  2778,,                 29380,,                 10614,                 39994,              6113524,              7169986,,,,,              1128000,,                511251,,                  7214,,                117363,,                 95420,,                  7372,,                 58347,              1924967,,,,,,,,,,,,,,              1596040,,                 62239,                  6305,                 68544,              1664584,              3589551,,,,              2600391,,,,,,,              2600391,,,,,,,,,,,,,,,,,,,,,,                              0,,              1536437,,               -489478,              1046959,,                -66915,              3580435,                              0,              3580435,              7169986,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,2014年03月31日,,,,                 52950,,                              0,,                482916,,                  7429,,                 43922,,                 13171,,,                416851,                416851,,                 42901,,                              0,,                  7678,              1067818,,,                  4126,,              1390975,,              4687952,,                  2938,,                 16239,,                 10614,                 26853,              6112844,              7180662,,,,,              1092080,,                499802,,                  8179,,                115854,,                147214,,                  7942,,                 51250,              1922321,,,,,,,,,,,,,,              1596040,,                 66500,                  6291,                 72791,              1668831,              3591152,,,,              2600391,,,,,,,              2600391,,,,,,,,,,,,,,,,,,,,,,                              0,,              1536437,,               -461617,              1074820,,                -85701,              3589510,                              0,              3589510,              7180662,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,2013年12月31日,,,,,,                              0,,                507746,,                 10000,,                 44875,,                  9196,,,                310104,                310104,,                 52772,,                              0,,                  7050,              1004664,,,                  4126,,              1394076,,              4678049,,                  3010,,                  9599,,                 10596,                 20195,              6099456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 62921,              7104120,,,,              1060430,,                419831,,                  5927,,                107081,,                 53803,,                  8030,,                 43648,              1698750,,,              1596040,,                 70535,                  4886,                 75421,              1671461,              3370211,,,,              2600391,              2600391,,                              0,,              1536437,,               -342048,              1194389,,                -60871,              3733909,                              0,              3733909,,,,,
1903,2013年09月30日,,,,,,                              0,,                552358,,                 10000,,                 46300,,                 10349,,,                381505,                381505,,                  6126,,,,                  6807,              1034629,,,                  4126,,              1391105,,              4675219,,                  2428,,                  1397,,                 10596,                 11993,              6084871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 21184,              7119500,,,,                859180,,                399789,,                  8032,,                149319,,                121160,,                  8262,,                 37159,              1582901,,,              1596040,,                 80468,                  4972,                 85440,              1681480,              3264381,,,,              2600391,              2600391,,                              0,,              1536437,,               -262450,              1273987,,                -19259,              3855119,                              0,              3855119,,,,,
1903,2013年06月30日,,,,,,                              0,,                507805,,                  9691,,                 73615,,                  7418,,,                365100,                365100,,                  7011,,,,                  6059,              1013439,,,                  4126,,              1392957,,              4675281,,                    809,,                  4499,,                 10580,                 15079,              6088252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 36740,              7101691,,,,              1080300,,                149895,,                 34218,,                166343,,                 98414,,                  8102,,                 30928,              1568200,,,              1596040,,                 84647,                  5754,                 90401,              1686441,              3254641,,,,              2600391,              2600391,,                              0,,              1536437,,               -225422,              1311015,,                -64356,              3847050,                              0,              3847050,,,,,
