證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額
2501,2015年09月30日,,,,              2971917,,              2506571,,                 46784,,                168770,,                 16980,,                    132,,             34999917,,                447612,,                 68051,             41226734,,,              1403929,,                 58021,,                 33194,,              1076306,,             12764599,,                 32031,                110392,,              3638933,             19117405,             60344139,,,,,              8551625,,              5322125,,                 21920,,                              0,,                441202,,                221178,,                343152,                107277,,,              8427470,                 31561,              8459031,             23467510,,,              3000000,,              7917798,,                  8542,,                333026,             11259366,             34726876,,,,             16565158,             16565158,,                 10407,,              3312536,                504189,,              3757291,              7574016,,                622707,             24772288,                844975,             25617263,             60344139,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2015年06月30日,,,,              3357840,,              3005655,,                 79299,,                145436,,                 15661,,                    157,,             33867217,,                404721,,                 63011,             40938997,,,              1194925,,                 58021,,                 34369,,              1105471,,             12320220,,                 22156,                102132,,              3370722,             18208016,             59147013,,,,,              7600000,,              3944814,,                 18583,,                              0,,                508948,,                302870,,              2013601,                106914,,,              8157731,                 35714,              8193445,             22689175,,,,,              9972099,,                  8542,,                331066,             10311707,             33000882,,,,             16565158,             16565158,,                 10407,,              3312536,                504189,,              3748323,              7565048,,              1169196,             25309809,                836322,             26146131,             59147013,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2015年03月31日,,,,              3523489,,              2945368,,                 79995,,                103654,,                 17403,,                    148,,             33545428,,                364330,,                 73645,             40653460,,,              1179074,,                 58021,,                 39538,,              1111523,,             12266540,,                 23403,                 95186,,              3304552,             18077837,             58731297,,,,,              6910000,,              4472315,,                 15446,,                              0,,                539871,,                449872,,                356346,                  2772,,,              8264641,                 35844,              8300485,             21047107,,,,,             10006137,,                  8542,,                317608,             10332287,             31379394,,,,             16565158,             16565158,,                 10407,,              3017205,                504189,,              5365481,              8886875,,              1032335,             26494775,                857128,             27351903,             58731297,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2014年12月31日,,,,              2998223,,              2779393,,                 87278,,                115789,,                130318,,                    397,,             33134769,,                312672,,                 83893,             39642732,,,              1164059,,                 58021,,                 39652,,                941906,,             11983433,,                 20342,                 87253,,              3194965,             17489631,             57132363,,,,,              6373000,,              4804626,,                 15554,,                              0,,                205300,,                255735,,                380077,                 26251,,,              9241236,                 49210,              9290446,             21350989,,,                              0,,              9709538,,                  8542,,                335873,             10053953,             31404942,,,,             16565158,             16565158,,                 10407,,              3017205,                504189,,              3855029,              7376423,,                874296,             24826284,                901137,             25727421,             57132363,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2014年09月30日,,,,              3329185,,              2914528,,                 75193,,                182827,,                 12128,,                    111,,             31902647,,                300800,,                 67133,             38784552,,,              1392789,,                 68596,,                 43422,,                813439,,             11743380,,                 18916,                 81845,,              3252751,             17415138,             56199690,,,,,              7266000,,              5244672,,                 24598,,                              0,,                303963,,                 64699,,                354207,                  6876,,,              8957454,                 91305,              9048759,             22313774,,,                              0,,              9752378,,                  8542,,                355527,             10116447,             32430221,,,,             16565158,             16565158,,                 10407,,              3017205,                504189,,              1624848,              5146242,,              1175896,             22897703,                871766,             23769469,             56199690,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2014年06月30日,,,,              4218527,,              2893498,,                 54424,,                169451,,                 87134,,                     87,,             29362023,,                289181,,                 64979,             37139304,,,              1104465,,                 68596,,                 42108,,                837527,,             11722877,,                 20540,                 77958,,              3263360,             17137431,             54276735,,,,,              7036000,,              4052586,,                 13349,,                 61815,,              1130627,,                 49782,,              1952742,                 24557,,,              8756725,                 28129,              8784854,             23106312,,,,,              8006494,,                  8542,,                357233,              8372269,             31478581,,,,             16565158,             16565158,,                 10407,,              3017205,                504189,,              1174546,              4695940,,                672979,             21944484,                853670,             22798154,             54276735,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2014年03月31日,,,,              4072931,,              2756612,,                 59867,,                145294,,                  5219,,                     51,,             27619808,,                279311,,                 95520,             35034613,,,                107017,,                 69665,,                 39862,,                793063,,             11691926,,                 23405,                 71015,,              4211319,             17007272,             52041885,,,,,              6306000,,              4297017,,                  6490,,                              0,,                986241,,                251266,,                242110,                 12867,,,              8400179,                 57066,              8457245,             20559236,,,,,              7045510,,                  8542,,                386244,              7440296,             27999532,,,,             16565158,             16565158,,                 10407,,              2848430,                826685,,              2320691,              5995806,,                585850,             23157221,                885132,             24042353,             52041885,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2014年01月01日,,,,              4629950,,              3001031,,                 51035,,                165179,,                 10098,,                    192,,             26628106,,                197819,,                 98162,             34781572,,,                105109,,                 69665,,                 31998,,                723974,,             11633191,,                 17243,                 62870,,              2927001,             15571051,             50352623,,,,,              6540000,,              3173918,,                  2121,,                108793,,              1086573,,                 74017,,                452287,                 11830,,,              8122654,                 31628,              8154282,             19603821,,,                              0,,              5936389,,                  8542,,                382577,              6327508,             25931329,,,,             16565158,             16565158,,                 10407,,              2848430,                826685,,              2405688,              6080803,,                841522,             23497890,                923404,             24421294,             50352623,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2013年12月31日,,,,,,              3001031,,                 51035,,                165179,,                 10098,,,,             26628106,,                197819,,                 98162,             34781572,,,                105109,,                 69665,,                 31998,,                723974,,             11633191,,                 17243,                 69857,,              2927001,             15578038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              4629950,                    192,             50359610,,,,              6540000,,              3173918,,                  2121,,                108793,,              1086573,,                 74017,,                452287,                 11830,,,              8122654,                 31628,              8154282,             19603821,,,              5936389,,                  8542,,                423675,              6368606,             25972427,,,,             16565158,             16565158,,                 10407,,              2848430,                826685,,              2405689,              6080804,,                807410,                              0,             23463779,                923404,             24387183,,
2501,2013年09月30日,,,,,,              2699413,,                 73161,,                165706,,                  9854,,,,             24615679,,                149766,,                115722,             31859554,,,                              0,,                 69665,,                 28825,,                627712,,             11501890,,                 18230,                 66433,,              3017915,             15330670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              4029781,                    472,             47190224,,,,              5508158,,              3136600,,                  6420,,                 62835,,                901672,,                125657,,                402116,                  5762,,,              7183827,                 19930,              7203757,             17352977,,,              5630158,,                  8542,,                370170,              6008870,             23361847,,,,             16565158,             16565158,,                 10407,,              2848430,                826685,,              2285792,              5960907,,                371390,                              0,             22907862,                920515,             23828377,,
