證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　　 待分配股票股利,　　　　 員工福利負債準備－流動
1236,2015年09月30日,,,,                156426,,                 45527,,                331958,,                  2130,,                192311,,                 19981,,                  9827,                758160,,,                210728,,              1843566,,                 48054,,                              0,                 34039,,                127717,              2264104,              3022264,,,,,                  3477,,                120000,,                 85606,,                 84841,,                127324,                  5351,,,                 26667,                 26667,                 70313,                 96980,                523579,,,                543333,,                  8402,,                208357,                 83915,                292272,                844007,              1367586,,,,              1083425,              1083425,,                 33396,,                232259,                              0,,                147273,                379532,,,                    102,,                158223,                158325,                              0,              1654678,                              0,              1654678,              3022264,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2015年06月30日,,,,                125709,,                 22569,,                149146,,                  2138,,                241268,,                 26557,,                 10708,                578095,,,                179591,,              1843349,,                 48465,,,                 33971,,                126127,              2231503,              2809598,,,,,                  7897,,                 20000,,                 65444,,                 88793,,                242828,                  9438,,,,                 26667,,                 26667,                511607,,,                403333,,                  7658,,                208201,                 65364,                273565,                684556,              1196163,,,,              1083425,              1083425,,                 33396,,                232259,                              0,,                137265,                369524,,,,,,                127090,                              0,              1613435,                              0,              1613435,              2809598,              0,              0,              0,,                              0,,                 50540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2015年03月31日,,,,                 98348,,                 66351,,                352757,,                  2290,,                237729,,                 34498,,                  9779,                801752,,,                289764,,              1808533,,                 49044,,,                 34394,,                121754,              2303489,              3105241,,,,,                 80000,,                120000,,                 70762,,                 99119,,                107410,                 21286,,,,                 40000,,                 40000,                578981,,,                340000,,                  7861,,                208150,                 80754,                288904,                636765,              1215746,,,,              1083425,              1083425,,                 33396,,                215513,                     49,,                319834,                535396,,,,,,                237278,                              0,              1889495,                              0,              1889495,              3105241,              0,              0,              0,,                              0,,                 40404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2014年12月31日,,,,                219165,,                 34914,,                291248,,                  6584,,                305350,,                 18087,,                  4551,                879899,,,                321711,,              1818597,,                 49623,,                              0,                 34497,,                 78297,              2302725,              3182624,,,,,                 63323,,                120000,,                 94088,,                137110,,                150866,                  6746,,,                 40000,                 40000,                 47289,                 87289,                659422,,,                390000,,                  8225,,                208393,                 68187,                276580,                674805,              1334227,,,,              1083425,              1083425,,                 33396,,                215513,                     49,,                246774,                462336,,,                     35,,                269205,                269240,                              0,              1848397,                              0,              1848397,              3182624,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2014年09月30日,,,,                206512,,                 38360,,                272400,,                  1906,,                212416,,                 17830,,                  7616,                757040,,,                396580,,              1762797,,                 50659,,                              0,                 34271,,                 82810,              2327117,              3084157,,,,,                 22800,,                 80000,,                 88887,,                 71872,,                114191,                              0,,,                 20000,                 20000,                 46113,                 66113,                443863,,,                460000,,                  7572,,                204801,                 80589,                285390,                752962,              1196825,,,,              1083425,              1083425,,                 33396,,                215513,                     49,,                210895,                426457,,,                    -21,,                344075,                344054,                              0,              1887332,                              0,              1887332,              3084157,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2014年06月30日,,,,                302553,,                 27200,,                208977,,                  1048,,                263374,,                  8632,,                  6780,                818564,,,                467069,,              1744327,,                 51361,,,                 34113,,                 68761,              2365631,              3184195,,,,,                 27026,,                120000,,                 63917,,                 90725,,                251175,                  4642,,,,                 20000,,                 20000,                613237,,,                340000,,                  7481,,                204855,                 72293,                277148,                624629,              1237866,,,,              1083425,              1083425,,                 33396,,                215513,                     49,,                199434,                414996,,,,,,                414512,                              0,              1946329,                              0,              1946329,              3184195,              0,              0,              0,,                              0,,                 35752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2014年03月31日,,,,                185263,,                 46011,,                358235,,                  3205,,                230720,,                 22269,,                  6913,                852616,,,                385272,,              1772042,,                 52064,,,                 34329,,                 79554,              2323261,              3175877,,,,,                144067,,                150000,,                 61277,,                 98499,,                107979,                 13679,,,,                 85333,,                 85333,                709458,,,                274667,,                  7553,,                204319,                 68407,                272726,                554946,              1264404,,,,              1083425,              1083425,,                 33396,,                201896,                 56966,,                203040,                461902,,,,,,                332750,                              0,              1911473,                              0,              1911473,              3175877,              0,              0,              0,,                              0,,                 48624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,2013年12月31日,,,,,,                 40754,,                391765,,                  1652,,                286919,,                 24520,,                  4232,                956344,,,                              0,,              1699280,,                 52767,,                              0,                 34184,,                103552,              1942818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 53035,,,                206502,              2899162,,,,                 89958,,                 60000,,                154481,,                146567,,                179283,                  4975,,,                 85333,                 85333,                 47149,                132482,                767746,,,                294667,,                  6964,,                204835,                 69519,                274354,                575985,              1343731,,,,              1083425,              1083425,,                 33396,,                201896,                 56966,,                179797,                438659,,                    -49,                              0,              1555431,                              0,              1555431,,                    -49,,                              0,,,,
1236,2013年09月30日,,,,,,                 29951,,                296511,,                  9582,,                209119,,                 22368,,                 10009,                730303,,,                              0,,              1715494,,                 53470,,                              0,                 32823,,                105793,              1960615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 53035,,,                152763,              2690918,,,,                 76092,,                 90000,,                100220,,                 89999,,                142463,                              0,,,                              0,                              0,                 54000,                 54000,                552774,,,                380000,,                  6226,,                195563,                 74121,                269684,                655910,              1208684,,,,              1083425,              1083425,,                 33396,,                201896,                 56966,,                106616,                365478,,                    -65,                              0,              1482234,                              0,              1482234,,                    -65,,                              0,,,,
1236,2013年06月30日,,,,,,                 25694,,                162175,,                    180,,                206302,,                 36743,,                  4153,                630451,,,                              0,,              1747324,,                 54173,,,                 36595,,                 94066,              1970499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 38341,,,                195204,              2600950,,,,                 51911,,                 90000,,                 73476,,                 76793,,                181658,                  9865,,,,                              0,,                              0,                519877,,,                380000,,                  1196,,                194412,                 65522,                259934,                641130,              1161007,,,,              1083425,              1083425,,                 33396,,                201896,                 56966,,                103934,                362796,,                -39674,                              0,              1439943,                              0,              1439943,,,,,,                 36174,,
