證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 應付票據,　　　　　 應付票據合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　　　 一年或一營業週期內到期長期借款,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應付款,　　　　 其他應付款合計,　　　　 應付股利,　　　　 待分配股票股利,　　　　 其他應付款－其他,　　　　 銀行長期借款,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他
5434,2015年09月30日,,,,              1455474,,                349101,,                 42748,,              3218495,,                 48250,                265033,,,              1570669,              1570669,,                 26795,                143397,                170192,              7119962,,,                223452,,              1096441,,              2509635,                 64508,,                 42982,              3937018,             11056980,,,,,                562845,,              2780179,,                629282,                 25686,,                 28917,,                370108,,                147374,,                 45106,                156697,                719285,              4746194,,,                407317,                407317,,                 61445,,                140630,                140630,                609392,              5355586,,,,              1626467,              1626467,,              1464020,,              2538541,,                 63396,              5692424,                  8970,              5701394,             11056980,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,2015年06月30日,,,,              1524648,,                567080,,                 53673,,              2921158,,                 49997,                249929,,,              1523295,              1523295,,                 84933,                127573,                212506,              7134397,,,                223452,,              1049108,,              2449166,                 64508,,                 45960,              3832194,             10966591,,,,,                270898,,              2692820,,                504934,                 34468,,                 45562,,                299458,,                103286,,                 40456,                185252,                628452,              4897064,,,,                426507,,                 53972,,                151915,                151915,                632394,              5529458,,,,              1579094,              1626467,,              1464009,,              2276952,,                 31696,              5399124,                 38009,              5437133,             10966591,              0,              0,,                 32111,,                135666,,                584264,                584264,                 40456,                 47373,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,2015年03月31日,,,,              1413799,,                708867,,                 58853,,              2876218,,                 37979,                200190,,,              1563101,              1563101,,                 28577,                122332,                150909,              7095869,,,                249875,,              1085138,,              2133253,                 64508,,                 39238,              3572012,             10667881,,,,,                269965,,              2589610,,                509675,                 27322,,                 42130,,                276447,,                143439,,                 40414,                189369,                649669,              4224835,,,,                436369,,                 56787,,                154782,                154782,                647938,              4872773,,,,              1579094,              1579094,,              1463971,,              2672731,,                 39744,              5755540,                 39568,              5795108,             10667881,              0,              0,,                 85953,,                136464,,,,                 40414,,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,2014年12月31日,,,,              1427977,,                500182,,                 53199,,              2622315,,                 54385,                291650,,,              1579802,              1579802,,                 46521,                158403,                204924,              6734434,,,                249875,,              1102645,,              2112634,                 64508,,                104223,              3633885,             10368319,,,,,                281560,,              2828800,,                450744,                 27684,,                 49060,,                296745,,                151819,,                 25536,                129763,                603863,              4241711,,,                309805,                309805,,                 62415,,                153162,                153162,                525382,              4767093,,,,              1579094,              1579094,,              1463952,,              2455167,,                 63762,              5561975,                 39251,              5601226,             10368319,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,2014年09月30日,,,,              1716217,,                426053,,                 57058,,              2462336,,                 61744,                325035,,,              1481601,              1481601,,                 59295,                180267,                239562,              6769606,,,                250375,,              1074519,,              1928654,                 61598,,                104540,              3419686,             10189292,,,,,                154960,,              2910658,,                495888,                  7092,,                 25504,,                335830,,                272659,,                 26676,                 85613,                720778,              4314880,,,                324460,                324460,,                 32230,,                133569,                133569,                490259,              4805139,,,,              1579094,              1579094,,              1463911,,              2253272,,                 49218,              5345495,                 38658,              5384153,             10189292,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,2014年06月30日,,,,              1683113,,                824171,,                 69060,,              2593497,,                 60844,                208968,,,              1512204,              1512204,,                163913,                151726,                315639,              7281653,,,                249100,,              1046067,,              1812863,                 61598,,                112501,              3282129,             10563782,,,,,                142670,,              2846288,,                467052,                 51639,,                 38898,,                295766,,                274759,,                 26674,                140710,                737909,              4916520,,,,                338178,,                 30304,,                132147,                132147,                500629,              5417149,,,,              1548131,              1579094,,              1463848,,              2008783,,                 50417,              5102142,                 44491,              5146633,             10563782,              0,              0,,                 14157,,                 74405,,                557659,                557659,                 26674,                 30963,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,2014年03月31日,,,,              1349338,,                729762,,                 64836,,              2328033,,                 38164,                118191,,,              1322271,              1322271,,                106126,                129331,                235457,              6201052,,,                249100,,              1109330,,              1786447,                 61639,,                121966,              3328482,              9529534,,,,,                249797,,              2236720,,                396385,                 11742,,                 28966,,                255143,,                256818,,                 17329,                157077,                686367,              3675576,,,,                200961,,                 32303,,                130722,                130722,                363986,              4039562,,,,              1548131,              1548131,,              1463780,,              2378265,,                 54771,              5444947,                 45025,              5489972,              9529534,              0,              0,,                 15000,,                 65599,,,,                 17329,,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5434,2013年12月31日,,,,,,                844428,,                 58149,,              2044439,,                 39278,                126055,,,              1411329,              1411329,,                 91887,                123951,                215838,              6124914,,,                249100,,              1084239,,              1479616,                 61824,,                159287,              3034066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 46947,,,,,,,,              0,,              1338451,              9158980,,,,                188177,,                 65241,,              2163383,,                304931,                  3967,,                 52465,,                296865,,                299651,,                 20776,                 20776,                120073,                737365,              3515529,,,                185166,,                 31618,,                129295,                129295,                346079,              3861608,,,,              1548131,              1548131,,              1463707,,              2200199,,                 42230,                              0,              5254267,                 43105,              5297372,,                              0,                              0,                              0,,,,,,,
5434,2013年09月30日,,,,,,                689338,,                 43662,,              2375598,,                 40618,                124395,,,              1358834,              1358834,,                163805,                110826,                274631,              6191992,,,                249100,,              1033482,,              1429638,                 66872,,                107825,              2886917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 59110,,,,,,,,              0,,              1225806,              9078909,,,,                315090,,                109924,,              2090669,,                383919,                 11895,,                 63259,,                317827,,                325425,,                 20901,                 20901,                 83047,                747200,              3721956,,,                179618,,                 23001,,,                116653,                319272,              4041228,,,,              1536791,              1536791,,              1428142,,              2032844,,                    437,,              4998214,                 39467,              5037681,,                              0,,,,,,,,,
5434,2013年06月30日,,,,,,              1031587,,                 47837,,              2533086,,                 43910,                171259,,,              1464061,              1464061,,                166530,                 91208,                257738,              6986020,,,                249100,,              1014220,,              1328484,                 66875,,                114458,              2773137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 48840,,,,,,,,              0,,              1387702,              9759157,,,,                201093,,                 85980,,              2543357,,                401399,                 23922,,                 66864,,                315821,,                361489,,                  8763,                  8763,                147691,                833764,              4693266,,,                112637,,                 24267,,                115443,                115443,                252347,              4945613,,,,              1499044,              1528871,,              1403188,,              1833455,,                 10405,,              4775919,                 37625,              4813544,,                536887,                536887,                 29827,,,,,,,
