證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付費用,　　　　 其他預付款,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 工程存出保證金,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
1805,2015年09月30日,,,,                327701,,                  5023,,                  2533,,                 15421,,                  3728,,,                 21993,,                245104,                267097,,                 10430,                118550,                128980,,                201409,,                 28711,                207744,                  3049,                239504,              1191396,,,                 37010,,                 66417,,                  5636,                  5636,                109063,              1300459,,,,,                226420,,                 52292,,                 25398,,                 15921,                              0,                 97276,,                  3022,,                111278,                111278,                 11630,                125930,                543237,,,                              0,,                 46210,                 46210,                589447,,,,                802654,                802654,,                 51614,,,               -143256,               -143256,,                              0,                              0,                711012,                              0,                711012,              1300459,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2015年06月30日,,,,                365281,,                 30009,,                  5427,,                 18769,,                              0,,,                 16192,,                198105,                214297,,                 10430,                 88661,                 99091,,,,                 25297,                207744,                  2955,                235996,                968870,,,                 39419,,                268113,,                  5391,                  5391,                312923,              1281793,,,,,                189279,,                 44973,,                 32672,,                 29657,                              0,,,                  3117,,                 95928,                 95928,                 11890,                110935,                407516,,,                 97276,,                 46210,                143486,                551002,,,,                802654,                802654,,                 51614,,,               -123477,               -123477,,                              0,                              0,                730791,                              0,                730791,              1281793,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2015年03月31日,,,,                439248,,                  5023,,                    609,,                 11590,,                     70,,,                 20200,,                 99212,                119412,,                 10513,                 83579,                 94092,,,,                 34848,                207738,                  3100,                245686,                915730,,,                 39419,,                268419,,                  8236,                  8236,                316074,              1231804,,,,,                140000,,                 41050,,                 29530,,                 30172,                              0,,,                  3117,,                 78777,                 78777,                 13151,                 95045,                335797,,,                 97276,,                 46210,                143486,                479283,,,,                802654,                802654,,                 51614,,,               -101747,               -101747,,                              0,                              0,                752521,                              0,                752521,              1231804,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2014年12月31日,,,,                465256,,                 15045,,                  6444,,                 25115,,                              0,,,                 21350,,                 54101,                 75451,,                  9237,                 79775,                 89012,,                              0,,                 87591,                201862,                  3098,                292551,                968874,,,                 39419,,                268744,,                  5536,                  5536,                313699,              1282573,,,,,                148000,,                 36361,,                 36445,,                 38978,                              0,                              0,,                  4021,,                 77836,                 77836,                 14075,                 95932,                355716,,,                 97276,,                 46210,                143486,                499202,,,,                802654,                802654,,                 51614,,,                -70897,                -70897,,                              0,                              0,                783371,                              0,                783371,              1282573,              0,              0,              0,                465256,              1282573,,,,                148000,,                 36361,,                 36445,,                 38978,                              0,,                  4021,,                 77836,                 77836,                 14075,                 95932,                355716,,,                 97276,,                 46210,                143486,                499202,,,,                802654,                              0,                802654,,                 51614,,,                -70897,                -70897,,                              0,                              0,                783371,                              0,                783371
1805,2014年09月30日,,,,                513448,,                 15045,,                  5562,,                 17588,,                              0,,,                 30736,,                 33360,                 64096,,                  4039,                 57725,                 61764,,                              0,,                 75958,                201412,                  3119,                280489,                957992,,,                 42649,,                268689,,                  5585,                  5585,                316923,              1274915,,,,,                158000,,                 24259,,                 42896,,                 16360,                              0,                              0,,                 11292,,                 55599,                 55599,                 19685,                 86576,                328091,,,                 97276,,                 46210,                143486,                471577,,,,                802654,                802654,,                 51614,,,                -50930,                -50930,,                              0,                              0,                803338,                              0,                803338,              1274915,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2014年06月30日,,,,                589918,,                 15045,,                  5309,,                 11126,,                 12786,,,                 28623,,                 23862,                 52485,,                              0,                 58129,                 58129,,,,                220562,                201412,                  2616,                424590,              1169388,,,                 42649,,                269186,,                  6472,                  6472,                318307,              1487695,,,,,                158000,,                 25026,,                 62102,,                 24690,                              0,,,                 53371,,                 43917,                 43917,                152615,                249903,                519721,,,                 97276,,                 46210,                143486,                663207,,,,                802654,                802654,,                 51614,,,                -29780,                -29780,,                              0,                              0,                824488,                              0,                824488,              1487695,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2014年03月31日,,,,                339766,,                              0,,                  8146,,                 21440,,                 22771,,,                 31687,,                187149,                218836,,                  1697,                 65985,                 67682,,,,                152747,                231646,                  3689,                388082,              1066723,,,                 42649,,                269683,,                  6472,                  6472,                318804,              1385527,,,,,                158000,,                 27284,,                 92023,,                 16849,                              0,,,                 66999,,                 25652,                 25652,                 31945,                124596,                418752,,,                 97276,,                 46210,                143486,                562238,,,,                802654,                802654,,                 51614,,,                -30979,                -30979,,                              0,                              0,                823289,                              0,                823289,              1385527,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,2013年12月31日,,,,,,                              0,,                 12572,,                 12558,,                 21719,,,                 29640,,                745872,                775512,,                 23545,                 66735,                 90280,,,,                141261,                230426,                 23423,                395110,              1466544,,,                 42649,,                269755,,                  6926,                  6926,                319330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                158793,              1785874,,,,                158000,,                 35440,,                143648,,                 43631,                              0,,                158499,,                258700,                258700,                 70059,                487258,                867977,,,                 97276,,                 46210,                143486,              1011463,,,,                802654,                              0,                802654,,                 51614,,,                -79857,                -79857,,                              0,                              0,                774411,                              0,                774411
1805,2013年09月30日,,,,,,                  4505,,                  4412,,                 19362,,                              0,,,                 29614,,              2520322,              2549936,,                103543,                135771,                239314,,,,                 77367,                 90426,                 19780,                187573,              3174780,,,                 42649,,                270202,,                  6930,                  6930,                319781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                169678,              3494561,,,,              1458000,,                 46523,,                 26561,,                 16986,                  1067,,                206299,,                990875,                990875,                 72583,              1269757,              2818894,,,                 97276,,                 46210,                143486,              2962380,,,,                802654,,                802654,,                 51614,,,               -322087,               -322087,,                              0,                              0,                532181,                              0,                532181
1805,2013年06月30日,,,,,,                  4740,,                 17412,,                 23734,,                              0,,,                 23179,,              2394595,              2417774,,                105556,                120397,                225953,,,,                 81758,                 82616,                 13331,                177705,              3048759,,,                 42649,,                270649,,                  6930,                  6930,                320228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                181441,              3368987,,,,              1408000,,                 26595,,                 42847,,                 17606,                    970,,                233299,,                932923,                932923,                 19434,              1185656,              2681674,,,                 97276,,                 46210,                143486,              2825160,,,,                802654,,                802654,,                 51614,,,               -310441,               -310441,,                              0,                              0,                543827,                              0,                543827
1805,2013年03月31日,,,,,,                 24533,,                 12941,,                 11943,,                              0,,,                 32661,,              2337132,              2369793,,                105556,                117337,                222893,,,,                106737,                 82616,                 13460,                202813,              3069152,,,                 42649,,                271150,,                  6930,                  6930,                320729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                224236,              3389881,,,,              1408000,,                 36338,,                 55176,,                 27807,                    151,,                258299,,                908899,                908899,                    845,              1168043,              2695515,,,                 97276,,                 46210,                143486,              2839001,,,,                802654,,                802654,,                 51614,,,               -303388,               -303388,,                              0,                              0,                550880,                              0,                550880
