證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付建造合約款,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
9919,2015年09月30日,,,,                921148,,                  6131,,              1031290,                 46430,,                  9576,,                     69,,                993708,,                113484,,                 77559,              3199395,,,                  9067,,              3505898,,                 31409,                217108,,                 91957,              3855439,              7054834,,,,,                640801,,                              0,,                  3839,,                460707,,                  1962,,                280832,                 15305,,                532635,              1936081,,,              1610614,,                 67176,,                110399,              1788189,              3724270,,,,              1971268,              1971268,,,                173353,                  1569,                 21215,                196137,,                320985,,                360355,                681340,,,                205202,                205202,                 18942,              3035005,                295559,              3330564,              7054834,              0,              0,      1754000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919,2015年06月30日,,,,                795305,,                  9465,,              1116362,                 14548,,                  8917,,                     68,,                931219,,                111245,,                 74649,              3061778,,,                  9011,,              3508114,,                 34625,                200127,,                117140,              3869017,              6930795,,,,,                573367,,                159996,,                  4871,,                409576,,                  2014,,                342264,                 20925,,                288231,              1803166,,,              1661581,,                 57119,,                110924,              1829624,              3632790,,,,              1971268,              1971268,,,                173353,                  1569,,                196137,,                320985,,                354454,                675439,,,                153736,                153736,,              2996580,                301425,              3298005,              6930795,              0,              0,              0,                  1922,                 21215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919,2015年03月31日,,,,                789796,,                  7827,,                980489,                     74,,                 14587,,                     65,,                955465,,                 83532,,                126523,              2958358,,,                  9184,,              3615289,,                 37771,                193042,,                109677,              3964963,              6923321,,,,,                547002,,                149974,,                  8153,,                406710,,,,                262748,                 34425,,                283360,              1692372,,,              1666041,,                 61510,,                113145,              1840696,              3533068,,,,              1971268,              1971268,,,                173353,                  1569,,                196137,,                315028,,                415626,                730654,,,                174806,                174806,,              3072865,                317388,              3390253,              6923321,              0,              0,              0,,                 21215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919,2014年12月31日,,,,                946949,,                  8370,,                882933,                              0,,                 23719,,                     71,,                970580,,                 79696,,                 50920,              2963238,,,                  9299,,              3683490,,                 42089,                180106,,                127309,              4042293,              7005531,,,,,                652924,,                199939,,                  3285,,                345668,,                    945,,                308341,                 22799,,                156581,              1690482,,,              1713087,,                 63129,,                113611,              1889827,              3580309,,,,              1971268,              1971268,,,                173353,                  1569,                              0,                174922,,                315028,,                410119,                725147,,,                174443,                174443,                              0,              3045780,                379442,              3425222,              7005531,              0,              0,              0,                              0,                              0,                946949,,                              0,                     71,              7005531,,,,                652924,,                199939,,                  3285,,                346613,                              0,,                308341,                 22799,,                156581,              1690482,,,              1713087,,                 63129,,                113611,              1889827,              3580309,,,,              1971268,              1971268,,,                173353,                  1569,                174922,,                315028,,                410119,                725147,,,                174443,                174443,              3045780,                379442,              3425222,,
9919,2014年09月30日,,,,                539928,,                 13085,,                951509,                              0,,                 17397,,                     65,,                961348,,                102174,,                150607,              2736113,,,                 10114,,              3730210,,                 45506,                158599,,                116377,              4060806,              6796919,,,,,                591391,,                 59971,,                  3307,,                386648,,                  1581,,                299838,                 14424,,                190728,              1547888,,,              1696534,,                 55851,,                120434,              1872819,              3420707,,,,              1971268,              1971268,,,                173353,                  1569,                              0,                174922,,                315028,,                383728,                698756,,,                143659,                143659,                              0,              2988605,                387607,              3376212,              6796919,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919,2014年06月30日,,,,                513731,,                 10314,,                897384,                              0,,                 13681,,                  9958,,                906365,,                125239,,                200684,              2677356,,,                 10252,,              3774936,,                 48933,                138178,,                124789,              4097088,              6774444,,,,,                510447,,                299896,,                    321,,                356591,,                              0,,                337392,                 12114,,                194439,              1711200,,,              1555717,,                 56087,,                123274,              1735078,              3446278,,,,              1971268,              1971268,,,                173353,                  1569,,                174922,,                315028,,                369217,                684245,,,                103997,                103997,,              2934432,                393734,              3328166,              6774444,              0,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919,2014年03月31日,,,,                566235,,                  8047,,                996821,                              0,,                 12603,,                 10139,,                925395,,                 98372,,                214046,              2831658,,,                  9716,,              3885524,,                 53170,                134201,,                128086,              4210697,              7042355,,,,,                687191,,                289854,,                  8817,,                406242,,,,                264413,                 27589,,                180792,              1864898,,,              1568532,,                 52962,,                124419,              1745913,              3610811,,,,              1971268,              1971268,,,                173353,                  1569,,                174922,,                311843,,                427777,                739620,,,                131122,                131122,,              3016932,                414612,              3431544,              7042355,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919,2013年12月31日,,,,,,                  8990,,              1090826,,,                 20124,,,,                940092,,                100291,,                140079,              2731362,,,                 10680,,              3985180,,                 57510,                117242,,                124037,              4294649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                396320,,                 24511,                 10129,              7026011,,,,                692277,,                219995,,                  4150,,                458737,                  9344,,                304078,                 21784,,                 69777,              1780142,,,              1628603,,                 53835,,                127220,              1809658,              3589800,,,,              1971268,              1971268,,,                173353,                  1569,                174922,,                311843,,                411739,                723582,,,                135688,                135688,              3005460,                430751,              3436211,,
9919,2013年09月30日,,,,,,                 12565,,                931005,,,                 55483,,,,                899459,,                109635,,                159155,              2698730,,,                 10680,,              4041929,,                 57790,                102610,,                128473,              4341482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                521492,,                              0,                  9936,              7040212,,,,                580051,,                299856,,                  1271,,                452741,,,                283788,                  5779,,                157546,              1781032,,,              1678357,,                 49135,,                127595,              1855087,              3636119,,,,              1971268,              1971268,,,                173353,                  1569,                174922,,                311843,,                392724,                704567,,,                114992,                114992,              2965749,                438344,              3404093,,
9919,2013年06月30日,,,,,,                 14354,,                848949,,,                 44478,,,,                914556,,                114986,,                 98999,              2582460,,,                 10680,,              4127520,,                 59812,                 94045,,                122298,              4414355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                535550,,                              0,                 10588,              6996815,,,,                528375,,                249962,,                  1694,,                398650,,,                343490,                  3222,,                115543,              1640936,,,              1722804,,                 51940,,                131135,              1905879,              3546815,,,,              1971268,              1971268,,,                173353,                  1569,                174922,,                311843,,                399705,                711548,,,                128684,                128684,              2986422,                463578,              3450000,,
