證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－流動,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 銀行長期借款,　　 共同控制下前手權益,　　　　 法定盈餘公積,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　　 應付員工紅利,　　　　 其他應付費用,　　　　 待分配股票股利,　　　　 應付董監事酬勞
2337,2015年09月30日,,,,              3819079,,                              0,,              3210471,,                480997,,                173642,,             10235020,,                428171,                428171,             18347380,,,              1098344,,                 94000,,                 20695,,             17886547,,                139207,                910815,,,                181622,,                128540,                310162,             20459770,             38807150,,,,,              1680593,,                  2828,,              1903858,,                 51649,,                154422,              1040100,              1194522,                 10131,                183144,,                209941,,,              2311111,              2311111,                 66945,              2378056,              7614722,,,              9851300,,              1118687,                  4622,              1123309,             10974609,             18589331,,,,             36185987,                 -7498,             36178489,,                 26866,,,            -16341763,            -16341763,,                501050,                159061,             20205581,                 12238,             20217819,             38807150,        749800,              0,      3899382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,2015年06月30日,,,,              3810809,,                     44,,              3021490,,                252824,,                152967,,             10411874,,                556253,                573118,             18223126,,,              1294036,,                 91829,,                 25405,,             18950785,,                166565,                910472,,,                180905,,                128139,                309044,             21748136,             39971262,,,,,              2331144,,                              0,,              1960968,,                 63188,,                188339,              1044506,              1232845,                  4654,                186099,,                173100,,,              3317918,              3317918,                 67992,              3385910,              9337908,,,              8323432,,              1116767,                  4592,              1121359,              9444791,             18782699,,,,             35587740,                -14540,             35573200,,                627284,,,            -15392564,            -15392564,,                525768,                159061,             21174627,                 13936,             21188563,             39971262,      1454000,              0,      3899382,                 16865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,2015年03月31日,,,,              6346342,,                              0,,              2727288,,                276759,,                116694,,              9865236,,,                699878,             20032197,,,              1480693,,                113021,,                 32371,,             19892583,,                206756,                912099,,,                185553,,                125504,                311057,             22948580,             42980777,,,,,              1913404,,                              0,,              1817216,,                 56618,,                235743,              1111062,              1346805,                  5550,                184672,,                154506,,,             12197644,             12197644,                 67344,             12264988,             17743759,,,              1607453,,              1115361,                  4736,              1120097,              2727550,             20471309,,,,             35587740,,             35587740,,                612738,,,            -14167467,            -14167467,,                624206,                159061,             22498156,                 11312,             22509468,             42980777,,              0,      3899382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,2014年12月31日,,,,              7636201,,                     95,,              2699155,,                483179,,                161304,,              9301643,,                578319,                578319,             20859896,,,              1243142,,                113399,,                 38599,,             21128358,,                238343,                912178,,,                182657,,                126003,                308660,             23982679,             44842575,,,,,              2134039,,                  7113,,              1996003,,                 63185,,                475285,              1682698,              2157983,                              0,                302416,,                150617,,,             12143430,             12143430,                 74315,             12217745,             19029101,,,              2073506,,              1116508,                 17930,              1134438,              3207944,             22237045,,,,             35587740,                              0,             35587740,,                241652,,,            -13812749,            -13812749,,                734847,                159061,             22592429,                 13101,             22605530,             44842575,              0,              0,      3899382,                              0,              7636201,             44842575,,,,              2134039,,                  7113,,              1996003,,                 63185,,              2157983,                302416,,                150617,,             12217745,             19029101,,,              2073506,,                943810,                 17930,                961740,              3035246,             22064347,,,,             35587740,             35587740,,                241652,,,            -13640051,            -13640051,,                734847,                159061,             22765127,                 13101,             22778228,,,,,,,,,,,,,,
2337,2014年09月30日,,,,              7256880,,                     43,,              3363830,,              1442275,,                190602,,              9553756,,                487750,                487750,             22295136,,,              1197695,,                112072,,                 47550,,             22420614,,                292513,                910069,,,                183001,,                125084,                308085,             25288598,             47583734,,,,,              1352212,,                  2544,,              2080963,,                 68090,,                233178,              1444774,              1677952,                  9320,                298935,,                117007,,,              6048124,              6048124,                103581,              6151705,             11758728,,,             10093810,,              1003359,                 16601,              1019960,             11113770,             22872498,,,,             35214730,                              0,             35214730,,                632199,,,            -11444329,            -11444329,,                452112,                159061,             24695651,                 15585,             24711236,             47583734,              0,              0,      3899382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,2014年06月30日,,,,              7443310,,                    913,,              3238795,,                313308,,                136315,,              9656168,,                602693,                602693,             21391502,,,              1189978,,                111472,,                 55609,,             23607337,,                344436,                910275,,,                184307,,                116893,                301200,             26520307,             47911809,,,,,                788780,,                              0,,              1821127,,                 70652,,                202638,              1599327,              1801965,                  3328,                298706,,                127675,,,              5231357,              5231357,                 62602,              5293959,             10206192,,,             10940387,,                978602,                 16103,                994705,             11935092,             22141284,,,,             35214730,                              0,             35214730,,                344201,,,            -10349330,            -10349330,,                697022,                159061,             25747562,                 22963,             25770525,             47911809,              0,              0,      3899382,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,2014年03月31日,,,,              9626309,,                              0,,              2981272,,                347881,,                132902,,              9506181,,,                676271,             23270816,,,              1185287,,                115606,,                              0,,             25321209,,                349982,                910164,,,                185886,,                115606,                301492,             28183740,             51454556,,,,,                 80382,,                  2924,,              1737109,,                 68515,,                505698,              1896411,              2402109,                  8680,                344393,,                140110,,,              7137657,              7137657,                 67178,              7204835,             11989057,,,             10903716,,                952869,                  3253,                956122,             11859838,             23848895,,,,             35214730,,             35214730,,                344166,,,             -8554913,             -8554913,,                722741,                159061,             27567663,                 37998,             27605661,             51454556,,              0,      3899382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,2014年01月01日,,,,             11978574,,                  1358,,              2822661,,                458302,,                147208,,              8795383,,                525959,                525959,             24729445,,,                951333,,                114888,,                              0,,             26728291,,                316358,                910037,,,                185715,,                 93934,                279649,             29300556,             54030001,,,,,                566577,,                              0,,              2004696,,                 90570,,                432797,              2226702,              2659499,                     14,                355427,,                143399,,,              7648233,              7648233,                 71689,              7719922,             13540104,,,             10935406,,                927210,                  3087,                930297,             11865703,             25405807,,,,             35214730,                              0,             35214730,,                344166,,,             -7280502,             -7280502,,                457785,                159061,             28577118,                 47076,             28624194,             54030001,              0,              0,      3899382,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2337,2013年12月31日,,,,,,                  1358,,              2822661,,                458302,,                147208,,              8795383,,,                525959,             24729445,,,                951333,,                114888,,                              0,,             26728291,,                316358,                910037,,,                185715,,                 93934,                279649,             29300556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3899382,,             11978574,             54030001,,,,                566577,,                              0,,              2004696,,                 90584,,              2659499,                355427,,                143399,,              7719922,             13540104,,,             10935406,,                825606,                  3087,                828693,             11764099,             25304203,,,,             35214730,             35214730,,                344166,,,             -7178843,             -7178843,,                457785,                159061,             28678777,                 47021,             28725798,,,,,,,,,,,,,,
2337,2013年09月30日,,,,,,                              0,,              3268772,,              1184844,,                206600,,              8709553,,,                572730,             26725909,,,                826280,,                 82698,,                              0,,             27533689,,                340261,                913944,,,                189219,,                 90741,                279960,             29976832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3899382,,             12783410,             56702741,,,,              1263883,,                              0,,              2183667,,                182326,,              2581931,                359081,,                 96384,,              6099692,             12766964,,,             13034275,,                800499,                  4193,                804692,             13838967,             26605931,,,,             35214623,             35214623,,                343985,,,             -5678042,             -5678042,,                317335,                159061,             30038840,                 57970,             30096810,,              5798718,                300974,,,,,,,,,,,
