證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 其他預付費用,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　　 應付股利,　　　　 待分配股票股利,　　 非控制權益
1337,2015年09月30日,,,,              1907954,,                  9693,,              1629719,,                  1566,,,                330722,                330722,,                 27567,                107181,                134748,,                              0,                              0,              4014402,,,              6380656,,                323627,,                  1278,                  1946,,                              0,              1186427,,                 20733,              1207160,              7914667,             11929069,,,,,                103600,,                              0,,                382102,,                 65591,                              0,                121278,                186869,                 49474,,,                636720,                              0,                636720,              1358765,,,                              0,,                              0,,                 73699,                 73699,              1432464,,,,              2595884,              2595884,,              2949789,,                610954,,              3319054,              3930008,,,              1020924,              1020924,                              0,             10496605,             10496605,             11929069,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,2015年06月30日,,,,              1756622,,                  1528,,              1270561,,                  1126,,,                342156,                342156,,                 26450,                241169,                267619,,                              0,                              0,              3639612,,,              6144636,,                318713,,                  1226,                  1867,,                 12803,              1144941,,                 14868,              1172612,              7639054,             11278666,,,,,                 99400,,,,                261781,,                 47005,                 10992,                106942,                164939,                 28277,,,                692953,                              0,                692953,              1247350,,,                              0,,                              0,,                 70711,                 70711,              1318061,,,,              2498291,              2595884,,              2949789,,                610954,,              3207245,              3818199,,,                596733,                596733,                              0,              9960605,              9960605,             11278666,              0,              0,                 97593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,2015年03月31日,,,,              1624361,,,,                944488,,                 13032,,,                304565,                304565,,                 26822,                277713,                304535,,                453600,                453600,              3644581,,,              6120438,,                331524,,                  1243,                  1894,,                    780,              1167772,,                 17231,              1185783,              7640882,             11285463,,,,,                              0,,                              0,,                181405,,                 72721,,                 99159,                171880,                 28980,,,                754064,                  1592,                755656,              1137921,,,                              0,,                              0,,                 71707,                 71707,              1209628,,,,              2498291,              2498291,,              2948722,,                497641,,              3394453,              3892094,,,                736728,                736728,,             10075835,             10075835,             11285463,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,2014年12月31日,,,,              2366326,,                              0,,              1012054,,                  9834,,,                362857,                362857,,                 27089,                 82072,                109161,,                469196,                469196,              4329428,,,              5732662,,                342943,,                  1256,                  1912,,                 37345,              1186129,,                 19577,              1243051,              7321824,             11651252,,,,,                 74799,,                              0,,                361375,,                 72902,                              0,                133531,                206433,                 73495,,,                751557,                  4020,                755577,              1471679,,,                              0,,                              0,,                 72419,                 72419,              1544098,,,,              2498291,              2498291,,              2948722,,                497641,,              3326354,              3823995,,,                836146,                836146,                              0,             10107154,             10107154,             11651252,              0,              0,                              0,              2366326,             11651252,,,,                 74799,,                              0,,                361375,,                 72902,                133531,                206433,                 73495,,,                751557,                  4020,                755577,              1471679,,,                              0,,                              0,,                 72419,                 72419,              1544098,,,,              2498291,              2498291,,              2948722,,                497641,,              3326354,              3823995,,,                836146,                836146,                              0,             10107154,             10107154,              0,,,
1337,2014年09月30日,,,,              1761868,,                              0,,              1157205,,                  2215,,,                291704,                291704,,                 26237,                111234,                137471,,              1262967,              1262967,              4613430,,,              5326354,,                340371,,                  1090,                  1852,,                 35010,              1155404,,                 21068,              1211482,              6881149,             11494579,,,,,                218401,,                     59,,                288982,,                 66650,                199833,                161894,                428377,                103083,,,                121327,                  3323,                124650,              1163552,,,                623755,,                 60664,,                 70142,                754561,              1918113,,,,              2498291,              2498291,,              2948722,,                497641,,              3109921,              3607562,,,                521891,                521891,                              0,              9576466,              9576466,             11494579,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,2014年06月30日,,,,              1611312,,                              0,,              1368185,,                  1722,,,                299181,                299181,,                 25598,                 83133,                108731,,              1227993,              1227993,              4617124,,,              5087606,,                340093,,                    385,                  1807,,                  9743,              1133680,,                 22611,              1166034,              6595925,             11213049,,,,,                541588,,,,                216527,,                 76332,                199833,                125936,                402101,                117383,,,                118380,                  3799,                122179,              1399778,,,                620554,,                 59190,,                 68435,                748179,              2147957,,,,              1998329,              2501751,,              2952806,,                497641,,              2845077,              3342718,,,                292264,                292264,                 24447,              9065092,              9065092,             11213049,              0,        346000,                503422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,2014年03月31日,,,,              4010984,,,,              1469038,,                  3239,,,                364153,                364153,,                 26077,                 65105,                 91182,,                 37005,                 37005,              5975601,,,              5005643,,                352743,,                    392,                  1841,,                  5108,              1161411,,                              0,              1166519,              6527138,             12502739,,,,,              1341465,,                 40629,,                568463,,                111837,,                148836,                260673,                101070,,,                277337,                  1548,                278885,              2591185,,,                617367,,                120581,,                 69715,                807663,              3398848,,,,              1998329,              1998329,,              2935988,,                368919,,              3344206,              3713125,,,                456449,                456449,,              9103891,              9103891,             12502739,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337,2013年12月31日,,,,,,,,              2185248,,                  1589,,,                309305,                309305,,                 20417,                 40567,                 60984,,                  2952,                  2952,              6015963,,,              4868104,,                362372,,                    394,                  1848,,                 22016,              1190519,,                              0,              1212535,              6445253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              3455885,             12461216,,,,                734920,,                 87043,,                922623,,                413269,                166242,                579511,                168968,,,                311966,                 14834,                326800,              2819865,,,                613184,,                119987,,                 70000,                803171,              3623036,,,,              1998329,              1998329,,              2935988,,                368919,,              3038259,              3407178,,,                496685,                496685,                              0,              8838180,              8838180,              0,                              0,                              0,
1337,2013年09月30日,,,,,,,,              1510143,,                  1098,,,                954580,                954580,,                 19960,                 46864,                 66824,,                    481,                    481,              5735407,,,              4086780,,                362277,,                              0,                  1807,,                126864,              1156754,,                              0,              1283618,              5734482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              3202281,             11469889,,,,                724237,,                 17340,,                697851,,                158476,                234649,                393125,                155706,,,                401476,                              0,                401476,              2389735,,,                611038,,                 59067,,                              0,                670105,              3059840,,,,              1998329,              1998329,,              2935988,,                368919,,              2808838,              3177757,,,                297975,                297975,                              0,              8410049,              8410049,              0,                              0,,
1337,2013年06月30日,,,,,,,,              1401066,,                  1477,,,                935368,                935368,,                 20292,                 53873,                 74165,,                  2445,                  2445,              6049026,,,              3988935,,                364926,,                              0,                  1837,,                111257,              1177957,,                              0,              1289214,              5644912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              3634505,             11693938,,,,                600492,,                              0,,                609618,,                166976,                323077,              1121104,                150777,,,                444364,                              0,                444364,              2926355,,,                607896,,                 60049,,                              0,                667945,              3594300,,,,              1752920,              1998329,,              2935988,,                368919,,              2358757,              2727676,,,                437645,                437645,                              0,              8099638,              8099638,              0,                631051,                245409,
