證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　 預付款項,　　　　 預付款項合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 庫存現金,　　　　 約當現金,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　　 預付所得稅,　　　　 預付貨款,　　　　 暫付款,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計,　　　　 土地淨額,　　　　　 土地淨額,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　　 基金,　　　　　 基金合計,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　　 其他非流動資產－其他,　　　　 銀行借款,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 原始認列時指定為透過損益按公允價值衡量之金融負債－流動,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 其他應付款－其他,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　　 預收款項,　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　 應付公司債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　　 累積盈虧,　　　　　 本期損益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 重估增值,　　　　　 重估增值合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　 非控制權益,　　　　 在建工程（營造業適用）,　　　　　 在建工程（營造業適用）合計
6133,2015年09月30日,,,,                510057,,                 30122,,                307462,,                    896,,                268226,,                 22296,,                  2229,,,                174124,                174124,,                 39276,              1354688,,,                484268,,                  2098,                 17735,,                 27255,                  5965,,                 19449,                 52669,                556770,              1911458,,,,,                  2569,,                115012,,                141350,                  6191,,                  9959,                  9959,                275081,,,                  2387,                  2387,                  2387,                277468,,,,              1170064,              1170064,,                291797,,                  6091,,                123729,                129820,,                 77155,                 34846,              1633990,              1633990,              1911458,              0,              0,      2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2015年06月30日,,,,                460807,,                 32119,,                275425,,                  4397,,                250887,,                 19960,,                  2142,,,                182024,                182024,,                 37680,              1265441,,,                493674,,                  2322,                 20687,,                 27255,                  5778,,                 19669,                 52702,                569385,              1834826,,,,,                  3549,,                106212,,                136140,                  6060,,                 10696,                 10696,                262657,,,                  2464,                  2464,                  2464,                265121,,,,              1170064,              1170064,,                291797,,                  6091,,                 87971,                 94062,,                 48628,                 34846,              1569705,              1569705,              1834826,              0,              0,      2500000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2015年03月31日,,,,                467267,,                 28295,,                224313,,                  2873,,                272431,,                 23398,,                  2172,,,                205145,                205145,,                 40799,              1266693,,,                516136,,                  2785,                 20659,,                 27255,                  5907,,                 20595,                 53757,                593337,              1860030,,,,,                  1629,,                123657,,                123705,                  4348,,                 12951,                 12951,                266290,,,                  2071,                  2071,                  2071,                268361,,,,              1170064,              1170064,,                314156,,                  1270,,                107486,                108756,,                 55368,                 56675,              1591669,              1591669,              1860030,              0,              0,      5252000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2014年12月31日,,,,                421690,,                 34136,,                205899,,                  1513,,                333897,,                 15237,,                  2193,,,                205830,                205830,,                 38855,              1259250,,,                536289,,                  3152,                 19354,,                 27255,                  6012,,                 20902,                 54169,                612964,              1872214,,,,,                  3058,,                166581,,                102649,                  3977,,                  5979,                  5979,                282244,,,                  2074,                  2074,                  2074,                284318,,,,              1170064,              1170064,,                314148,,                  1270,,                111967,                113237,,                 59414,                 68967,              1587896,              1587896,              1872214,              0,              0,      6837000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2014年09月30日,,,,                290526,,                 29737,,                310568,,                  1379,,                286430,,                 14416,,                  2032,,,                174593,                174593,,                 42069,              1151750,,,                541445,,                  3880,                 22357,,                 17052,                  5826,,                 10295,                 33173,                600855,              1752605,,,,,                  3074,,                141163,,                 88103,                    744,,                  3931,                  3931,                237015,,,                  2064,                  2064,                  2064,                239079,,,,              1170064,              1170064,,                314142,,                  1270,,                 81241,                 82511,,                 31906,                 85097,              1513526,              1513526,              1752605,              0,              0,      8849000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2014年06月30日,,,,                326481,,                 34902,,                304088,,                  1172,,                247899,,                 28201,,                  1981,,,                147854,                147854,,                 31197,              1123775,,,                551826,,                  4924,                 23302,,                 17005,                  5726,,                 11271,                 34002,                614054,              1737829,,,,,                  1825,,                117251,,                114287,                  2271,,                  9205,                 12332,                247966,,,                  2070,                  2070,                  2070,                250036,,,,              1167604,              1167604,,                313692,,                  1270,,                 69213,                 70483,,                 21111,                 85097,              1487793,              1487793,              1737829,              0,              0,      8849000,,                  3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2014年03月31日,,,,                319495,,                 33786,,                309131,,                    976,,                255423,,                 23202,,                  2018,,,                146950,                146950,,                 35703,              1126684,,,                576207,,                  5946,                 21792,,                 16959,                  5878,,                 11984,                 34821,                638766,              1765450,,,,,                  1803,,                119832,,                 96436,                  4386,,                  7122,                168677,                391134,,,                  2026,                  2026,                  2026,                393160,,,,              1033342,              1033342,,                311077,,                              0,,                 79305,                 79305,,                 33663,                 85097,              1372290,              1372290,              1765450,              0,              0,      8849000,,                161555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2013年12月31日,,,,,,                 30304,,,,                     51,,                280883,,                 17165,,,,,,                141919,,                  1962,              1082303,,,                594323,,                  7228,                 23248,,,                  5947,,                 11472,                 34331,                659130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8849000,,,                272157,                307669,                  4091,,                 26102,                 16912,              1741433,,,,                  2771,,                126862,,                 84638,                  3142,,                  4845,                  4845,                222258,,,                159956,,                  1784,                  1784,                161740,                383998,,,,              1033342,              1033342,,                311077,,                              0,,                 67384,                 67384,,                 30729,                 85097,              1357435,              1357435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2013年09月30日,,,,,,                 27165,,,,                  1574,,                249373,,                 18509,,,,,                132750,                132750,,                  1643,              1015661,,,                605912,,                  8387,                 23935,,,                  5859,,                  9755,                 33760,                671994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8849000,,,                321936,                232534,                  4046,,                 26131,                 18146,              1687655,,,,                  4254,,                114841,,                 74232,                  1522,,                  5475,                  5475,                200324,,,                158373,,                  1755,                  1755,                160128,                360452,,,,              1033342,              1033342,,                311077,,                              0,,                 54862,                 54862,,                 13019,                 85097,              1327203,              1327203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2013年06月30日,,,,,,                 23203,,,,                    322,,                218893,,                  7874,,,,,                124360,                124360,,                  1971,                970277,,,                631377,,                  8143,                 23234,,,                  6001,,                  8942,                 32934,                695688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8849000,,,                433270,                131132,                  4078,,                 25174,                 17991,              1665965,,,,                  2270,,                 94969,,                 78390,                  1719,,                  4360,                  4360,                181708,,,                156805,,                  1889,                  1889,                158694,                340402,,,,              1033342,              1033342,,                311077,,                              0,,                 46688,                 46688,,                 19553,                 85097,              1325563,              1325563,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,2013年03月31日,,,,,,                 24084,,,,                  1094,,                191118,,                  7913,,,,,                139645,                139645,,                  1563,                945542,,,                645513,,                  9210,                 21611,,,                  5946,,                  8986,                 32938,                709272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8849000,,,                419258,                128959,                  4055,,                 27853,                 18006,              1654814,,,,                  2032,,                 90745,,                 77920,                  7421,,                  1490,                  1490,                179608,,,                155253,,                  1794,                  1794,                157047,                336655,,,,              1033342,              1033342,,                364983,,                126750,,               -131175,                 -4425,,                  9356,                 85097,              1318159,              1318159,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
