證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 現金及約當現金合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債
2020,2015年09月30日,,,,                485392,,                130548,,                 62054,,                 49433,,                469821,,                 12011,,                  8501,,                              0,,,                771696,,                485851,              1257547,,                109970,,                442178,              3027455,,,                342386,,                672366,,                 30000,,                209266,,              1000200,,                165825,,                  2210,                 22238,,                154091,              2598582,              5626037,,,,,              1372024,,                269759,,                314954,,                149882,,                133934,                  2308,                  4800,,,                  5055,,                              0,                              0,                 20600,                 25655,              2273316,,,                  9000,,                184679,,                158541,                 13424,                171965,                365644,              2638960,,,,              2591261,              2591261,,                318987,,                 52710,                102504,,                 -9232,                145982,,               -150782,                 85994,              2819454,                167623,              2987077,              5626037,      6380000,              0,      6380000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2015年06月30日,,,,                447982,,                120404,,                 25529,,                 83286,,                479045,,                 15238,,                  4553,,                 40865,,,                847661,,                484412,              1332073,,                107560,,                513773,              3170308,,,                  4755,,                574000,,                 30000,,                646553,,              1010291,,                166557,,                  2210,                 29206,,                826966,              3290538,              6460846,,,,,              1305410,,                149812,,                378181,,                119552,,                352676,                  2164,                 10073,,,                  4074,,                              0,                              0,                 20730,                 24804,              2342672,,,                  9000,,                180063,,                158124,                 13424,                171548,                360611,              2703283,,,,              2591261,              2591261,,                318987,,                 52710,                102504,,                464196,                619410,,                -44668,                              0,              3484990,                272573,              3757563,              6460846,,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2015年03月31日,,,,                414991,,                 69436,,                124298,,                 46606,,                521176,,                 34517,,                  5759,,                              0,,,                944106,,                507010,              1451116,,                107707,,                421193,              3196799,,,                  4792,,                574000,,                 30000,,                687636,,              1025446,,                167289,,                  2210,                 32817,,                852079,              3376269,              6573068,,,,,              1316764,,                199874,,                411146,,                126316,,                146905,                  2187,                 15298,,,                  1767,,                              0,                              0,                 20738,                 22505,              2240995,,,                  9000,,                182898,,                157764,                 14014,                171778,                363676,              2604671,,,,              2591261,              2591261,,                318987,,                 28737,                102504,,                665309,                796550,,                -17676,,              3689122,                279275,              3968397,              6573068,,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2014年12月31日,,,,                366935,,                129752,,                 33822,,                 80609,,                571577,,                 51484,,                 31477,,                  1758,,,                982643,,                405771,              1388414,,                106415,,                499810,              3262053,,,                  5216,,                574278,,                 30000,,                697727,,              1038834,,                168021,,                  2210,                 32292,,                875597,              3424175,              6686228,,,,,              1185707,,                249777,,                492178,,                161862,,                189670,                  2210,                 18755,,,                    177,,                  3326,                  3326,                 20885,                 24388,              2324547,,,                  9000,,                186442,,                177626,                 13424,                191050,                386492,              2711039,,,,              2591261,              2591261,,                318987,,                 28737,                102504,,                649329,                780570,,                 -4718,                              0,              3686100,                289089,              3975189,              6686228,              0,              0,              0,,                              0,                351935,,                 15000,                 30000,              6686228,,,,              1185707,,                249777,,                492178,,                161862,,                189670,                  2210,                 18755,,,                    177,,                  3326,                  3326,                 20885,                 24388,              2324547,,,                  9000,,                186442,,                177626,                 13424,                191050,                386492,              2711039,,,,              2591261,              2591261,,                318987,,                 28737,                102504,,                649329,                780570,,                 -4718,                              0,              3686100,                289089,              3975189,,,,,
2020,2014年09月30日,,,,                421096,,                151984,,                 30925,,                 40729,,                554549,,                 50849,,                 10166,,                              0,,,              1126860,,                285569,              1412429,,                112611,,                506458,              3291796,,,                  5314,,                593753,,                 30000,,                688619,,              1054777,,                168753,,                  2210,                 34541,,                851944,              3429911,              6721707,,,,,              1388447,,                249774,,                474952,,                149531,,                117205,                  2120,                 13438,,,                    391,,                  6393,                  6393,                  6204,                 12988,              2408455,,,                  9000,,                180236,,                181458,                 15544,                197002,                386238,              2794693,,,,              2595331,              2595331,,                320484,,                 28737,                102504,,                661319,                792560,,                -49147,                  5567,              3653661,                273353,              3927014,              6721707,        407000,              0,        407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2014年06月30日,,,,                324857,,                 96392,,                 56154,,                 84488,,                778572,,                 35769,,                 17458,,                 28080,,,              1074099,,                234733,              1308832,,                109076,,                513700,              3353378,,,                  5613,,                593753,,                 30000,,                611249,,              1070960,,                169485,,                  2210,                 40479,,                850216,              3373965,              6727343,,,,,              1381812,,                149916,,                477680,,                163424,,                268013,                  3659,                 25800,,,                    720,,                  9347,                  9347,                  5738,                 15805,              2488132,,,                              0,,                176856,,                196112,                 14554,                210666,                387522,              2875654,,,,              2625331,              2625331,,                331468,,                 28737,                102504,,                575444,                706685,,                -31331,                 40984,              3591169,                260520,              3851689,              6727343,,              0,      3000000,,                  2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2014年03月31日,,,,                237754,,                127237,,                109335,,                139648,,                599818,,                 32778,,                  8813,,                              0,,,              1000544,,                100929,              1101473,,                149285,,                470695,              2976836,,,                  5660,,                598126,,                 20000,,                630296,,              1079574,,                170218,,                  2210,                 42889,,                886761,              3435734,              6412570,,,,,              1486771,,                 49977,,                367524,,                124508,,                103910,                    893,                 36183,,,                    573,,                 12807,                 12807,                  7821,                 21201,              2191806,,,                              0,,                180666,,                195839,                 14554,                210393,                391059,              2582865,,,,              2625331,              2625331,,                331468,,                 10936,                148773,,                473384,                633093,,                 -5248,,              3584644,                245061,              3829705,              6412570,,              0,              0,,                    839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2013年12月31日,,,,,,                 90461,,                531308,,                164377,,                580994,,                 17780,,                 12157,,                              0,,,                962760,,                100929,              1063689,,                109055,,                 92601,              2913605,,,                  5362,,                598126,,,,                607867,,              1092543,,                170950,,                  2210,                 44113,,                872566,              3413737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                251183,,                              0,                 20000,              6327342,,,,              1329303,,                 99943,,                355034,,                104940,,                137073,                  2750,                 33554,,,                    417,,                 12253,                 12253,                  6430,                 19100,              2081697,,,                  3063,,                176777,,                195490,                 14551,                210041,                389881,              2471578,,,,              2625331,              2625331,,                331468,,                 10936,                148773,,                508346,                668055,,                 -1658,                              0,              3623196,                232568,              3855764,,                              0,,                              0,
2020,2013年09月30日,,,,,,                 91779,,                 73002,,                172537,,                727170,,                              0,,                  8896,,,,,                943129,,                100929,              1044058,,                111478,,                564711,              3651508,,,                  5524,,                604903,,,,                420373,,              1108116,,                171681,,                  2210,                 45605,,                874250,              3252662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                334346,,                              0,                 20000,              6904170,,,,              1860317,,                199735,,                324928,,                132724,,                116330,                  2103,                 18669,,,                  1052,,                 12138,                 12138,                  2749,                 15939,              2671372,,,                  6069,,                175456,,                190754,                 21389,                212143,                393668,              3065040,,,,              2625331,              2625331,,                331468,,                 10936,                148773,,                500877,                660586,,                 -1999,                              0,              3615386,                223744,              3839130,,                523531,,                    627,
2020,2013年06月30日,,,,,,                125090,,                101280,,                142248,,                649531,,                              0,,                 12193,,                 31200,,,              1034797,,                100929,              1135726,,                107040,,                587356,              3167124,,,                  5662,,                612228,,,,                934677,,              1119409,,                172414,,                  2210,                 62366,,                896413,              3825379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                275460,,,                 20000,              6992503,,,,              1793413,,                289966,,                411628,,                 82820,,                142967,                  1538,                 22079,,,                  2312,,                 12322,                 12322,                  7232,                 21866,              2766277,,,                  9242,,                177187,,                191104,                 15845,                206949,                393378,              3159655,,,,              2625331,              2625331,,                331468,,                 10936,                148773,,                453642,                613351,,                  5916,                              0,              3576066,                256782,              3832848,,,,                              0,
