證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 一年或一營業週期內到期長期借款,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　 存出保證金,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 非控制權益,　　　 當期所得稅負債,　　　　　 一年或一營業週期內到期長期借款,　　　　 預收股本,　　　　 特別盈餘公積
3573,2015年09月30日,,,,                640284,,                              0,,                 24855,,              1252014,,                    958,,                 25846,,                 14245,,,                708341,                708341,,                 25731,,                 10695,                 36148,                 46843,              2739117,,,                177737,,                110627,,              3791138,,                 15051,                 19042,,                  1699,              4115294,              6854411,,,,,              1028061,,                              0,,                      5,,                156241,,                     44,,                348165,                  4605,                              0,,,                125273,                 11906,                137179,              1674300,,,                208138,,                 10688,,                  1843,                  1700,                  3543,                222369,              1896669,,,,              1327555,              1327555,,              4710873,,                224600,,             -1218588,               -993988,,                  8933,                 95631,              4957742,                              0,              4957742,              6854411,              0,              0,      6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,2015年06月30日,,,,                747378,,,,                 25127,,                945311,,                    747,,                 55812,,                 14045,,,                729355,                729355,,                 26278,,                 10695,                 48451,                 59146,              2603199,,,                177737,,                101537,,              3882638,,                 15343,                 12732,,                 15292,              4205279,              6808478,,,,,                874926,,                              0,,                     14,,                197847,,                              0,,                295979,                  3122,                      7,,,                143858,                 13021,                156879,              1528774,,,                259628,,                  3672,,                  1881,                  1700,                  3581,                266881,              1795655,,,,              1370645,              1370645,,              4741254,,                224600,,             -1267878,             -1043278,,                  5490,                 61288,              5012823,                              0,              5012823,              6808478,              0,              0,      3444000,                143858,,              4723694,                 17560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,2015年03月31日,,,,                833309,,                    396,,                 28337,,                887945,,                  1339,,                 78797,,                 12204,,,                670857,                670857,,                 15309,,                 10671,                 29664,                 40335,              2568828,,,                177737,,                110851,,              3981997,,                 15056,                 12251,,                  2273,              4300165,              6868993,,,,,                633106,,                              0,,                     22,,                147686,,                              0,,                360155,                  5220,                      4,,,                175213,                  9160,                184373,              1330566,,,                267622,,                  3377,,                  1919,                  1700,                  3619,                274618,              1605184,,,,              1400465,              1400465,,              4783908,,                224600,,             -1076949,               -852349,,                  6399,                 74614,              5263809,,              5263809,              6868993,              0,              0,      2982000,,,              4768488,                 15420,                  2273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,2014年12月31日,,,,                979976,,                              0,,                 17279,,                989450,,                  1068,,                 68305,,                  3947,,,                746573,                746573,,                 16263,,                 10671,                 27186,                 37857,              2860718,,,                177737,,                119325,,              4056646,,                 13062,                 15729,,                  2272,              4384771,              7245489,,,,,                731987,,                  1945,,                 42244,,                111285,,                  1372,,                392821,                  2910,                              0,,,                133404,                  8017,                141421,              1425985,,,                354293,,                  7033,,                  1960,                  1700,                  3660,                364986,              1790971,,,,              1400465,              1400465,,              4781110,,                224600,,               -958922,               -734322,,                  7265,                              0,              5454518,                              0,              5454518,              7245489,              0,              0,              0,                133404,,              4768488,                 12622,                  2272,                979976,              7245489,,,,                731987,,                  1945,,                 42244,,                111285,,                  1372,,                392821,                  2910,,,                133404,                  8017,                141421,              1425985,,,                354293,,                  7033,,                  1960,                  1700,                  3660,                364986,              1790971,,,,              1400465,              1400465,,,              4768488,                 12622,              4781110,,                224600,,               -958922,               -734322,,                  7265,                              0,              5454518,              5454518,,,,,
3573,2014年09月30日,,,,                628488,,                     64,,                  1473,,              1389226,,                    975,,                124050,,                              0,,,                867321,                867321,,                 51183,,                 10647,                 33421,                 44068,              3106848,,,                178365,,                120807,,              4142523,,                 12238,                 13901,,                  2289,              4470123,              7576971,,,,,                822399,,                  1617,,                      3,,                139649,,                              0,,                414467,                  1885,                              0,,,                168099,                 21402,                189501,              1569521,,,                361773,,                  4375,,                  2329,                  1700,                  4029,                370177,              1939698,,,,              1450465,              1450465,,              4882470,,                224600,,               -772266,               -547666,,                  3212,                151208,              5637273,                              0,              5637273,              7576971,              0,              0,      4902000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,2014年06月30日,,,,                571328,,,,                  3322,,              1265250,,                  2173,,                  9366,,                  2232,,,              1054497,              1054497,,                 48886,,                 10647,                 47910,                 58557,              3015611,,,                186044,,                 42156,,              4220625,,                 11987,                 10793,,                 80618,              4552223,              7567834,,,,,                597798,,                              0,,                    821,,                203533,,                              0,,                292371,                    571,                      8,,,                170241,                  7546,                177787,              1272889,,,                408345,,                    869,,                  2375,                  1300,                  3675,                412889,              1685778,,,,              1450465,              1450465,,              4879273,,                224600,,               -673553,               -448953,,                  1271,                              0,              5882056,                              0,              5882056,              7567834,              0,              0,              0,                170241,,              4872727,                  6546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,2014年03月31日,,,,                521985,,                    158,,                  5674,,              1200306,,                  2125,,                 36466,,                              0,,,              1059887,              1059887,,                 35724,,                 10624,                 24934,                 35558,              2897883,,,                186044,,                 42932,,              4321465,,                 11930,                 11458,,                  7216,              4581045,              7478928,,,,,                535774,,                    298,,                    437,,                160661,,                              0,,                278232,                    214,                      4,,,                161706,                  7953,                169659,              1145279,,,                449185,,                  1768,,                  2441,                  1000,                  3441,                454394,              1599673,,,,              1450465,              1450465,,              4876519,,                224600,,               -674742,               -450142,,                  2413,                              0,              5879255,,              5879255,              7478928,              0,              0,              0,,,              4872727,                  3792,                  7216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3573,2013年12月31日,,,,,,,,                  5731,,              1181880,,                 59545,,                 38598,,                              0,,,              1251592,              1251592,,                 31144,,                 10624,                 18355,                 28979,              3150265,,,                186044,,                 43755,,              4339010,,                  9324,                 12727,,                  8603,              4599463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                  8603,                552796,              7749728,,,,                866093,,                    807,,                    875,,                275151,,                              0,,                390826,                  1285,,,                147037,                  5283,                152320,              1687357,,,                183864,,                  2654,,                  2467,                  1000,                  3467,                189985,              1877342,,,,              1450465,              1450465,,,              4872727,                              0,              4872727,,                224600,,               -678354,               -453754,,                  2948,                              0,              5872386,              5872386,,,,,
3573,2013年09月30日,,,,,,                  1417,,                  3112,,              1199111,,                 76007,,                 48806,,                     76,,,              1262378,              1262378,,                 40014,,                 10600,                 43518,                 54118,              3363501,,,                186044,,                 30070,,              4379537,,                  9376,                 11024,,                  9174,              4625225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1500000,,,,,                  9174,                678462,              7988726,,,,                823851,,                              0,,                 15161,,                501314,,,,                396807,                              0,,,                121266,                 14755,                136021,              1873154,,,                228211,,                    671,,                  2611,                 15000,                 17611,                246493,              2119647,,,,              1465465,              1465465,,,              4906784,                              0,              4906784,,                224600,,               -680294,               -455694,,                  1581,                 49057,              5869079,              5869079,                              0,,,,
3573,2013年06月30日,,,,,,,,                  3767,,              1155655,,                              0,,                  2940,,                              0,,,              1188292,              1188292,,                 28638,,                 10600,                 61511,                 72111,              3187244,,,                186044,,                 30252,,              4371532,,                  7962,                 10873,,                  9439,              4616102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                  9439,                735841,              7803346,,,,                955033,,                    787,,                 11571,,                181474,,,,                387653,                    407,,,                 85337,                 13769,                 99106,              1636040,,,                236935,,                    675,,                  2658,                 15000,                 17658,                255268,              1891308,,,,              1465465,              1465465,,,              4906784,                              0,              4906784,,                224600,,               -687150,               -462550,,                  2339,,              5912038,              5912038,                              0,                      9,                 85337,,
