證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 投資性不動產－土地,　　　　 庫藏股票,　　　 共同控制下前手權益,　　　　　 法定盈餘公積,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 共同控制下前手權益
2413,2015年09月30日,,,,                672859,,                 23950,,                              0,                              0,,                 17660,,                842691,,                 29215,,                 39177,,,                788207,                788207,,                 54911,,                              0,,                 21585,              2490255,,,                290671,,                154680,,                              0,,                 12468,,              1331710,,                 86097,,                 32390,                 62624,,                168446,              2139086,              4629341,,,,,                336563,,                 19991,,                  3486,,                487312,,                424429,                 15726,,,                153333,                 50520,                203853,              1491360,,,              1034182,,                 22699,,                 52547,                  4345,                 56892,              1113773,              2605133,,,,              1273592,              1273592,,                369225,,,                159297,                159297,,                221077,              2023191,                  1017,              2024208,              4629341,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2015年06月30日,,,,                614622,,                 32147,,                              0,                              0,,                  5384,,                738621,,                 34179,,                 44488,,,                844747,                844747,,                 60101,,                              0,,                 40117,              2414406,,,                356518,,                154680,,                              0,,                 11838,,              1325564,,                 86097,,                 30355,                 62830,,                173120,              2201002,              4615408,,,,,                334283,,                 19992,,                  1798,,                529242,,                413785,                  2906,,,                153333,                 63485,                216818,              1518824,,,              1043158,,                 13407,,                 52547,                  4346,                 56893,              1113458,              2632282,,,,              1273592,              1273592,,                369285,,,                 69159,                 69159,,                270093,              1982129,                    997,              1983126,              4615408,              0,              0,              0,                 86097,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2015年03月31日,,,,                609181,,                 39437,,                  5019,                  5019,,                  6276,,                808868,,                 18477,,                 21107,,,                824257,                824257,,                 59121,,                              0,,                  2183,              2393926,,,                385447,,                149680,,                              0,,                 11398,,              1338844,,                 84934,,                 30820,                 79892,,                177585,              2258600,              4652526,,,,,                559335,,                 19994,,                    539,,                515643,,                374334,                    908,,,                153333,                 59597,                212930,              1683683,,,                902396,,                 25494,,                 52547,                  4345,                 56892,                984782,              2668465,,,,              1273592,              1273592,,                369285,,,                 49394,                 49394,,                291012,              1983283,                    778,              1984061,              4652526,              0,              0,              0,                 84934,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2014年12月31日,,,,                719127,,                 35819,,                  5067,                  5067,,                  6964,,                857660,,                 26352,,                 24895,,,                785103,                785103,,                 50253,,                  2686,,                  1542,              2515468,,,                393155,,                149680,,                              0,,                 11925,,              1359227,,                 84934,,                 31753,                 92217,,                202901,              2325792,              4841260,,,,,                702124,,                              0,,                     85,,                529109,,                449401,                  2300,,,                120000,                 63172,                183172,              1866191,,,                928724,,                 26309,,                 52547,                  4345,                 56892,              1011925,              2878116,,,,              1273592,              1273592,,                369285,,,                 17421,                 17421,,                302072,              1962370,                    774,              1963144,              4841260,              0,              0,              0,                 84934,                              0,                              0,                              0,                719127,                  5067,                              0,              4841260,,,,                702124,,                              0,,                     85,,                529109,,                449401,                  2300,,,                120000,                 63172,                183172,              1866191,,,                928724,,                 26309,,                 52547,                  4345,                 56892,              1011925,              2878116,,,,              1273592,              1273592,,                369285,,                              0,,                 17421,                 17421,,                302072,                              0,              1962370,                    774,              1963144,
2413,2014年09月30日,,,,                698885,,                 37872,,                              0,                              0,,                 12665,,                938700,,                 19109,,                 19763,,,                742360,                742360,,                 53591,,                              0,,                  7538,              2530483,,,                401032,,                173559,,                  9818,,                 12189,,              1387248,,                 83650,,                 32307,                107663,,                177213,              2384679,              4915162,,,,,                845733,,                              0,,                  1051,,                475172,,                451257,                  2104,,,                124190,                 85956,                210146,              1985463,,,                925499,,                 26974,,                 50589,                  4364,                 54953,              1007426,              2992889,,,,              1273592,              1273592,,                369285,,,                -15026,                -15026,,                293392,              1921243,                  1030,              1922273,              4915162,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2014年06月30日,,,,                625791,,                 39483,,                              0,                              0,,                  5612,,              1012382,,                 23537,,                156915,,,                714291,                714291,,                 59792,,                              0,,                  2281,              2640084,,,                386510,,                166559,,                 26763,,                 11388,,              1395791,,                 83399,,                 19369,                114122,,                174883,              2378784,              5018868,,,,,              1061478,,                              0,,                  2169,,                505235,,                399073,                  8993,,,                124121,                 74239,                198360,              2175308,,,                936531,,                 23687,,                 50589,                  4362,                 54951,              1015169,              3190477,,,,              1273592,              1273592,,                369285,,,                -79854,                -79854,,                264166,              1827189,                  1202,              1828391,              5018868,              0,              0,              0,                 83399,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2014年03月31日,,,,                721789,,                 31947,,                              0,                              0,,                  3793,,                936857,,                 24976,,                  7804,,,                761108,                761108,,                 77803,,                              0,,                  2499,              2568576,,,                449397,,                166559,,                              0,,                 11445,,              1425292,,                 83399,,                 17867,                 87267,,                166145,              2407371,              4975947,,,,,              1209569,,                              0,,                  2782,,                453520,,                164100,                 13161,,,                124125,                 68067,                192192,              2035324,,,                937561,,                 21609,,                 50589,                  3407,                 53996,              1013166,              3048490,,,,              1273592,              1273592,,                369285,,,                -32282,                -32282,,                315893,              1926488,                    969,              1927457,              4975947,              0,              0,              0,                 83399,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2013年12月31日,,,,,,                 25820,,,,,                  1096,,                964893,,                 24720,,                 22784,,,                827646,                827646,,                 79860,,                              0,,                  2175,              2465941,,,                280549,,                216231,,,,                 13754,,              1453509,,                 83399,,                 17090,                 98104,,                172393,              2393931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 83399,,,,                516947,                              0,                 58902,              4859872,,,,              1065863,,                              0,,                    562,,                530728,,                188000,                 13281,,,                120000,                 71924,                191924,              1990358,,,                990000,,                 25529,,                 50589,                  3200,                 53789,              1069318,              3059676,,,,              1273592,              1273592,,                369285,,                              0,,                -33784,                -33784,,                189739,                              0,              1798832,                  1364,              1800196,                              0
2413,2013年09月30日,,,,,,                 22955,,,,,                  3187,,                875578,,                 31978,,                  7876,,,                833450,                833450,,                 81008,,,,                 13229,              2305551,,,                308963,,                216231,,,,                 14545,,              1428652,,                 83399,,                 18967,                119961,,                169581,              2507245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 83399,,,,                436290,,                146946,              4812796,,,,              1068185,,                 29988,,                  1202,,                494168,,                162263,                  2027,,,                120000,                 69610,                189610,              1947443,,,                990000,,                 29436,,                 62960,                  3211,                 66171,              1085607,              3033050,,,,              1273592,              1273592,,                369254,,,,                -53282,                -53282,,                189082,,              1778646,                  1100,              1779746,
2413,2013年06月30日,,,,,,                  7473,,,,,                  9461,,                840556,,                 34207,,                  9690,,,                792249,                792249,,                 78742,,,,                 17796,              2295251,,,                309314,,                213046,,,,                 13739,,              1437934,,                              0,,                 19716,                123181,,                251967,              2464574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,,,                505077,,                 95677,              4759825,,,,              1002450,,                 29997,,                  1758,,                510200,,                166220,                  1415,,,                120000,                 54802,                174802,              1886842,,,              1000000,,                 28027,,                 62960,                  3222,                 66182,              1094209,              2981051,,,,              1273592,              1273592,,                369254,,                              0,,                -41270,                -41270,,                175605,                              0,              1777181,                  1593,              1778774,                              0
