證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3706,2015年09月30日,,,,              9750637,,                 18748,,                548127,,                  3105,,              5540597,,                272081,,                 52680,,                 21510,,              7384830,,                390278,,                 20362,                 20362,             24002955,,,                760737,,              1118065,,             13794894,,              5387054,,              1071388,,                152228,                496966,,                367852,             23149184,             47152139,,,,,              2838894,,                 24527,,                              0,,              4976339,,                199196,,              3687109,                323030,,                304925,,                529349,             12883369,,,                350656,,                289737,                640393,             13523762,,,,              7770209,              7770209,,,             21555180,                175288,                155846,                423886,             22310200,,                132420,                 52117,,              1556012,              1740549,,,              2388428,,                -65783,              2322645,                515226,             33628377,                              0,             33628377,             47152139,              0,              0,     19463228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,2015年06月30日,,,,              8970572,,                  8249,,                640565,,                  2486,,              9912560,,                149711,,                 73341,,                 32690,,              7326692,,                339961,,                 57488,                 57488,             27514315,,,                857512,,              1117367,,             13213348,,              5254642,,              1068706,,                195599,                462371,,                324104,             22493649,             50007964,,,,,              3773959,,                 16582,,                              0,,              7724278,,                203398,,              4572553,                236781,,                307802,,                254914,             17090267,,,                320474,,                286960,                607434,             17697701,,,,              7771993,              7771993,,,             21567019,                114352,                175280,                424887,             22281538,,                132420,                 52117,,              1064791,              1249328,,,              1251751,,                196701,              1448452,                441048,             32310263,                              0,             32310263,             50007964,              0,              0,     16065228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,2015年03月31日,,,,              8167100,,                 29122,,                599066,,                 10395,,              9661465,,                 97147,,                106422,,                 35807,,              8720757,,                445547,,                873075,                873075,             28745903,,,                870748,,              1117520,,             13192146,,              5146285,,              1074851,,                254632,                475939,,                344540,             22476661,             51222564,,,,,              4020667,,                  5895,,,,              9617506,,                251485,,              3495029,                210434,,                325901,,                317012,             18243929,,,                320474,,                296429,                616903,             18860832,,,,              7665461,              7665461,,,             21340881,                114352,                175529,                493466,             22124228,,                 56311,,,              1205574,              1261885,,,              1611097,,                140109,              1751206,                441048,             32361732,                              0,             32361732,             51222564,              0,              0,     16065228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,2014年12月31日,,,,              8494325,,                 29460,,                606396,,                  4817,,              7526653,,                231167,,                 86337,,                 40842,,              7189749,,                362423,,              1181612,              1181612,             25753781,,,                887366,,              1117642,,             13043136,,              5211314,,              1080307,,                316694,                443352,,                350272,             22450083,             48203864,,,,,              3590577,,                  3371,,                              0,,              7371117,,                263912,,              3507921,                 50954,,                338376,,                294868,             15421096,,,                331912,,                299237,                631149,             16052245,,,,              7694106,              7694106,,,             21427076,                 52683,                150448,                492513,             22122720,,                 56311,                              0,,                773566,                829877,,,              1872643,,                139151,              2011794,                506878,             32151619,                              0,             32151619,             48203864,              0,              0,     19434228,              8494325,                 40842,             48203864,,,,              3590577,,                  3371,,                              0,,              7371117,,                263912,,              3507921,                 50954,,                338376,,                294868,             15421096,,,                331912,,                299237,                631149,             16052245,,,,              7694106,              7694106,,,             21427076,                 52683,                150448,                492513,             22122720,,                 56311,,                773566,                829877,,,              1872643,,                139151,              2011794,                506878,             32151619,                              0,             32151619
3706,2014年09月30日,,,,              8740681,,                 31031,,                586297,,                  3552,,              5766234,,                 70729,,                 88661,,                              0,,              7415542,,                458343,,              1596845,              1596845,             24757915,,,                970782,,              1116258,,             12304231,,              5136936,,              1078746,,                461244,                506930,,                339224,             21914351,             46672266,,,,,              3709319,,                    174,,                    996,,              6724368,,                271273,,              3454731,                 71975,,                416622,,                246754,             14896212,,,                361306,,                244144,                605450,             15501662,,,,              7696596,              7696596,,,             21445106,                 28689,                140176,                493947,             22107918,,                 56311,                              0,,                546507,                602818,,,              1176910,,                118664,              1295574,                532485,             31170421,                    183,             31170604,             46672266,              0,              0,     20744728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,2014年06月30日,,,,              9074485,,                  4479,,                612387,,                  1818,,              6020129,,                427436,,                 93429,,                 39330,,              6220180,,                342353,,              1770113,              1770113,             24606139,,,              1037381,,              1179288,,             12143109,,              5138279,,              1035779,,                477919,                539280,,                331323,             21882358,             46488497,,,,,              3837696,,                  1278,,                              0,,              6179560,,                254456,,              4195242,                 83141,,                432149,,                287581,             15271103,,,                361603,,                237699,                599302,             15870405,,,,              7659368,              7659368,,,             21377222,                              0,                120056,                504931,             22002209,,                 56311,                              0,,                328043,                384354,,,                800853,,                380830,              1181683,                609766,             30617848,                    244,             30618092,             46488497,              0,              0,     24699728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,2014年03月31日,,,,              6850371,,                  1758,,                617946,,                  5836,,              4800833,,                364792,,                110924,,                 31681,,              6815849,,                334961,,              1791863,              1791863,             21726814,,,              1033157,,              1155798,,             11900819,,              5129652,,              1041316,,                536836,                570935,,                321326,             21689839,             43416653,,,,,              2589362,,                  9619,,,,              5129547,,                137925,,              3250182,                 67045,,                431231,,                289880,             11904791,,,                358846,,                236423,                595269,             12500060,,,,              7648617,              7648617,,,             21356429,                              0,                 97893,                492567,             21946889,,                              0,,,                525183,                525183,,,              1125465,,                279901,              1405366,                609766,             30916289,                    304,             30916593,             43416653,              0,              0,     24699728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3706,2013年12月31日,,,,,,                 14173,,                607724,,                  9346,,              6003766,,                169396,,                144826,,,,              6522164,,                238406,,              1778303,              1778303,             22701124,,,              1066719,,              1155539,,             11456719,,              5194586,,              1045049,,                593892,                566396,,                330388,             21409288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     24699728,              7190723,                 22297,             44110412,,,,              2108970,,                  6437,,                  1622,,              6329891,,                239803,,              3565849,                 26564,,                458285,,                226220,             12963641,,,                358846,,                233596,                592442,             13556083,,,,              7609488,              7609488,,,             21276857,                              0,                 22345,                504181,             21803383,,                              0,,                563114,                563114,,,                899611,,                288199,              1187810,                609766,             30554029,                    300,             30554329
3706,2013年09月30日,,,,,,                  1126,,                574858,,                  3625,,              4669395,,                117684,,                236553,,,,              6828122,,                399531,,                 21349,                 21349,             21636869,,,              1035287,,              1130447,,             11344928,,              5158915,,              1045899,,                541181,                631653,,                325555,             21213865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     24699728,              8784626,                              0,             42850734,,,,              2748171,,                 10388,,                              0,,              5441535,,                224987,,              3460818,                 71518,,                447958,,                243137,             12648512,,,                358845,,                220903,                579748,             13228260,,,,              7555675,              7555675,,,             21176702,                              0,                  7930,                522579,             21707211,,                              0,,                 75870,                 75870,,,                679809,,                213012,                892821,                609766,             29621811,                    663,             29622474
3706,2013年06月30日,,,,,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,,,                              0,,                              0,,                              0,                              0,                              0,,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,                              0,                              0,,,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,                              0,,                              0,,                              0,                              0,,,                              0,,                              0,                              0,                              0,,,,                              0,                              0,,,                              0,                              0,                              0,                              0,                              0,,                              0,,                              0,                              0,,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0
