證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 持有供交易之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 避險之衍生金融資產－流動,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－其他行業,　　　　　 存貨－其他行業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 持有供交易之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 持有供交易金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　　 一年或一營業週期內到期長期應付票據及款項－關係人,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付款,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付款－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待分配股票股利,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期應付票據及款項－關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 避險之衍生金融負債－非流動,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付款,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付款－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待分配予業主之非流動資產（或處分群組）淨額,　　　　 待分配予業主之非流動資產（或處分群組）淨額,　　　　 應付股利,　　　　 待分配股票股利
2637,2015年09月30日,,,,              1773206,,                 45431,                 45431,,                190799,                323959,,                133963,                 39590,                173553,,                  3228,                  3228,,                 68116,,,                 76315,                 76315,,                163515,,                              0,,                731626,                319618,              1051244,              3869366,,,                 16405,                 16405,,                 18186,                114964,,             76644447,                  3254,,,                108958,                108958,,                 88816,,              3256306,              3454080,             80251336,             84120702,,,,,                932987,,                    377,                    377,,                123017,,                    984,,                605152,                605152,,,                860444,,                464997,              5299869,                127371,                              0,              5892237,                 69084,                 45044,              6866809,              8529326,,,                 34073,                              0,,              2399003,,             40355869,,                  1364,,,                735852,                421009,              1156861,,              2581702,              2581702,                  7521,                              0,              3746084,             46536393,             55065719,,,,              5116477,                              0,              5116477,,              2463614,,,              9795365,              9795365,,,             10917816,,                606551,             11524367,                              0,             28899823,                155160,             29054983,             84120702,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2015年06月30日,,,,              2839691,,                 28987,                 28987,,                187479,                380141,,                131557,                 36560,                168117,,,,,                 24727,,,                105289,                105289,,                173346,,                              0,,                690489,                364600,              1055089,              4962866,,,                 33129,                 33129,,                 18720,                231372,,             72170984,                  2455,,,                111869,                111869,,                 83603,,              2799392,              2994864,             75451524,             80414390,,,,,                870309,,                    101,                    101,,                108277,,,,                440617,              1902796,,,                838198,,                782466,              5091292,                119583,                              0,              5993341,                 63687,                 22169,              6917395,              9798878,,,                 44090,                              0,,              2285256,,             38160717,,                    370,,,                720751,                404039,              1124790,,              2203601,              2203601,                  7521,                              0,              3335912,             43826345,             53625223,,,,              4983244,                              0,              4983244,,              2167868,,,              9069796,              9069796,,,              9676075,,                741637,             10417712,                              0,             26638620,                150547,             26789167,             80414390,              0,              0,              0,              1462179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2015年03月31日,,,,              1105280,,,                 43953,,                126607,                524190,,                131033,                 85468,                216501,,,,,                 23309,,,                 81006,                 81006,,                166650,,,,                654700,                353255,              1007955,              3295451,,,,                 31721,,                 81438,                222147,,             68547312,                  2426,,,                544218,                544218,,                 79609,,              3780151,              4403978,             73289022,             76584473,,,,,                887951,,,                              0,,                101040,,                    280,,                425870,                425870,,,                824220,,              1140170,              4752883,                187018,                              0,              6080071,                 65685,                 18330,              6988306,              8403447,,,                 21182,                              0,,                106484,,             37548208,,                    621,,,                761349,                433142,              1194491,,              2238936,              2238936,                  7521,                              0,              3440948,             41117443,             49520890,,,,              4863251,,              4863251,,              3145135,,,              8508542,              8508542,,,              9652285,,                734052,             10386337,                              0,             26903265,                160318,             27063583,             76584473,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2014年12月31日,,,,                487078,,                  7153,                  7153,,                103622,                425504,,                159923,                 84586,                244509,,                              0,                              0,,                 33624,,,                 57408,                 57408,,                170801,,                              0,,                669566,                345078,              1014644,              2544343,,,                 56454,                 56454,,                115544,                518564,,             65758956,                  1465,,,                572378,                572378,,                 82032,,              4894684,              5549094,             72000077,             74544420,,,,,                899452,,                    943,                    943,,                 92413,,                              0,,                422429,                422429,,,                853559,,              1506238,              4324469,                282896,                              0,              6113603,                 66748,                    173,              7034083,              8449320,,,                 29247,                              0,,                252394,,             35562420,,                    386,,,                800523,                456833,              1257356,,              2265148,              2265148,                  7521,                              0,              3530025,             39374472,             47823792,,,,              4705131,                              0,              4705131,,              2757982,,,              7982498,              7982498,,,              9791368,,              1322942,             11114310,                              0,             26559921,                160707,             26720628,             74544420,              0,              0,              0,                              0,                487078,             74544420,,,,                899452,,                    943,                    943,,                 92413,,                422429,                422429,,,                853559,,              1506238,              4324469,                282896,                              0,              6113603,                 66748,                    173,              7034083,              8449320,,,                 29247,                              0,,                252394,,             35562420,,                    386,,,                800523,                456833,              1257356,,              2265148,              2265148,                  7521,                              0,              3530025,             39374472,             47823792,,,,              4705131,              4705131,,              2757982,,,              7982498,              7982498,,,              9791368,,              1322942,             11114310,                              0,             26559921,                160707,             26720628,,,,
2637,2014年09月30日,,,,                607943,,                    577,                    577,,                              0,                403512,,                144056,                 79794,                223850,,                              0,                              0,,                 38467,,,                100957,                100957,,                136566,,                              0,,                595791,                367009,                962800,              2474672,,,                 33286,                 33286,,                218868,                340322,,             62482208,                  1562,,,                571222,                571222,,                 86060,,              4237957,              4895239,             67971485,             70446157,,,,,                893191,,                              0,                              0,,                140729,,                              0,,                447822,                447822,,,                800193,,                              0,              3736842,                289492,                              0,              4026334,                 70134,                 45139,              4941800,              6423542,,,                 34890,                              0,,              1749249,,             35962755,,                     88,,,                798882,                497543,              1296425,,              2110371,              2110371,                  7090,                              0,              3413886,             41160868,             47584410,,,,              4686007,                              0,              4686007,,              2713539,,,              7377745,              7377745,,,              6799939,,              1135527,              7935466,                              0,             22712757,                148990,             22861747,             70446157,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2014年06月30日,,,,              1403463,,                  9835,                  9835,,                 16289,                383192,,                151192,                303863,                455055,,,,,                 57333,,,                111154,                111154,,                163093,,                              0,,                550620,                381816,                932436,              3531850,,,                              0,                              0,,                224305,                172794,,             58195378,                  1546,,,                581120,                581120,,                 91031,,              3813130,              4485281,             63079304,             66611154,,,,,                903095,,                              0,                              0,,                119159,,,,                339792,              1240502,,,                757458,,                              0,              3739232,                247723,                              0,              3986955,                155331,                 64277,              4964021,              7226777,,,                 40958,                              0,,              1892882,,             34826186,,                     88,,,                866996,                464766,              1331762,,              1543830,              1543830,                  7090,                              0,              2882682,             39642796,             46869573,,,,              4513173,                112777,              4625950,,              2582627,,,              6999843,              6999843,,,              4549038,,                842672,              5391710,                              0,             19600130,                141451,             19741581,             66611154,              0,              0,              0,                900710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2014年03月31日,,,,              1813902,,,                 20213,,                 16317,                402267,,                151395,                307587,                458982,,,,,                665263,,,                143548,                143548,,                255500,,,,                670966,                244360,                915326,              4691318,,,,                              0,,                226384,                294835,,             60806301,                  1701,,,                642703,                642703,,                 91429,,                  1145,                735277,             62064498,             66755816,,,,,                744466,,,                              0,,                133123,,                              0,,                633943,                633943,,,                780840,,                              0,              3430542,                261219,                              0,              3691761,                159246,                 78838,              4710685,              6222217,,,                 48552,                              0,,              1920719,,             34233495,,                     88,,,                923218,                482306,              1405524,,              1442927,              1442927,                  7090,                 30470,              2886011,             39088865,             45311082,,,,              4511092,,              4511092,,              3592784,,,              6784445,              6784445,,,              5325170,,              1089439,              6414609,                              0,             21302930,                141804,             21444734,             66755816,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2637,2013年12月31日,,,,,,                  5059,                  5059,,                 15418,                314699,,                152502,                119324,                271826,,,,,                 58510,,,                135668,                135668,,                141328,,                              0,,                549298,                284292,                833590,              4215930,,,                 20969,                 20969,,                216990,                432699,,             57088231,                  1701,,,                827076,                827076,,                119269,,              2438929,              3385274,             61145864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              2439832,             65361794,,,,                700856,,                 49747,                 49747,,                141933,,                413534,                413534,,,                783480,,                503621,              3353275,                236205,                              0,              4093101,                155874,                 66700,              5099155,              6405225,,,                 26950,                              0,,              1589288,,             33291850,,                     88,,,              1154363,                477567,              1631930,,              1406416,              1406416,                  8805,                 29805,              3076956,             37985132,             44390357,,,,              4511092,              4511092,,              3592784,,,              6216332,              6216332,,,              5383386,,              1131173,              6514559,                              0,             20834767,                136670,             20971437,,                              0,                              0,                              0
2637,2013年09月30日,,,,,,                              0,                              0,,                 15965,                157327,,                179484,                116185,                295669,,,,,                 73540,,,                173256,                173256,,                143751,,                              0,,                237016,                249536,                486552,              2200489,,,                              0,                              0,,                220828,                309559,,             58161225,                  1194,,,                851341,                851341,,                124470,,                  1555,                977366,             59670172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                854429,             61870661,,,,                791737,,                 75806,                 75806,,                190418,,                482510,                482510,,,                498671,,                502653,              3176470,                234342,                              0,              3913465,                215583,                 96562,              4724281,              6264752,,,                              0,,,                              0,,             35086053,,                              0,,,              1203846,                696435,              1900281,,              1490686,              1490686,                 10520,                 29570,              3431057,             38517110,             44781862,,,,              4150630,              4150630,,              2681890,,,              5781742,              5781742,,,              3501642,,                847635,              4349277,                              0,             16963539,                125260,             17088799,,                              0,                              0,                              0
2637,2013年06月30日,,,,,,                              0,                              0,,                 30000,                 82052,,                154788,                115680,                270468,,,,,                 18296,,,                103644,                103644,,                164320,,                              0,,                242170,                294708,                536878,              2017039,,,,,,                239500,                786880,,             54841989,                  1194,,,                894364,                894364,,                125367,,              2879861,              3899592,             59769155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                811381,             61786194,,,,                797615,,                101168,                101168,,                139672,,                381839,              1070459,,,                499463,,                503535,              3211768,                237750,                 36270,              3989323,                121693,                 43257,              4653736,              6762650,,,                              0,                              0,,                              0,,             34192810,,                              0,,,              1280790,                824410,              2105200,,              1228473,              1228473,                 10472,                 30000,              3374145,             37566955,             44329605,,,,              3952023,              4149624,,              2679021,,,              5645332,              5645332,,,              3985576,,                868932,              4854508,                              0,             17328485,                128104,             17456589,,                              0,                688620,                197601
