證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付費用,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　 現金及約當現金合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 其他應付費用,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收貨款,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 代收款,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 待註銷股本,　　　　 庫存現金,　　　　 銀行存款,　　　　 約當現金,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 存貨－製造業淨額,　　　　 預付薪資,　　　　 預付貨款,　　　　 留抵稅額,　　　　 其他預付款,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 運輸設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 其他設備淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額
2436,2015年09月30日,,,,                613945,,                              0,,              1238395,,                 26048,,                536362,,                113955,,                381301,,                 33304,              2943310,,,                 65426,                 65426,,                228333,,                 10163,                              0,,                              0,                  6214,                  6214,                310136,              3253446,,,,,                190000,,                  3807,                  3807,,                263194,                263194,,                 18686,                 18686,,                 67542,                              0,                              0,                 67542,                 25196,,                  6066,                574491,,,                  1680,,                 89829,                 89829,                 91509,                666000,,,,              2214000,                              0,              2214000,,                  1960,,                401769,                  9800,,                292545,                704114,,               -337377,                              0,              2582697,                  4749,              2587446,              3253446,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2015年06月30日,,,,                702825,,                    220,,              1408685,,                 32085,,                464229,,                 80474,,                423932,,                 34733,              3147183,,,                 65426,                 65426,,                229358,,                 11134,                    291,,                              0,                  6168,                  6168,                312377,              3459560,,,,,,,                  3833,                  3833,,                325792,                325792,,                 20800,                 20800,,                 42746,                199260,                 27491,                269497,                 25762,,                  5251,                650935,,,                              0,,                 89476,                 89476,                 89476,                740411,,,,              2214000,,              2214000,,                  1960,,                401769,                  9800,,                235164,                646733,,               -148530,                              0,              2714163,                  4986,              2719149,              3459560,              0,              0,              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2015年03月31日,,,,                568476,,                    224,,              1607106,,                 24321,,                468562,,                114281,,                349498,,                 34863,              3167331,,,                 65426,                 65426,,                229543,,                 11958,,,                  2038,                  6145,                  8183,                315110,              3482441,,,,,,,                  3090,                  3090,,                231542,                231542,,                 15026,                 15026,,                 36304,,,                 96809,                  1065,,                  3825,                351357,,,                    130,,                 89126,                 89126,                 89256,                440613,,,,              2214000,,              2214000,,                  1960,,                380902,                200378,,                228610,                809890,,                 10719,                              0,              3036569,                  5259,              3041828,              3482441,              0,              0,              0,,,,,,,                              0,                 48404,                 12101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2014年12月31日,,,,                551401,,                    230,,              1599303,,                 28725,,                541247,,                 52092,,                368234,,                 33079,              3174311,,,                 65426,                 65426,,                231559,,                 13173,                              0,,                              0,                  6145,                  6145,                316303,              3490614,,,,,                              0,,                  3646,                  3646,,                260913,                260913,,                 11738,                 11738,,                114700,                              0,                              0,                114700,                    104,,                  4067,                395168,,,                  1863,,                 88889,                 88889,                 90752,                485920,,,,              2214000,                              0,              2214000,,                  1960,,                380902,                200378,,                211735,                793015,,                 -9800,                              0,              2999175,                  5519,              3004694,              3490614,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2014年09月30日,,,,                345204,,                    584,,              1770264,,                 31239,,                601751,,                 39923,,                396621,,                 39806,              3225392,,,                 66225,                 66225,,                217494,,                  7080,                              0,,                  6573,                  6145,                 12718,                303517,              3528909,,,,,                              0,,                  9240,                  9240,,                356483,                356483,,                 29083,                 29083,,                 76227,                              0,                              0,                 76227,                              0,,                  7686,                478719,,,                    511,,                 88823,                 88823,                 89334,                568053,,,,              2214000,                              0,              2214000,,                  1960,,                380902,                200378,,                184112,                765392,,                -25914,                              0,              2955438,                  5418,              2960856,              3528909,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2014年06月30日,,,,                741830,,                    619,,              1599392,,                 26409,,                491694,,                 64165,,                334945,,                 24501,              3283555,,,                 66225,                 66225,,                218683,,                  8010,                              0,,                  2480,                  5708,                  8188,                301106,              3584661,,,,,,,                  5769,                  5769,,                331736,                331736,,                 22914,                 22914,,                 39203,                 39853,                 49131,                128187,                    395,,                  6010,                495011,,,                      9,,                 88472,                 88472,                 88481,                583492,,,,              2214000,,              2214000,,                  1960,,                380902,                200378,,                 94632,                675912,,                103770,                              0,              2995642,                  5527,              3001169,              3584661,              0,              0,              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2014年03月31日,,,,                597380,,                    621,,              1523741,,                 25004,,                462845,,                 94783,,                270837,,                 27002,              3002213,,,                 54025,                 54025,,                222379,,                  7040,,,                              0,                  5703,                  5703,                289147,              3291360,,,,,,,                  3883,                  3883,,                230519,                230519,,                 19972,                 19972,,                 44386,,,                 74018,                  8309,,                  5873,                342574,,,                    834,,                 88246,                 88246,                 89080,                431654,,,,              2214000,,              2214000,,                 28528,,                371992,                136142,,                143927,                652061,,                -40196,                              0,              2854393,                  5313,              2859706,              3291360,              0,              0,              0,,,,,,,                              0,                 24963,                  4669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2013年12月31日,,,,,,                    565,,              1372321,,                 27126,,                515205,,                 78740,,                271701,,                 27654,              2830772,,,,                 55224,,                229473,,                  7593,                  1092,,                    380,                  5874,                  6254,                299636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                              0,,,,,                537460,,                              0,              3130408,,,,                  4024,,                253355,,                 34872,,                  1915,                    479,                 86483,                 88877,                  9969,,,                  4150,                              0,                  4150,                  2492,                  6642,                397739,,,                    299,,                 87895,                 87895,                 88194,                485933,,,,              2214000,              2214000,,                 28528,,                371992,                136142,,                 89101,                597235,,,               -200378,               -200378,                              0,              2639385,                  5090,              2644475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2013年09月30日,,,,,,                    481,,              1427030,,                 21537,,                521985,,                 54892,,                278531,,                 25976,              2916943,,,                 58308,                 58308,,                233671,,                  6190,                  1018,,                              0,                  5696,                  5696,                304883,,,,,,,                  5815,,,                244079,,,                 22034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,                586511,,,              3221826,,,,                  5815,,                244079,,                 22034,,,,                 52503,                298503,                  9981,,,,,,,                  5293,                585705,,,                              0,,                 91540,                 91540,                 91540,                677245,,,,              2214000,              2214000,,                 28528,,                371992,                136142,,                 55720,                563854,,,,               -266764,                              0,              2539618,                  4963,              2544581,                              0,                246000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2013年06月30日,,,,,,                              0,,              1429359,,                 27192,,                484278,,                115113,,                285086,,                 34573,              2892818,,,                 28308,                 28308,,                239286,,                  6910,                 11444,,                              0,                  5690,                  5690,                293437,,,,,,,                  5336,,,                256069,,,                 22241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     24600000,              0,              0,,,,                  1799,                  1799,,,,,                517217,,,              3186255,,,,                  5336,,                256069,,                 22241,,,,                 25953,                345753,                  7351,,,,,,,                  4871,                641621,,,                    294,,                 91384,                 91384,                 91678,                733299,,,,              2460000,              2214000,,                 28528,,                371992,                136142,,                 12919,                521053,,,,               -315287,                              0,              2448294,                  4662,              2452956,                 73800,                246000,               -246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
