證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 應收建造合約款－關係人,　　　 其他應收款,　　　　 應收收益,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－其他行業,　　　　　 存貨－其他行業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付貨款,　　　　 留抵稅額,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 暫估應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款,　　　　 應付建造合約款－關係人,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 其他應付款項－關係人,　　　　 淨確定福利資產-非流動,　　　　 現金及約當現金合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 暫估應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 應付建造合約款,　　　 應付建造合約款－關係人,　　　　 應付股利,　　　 其他應付款項－關係人,　　　　 商譽
8926,2015年09月30日,,,,                878113,,                              0,,                    769,,                166063,                  7231,                173294,,                 45465,                 45465,                              0,                440381,,                 68135,                    991,                 69126,,                    485,,,                  9266,                  9266,,                 28942,                 62389,                    239,                 91570,,                     82,                  1692,                  1774,              1710243,,,                273600,,             12354523,,                445920,,,                 13275,                 13275,                108868,,                 41326,,                              0,                              0,                 41326,             13237512,             14947755,,,,,                              0,,                 20477,,                     46,,                 37901,                446407,                484308,,                 10000,                              0,                 12426,,                 67891,                 67891,                 63574,,                 31398,,,                940000,                940000,                  1981,                941981,              1632101,,,              1875000,,                              0,,                 14403,,                 77213,                 18399,                 95612,              1985015,              3617116,,,,              5890486,              5890486,,                499694,,              1062809,              2746715,,              1061133,              4870657,,                 69802,             11330639,             11330639,             14947755,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926,2015年06月30日,,,,                914162,,                              0,,                    386,,                293619,                 17854,                311473,,                 74200,                 74200,                              0,                287455,,              1170086,                  1426,              1171512,,                  5990,,,                  9469,                  9469,,                    224,                 55994,                    239,                 56457,,                  3664,                  2863,                  6527,              2837631,,,                254800,,             12083697,,                478018,,,                 14005,                 14005,                115971,,                 41285,,                              0,                              0,                 41285,             12987776,             15825407,,,,,                 70000,,                 27977,,                     34,,                 43721,                389588,                433309,,                    412,,                 13560,,                 84009,              1026487,                 55170,,                 39684,,,                270000,                270000,                 22081,                292081,              1958714,,,              2790000,,                              0,,                 10029,,                 75548,                 22359,                 97907,              2897936,              4856650,,,,              5890486,              5890486,,                499694,,              1062809,              2746715,,                723612,              4533136,,                 45441,             10968757,             10968757,             15825407,              0,              0,                942478,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926,2015年03月31日,,,,                934857,,                              0,,                  1617,,                288296,                 28217,                316513,,                 99821,                 99821,                              0,                276794,,,                  5986,                  5986,,                  5990,,,                 10543,                 10543,,                 13880,                 54196,                 13050,                 81126,,                 19189,                  3751,                 22940,              1756187,,,                255200,,             12903207,,                511198,,,                 14913,                 14913,                123245,,                 41259,,                              0,                              0,                 43976,             13851739,             15607926,,,,,                 47000,,                 19057,,                      5,,                 41727,                486108,                527835,,                 10213,,                 28875,,                 73058,                 73058,                              0,,                 51474,,,                270000,                270000,                 21951,                291951,              1049468,,,              2860000,,                              0,,                 11293,,                 76602,                 23359,                 99961,              2971254,              4020722,,,,              5890486,              5890486,,                499694,,                889965,              2146955,,              2108989,              5145909,,                 51115,             11587204,             11587204,             15607926,              0,              0,,,                  2717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926,2014年12月31日,,,,                986522,,                      9,,                  1091,,                348102,                 38324,                386426,,                 56039,                 56039,                              0,                310387,,                              0,                 28668,                 28668,,                  5279,,,                 12659,                 12659,,                 52925,                 57618,                 13432,                123975,,                 34661,                  4820,                 39481,              1950536,,,                242000,,             12666584,,                546745,,,                 14475,                 14475,                126563,,                 26514,,                              0,                              0,                 26514,             13622881,             15573417,,,,,                351000,,                 37066,,                     23,,                 39801,                524357,                564158,,                  1035,                              0,                              0,,                 93222,                 93222,                              0,,                 69862,,,                360000,                360000,                 22336,                382336,              1498702,,,              2610000,,                              0,,                 10036,,                 77844,                 20439,                 98283,              2718319,              4217021,,,,              5890486,              5890486,,                499694,,                889965,              2146955,,              1885737,              4922657,,                 43559,             11356396,             11356396,             15573417,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926,2014年09月30日,,,,                884666,,                              0,,                              0,,                404819,                 40908,                445727,,                 88870,                 88870,                 83165,                226879,,                              0,                  2057,                  2057,,                  5155,,,                 13416,                 13416,,                              0,                 54265,                  6985,                 61250,,                 38017,                  3882,                 41899,              1853084,,,                219000,,             11723166,,                579339,,,                 15360,                 15360,                145422,,                 27554,,                  7275,                  7275,                 34829,             12717116,             14570200,,,,,                231000,,                 23698,,                     57,,                 40924,                496188,                537112,,                    619,                  2267,                  6946,,                 99899,                 99899,                  8009,,                 54668,,,                332500,                332500,                 19239,                351739,              1316014,,,              2117500,,                  7275,,                  4232,,                 76446,                 19587,                 96033,              2225040,              3541054,,,,              5890486,              5890486,,                499694,,                889965,              2146955,,              1591743,              4628663,,                 10303,             11029146,             11029146,             14570200,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926,2014年06月30日,,,,                878364,,                    161,,                              0,,                331217,                 39901,                371118,,                 38202,                 38202,                350581,                317949,,                935721,                  2455,                938176,,                  5000,,,                 13126,                 13126,,                 18228,                 66417,                  5182,                 89827,,                 24397,                  6255,                 30652,              3033156,,,                239800,,             11180951,,                612487,,,                 16229,                 16229,                149274,,                 32509,,                 17899,                 17899,                 50408,             12249149,             15282305,,,,,                421000,,                 22904,,                     30,,                 45266,                626369,                671635,,                  1006,,                              0,,                104092,                810950,                  4399,,                 54636,,,                340000,                340000,                  5250,                345250,              2331845,,,              2205000,,                 17899,,                 67591,,                 76711,                 22045,                 98756,              2389246,              4721091,,,,              5890486,              5890486,,                499694,,                889965,              2146955,,              1108337,              4145257,,                 25777,             10561214,             10561214,             15282305,              0,              0,                706858,                     35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926,2014年03月31日,,,,                940434,,                              0,,                              0,,                189222,                 38919,                228141,,                167397,                167397,                449284,                373992,,,                  4423,                  4423,,                  5000,,,                 16082,                 16082,,                 33390,                 77450,                 34145,                144985,,                 38905,                  5504,                 44409,              2374147,,,                259800,,             11716157,,                636481,,,                 16831,                 16831,                160568,,                 32537,,                 28261,                 28261,                 63328,             12853165,             15227312,,,,,                430910,,                 80745,,                              0,,                 27425,                572182,                599607,,                    765,,                 61430,,                 85904,                 85904,                  7166,,                 60015,,,                590000,                590000,                  3004,                593004,              1919546,,,              2218000,,                 28261,,                 74658,,                 77508,                 18395,                 95903,              2416822,              4336368,,,,              5890486,              5890486,,                499694,,                813357,                 57431,,              3587445,              4458233,,                 42531,             10890944,             10890944,             15227312,              0,              0,,,                  2530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8926,2013年12月31日,,,,,,                              0,,                              0,,                305165,                 37961,                343126,,                 34588,                 34588,                411739,                463996,,,                  7486,                  7486,,                  3000,,,                 14872,                 14872,,                 35246,                 69748,                 17806,                122800,,                 45833,                  4290,                 50123,              2449334,,,                233200,,             10220343,,                632598,,,                 16289,                 16289,                155968,,                 19293,,                 38369,                 38369,                 60166,             11318564,,,,,,,,,,,                 37528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                997604,                  2504,             13767898,,,,                135365,,                 62085,,                     64,,                815313,                852841,,                  1755,,                 64969,                 64969,                  7144,,                 78606,,,                546000,                546000,                 52151,                598151,              1800980,,,              1523000,,                 38369,,                  6397,,                 76560,                 13156,                 89716,              1657482,              3458462,,,,              5890486,              5890486,,                499694,,                813357,                 57431,,              3030674,              3901462,,                 17794,             10309436,             10309436,              0,,,,,
8926,2013年09月30日,,,,,,,,,,                253460,                 37027,                290487,,                 31513,                 31513,                737943,                318247,,                 87005,                 11076,                 98081,,                 18635,,,                 13390,                 13390,,                 27263,                 82509,                 47616,                157388,,                 76247,                  4220,                 80467,              2587310,,,                239800,,              9966579,,                664971,,,                 17116,                 17116,                157663,,                 18763,,                 48228,                 48228,                 69385,             11115514,,,,,,,,,,,                 52813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                841159,                  2394,             13702824,,,,                290750,,                 48076,,                    148,,                809519,                862332,,                 16196,,                 65072,                 65072,                  6937,,                 72071,,,                906000,                906000,                  1831,                907831,              2272594,,,              1263000,,                 48228,,                    262,,                 74572,                 17736,                 92308,              1403798,              3676392,,,,              5890486,              5890486,,                499694,,                813357,                 57431,,              2734579,              3605367,,                 30885,             10026432,             10026432,              0,                              0,                  3181,,,
8926,2013年06月30日,,,,,,                              0,,,,                344322,                 36115,                380437,,                 28984,                 28984,                795682,                190950,,                824968,                 14442,                839410,,                 18965,,,                 14578,                 14578,,                 11783,                 78942,                 37569,                128294,,                 90147,                  5737,                 95884,              3768635,,,                219200,,              9673075,,                697920,,,                 13708,                 13708,                158166,,                 20211,,                 57845,                 57845,                 80415,             10842484,,,,,,,,,,,                 60310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              1275451,                  2359,             14611119,,,,                491615,,                 25446,,                     60,,                820856,                881166,,                 16432,,                 78384,                785242,                  5448,,                 50308,,,                190000,                190000,                  4001,                194001,              2452976,,,              2259000,,                 57845,,                    256,,                 85677,                 19410,                105087,              2422188,              4875164,,,,              5890486,              5890486,,                499694,,                813357,                 57431,,              2462289,              3333077,,                 12698,              9735955,              9735955,              0,,                  3181,                706858,                     77,
