證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款－關係人,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 保固之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收房地款,　　　　　　 其他預收款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 員工福利負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　　 預收股本,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 淨確定福利負債-非流動,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款－關係人,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 保固之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收房地款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　　 預收股本,　　　　　 一年或一營業週期內到期長期借款,　　　　　 其他預收款,　　　　 待分配股票股利,　　 共同控制下前手權益,　　　 應收建造合約款－關係人,　　　 工程進度請款金額
5531,2015年09月30日,,,,              2321076,,                 15234,,                 23377,,                 22148,,                694381,,              3161643,,                  9091,,             33412765,,                956546,,              4200208,                296602,              4496810,             45113071,,,                    750,,                259795,,                  9943,,                243156,                182613,,                180526,                464634,,                308435,                308435,                953595,              1649852,             46762923,,,,,             10356640,,                936270,,                542736,,              1815946,,                 53619,                              0,,              1224533,              6076592,                 18111,,                 13363,                 13363,,,              2868289,                 26283,              2894572,,                628234,                140388,              3663194,             24701004,,,              1680000,,              5919868,,                 37239,                 37239,,                 81083,,                128003,                  8989,                136992,              7855182,             32556186,,,,              8823100,              8823100,,                              0,                    141,                    141,,              1134667,,                744038,              1878705,,,                233975,                233975,                              0,             10935921,                              0,              3270816,             14206737,             46762923,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,2015年06月30日,,,,              2187561,,                 39700,,                  4074,,                 22148,,,,              2420645,,                    957,,             32257488,,              1036521,,              4936723,                453848,              5390571,             43359665,,,                    750,,                255540,,                  9975,,                266942,                163850,,                206409,,,                308436,                308436,                514845,              1211902,             44571567,,,,,             11288361,,                976857,,                274472,,              1869236,,                 61128,                              0,,              1025184,              4201860,                 18111,,                 13053,                 13053,,,              2578062,                 16262,              2594324,,                117360,                 34934,              2746618,             22474880,,,              1680000,,              6161559,,                 37592,                 37592,,                 22720,,                118101,                  8989,                127090,              8028961,             30503841,,,,              8021000,              8823100,,                 19611,                    141,                 19752,,              1134667,,                702800,              1837467,,,                 57052,                 57052,                              0,             10737371,                              0,              3330355,             14067726,             44571567,              0,              0,              0,                802100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,2015年03月31日,,,,              2316350,,                 12030,,                  1040,,                 21783,,,,              2366503,,                    221,,             31484086,,              3532313,,              4806928,                456117,              5263045,             44997371,,,,,                243753,,                 10008,,                229303,                152793,,                238270,,,                308216,                308216,                546486,              1182343,             46179714,,,,,             11128252,,                663690,,                316076,,              1780973,,                 90799,                              0,,              1057386,              3908728,                 48960,,                 12902,                 12902,,,              2211414,                  9070,              3845215,,                611558,                 41015,              4497788,             23505554,,,              1680000,,              5863953,,,,,                 21998,,                 96196,                  8989,                142686,              7708637,             31214191,,,,              8021000,              8021000,,                 19611,                    141,                 19752,,              1025161,,              1774123,              2799284,,,                138140,                138140,                              0,             10978176,                              0,              3987347,             14965523,             46179714,              0,              0,              0,,              1624731,                611558,                 37501,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,2014年12月31日,,,,              2082427,,                 18767,,                  2536,,                 21783,,                              0,,              2804985,,                    216,,             30644941,,              1147296,,              5005418,                252081,              5257499,             41980450,,,                              0,,                245560,,                 10041,,                231875,                137595,,                232719,                              0,,                308216,                308216,                540935,              1166006,             43146456,,,,,             11606196,,                663585,,                175674,,              1886614,,                122802,                              0,,                907061,              5216728,                 48079,,                 12732,                 12732,,,              2097021,                              0,              2097021,,              1016099,                 51755,              3164875,             23804346,,,              1680000,,              4590982,,                 37533,                 37533,,                 28513,,                 82654,                  8989,                 91643,              6428671,             30233017,,,,              8021000,              8021000,,                 19611,                    141,                 19752,,              1025161,,              1872647,              2897808,,,                169711,                169711,                              0,             11108271,                              0,              1805168,             12913439,             43146456,              0,              0,              0,                              0,,,,,              2082427,                    216,             43146456,,,,             11606196,,                663585,,                175674,,              1886614,,                122802,                              0,,                907061,              5216728,                 48079,,                 12732,                 12732,,,              2097021,              2097021,,              1016099,              1016099,                 51755,              3164875,             23804346,,,              1680000,,              4590982,,                 28513,,                 37533,                 91643,                129176,              6428671,             30233017,,,,              8021000,              8021000,,                 19611,                    141,                 19752,,              1025161,                              0,,              1872647,              2897808,,,                169711,                169711,                              0,             11108271,              1805168,             12913439,,,,,,,
5531,2014年09月30日,,,,              1539071,,                 48089,,                    786,,                 14480,,                 48536,,              1750758,,                  2553,,             28814980,,                847081,,              4674398,                272005,              4946403,             38012737,,,                              0,,                 53291,,                 10073,,                222855,                132099,,                251510,                              0,,                307789,                307789,                559299,                977617,             38990354,,,,,             10954115,,                710303,,                150554,,              1198571,,                 46648,                 12716,,                849890,              4680624,                 59541,,                 12591,                 12591,,,              2024127,                              0,              2024127,,                711419,                 56109,              2791655,             21467208,,,                200000,,              4588874,,                 34950,                 34950,,                  7686,,                              0,                 66988,                 66988,              4898498,             26365706,,,,              8021000,              8021000,,                 17540,                    141,                 17681,,              1025161,,              1691242,              2716403,,,               -158474,               -158474,                              0,             10596610,                              0,              2028038,             12624648,             38990354,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,2014年06月30日,,,,              3602990,,                 34400,,                  3849,,                  1480,,,,                737910,,                  2012,,             25113791,,              1572776,,              1734342,                291285,              2025627,             33094835,,,                              0,,                 51189,,                 10106,,                218767,                136130,,                260796,,,                307688,                307688,                568484,                984676,             34079511,,,,,              8317813,,                743242,,                235987,,                990897,,                 68088,                 13683,,                976667,              3894680,                 53049,,                 13549,                 13549,,,              1809796,                              0,              1809796,,                542515,                 62670,              2414981,             17722636,,,                200000,,              3933212,,                 34889,                 34889,,                  9639,,                              0,                 38741,                 38741,              4216481,             21939117,,,,              6170000,              8021000,,                 17540,                    141,                 17681,,              1025161,,              1298472,              2323633,,,                -13107,                -13107,                              0,             10349207,                              0,              1791187,             12140394,             34079511,              0,              0,              0,              1851000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,2014年03月31日,,,,              1294354,,                 25008,,                168741,,                 24020,,,,                     15,,                  1282,,             24864032,,              1318475,,              1534076,                242603,              1776679,             29472606,,,,,                 49618,,                 10138,,                223210,                102477,,                275156,,,                307439,                307439,                582595,                968038,             30440644,,,,,              7317086,,                739909,,                217436,,                804337,,                 64693,                 26602,,                945540,              2648448,                 47103,,                 13610,                 13610,,,              1570924,                              0,              1570924,,                582273,                 60625,              2213822,             15038586,,,                400000,,              3323262,,,,,                    808,,                 55198,                  8990,                 99199,              3823269,             18861855,,,,              6170000,              6170000,,                 16299,                    141,                 16440,,                776804,,              2805418,              3645515,,,                 46157,                 46157,                              0,              9878112,                              0,              1700677,             11578789,             30440644,              0,              0,              0,,                              0,                582273,                 35011,                 63293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5531,2013年12月31日,,,,,,                 82438,,                926404,,                    820,,,,                     97,,,,             24098613,,                627131,,                596386,                228136,                824522,             28396338,,,,,                 46045,,                 10171,,                218334,                111607,,                572220,,,                307439,                307439,                879659,              1265816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              1835075,                  1238,             29662154,,,,              7953564,,                776843,,                267933,,              1106428,,                154961,                  8049,,                725192,              2285925,                 47103,,                 12497,                 12497,,,                818559,                818559,,                297889,                297889,                 67046,              1183494,             14521989,,,                400000,,              3008526,,                  4233,,                 34899,                 34042,                 68941,              3481700,             18003689,,,,              6170000,              6170000,,                 17230,                    141,                 17371,,                776804,                 63293,,              2841680,              3681777,,,                 48124,                 48124,                              0,              9917272,              1741193,             11658465,,,                              0,                              0,                              0,                              0,
5531,2013年09月30日,,,,,,                 11890,,                 25700,,                 18000,,                              0,,                              0,,,,             22607094,,                660283,,                345862,                267548,                613410,             24811429,,,,,                 44602,,                 10204,,                216613,                 96275,,              1734695,                 26568,,                307338,                307338,              2068601,              2436295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                873335,                  1717,             27247724,,,,              8186598,,                776661,,                180155,,                315923,,                 59569,                 30476,,                931968,                 75517,                  5558,,                  6086,                  6086,,,              1450859,              1746027,,                110700,                310700,                 74319,              2131046,             12699557,,,                600000,,              4415357,,                  4345,,                 34630,                 68554,                103184,              5122886,             17822443,,,,              6170000,              6170000,,                 14338,                    141,                 14479,,                776804,                 63293,,              1199723,              2039820,,,                  5192,                  5192,                              0,              8229491,              1195790,              9425281,                295168,                200000,,,,,
5531,2013年06月30日,,,,,,                 18890,,                 17504,,                              0,,,,                              0,,,,             21663040,,                934292,,                270599,                319943,                590542,             23908357,,,,,                 43176,,                 10237,,                219839,                 95048,,              1752587,,,                307338,                307338,              2059925,              2428225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                683885,                    204,             26336582,,,,              8230495,,                617119,,                187101,,                287781,,                 68386,                              0,,                870447,                103855,                              0,,                  6929,                  6929,,,              1227958,              1527458,,                443194,                443194,                 43244,              2013896,             12386009,,,                600000,,              4282117,,                  2518,,                 34589,                 35842,                 70431,              4955066,             17341075,,,,              5609200,              6170000,,                 14599,                    141,                 14740,,                776805,                 63293,,                708931,              1549029,,,                 27329,                 27329,                              0,              7761098,              1234409,              8995507,,,                299500,                560800,                              0,,
